Side,WarID,PolityID,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,IsInitiator,Outcome,Deaths,PolityName
A,385,220,1882,4,25,1884,6,14,1,4,4500,6
A,386,220,1883,5,7,1885,12,12,1,1,300,6
A,387,200,1885,11,10,1889,0,0,1,1,3000,1
A,389,220,1885,0,0,1886,0,0,1,1,1000,6
A,390,365,1885,3,30,1885,4,0,1,3,1000,5
A,391,345,1885,11,2,1885,12,7,1,2,2000,16
A,392,325,1887,1,24,1887,3,0,1,3,1000,17
A,393,235,1888,0,0,1888,0,0,1,1,0,18
A,394,220,1890,3,1,1890,4,20,1,1,200,6
A,395,220,1890,4,0,1891,2,24,1,1,100,6
A,396,220,1892,9,19,1893,11,9,1,1,80,6
A,397,211,1892,10,0,1894,2,0,1,1,7000,19
A,398,200,1893,9,28,1894,0,0,0,1,200,1
A,399,230,1893,9,29,1894,3,5,0,1,1000,3
A,400,325,1893,12,21,1894,7,12,0,1,270,17
A,401,220,1894,6,16,1895,10,1,0,1,6000,6
A,402,210,1894,7,0,1894,11,22,1,1,1000,0
A,403,235,1895,2,1,1895,12,28,1,1,50,18
A,404,230,1895,2,24,1898,4,21,0,4,59000,3
A,405,740,1895,5,29,1895,10,21,0,1,4800,20
A,406,200,1895,7,3,1896,4,21,0,1,200,1
A,407,325,1895,12,7,1896,10,21,1,2,9000,17
A,409,200,1896,6,7,1899,11,24,1,1,1200,1
A,410,230,1896,8,30,1898,5,1,0,4,4000,3
A,411,200,1897,1,6,1897,2,25,1,1,20,1
A,412,200,1897,7,26,1898,3,7,0,1,1100,1
A,413,200,1898,2,0,1898,5,0,0,1,400,1
A,414,2,1899,2,4,1902,7,4,0,1,4500,21
A,415,220,1899,7,17,1900,4,22,1,1,125,6
A,416,200,1899,10,11,1902,5,31,0,1,22000,1
A,417,200,1900,4,2,1900,9,30,0,1,1000,1
A,419,200,1901,3,22,1904,4,21,0,1,400,1
A,419,530,1901,3,22,1904,4,21,0,1,0,22
A,420,235,1902,0,0,1903,0,0,0,1,0,18
A,421,235,1902,0,0,1904,0,0,0,6,2000,18
A,422,200,1903,1,29,1903,7,27,1,1,0,1
A,423,255,1904,1,12,1906,5,4,0,1,1800,23
A,424,210,1904,0,0,1907,12,0,0,1,13000,0
A,425,200,1904,3,31,1904,9,7,1,1,300,1
A,426,255,1905,7,31,1906,6,0,0,1,3440,23
A,427,200,1906,1,0,1906,3,10,0,1,80,1
A,429,200,1906,3,5,1906,6,10,0,1,56,1
A,430,235,1907,0,0,1910,0,0,1,1,100,18
A,431,220,1907,7,30,1910,0,0,1,1,150,6
A,432,740,1907,8,1,1910,8,16,0,1,136,20
A,433,220,1909,5,0,1911,0,0,1,1,4000,6
A,434,220,1912,3,31,1912,9,6,0,1,200,6
A,435,710,1912,3,0,1913,1,0,0,2,2000,24
A,436,220,1913,3,26,1915,5,16,1,7,900,6
A,436,230,1913,6,0,1914,12,0,0,7,0,3
A,437,2,1913,6,11,1913,10,22,1,1,50,13
A,440,710,1918,1,7,1918,8,0,1,6,1000,24
A,441,2,1918,10,17,1920,5,19,0,1,98,13
A,442,200,1919,5,3,1919,8,8,0,3,1136,1
A,443,200,1919,5,26,1920,3,0,0,1,800,1
A,444,220,1920,3,0,1920,8,7,1,1,3500,6
A,445,200,1920,6,5,1920,10,17,0,1,1040,1
A,446,365,1921,5,28,1921,8,22,0,1,0,25
A,446,710,1920,10,10,1921,8,22,0,1,4000,24
A,447,325,1923,3,23,1931,9,12,0,1,5000,17
A,449,220,1925,4,12,1926,5,27,0,1,10000,6
A,449,230,1921,6,1,1926,5,27,1,1,50000,3
A,450,200,1921,8,20,1922,2,0,0,1,50,1
A,451,220,1925,7,18,1927,5,27,0,1,4000,6
A,452,220,1930,2,9,1931,0,0,0,1,1,6
A,453,200,1930,12,22,1932,6,0,0,1,140,1
A,454,200,1936,4,20,1936,10,0,0,1,126,1
A,455,200,1936,11,25,1938,1,8,0,1,200,1
A,456,200,1945,11,10,1946,10,15,0,3,1000,1
A,456,210,1945,11,10,1946,10,15,0,3,800,0
A,457,220,1946,11,20,1954,6,1,0,2,94500,6
A,459,220,1947,3,29,1948,12,1,0,1,1000,6
A,460,200,1948,6,18,1957,8,31,0,1,2400,1
A,461,750,1948,9,13,1948,9,17,1,1,10,26
A,462,710,1950,5,0,1950,10,28,1,1,10000,24
A,463,220,1952,1,18,1954,7,31,0,2,2000,6
A,464,200,1952,10,20,1956,10,0,0,1,600,1
A,465,220,1953,8,20,1956,3,12,0,2,2000,6
A,466,220,1954,11,1,1962,3,17,0,2,18000,6
A,467,220,1957,1,1,1958,1,5,0,1,1000,6
A,469,235,1961,2,3,1974,10,14,0,4,4000,18
A,471,235,1964,9,25,1975,6,25,0,2,3500,18
A,472,850,1975,10,16,1976,7,17,1,4,12500,27
A,473,560,1975,10,17,1988,12,13,1,2,1100,28
A,474,600,1975,12,11,1983,12,23,0,7,9500,29
A,474,435,1975,12,11,1979,8,5,0,7,2000,30
A,475,816,1979,1,9,1989,9,25,1,4,25300,31
A,475,811,1979,1,9,1989,9,25,0,4,15000,32
A,476,365,1980,2,22,1989,2,15,0,4,40000,25
A,476,700,1980,2,22,1989,2,15,0,4,30000,33
A,477,640,1991,8,4,1992,3,25,1,6,300,34
A,479,640,1997,5,14,1997,6,14,1,6,100,34
A,480,666,2000,9,28,2003,9,9,0,1,900,35
A,481,220,2001,12,23,0,0,0,1,5,12,6
A,481,900,2001,12,23,0,0,0,1,5,6,36
A,481,255,2001,12,23,0,0,0,1,5,25,23
A,481,200,2001,12,23,0,0,0,1,5,110,1
A,481,20,2001,12,23,0,0,0,1,5,88,37
A,481,2,2001,12,23,0,0,0,1,5,552,13
A,481,700,2001,12,23,0,0,0,1,5,1600,33
A,482,900,2003,5,3,0,0,0,1,5,1,36
A,482,2,2003,5,3,0,0,0,1,5,3985,13
A,482,200,2003,5,3,0,0,0,1,5,143,1
A,482,210,2004,3,0,2005,3,0,0,5,2,0
A,482,230,2004,3,0,2004,4,28,0,5,11,3
A,482,290,2004,3,0,2006,3,31,0,5,23,38
A,482,325,2004,3,0,0,0,0,0,5,33,17
A,482,369,2004,3,0,2005,10,0,0,5,18,39
A,482,645,2004,6,28,0,0,0,0,5,10800,40
A,482,732,2004,9,25,0,0,0,0,5,1,41
A,334,210,1849,4,2,1849,6,14,1,6,300,0
A,379,200,1879,9,3,1880,9,2,1,1,10000,1
A,454,200,1937,8,0,1939,1,0,0,1,126,1
B,300,-1,1816,8,26,1816,8,30,0,2,6000,42
B,301,-1,1816,9,0,1818,9,11,0,2,14000,43
B,302,-1,1817,1,9,1818,4,5,1,1,1140,44
B,303,-1,1817,4,11,1819,8,10,0,1,2000,45
B,304,-1,1817,8,15,1818,1,1,1,2,1000,46
B,305,-1,1817,10,0,1818,11,26,1,2,10000,47
B,306,-1,1817,11,6,1818,6,3,1,2,2000,48
B,307,-1,1820,0,0,1821,6,0,0,2,2500,49
B,308,-1,1821,4,28,1822,5,24,1,1,500,45
B,309,-1,1821,8,0,1822,5,0,1,6,0,50
B,310,-1,1823,9,24,1826,2,24,1,2,15000,51
B,311,-1,1824,1,20,1826,8,7,1,2,5000,52
B,312,-1,1824,2,4,1825,4,2,1,1,400,53
B,313,-1,1825,7,23,1830,3,28,1,2,200000,54
B,314,-1,1825,11,23,1826,1,18,1,2,4500,55
B,315,-1,1826,1,1,1828,10,27,1,1,2000,8
B,316,-1,1826,9,28,1828,2,28,1,2,2000,50
B,317,-1,1829,7,16,1829,9,11,0,1,135,56
B,319,-1,1830,6,12,1830,7,5,0,2,3000,42
B,320,-1,1832,6,0,1837,0,0,1,2,800,57
B,321,-1,1838,4,17,1838,4,0,0,1,0,58
B,322,-1,1839,2,14,1842,10,12,0,1,0,33
B,323,-1,1839,9,4,1842,8,29,0,2,2000,24
B,324,-1,1839,11,1,1847,12,23,1,2,20000,59
B,325,-1,1841,10,19,1841,11,28,1,1,400,60
B,326,-1,1843,1,6,1843,6,14,0,2,4000,61
B,327,-1,1843,2,16,1851,7,18,0,4,3500,62
B,327,200,1845,1,0,1849,3,6,1,4,400,1
B,327,220,1845,1,0,1849,5,24,1,4,600,6
B,329,-1,1843,12,28,1843,12,29,0,2,1330,63
B,330,-1,1844,8,6,1844,9,10,0,2,800,29
B,331,-1,1845,12,13,1846,2,10,1,2,7000,64
B,332,-1,1846,2,15,1846,3,3,1,2,1000,65
B,333,-1,1846,4,16,1847,12,23,0,2,2000,66
B,334,-1,1848,4,12,1848,6,21,0,6,2000,67
B,335,-1,1848,5,18,1849,3,10,0,2,5000,64
B,336,-1,1849,10,20,1849,10,22,0,2,2800,68
B,337,-1,1850,12,24,1852,4,8,0,2,6000,69
B,338,-1,1851,4,21,1851,7,9,1,2,1600,70
B,339,-1,1852,4,5,1852,11,20,0,2,800,51
B,340,-1,1854,0,0,1857,7,15,1,6,2000,71
B,341,-1,1855,0,0,1856,0,0,1,2,15000,72
B,342,-1,1856,1,22,1856,2,22,1,6,15000,73
B,343,-1,1856,10,22,1860,10,24,0,2,3000,24
B,345,-1,1856,5,17,1857,12,0,0,2,0,74
B,347,-1,1857,5,10,1859,4,7,1,2,11500,75
B,349,-1,1858,8,31,1862,6,5,0,2,2500,31
B,350,-1,1859,2,20,1860,1,20,0,2,500,76
B,351,-1,1859,5,29,1859,10,23,0,2,500,77
B,352,-1,1860,5,11,1860,10,14,1,4,1500,78
B,353,-1,1863,4,0,1865,5,3,0,1,4000,79
B,355,-1,1863,6,4,1866,1,14,0,2,2000,80
B,356,-1,1863,6,25,1864,9,7,1,2,1000,81
B,357,-1,1863,10,20,1863,12,21,0,2,1500,82
B,359,-1,1864,4,24,1865,6,17,0,2,1500,83
B,360,-1,1865,1,0,1865,11,11,0,2,900,84
B,361,-1,1866,1,12,1866,10,18,0,2,1000,85
B,362,-1,1867,12,0,1868,4,13,0,2,800,86
B,363,-1,1868,10,10,1878,2,11,1,2,50000,87
B,364,-1,1869,0,0,1870,0,0,0,1,1500,88
B,365,-1,1870,11,30,1872,12,30,1,2,1500,89
B,366,-1,1871,3,0,1872,1,0,1,2,10000,42
B,367,-1,1873,1,0,1874,2,4,1,2,1400,90
B,369,-1,1873,11,20,1874,0,0,0,3,600,31
B,370,-1,1873,3,26,1878,10,13,1,2,11000,91
B,371,-1,1875,8,9,1876,2,28,1,2,4800,83
B,372,-1,1875,9,0,1876,3,9,0,1,4550,22
B,373,-1,1876,6,30,1877,4,23,1,4,5000,92
B,374,-1,1877,8,0,1878,6,0,1,2,3700,93
B,375,-1,1878,2,0,1879,7,0,0,2,4000,94
B,376,-1,1878,5,0,1881,1,24,0,2,8000,95
B,377,-1,1878,7,29,1878,10,1,0,2,2500,96
B,379,-1,1878,11,21,1879,5,26,0,2,11000,33
B,380,-1,1879,1,11,1879,7,4,0,2,8000,97
B,381,-1,1880,9,0,1881,4,0,0,2,1400,98
B,382,-1,1880,12,16,1881,4,5,1,1,100,99
B,383,-1,1881,6,0,1882,4,4,1,2,0,100
B,384,-1,1881,8,0,1885,3,22,1,1,17000,101
B,385,-1,1882,4,25,1884,6,14,0,4,2000,102
B,385,710,1883,12,14,1884,6,14,1,4,1000,24
B,386,-1,1883,5,7,1885,12,12,0,2,700,103
B,387,-1,1885,11,10,1889,0,0,0,2,3000,51
B,389,-1,1885,0,0,1886,0,0,0,2,0,104
B,390,-1,1885,3,30,1885,4,0,0,3,0,33
B,391,-1,1885,11,2,1885,12,7,0,1,3000,105
B,392,-1,1887,1,24,1887,3,0,0,3,400,22
B,393,-1,1888,0,0,1888,0,0,0,2,6000,106
B,394,-1,1890,3,1,1890,4,20,0,2,800,107
B,395,-1,1890,4,0,1891,2,24,0,2,3000,108
B,396,-1,1892,9,19,1893,11,9,0,2,1800,107
B,397,-1,1892,10,0,1894,2,0,0,2,13000,109
B,398,-1,1893,9,28,1894,0,0,1,2,800,90
B,399,-1,1893,9,29,1894,3,5,1,2,1500,110
B,400,-1,1893,12,21,1894,7,12,1,2,5000,101
B,401,-1,1894,6,16,1895,10,1,1,2,2000,103
B,402,-1,1894,7,0,1894,11,22,0,2,2000,67
B,403,-1,1895,2,1,1895,12,28,0,2,2000,111
B,404,-1,1895,2,24,1898,4,21,1,4,20000,87
B,405,-1,1895,5,29,1895,10,21,1,2,7760,112
B,406,-1,1895,7,3,1896,4,21,1,2,800,113
B,407,-1,1895,12,7,1896,10,21,0,1,7000,22
B,409,-1,1896,6,7,1899,11,24,0,2,18000,101
B,410,-1,1896,8,30,1898,5,1,1,4,4000,114
B,411,-1,1897,1,6,1897,2,25,0,2,1000,115
B,412,-1,1897,7,26,1898,3,7,1,2,0,116
B,413,-1,1898,2,0,1898,5,0,1,2,1600,117
B,414,-1,1899,2,4,1902,7,4,1,2,16000,114
B,415,-1,1899,7,17,1900,4,22,0,2,900,118
B,416,-1,1899,10,11,1902,5,31,1,2,8800,119
B,417,-1,1900,4,2,1900,9,30,1,2,1000,90
B,419,-1,1901,3,22,1904,4,21,1,2,4000,120
B,420,-1,1902,0,0,1903,0,0,1,2,0,121
B,421,-1,1902,0,0,1904,0,0,1,6,2000,122
B,422,-1,1903,1,29,1903,7,27,0,2,1100,123
B,423,-1,1904,1,12,1906,5,4,1,2,11000,124
B,424,-1,1904,0,0,1907,12,0,1,2,11200,91
B,425,-1,1904,3,31,1904,9,7,0,2,2500,125
B,426,-1,1905,7,31,1906,6,0,1,2,5400,126
B,427,-1,1906,1,0,1906,3,10,1,2,2000,127
B,429,-1,1906,3,5,1906,6,10,1,2,2300,97
B,430,-1,1907,0,0,1910,0,0,0,2,5000,128
B,431,-1,1907,7,30,1910,0,0,0,2,3000,129
B,432,-1,1907,8,1,1910,8,16,1,2,17600,130
B,433,-1,1909,5,0,1911,0,0,0,2,8000,131
B,434,-1,1912,3,31,1912,9,6,1,2,3400,132
B,435,-1,1912,3,0,1913,1,0,1,1,0,125
B,436,-1,1913,3,26,1915,5,16,0,7,1000,132
B,436,-1,1913,6,0,1914,12,0,1,7,0,132
B,437,-1,1913,6,11,1913,10,22,0,2,1500,133
B,440,-1,1918,1,7,1918,8,0,0,6,500,125
B,441,-1,1918,10,17,1920,5,19,1,2,2004,134
B,442,-1,1919,5,3,1919,8,8,1,3,1000,33
B,443,-1,1919,5,26,1920,3,0,1,2,1600,135
B,444,-1,1920,3,0,1920,8,7,0,2,0,136
B,445,-1,1920,6,5,1920,10,17,1,2,8500,40
B,446,-1,1920,10,10,1921,8,22,1,2,1000,137
B,447,-1,1923,3,23,1931,9,12,1,2,35000,138
B,449,-1,1921,6,1,1926,5,27,0,2,10000,139
B,450,-1,1921,8,20,1922,2,0,1,2,2400,140
B,451,-1,1925,7,18,1927,5,27,1,2,2000,141
B,452,-1,1930,2,9,1931,0,0,1,2,1000,142
B,453,-1,1930,12,22,1932,6,0,1,2,1000,143
B,454,-1,1936,4,20,1936,10,0,1,2,2450,144
B,455,-1,1936,11,25,1938,1,8,1,2,10000,145
B,456,-1,1945,11,10,1946,10,15,1,3,3600,27
B,457,-1,1946,11,20,1954,6,1,1,1,175000,146
B,459,-1,1947,3,29,1948,12,1,1,2,11200,147
B,460,-1,1948,6,18,1957,8,31,1,2,6700,148
B,461,-1,1948,9,13,1948,9,17,0,2,1200,149
B,462,-1,1950,5,0,1950,10,28,0,2,3200,125
B,463,-1,1952,1,18,1954,7,31,1,1,1000,100
B,464,-1,1952,10,20,1956,10,0,1,2,16500,150
B,465,-1,1953,8,20,1956,3,12,1,1,1000,29
B,466,-1,1954,11,1,1962,3,17,1,1,14000,42
B,467,-1,1957,1,1,1958,1,5,1,2,900,151
B,469,-1,1961,2,3,1974,10,14,1,4,25000,152
B,471,-1,1964,9,25,1975,6,25,1,1,10000,153
B,472,-1,1975,10,16,1976,7,17,0,4,20000,154
B,473,-1,1975,10,17,1988,12,13,0,1,19000,155
B,474,-1,1975,12,11,1983,12,23,1,7,4000,156
B,474,615,1976,1,27,1976,3,6,1,7,500,42
B,475,-1,1979,1,9,1989,9,25,0,4,0,157
B,476,-1,1980,2,22,1989,2,15,1,4,50000,158
B,477,-1,1991,8,4,1992,3,25,0,6,2000,159
B,479,-1,1997,5,14,1997,6,14,0,6,2500,159
B,480,-1,2000,9,28,2003,9,9,1,2,3400,144
B,481,-1,2001,12,23,0,0,0,0,5,12000,160
B,482,-1,2003,5,3,0,0,0,0,5,20000,161
B,334,-1,1849,4,2,1849,6,14,0,6,2000,67
B,379,-1,1879,9,3,1880,9,2,0,2,11000,33
B,454,-1,1937,8,0,1939,1,0,1,2,2450,144
B,1,230,1823,4,7,1823,11,13,0,2,600,162
A,1,220,1823,4,7,1823,11,13,1,1,400,162
B,4,640,1828,4,26,1829,9,14,0,2,80000,162
A,4,365,1828,4,26,1829,9,14,1,1,50000,162
B,7,70,1846,4,25,1847,9,14,0,2,6000,162
A,7,2,1846,4,25,1847,9,14,1,1,13283,162
B,10,337,1848,3,29,1848,8,9,0,2,100,162
B,10,325,1848,3,24,1848,8,9,1,2,3400,162
A,10,300,1848,3,24,1848,8,9,0,1,3927,162
B,10,332,1848,4,9,1848,8,9,0,2,100,162
A,13,255,1848,4,10,1848,8,26,1,1,2500,162
B,13,390,1848,4,10,1848,8,26,0,2,3500,162
A,16,220,1849,4,30,1849,7,2,1,1,1000,162
A,16,329,1849,5,8,1849,7,2,0,1,100,162
A,16,300,1849,5,8,1849,7,2,0,1,100,162
B,16,327,1849,4,30,1849,7,2,0,2,1400,162
B,19,160,1851,7,19,1852,2,3,0,2,800,162
A,19,140,1851,7,19,1852,2,3,1,1,500,162
A,22,640,1853,10,23,1856,3,1,1,1,45000,162
A,22,325,1855,1,10,1856,3,1,0,1,2200,162
A,22,220,1854,3,31,1856,3,1,0,1,95000,162
A,22,200,1854,3,31,1856,3,1,0,1,22000,162
B,22,365,1853,10,23,1856,3,1,0,2,100000,162
A,25,200,1856,10,25,1857,4,5,1,1,500,162
B,25,630,1856,10,25,1857,4,5,0,2,1500,162
A,28,325,1859,4,29,1859,7,12,0,1,2500,162
B,28,300,1859,4,29,1859,7,12,1,2,12500,162
A,28,220,1859,5,3,1859,7,12,0,1,7500,162
B,31,600,1859,10,22,1860,3,25,0,2,6000,162
A,31,230,1859,10,22,1860,3,25,1,1,4000,162
A,34,325,1860,9,11,1860,9,29,1,1,300,162
B,34,327,1860,9,11,1860,9,29,0,2,700,162
B,37,329,1860,10,15,1861,2,13,0,2,400,162
A,37,325,1860,10,15,1861,2,13,1,1,600,162
A,40,70,1862,4,16,1867,2,5,0,4,12000,162
B,40,220,1862,4,16,1867,2,5,1,4,8000,162
A,43,100,1863,11,22,1863,12,6,1,1,300,162
B,43,130,1863,11,22,1863,12,6,0,2,700,162
A,46,255,1864,2,1,1864,4,25,1,1,1048,162
B,46,390,1864,2,1,1864,4,25,0,2,2933,162
A,46,300,1864,2,1,1864,4,25,0,1,500,162
A,49,160,1865,3,5,1870,3,1,0,1,10000,162
B,49,150,1864,11,12,1870,3,1,1,2,200000,162
A,49,140,1864,11,12,1870,3,1,0,1,100000,162
A,52,155,1865,9,25,1866,5,9,0,1,100,162
A,52,135,1866,1,14,1866,5,9,0,1,600,162
B,52,230,1865,9,25,1866,5,9,1,2,300,162
A,55,325,1866,6,20,1866,7,26,0,1,4000,162
B,55,275,1866,6,15,1866,7,26,0,2,100,162
B,55,271,1866,6,15,1866,7,26,0,2,100,162
B,55,245,1866,6,15,1866,7,26,0,2,500,162
B,55,300,1866,6,15,1866,7,26,0,2,28000,162
A,55,255,1866,6,15,1866,7,26,1,1,10000,162
A,55,280,1866,6,15,1866,7,26,0,1,100,162
B,55,273,1866,6,15,1866,7,26,0,2,100,162
B,55,269,1866,6,15,1866,7,26,0,2,600,162
B,55,267,1866,6,15,1866,7,26,0,2,100,162
B,55,240,1866,6,15,1866,6,29,0,2,500,162
A,58,271,1870,7,19,1870,11,25,0,1,976,162
A,58,267,1870,7,19,1870,11,22,0,1,956,162
A,58,255,1870,7,19,1871,2,26,0,1,44781,162
A,58,245,1870,7,19,1870,11,15,0,1,5600,162
B,58,220,1870,7,19,1871,2,26,1,2,152000,162
A,60,90,1876,3,27,1876,4,25,1,1,2000,162
B,60,92,1876,3,27,1876,4,25,0,2,2000,162
B,61,640,1877,4,24,1878,1,31,0,2,165000,162
A,61,365,1877,4,24,1878,1,31,1,1,120000,162
A,64,155,1879,2,14,1883,12,11,1,1,3276,162
B,64,135,1879,4,5,1883,10,23,0,2,9672,162
B,64,145,1879,2,14,1883,12,11,0,2,920,162
B,65,651,1882,7,11,1882,9,15,0,2,10000,162
A,65,200,1882,7,11,1882,9,15,1,1,79,162
A,67,220,1884,6,15,1885,6,9,1,1,2100,162
B,67,710,1884,6,15,1885,6,9,0,2,10000,162
A,70,92,1885,3,28,1885,4,15,0,1,200,162
B,70,90,1885,3,28,1885,4,15,1,2,800,162
B,73,710,1894,7,25,1895,3,30,0,2,10000,162
A,73,740,1894,7,25,1895,3,30,1,1,5000,162
B,76,350,1897,2,15,1897,5,19,1,2,600,162
A,76,640,1897,2,15,1897,5,19,0,1,1400,162
B,79,230,1898,4,22,1898,8,12,0,2,775,162
A,79,2,1898,4,22,1898,8,12,1,1,2910,162
A,82,365,1900,6,17,1900,8,14,1,1,302,162
A,82,740,1900,6,17,1900,8,14,1,1,622,162
A,82,2,1900,6,17,1900,8,14,1,1,21,162
B,82,710,1900,6,17,1900,8,14,0,2,2000,162
A,82,200,1900,6,17,1900,8,14,1,1,34,162
A,82,220,1900,6,17,1900,8,14,1,1,24,162
A,83,365,1900,7,17,1900,10,10,1,1,242,162
B,83,710,1900,7,17,1900,10,10,0,2,3758,162
A,85,740,1904,2,8,1905,9,15,1,1,80378,162
B,85,365,1904,2,8,1905,9,15,0,2,71453,162
B,88,91,1906,5,27,1906,7,20,0,2,300,162
B,88,92,1906,5,27,1906,7,20,0,2,300,162
A,88,90,1906,5,27,1906,7,20,1,1,400,162
A,91,93,1907,2,19,1907,4,23,1,1,400,162
B,91,92,1907,2,19,1907,4,23,0,2,300,162
B,91,91,1907,2,19,1907,4,23,0,2,300,162
A,94,230,1909,7,7,1910,3,23,1,1,2000,162
B,94,600,1909,7,7,1910,3,23,0,2,8000,162
A,97,325,1911,9,29,1912,10,18,1,1,6000,162
B,97,640,1911,9,29,1912,10,18,0,2,14000,162
B,100,640,1912,10,17,1913,4,19,0,2,30000,162
A,100,350,1912,10,17,1913,4,19,0,1,5000,162
A,100,355,1912,10,17,1912,12,3,0,1,32000,162
A,100,345,1912,10,17,1912,12,3,1,1,15000,162
A,103,640,1913,7,15,1913,7,30,0,1,20000,162
A,103,345,1913,6,30,1913,7,30,0,1,18500,162
A,103,350,1913,6,30,1913,7,30,0,1,2500,162
B,103,355,1913,6,30,1913,7,30,1,2,18000,162
A,103,360,1913,7,11,1913,7,30,0,1,1500,162
