Drug,Timepoint,Mean of Metastatic Sites,Mouse ID,Tumor Volume (mm3),SEM of Metastatic Sites
Infubinol,15,2.0,12,50,50
Infubinol,20,2.0,12,52,52
Infubinol,0,0.0,235,45,45
Infubinol,5,0.0,235,48,48
Infubinol,10,1.0,235,49,49
Infubinol,15,1.0,235,51,51
Infubinol,0,0.0,99,45,45
Infubinol,5,0.0,99,46,46
Infubinol,10,1.0,99,50,50
Infubinol,15,1.0,99,53,53
Infubinol,20,1.0,99,54,54
Infubinol,0,0.0,103,45,45
Infubinol,5,0.0,103,48,48
Infubinol,10,0.0,103,49,49
Infubinol,15,0.0,103,50,50
Infubinol,20,0.0,103,54,54
Infubinol,0,0.0,143,45,45
Infubinol,5,0.0,143,46,46
Infubinol,10,0.0,143,48,48
Infubinol,15,1.0,143,49,49
Infubinol,20,1.0,143,50,50
Infubinol,0,0.0,247,45,45
Infubinol,5,1.0,247,49,49
Infubinol,10,2.0,247,50,50
Infubinol,15,2.0,247,51,51
Infubinol,20,2.0,247,51,51
Infubinol,0,0.0,2,45,45
Infubinol,5,0.0,2,46,46
Infubinol,10,1.0,2,48,48
Infubinol,15,1.0,2,50,50
Infubinol,20,1.0,2,54,54
Infubinol,0,0.0,80,45,45
Infubinol,5,1.0,80,46,46
Infubinol,10,2.0,80,49,49
Infubinol,15,2.0,80,51,51
Infubinol,20,2.0,80,55,55
Ketapril,0,0.0,36,45,45
Ketapril,5,0.0,36,46,46
Ketapril,10,1.0,36,47,47
Ketapril,15,1.0,36,51,51
Infubinol,0,0.0,155,45,45
Infubinol,5,1.0,155,46,46
Infubinol,10,2.0,155,47,47
Infubinol,15,3.0,155,49,49
Infubinol,20,4.0,155,51,51
Ketapril,0,0.0,193,45,45
Ketapril,5,0.0,193,45,45
Ketapril,10,0.0,193,49,49
Ketapril,15,0.0,193,50,50
Ketapril,0,0.0,201,45,45
Ketapril,5,0.0,201,46,46
Ketapril,10,0.0,201,47,47
Ketapril,15,0.0,201,52,52
Ketapril,0,0.0,56,45,45
Ketapril,5,0.0,56,48,48
Ketapril,0,0.0,68,45,45
Ketapril,5,0.0,68,48,48
Ketapril,10,0.0,68,49,49
Ketapril,15,1.0,68,53,53
Ketapril,0,0.0,47,45,45
Ketapril,5,0.0,47,45,45
Ketapril,10,0.0,47,46,46
Ketapril,15,0.0,47,47,47
Ketapril,0,0.0,147,45,45
Ketapril,5,0.0,147,46,46
Ketapril,10,0.0,147,48,48
Ketapril,15,0.0,147,49,49
Ketapril,0,0.0,41,45,45
Ketapril,5,1.0,41,48,48
Ketapril,10,1.0,41,49,49
Ketapril,15,1.0,41,52,52
Ketapril,0,0.0,138,45,45
Ketapril,5,1.0,138,47,47
Ketapril,10,1.0,138,50,50
Ketapril,15,1.0,138,54,54
Ketapril,0,0.0,124,45,45
Ketapril,5,1.0,124,48,48
Ketapril,10,1.0,124,50,50
Ketapril,15,1.0,124,53,53
Ketapril,0,0.0,197,45,45
Ketapril,5,0.0,197,46,46
Ketapril,10,0.0,197,48,48
Ketapril,15,0.0,197,52,52
Ketapril,0,0.0,122,45,45
Ketapril,5,1.0,122,49,49
Ketapril,10,2.0,122,50,50
Ketapril,15,3.0,122,51,51
Ketapril,0,0.0,76,45,45
Naftisol,0,0.0,167,45,45
Naftisol,5,0.0,167,46,46
Naftisol,10,0.0,167,49,49
Naftisol,15,0.0,167,52,52
Naftisol,0,0.0,196,45,45
Naftisol,0,0.0,226,45,45
Naftisol,5,0.0,226,47,47
Naftisol,10,1.0,226,47,47
Naftisol,15,1.0,226,50,50
Stelasyn,0,0.0,55,45,45
Stelasyn,5,0.0,55,47,47
Stelasyn,10,0.0,55,47,47
Stelasyn,15,1.0,55,48,48
Ramicane,0,0.0,34,45,45
Ramicane,5,0.0,34,45,45
Ramicane,10,1.0,34,44,44
Ramicane,15,2.0,34,45,45
Ramicane,0,0.0,160,45,45
Ramicane,5,0.0,160,45,45
Ramicane,10,0.0,160,44,44
Ramicane,15,0.0,160,45,45
Ramicane,0,0.0,93,45,45
Ramicane,5,0.0,93,44,44
Ramicane,10,0.0,93,44,44
Ramicane,15,0.0,93,45,45
Ramicane,0,0.0,7,45,45
Ramicane,5,0.0,7,45,45
Ramicane,10,1.0,7,40,40
Ramicane,15,1.0,7,41,41
Ramicane,0,0.0,8,45,45
Ramicane,5,0.0,8,44,44
Ramicane,10,0.0,8,44,44
Ramicane,15,0.0,8,43,43
Ramicane,0,0.0,46,45,45
Ramicane,5,1.0,46,41,41
Ramicane,10,1.0,46,42,42
Ramicane,15,1.0,46,39,39
Ramicane,0,0.0,95,45,45
Ramicane,5,1.0,95,45,45
Ramicane,10,1.0,95,46,46
Ramicane,15,1.0,95,41,41
Ramicane,0,0.0,237,45,45
Ramicane,5,0.0,237,45,45
Ramicane,10,0.0,237,46,46
Ramicane,15,0.0,237,44,44
Ramicane,0,0.0,98,45,45
Ramicane,5,0.0,98,38,38
Ramicane,10,1.0,98,35,35
Ramicane,15,1.0,98,34,34
Ramicane,0,0.0,38,45,45
Ramicane,5,0.0,38,45,45
Ramicane,10,0.0,38,46,46
Ramicane,15,1.0,38,46,46
Stelasyn,0,0.0,229,45,45
Stelasyn,5,1.0,229,46,46
Stelasyn,10,1.0,229,46,46
Stelasyn,15,1.0,229,49,49
Ramicane,0,0.0,168,45,45
Ramicane,5,0.0,168,45,45
Ramicane,10,0.0,168,39,39
Ramicane,15,0.0,168,40,40
Ramicane,0,0.0,13,45,45
Ramicane,5,0.0,13,45,45
Ramicane,10,0.0,13,46,46
Ramicane,15,0.0,13,46,46
Ramicane,0,0.0,78,45,45
Ramicane,5,0.0,78,44,44
Ramicane,10,0.0,78,41,41
Ramicane,15,0.0,78,40,40
Ramicane,0,0.0,71,45,45
Ramicane,5,0.0,71,45,45
Ramicane,10,0.0,71,40,40
Ramicane,15,0.0,71,40,40
Ramicane,0,0.0,11,45,45
Ramicane,5,0.0,11,38,38
Ramicane,10,0.0,11,36,36
Ramicane,15,0.0,11,35,35
Ramicane,0,0.0,192,45,45
Ramicane,5,1.0,192,45,45
Ramicane,10,1.0,192,46,46
Ramicane,15,1.0,192,47,47
Ramicane,0,0.0,121,45,45
Ramicane,5,0.0,121,42,42
Ramicane,10,0.0,121,43,43
Ramicane,15,0.0,121,39,39
Ramicane,0,0.0,219,45,45
Ramicane,5,0.0,219,43,43
Ramicane,0,0.0,128,45,45
Ramicane,5,0.0,128,45,45
Ramicane,10,0.0,128,40,40
Ramicane,15,0.0,128,36,36
Ramicane,0,0.0,179,45,45
Ramicane,5,0.0,179,38,38
Ramicane,10,0.0,179,34,34
Ramicane,15,0.0,179,35,35
Ramicane,0,0.0,53,45,45
Ramicane,5,0.0,53,45,45
Ramicane,10,0.0,53,46,46
Ramicane,15,0.0,53,43,43
Ramicane,0,0.0,246,45,45
Ramicane,5,0.0,246,42,42
Ramicane,10,0.0,246,42,42
Ramicane,15,0.0,246,38,38
Ramicane,0,0.0,170,45,45
Ramicane,5,0.0,170,45,45
Ramicane,10,0.0,170,42,42
Ramicane,15,0.0,170,43,43
Stelasyn,0,0.0,10,45,45
Stelasyn,5,0.0,10,46,46
Stelasyn,10,0.0,10,48,48
Stelasyn,15,0.0,10,51,51
Stelasyn,0,0.0,216,45,45
Stelasyn,5,1.0,216,45,45
Stelasyn,10,1.0,216,47,47
Stelasyn,15,2.0,216,48,48
Stelasyn,0,0.0,203,45,45
Stelasyn,5,0.0,203,47,47
Stelasyn,10,1.0,203,48,48
Stelasyn,15,2.0,203,49,49
Naftisol,0,0.0,248,45,45
Naftisol,5,0.0,248,46,46
Naftisol,10,0.0,248,48,48
Naftisol,15,1.0,248,49,49
Naftisol,0,0.0,50,45,45
Naftisol,5,0.0,50,46,46
Naftisol,10,1.0,50,48,48
Naftisol,15,1.0,50,49,49
Naftisol,0,0.0,52,45,45
Naftisol,5,0.0,52,45,45
Naftisol,10,0.0,52,47,47
Naftisol,15,1.0,52,48,48
Naftisol,0,0.0,48,45,45
Naftisol,5,1.0,48,45,45
Naftisol,10,2.0,48,47,47
Naftisol,15,2.0,48,51,51
Naftisol,0,0.0,92,45,45
Naftisol,5,0.0,92,47,47
Naftisol,10,0.0,92,48,48
Naftisol,15,0.0,92,51,51
Stelasyn,0,0.0,180,45,45
Stelasyn,5,0.0,180,48,48
Stelasyn,10,0.0,180,52,52
Stelasyn,15,1.0,180,54,54
Stelasyn,0,0.0,5,45,45
Stelasyn,5,0.0,5,48,48
Stelasyn,10,0.0,5,53,53
Stelasyn,15,0.0,5,55,55
Stelasyn,0,0.0,151,45,45
Stelasyn,5,0.0,151,48,48
Stelasyn,10,0.0,151,53,53
Stelasyn,15,0.0,151,55,55
Stelasyn,0,0.0,27,45,45
Stelasyn,5,1.0,27,49,49
Stelasyn,10,1.0,27,50,50
Stelasyn,15,1.0,27,51,51
Stelasyn,0,0.0,86,45,45
Stelasyn,5,0.0,86,46,46
Stelasyn,10,0.0,86,50,50
Stelasyn,15,0.0,86,51,51
Stelasyn,0,0.0,104,45,45
Stelasyn,5,0.0,104,49,49
Stelasyn,10,1.0,104,50,50
Stelasyn,15,1.0,104,54,54
Stelasyn,0,0.0,72,45,45
Stelasyn,5,0.0,72,46,46
Stelasyn,10,0.0,72,48,48
Stelasyn,15,1.0,72,51,51
Stelasyn,0,0.0,181,45,45
Stelasyn,5,0.0,181,46,46
Stelasyn,0,0.0,220,45,45
Stelasyn,5,1.0,220,48,48
Stelasyn,10,2.0,220,48,48
Stelasyn,15,2.0,220,52,52
Stelasyn,0,0.0,94,45,45
Stelasyn,5,1.0,94,48,48
Stelasyn,10,1.0,94,50,50
Stelasyn,15,1.0,94,51,51
Stelasyn,0,0.0,33,45,45
Stelasyn,5,1.0,33,49,49
Stelasyn,10,1.0,33,50,50
Stelasyn,15,1.0,33,52,52
Stelasyn,0,0.0,75,45,45
Stelasyn,5,0.0,75,45,45
Stelasyn,10,1.0,75,46,46
Stelasyn,15,2.0,75,50,50
Stelasyn,0,0.0,100,45,45
Stelasyn,5,0.0,100,46,46
Stelasyn,10,1.0,100,47,47
Stelasyn,15,1.0,100,49,49
Stelasyn,0,0.0,153,45,45
Stelasyn,5,0.0,153,47,47
Stelasyn,10,0.0,153,47,47
Stelasyn,15,0.0,153,49,49
Stelasyn,0,0.0,184,45,45
Stelasyn,5,0.0,184,48,48
Stelasyn,10,0.0,184,48,48
Stelasyn,15,0.0,184,49,49
Stelasyn,0,0.0,19,45,45
Stelasyn,5,0.0,19,46,46
Stelasyn,10,0.0,19,47,47
Stelasyn,15,0.0,19,47,47
Stelasyn,0,0.0,119,45,45
Stelasyn,5,0.0,119,49,49
Stelasyn,10,0.0,119,50,50
Stelasyn,15,0.0,119,55,55
Stelasyn,0,0.0,73,45,45
Propriva,0,0.0,73,45,45
Stelasyn,0,0.0,73,45,45
Propriva,0,0.0,73,45,45
Stelasyn,5,0.0,73,48,48
Propriva,5,0.0,73,48,48
Stelasyn,5,0.0,73,47,47
Propriva,5,0.0,73,47,47
Stelasyn,10,0.0,73,51,51
Propriva,10,0.0,73,51,51
Stelasyn,10,0.0,73,49,49
Propriva,10,0.0,73,49,49
Stelasyn,15,1.0,73,51,51
Propriva,15,1.0,73,51,51
Stelasyn,15,0.0,73,53,53
Propriva,15,0.0,73,53,53
Stelasyn,0,0.0,244,45,45
Stelasyn,5,0.0,244,45,45
Stelasyn,0,0.0,145,45,45
Infubinol,0,0.0,202,45,45
Infubinol,5,0.0,202,47,47
Infubinol,10,1.0,202,51,51
Infubinol,15,1.0,202,52,52
Ramicane,0,0.0,159,45,45
Ramicane,5,0.0,159,45,45
Ramicane,10,0.0,159,42,42
Ramicane,15,0.0,159,41,41
Infubinol,0,0.0,42,45,45
Infubinol,5,0.0,42,45,45
Infubinol,10,0.0,42,49,49
Infubinol,15,1.0,42,52,52
Infubinol,0,0.0,1,45,45
Infubinol,5,0.0,1,48,48
Infubinol,10,1.0,1,51,51
Infubinol,15,1.0,1,52,52
Zoniferol,0,0.0,58,45,45
Zoniferol,5,0.0,58,47,47
Zoniferol,0,0.0,29,45,45
Zoniferol,5,0.0,29,45,45
Zoniferol,10,0.0,29,49,49
Zoniferol,15,1.0,29,53,53
Zoniferol,0,0.0,135,45,45
Zoniferol,5,1.0,135,46,46
Zoniferol,10,1.0,135,47,47
Zoniferol,15,1.0,135,49,49
Zoniferol,0,0.0,60,45,45
Zoniferol,5,0.0,60,46,46
Zoniferol,10,0.0,60,51,51
Zoniferol,15,1.0,60,53,53
Zoniferol,0,0.0,105,45,45
Zoniferol,5,0.0,105,47,47
Zoniferol,10,1.0,105,49,49
Zoniferol,15,1.0,105,49,49
Zoniferol,0,0.0,102,45,45
Zoniferol,5,0.0,102,45,45
Zoniferol,10,0.0,102,49,49
Zoniferol,15,0.0,102,51,51
Zoniferol,0,0.0,66,45,45
Zoniferol,5,0.0,66,46,46
Zoniferol,10,0.0,66,48,48
Zoniferol,15,1.0,66,49,49
Zoniferol,0,0.0,45,45,45
Zoniferol,5,0.0,45,46,46
Zoniferol,10,1.0,45,47,47
Zoniferol,0,0.0,217,45,45
Zoniferol,5,1.0,217,48,48
Zoniferol,10,1.0,217,50,50
Zoniferol,15,1.0,217,50,50
Zoniferol,0,0.0,231,45,45
Zoniferol,5,0.0,231,46,46
Zoniferol,10,0.0,231,46,46
Zoniferol,15,0.0,231,48,48
Zoniferol,0,0.0,161,45,45
Zoniferol,5,0.0,161,47,47
Zoniferol,10,0.0,161,49,49
Zoniferol,15,1.0,161,50,50
Zoniferol,0,0.0,21,45,45
Zoniferol,5,0.0,21,47,47
Zoniferol,10,1.0,21,48,48
Zoniferol,15,1.0,21,49,49
Zoniferol,0,0.0,54,45,45
Zoniferol,5,0.0,54,47,47
Zoniferol,10,1.0,54,48,48
Zoniferol,15,1.0,54,49,49
Zoniferol,0,0.0,91,45,45
Zoniferol,5,0.0,91,46,46
Zoniferol,10,0.0,91,48,48
Zoniferol,15,0.0,91,49,49
Zoniferol,0,0.0,148,45,45
Zoniferol,5,0.0,148,49,49
Zoniferol,10,0.0,148,50,50
Zoniferol,15,1.0,148,51,51
Zoniferol,0,0.0,35,45,45
Zoniferol,5,0.0,35,46,46
Zoniferol,10,0.0,35,47,47
Zoniferol,15,1.0,35,51,51
Zoniferol,0,0.0,16,45,45
Zoniferol,5,0.0,16,47,47
Zoniferol,10,1.0,16,50,50
Zoniferol,15,1.0,16,52,52
Zoniferol,0,0.0,178,45,45
Zoniferol,5,0.0,178,46,46
Zoniferol,10,0.0,178,47,47
Zoniferol,15,0.0,178,48,48
Zoniferol,0,0.0,157,45,45
Zoniferol,5,0.0,157,45,45
Zoniferol,10,0.0,157,50,50
Zoniferol,15,0.0,157,52,52
Zoniferol,0,0.0,120,45,45
Zoniferol,5,1.0,120,45,45
Zoniferol,10,1.0,120,47,47
Zoniferol,15,1.0,120,52,52
Zoniferol,0,0.0,146,45,45
Zoniferol,5,0.0,146,46,46
Zoniferol,10,1.0,146,47,47
Zoniferol,15,1.0,146,48,48
Zoniferol,20,2.0,146,51,51
Zoniferol,0,0.0,44,45,45
Propriva,0,0.0,130,45,45
Propriva,5,0.0,130,46,46
Zoniferol,0,0.0,6,45,45
Zoniferol,5,0.0,6,46,46
Zoniferol,10,1.0,6,47,47
Zoniferol,15,1.0,6,49,49
Propriva,0,0.0,214,45,45
Propriva,5,0.0,214,48,48
Propriva,10,0.0,214,48,48
Propriva,15,1.0,214,50,50
Propriva,20,1.0,214,52,52
Zoniferol,0,0.0,31,45,45
Zoniferol,5,1.0,31,47,47
Zoniferol,10,1.0,31,48,48
Zoniferol,15,2.0,31,52,52
Placebo,0,0.0,18,45,45
Placebo,5,1.0,18,45,45
Placebo,10,1.0,18,47,47
Placebo,15,2.0,18,52,52
Placebo,0,0.0,88,45,45
Placebo,5,0.0,88,46,46
Placebo,10,1.0,88,48,48
Placebo,15,1.0,88,51,51
Placebo,0,0.0,162,45,45
Placebo,5,0.0,162,47,47
Placebo,10,1.0,162,48,48
Placebo,15,2.0,162,49,49
Placebo,0,0.0,3,45,45
Placebo,5,1.0,3,48,48
Placebo,10,1.0,3,49,49
Placebo,15,2.0,3,53,53
Placebo,20,2.0,3,57,57
Placebo,0,0.0,169,45,45
Placebo,5,0.0,169,46,46
Placebo,10,1.0,169,48,48
Placebo,15,1.0,169,50,50
Placebo,0,0.0,84,45,45
Placebo,5,1.0,84,46,46
Placebo,10,1.0,84,48,48
Placebo,15,1.0,84,48,48
Placebo,20,1.0,84,50,50
Placebo,0,0.0,133,45,45
Placebo,5,0.0,133,46,46
Placebo,10,1.0,133,46,46
Placebo,15,1.0,133,47,47
Placebo,0,0.0,174,45,45
Placebo,5,1.0,174,47,47
Placebo,10,2.0,174,52,52
Placebo,15,2.0,174,57,57
Placebo,20,2.0,174,62,62
Placebo,0,0.0,39,45,45
Placebo,5,0.0,39,47,47
Placebo,10,1.0,39,49,49
Placebo,15,2.0,39,50,50
Placebo,20,3.0,39,53,53
Placebo,0,0.0,49,45,45
Placebo,5,0.0,49,47,47
Placebo,10,1.0,49,51,51
Placebo,15,1.0,49,52,52
Placebo,0,0.0,30,45,45
Placebo,5,0.0,30,45,45
Placebo,10,0.0,30,48,48
Placebo,15,0.0,30,49,49
Placebo,0,0.0,207,45,45
Placebo,5,0.0,207,48,48
Placebo,10,1.0,207,52,52
Zoniferol,0,0.0,209,45,45
Zoniferol,5,0.0,209,47,47
Placebo,0,0.0,200,45,45
Placebo,5,0.0,200,46,46
Placebo,10,1.0,200,50,50
Placebo,0,0.0,116,45,45
Placebo,0,0.0,142,45,45
Placebo,5,1.0,142,46,46
Placebo,10,1.0,142,51,51
Placebo,15,2.0,142,55,55
Placebo,0,0.0,238,45,45
Placebo,5,1.0,238,48,48
Placebo,10,1.0,238,52,52
Placebo,15,1.0,238,53,53
Placebo,0,0.0,158,45,45
Placebo,5,1.0,158,45,45
Placebo,10,1.0,158,47,47
Placebo,15,2.0,158,48,48
Placebo,0,0.0,175,45,45
Placebo,5,0.0,175,47,47
Placebo,10,0.0,175,49,49
Placebo,0,0.0,232,45,45
Placebo,5,1.0,232,45,45
Placebo,10,2.0,232,47,47
Placebo,15,3.0,232,47,47
Placebo,0,0.0,212,45,45
Placebo,5,0.0,212,48,48
Placebo,10,0.0,212,51,51
Placebo,15,0.0,212,53,53
Placebo,0,0.0,187,45,45
Placebo,5,1.0,187,45,45
Placebo,10,1.0,187,46,46
Placebo,15,1.0,187,48,48
Placebo,0,0.0,137,45,45
Placebo,5,0.0,137,48,48
Placebo,10,0.0,137,49,49
Placebo,15,0.0,137,51,51
Placebo,0,0.0,81,45,45
Placebo,5,0.0,81,46,46
Placebo,10,0.0,81,47,47
Placebo,0,0.0,37,45,45
Placebo,5,0.0,37,47,47
Placebo,10,0.0,37,49,49
Placebo,15,0.0,37,51,51
Placebo,0,0.0,189,45,45
Placebo,5,0.0,189,47,47
Placebo,10,1.0,189,52,52
Placebo,15,1.0,189,53,53
Propriva,0,0.0,150,45,45
Propriva,5,1.0,150,46,46
Propriva,10,1.0,150,48,48
Propriva,15,1.0,150,49,49
Propriva,20,1.0,150,54,54
Propriva,0,0.0,15,45,45
Propriva,5,0.0,15,46,46
Propriva,10,0.0,15,47,47
Propriva,15,0.0,15,49,49
Propriva,20,0.0,15,50,50
Propriva,0,0.0,101,45,45
Propriva,5,0.0,101,46,46
Propriva,10,0.0,101,46,46
Propriva,15,0.0,101,48,48
Propriva,20,0.0,101,50,50
Ceftamin,0,0.0,233,45,45
Ceftamin,5,1.0,233,45,45
Ceftamin,10,1.0,233,48,48
Ceftamin,15,1.0,233,49,49
Ceftamin,0,0.0,111,45,45
Ceftamin,5,0.0,111,45,45
Ceftamin,10,0.0,111,46,46
Ceftamin,0,0.0,115,45,45
Ceftamin,5,0.0,115,46,46
Ceftamin,10,0.0,115,48,48
Ceftamin,15,0.0,115,49,49
Ceftamin,0,0.0,59,45,45
Ceftamin,5,1.0,59,46,46
Ceftamin,10,2.0,59,48,48
Ceftamin,15,2.0,59,48,48
Ceftamin,0,0.0,109,45,45
Ceftamin,5,1.0,109,45,45
Ceftamin,10,1.0,109,47,47
Ceftamin,15,1.0,109,50,50
Ceftamin,0,0.0,26,45,45
Ceftamin,5,0.0,26,48,48
Ceftamin,10,0.0,26,49,49
Ceftamin,15,0.0,26,51,51
Ceftamin,0,0.0,108,45,45
Ceftamin,5,0.0,108,46,46
Ceftamin,10,0.0,108,48,48
Ceftamin,15,0.0,108,49,49
Ceftamin,0,0.0,242,45,45
Ceftamin,5,1.0,242,46,46
Ceftamin,10,1.0,242,49,49
Ceftamin,15,1.0,242,50,50
Ceftamin,0,0.0,240,45,45
Ceftamin,5,1.0,240,46,46
Ceftamin,10,1.0,240,48,48
Ceftamin,15,2.0,240,52,52
Ceftamin,0,0.0,112,45,45
Ceftamin,5,0.0,112,46,46
Ceftamin,10,0.0,112,49,49
Ceftamin,15,1.0,112,50,50
Ceftamin,0,0.0,90,45,45
Ceftamin,5,1.0,90,46,46
Ceftamin,10,2.0,90,48,48
Ceftamin,15,2.0,90,50,50
Ceftamin,0,0.0,190,45,45
Ceftamin,5,0.0,190,45,45
Ceftamin,10,0.0,190,47,47
Ceftamin,15,0.0,190,48,48
Ceftamin,0,0.0,191,45,45
Ceftamin,0,0.0,211,45,45
Ceftamin,5,1.0,211,45,45
Ceftamin,10,1.0,211,46,46
Ceftamin,15,1.0,211,47,47
Ceftamin,0,0.0,77,45,45
Ceftamin,5,0.0,77,47,47
Infubinol,0,0.0,14,45,45
Infubinol,5,0.0,14,46,46
Infubinol,10,0.0,14,47,47
Infubinol,15,0.0,14,48,48
Infubinol,0,0.0,144,45,45
Infubinol,5,0.0,144,45,45
Infubinol,0,0.0,125,45,45
Infubinol,5,1.0,125,47,47
Infubinol,0,0.0,131,45,45
Infubinol,5,0.0,131,47,47
Infubinol,10,0.0,131,51,51
Infubinol,15,0.0,131,54,54
Infubinol,0,0.0,172,45,45
Infubinol,5,1.0,172,45,45
Infubinol,10,1.0,172,49,49
Infubinol,15,2.0,172,50,50
Infubinol,0,0.0,204,45,45
Infubinol,5,1.0,204,48,48
Infubinol,10,1.0,204,50,50
Infubinol,15,1.0,204,51,51
Infubinol,0,0.0,213,45,45
Infubinol,5,0.0,213,45,45
Infubinol,10,0.0,213,48,48
Infubinol,15,0.0,213,49,49
Infubinol,0,0.0,51,45,45
Infubinol,5,0.0,51,47,47
Infubinol,10,0.0,51,49,49
Infubinol,15,0.0,51,54,54
Infubinol,0,0.0,218,45,45
Infubinol,5,0.0,218,46,46
Infubinol,10,0.0,218,47,47
Infubinol,15,0.0,218,51,51
Ceftamin,0,0.0,22,45,45
Ceftamin,0,0.0,96,45,45
Ceftamin,5,0.0,96,47,47
Ceftamin,10,0.0,96,49,49
Ceftamin,15,0.0,96,51,51
Ceftamin,0,0.0,4,45,45
Ceftamin,5,0.0,4,46,46
Ceftamin,10,0.0,4,47,47
Ceftamin,15,0.0,4,49,49
Ceftamin,0,0.0,230,45,45
Ceftamin,5,0.0,230,47,47
Ceftamin,10,1.0,230,49,49
Ceftamin,15,2.0,230,49,49
Propriva,0,0.0,129,45,45
Propriva,0,0.0,183,45,45
Propriva,5,0.0,183,47,47
Propriva,10,1.0,183,49,49
Propriva,15,2.0,183,49,49
Propriva,20,3.0,183,51,51
Propriva,0,0.0,106,45,45
Propriva,5,1.0,106,49,49
Propriva,10,1.0,106,53,53
Propriva,0,0.0,173,45,45
