Year,Category,Nominee,Movie,Winner
1997 (70th),Actress -- Supporting Role,Minnie Driver,Good Will Hunting {'Skylar'},NO
1997 (70th),Actress -- Supporting Role,Julianne Moore,Boogie Nights {'Amber Waves'},NO
1997 (70th),Actress -- Supporting Role,Gloria Stuart,Titanic {'Old Rose'},NO
1996 (69th),Actress -- Supporting Role,Joan Allen,The Crucible {'Elizabeth Proctor'},NO
1996 (69th),Actress -- Supporting Role,Lauren Bacall,The Mirror Has Two Faces {'Hannah Morgan'},NO
1996 (69th),Actress -- Supporting Role,Barbara Hershey,The Portrait of a Lady {'Madame Serena Merle'},NO
1996 (69th),Actress -- Supporting Role,Marianne Jean-Baptiste,Secrets & Lies {'Hortense'},NO
1995 (68th),Actress -- Supporting Role,Joan Allen,Nixon {'Pat Nixon'},NO
1995 (68th),Actress -- Supporting Role,Kathleen Quinlan,Apollo 13 {'Marilyn Lovell'},NO
1995 (68th),Actress -- Supporting Role,Mare Winningham,Georgia {'Georgia'},NO
1995 (68th),Actress -- Supporting Role,Kate Winslet,Sense and Sensibility {'Marianne Dashwood'},NO
1994 (67th),Actress -- Supporting Role,Rosemary Harris,Tom & Viv {'Rose Haigh-Wood'},NO
1994 (67th),Actress -- Supporting Role,Helen Mirren,The Madness of King George {'Queen Charlotte'},NO
1994 (67th),Actress -- Supporting Role,Uma Thurman,Pulp Fiction {'Mia'},NO
1994 (67th),Actress -- Supporting Role,Jennifer Tilly,Bullets over Broadway {'Olive Neal'},NO
1993 (66th),Actress -- Supporting Role,Holly Hunter,The Firm {'Tammy Hemphill'},NO
1993 (66th),Actress -- Supporting Role,Rosie Perez,Fearless {'Carla Rodrigo'},NO
1993 (66th),Actress -- Supporting Role,Winona Ryder,The Age of Innocence {'May Welland'},NO
1993 (66th),Actress -- Supporting Role,Emma Thompson,In the Name of the Father {'Gareth Peirce'},NO
1992 (65th),Actress -- Supporting Role,Judy Davis,Husbands and Wives {'Sally'},NO
1992 (65th),Actress -- Supporting Role,Joan Plowright,Enchanted April {'Mrs. Fisher'},NO
1992 (65th),Actress -- Supporting Role,Vanessa Redgrave,Howards End {'Ruth Wilcox'},NO
1992 (65th),Actress -- Supporting Role,Miranda Richardson,Damage {'Ingrid'},NO
1991 (64th),Actress -- Supporting Role,Diane Ladd,Rambling Rose {'Mother'},NO
1991 (64th),Actress -- Supporting Role,Juliette Lewis,Cape Fear {'Danielle Bowden'},NO
1991 (64th),Actress -- Supporting Role,Kate Nelligan,The Prince of Tides {'Lila Wingo Newbury'},NO
1991 (64th),Actress -- Supporting Role,Jessica Tandy,Fried Green Tomatoes {'Ninny Threadgoode'},NO
1990 (63rd),Actress -- Supporting Role,Annette Bening,The Grifters {'Myra Langtry'},NO
1990 (63rd),Actress -- Supporting Role,Lorraine Bracco,Good Fellas {'Karen Hill'},NO
1990 (63rd),Actress -- Supporting Role,Diane Ladd,Wild at Heart {'Marietta Fortune'},NO
1990 (63rd),Actress -- Supporting Role,Mary McDonnell,Dances With Wolves {'Stands With A Fist'},NO
1989 (62nd),Actress -- Supporting Role,Anjelica Huston,"Enemies, A Love Story {'Tamara'}",NO
1989 (62nd),Actress -- Supporting Role,Lena Olin,"Enemies, A Love Story {'Masha'}",NO
1989 (62nd),Actress -- Supporting Role,Julia Roberts,Steel Magnolias {'Shelby Eatenton'},NO
1989 (62nd),Actress -- Supporting Role,Dianne Wiest,Parenthood {'Helen'},NO
1988 (61st),Actress -- Supporting Role,Joan Cusack,Working Girl {'Cyn'},NO
1988 (61st),Actress -- Supporting Role,Frances McDormand,Mississippi Burning {'Mrs. Pell'},NO
1988 (61st),Actress -- Supporting Role,Michelle Pfeiffer,Dangerous Liaisons {'Madame de Tourvel'},NO
1988 (61st),Actress -- Supporting Role,Sigourney Weaver,Working Girl {'Katharine Parker'},NO
1987 (60th),Actress -- Supporting Role,Norma Aleandro,Gaby - A True Story {'Florencia'},NO
1987 (60th),Actress -- Supporting Role,Anne Archer,Fatal Attraction {'Beth Gallagher'},NO
1987 (60th),Actress -- Supporting Role,Anne Ramsey,Throw Momma from the Train {'Momma'},NO
1987 (60th),Actress -- Supporting Role,Ann Sothern,The Whales of August {'Tisha Doughty'},NO
1986 (59th),Actress -- Supporting Role,Tess Harper,Crimes of the Heart {'Chick Boyle'},NO
1986 (59th),Actress -- Supporting Role,Piper Laurie,Children of a Lesser God {'Mrs. Norman'},NO
1986 (59th),Actress -- Supporting Role,Mary Elizabeth Mastrantonio,The Color of Money {'Carmen'},NO
1986 (59th),Actress -- Supporting Role,Maggie Smith,A Room with a View {'Charlotte Bartlett'},NO
1985 (58th),Actress -- Supporting Role,Margaret Avery,The Color Purple {'Shug Avery'},NO
1985 (58th),Actress -- Supporting Role,Amy Madigan,Twice in a Lifetime {'Sunny Sobel'},NO
1985 (58th),Actress -- Supporting Role,Meg Tilly,Agnes of God {'Sister Agnes'},NO
1985 (58th),Actress -- Supporting Role,Oprah Winfrey,The Color Purple {'Sofia'},NO
1984 (57th),Actress -- Supporting Role,Glenn Close,The Natural {'Iris'},NO
1984 (57th),Actress -- Supporting Role,Lindsay Crouse,Places in the Heart {'Margaret Lomax'},NO
1984 (57th),Actress -- Supporting Role,Christine Lahti,Swing Shift {'Hazel Zanussi'},NO
1984 (57th),Actress -- Supporting Role,Geraldine Page,The Pope of Greenwich Village {'Mrs. Ritter'},NO
1983 (56th),Actress -- Supporting Role,Cher,Silkwood {'Dolly Pelliker'},NO
1983 (56th),Actress -- Supporting Role,Glenn Close,The Big Chill {'Sarah'},NO
1983 (56th),Actress -- Supporting Role,Amy Irving,Yentl {'Hadaas'},NO
1983 (56th),Actress -- Supporting Role,Alfre Woodard,Cross Creek {'Geechee'},NO
1982 (55th),Actress -- Supporting Role,Glenn Close,The World According to Garp {'Jenny Fields'},NO
1982 (55th),Actress -- Supporting Role,Teri Garr,Tootsie {'Sandy Lester'},NO
1982 (55th),Actress -- Supporting Role,Kim Stanley,Frances {'Lillian Farmer'},NO
1982 (55th),Actress -- Supporting Role,Lesley Ann Warren,Victor/Victoria {'Norma'},NO
1981 (54th),Actress -- Supporting Role,Melinda Dillon,Absence of Malice {'Teresa'},NO
1981 (54th),Actress -- Supporting Role,Jane Fonda,On Golden Pond {'Chelsea Thayer Wayne'},NO
1981 (54th),Actress -- Supporting Role,Joan Hackett,Only When I Laugh {'Toby Landau'},NO
1981 (54th),Actress -- Supporting Role,Elizabeth McGovern,Ragtime {'Evelyn Nesbit'},NO
1980 (53rd),Actress -- Supporting Role,Eileen Brennan,Private Benjamin {'Captain Doreen Lewis'},NO
1980 (53rd),Actress -- Supporting Role,Eva Le Gallienne,Resurrection {'Grandma Pearl'},NO
1980 (53rd),Actress -- Supporting Role,Cathy Moriarty,Raging Bull {'Vicki LaMotta'},NO
1980 (53rd),Actress -- Supporting Role,Diana Scarwid,Inside Moves {'Louise'},NO
1979 (52nd),Actress -- Supporting Role,Jane Alexander,Kramer vs. Kramer {'Margaret Phelps'},NO
1979 (52nd),Actress -- Supporting Role,Barbara Barrie,Breaking Away {'Mrs. Stohler'},NO
1979 (52nd),Actress -- Supporting Role,Candice Bergen,Starting Over {'Jessica Potter'},NO
1979 (52nd),Actress -- Supporting Role,Mariel Hemingway,Manhattan {'Tracy'},NO
1978 (51st),Actress -- Supporting Role,Dyan Cannon,Heaven Can Wait {'Julia Farnsworth'},NO
1978 (51st),Actress -- Supporting Role,Penelope Milford,Coming Home {'Viola Munson'},NO
1978 (51st),Actress -- Supporting Role,Maureen Stapleton,Interiors {'Pearl'},NO
1978 (51st),Actress -- Supporting Role,Meryl Streep,The Deer Hunter {'Linda'},NO
1977 (50th),Actress -- Supporting Role,Leslie Browne,The Turning Point {'Emilia Rodgers'},NO
1977 (50th),Actress -- Supporting Role,Quinn Cummings,The Goodbye Girl {'Lucy McFadden'},NO
1977 (50th),Actress -- Supporting Role,Melinda Dillon,Close Encounters of the Third Kind {'Jillian Guiler'},NO
1977 (50th),Actress -- Supporting Role,Tuesday Weld,Looking for Mr. Goodbar {'Katherine Dunn'},NO
1976 (49th),Actress -- Supporting Role,Jane Alexander,All the President's Men {'The Bookkeeper'},NO
1976 (49th),Actress -- Supporting Role,Jodie Foster,Taxi Driver {'Iris'},NO
1976 (49th),Actress -- Supporting Role,Lee Grant,Voyage of the Damned {'Lilian Rosen'},NO
1976 (49th),Actress -- Supporting Role,Piper Laurie,Carrie {'Margaret White'},NO
1975 (48th),Actress -- Supporting Role,Ronee Blakley,Nashville {'Barbara Jean'},NO
1975 (48th),Actress -- Supporting Role,Sylvia Miles,"Farewell, My Lovely {'Mrs. Florian'}",NO
1975 (48th),Actress -- Supporting Role,Lily Tomlin,Nashville {'Linnea Reese'},NO
1975 (48th),Actress -- Supporting Role,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough {'Linda'},NO
1974 (47th),Actress -- Supporting Role,Valentina Cortese,Day for Night {'Severine'},NO
1974 (47th),Actress -- Supporting Role,Madeline Kahn,Blazing Saddles {'Lili Von Shtupp'},NO
1974 (47th),Actress -- Supporting Role,Diane Ladd,Alice Doesn't Live Here Anymore {'Flo'},NO
1974 (47th),Actress -- Supporting Role,Talia Shire,The Godfather Part II {'Connie Corleone'},NO
1973 (46th),Actress -- Supporting Role,Linda Blair,The Exorcist {'Regan MacNeil'},NO
1973 (46th),Actress -- Supporting Role,Candy Clark,American Graffiti {'Debbie'},NO
1973 (46th),Actress -- Supporting Role,Madeline Kahn,Paper Moon {'Trixie Delight'},NO
1973 (46th),Actress -- Supporting Role,Sylvia Sidney,"Summer Wishes, Winter Dreams {'Mrs. Pritchett'}",NO
1972 (45th),Actress -- Supporting Role,Jeannie Berlin,The Heartbreak Kid {'Lila'},NO
1972 (45th),Actress -- Supporting Role,Geraldine Page,Pete 'n' Tillie {'Gertrude'},NO
1972 (45th),Actress -- Supporting Role,Susan Tyrrell,Fat City {'Oma'},NO
1972 (45th),Actress -- Supporting Role,Shelley Winters,The Poseidon Adventure {'Belle Rosen'},NO
1971 (44th),Actress -- Supporting Role,Ann-Margret,Carnal Knowledge {'Bobbie'},NO
1971 (44th),Actress -- Supporting Role,Ellen Burstyn,The Last Picture Show {'Lois Farrow'},NO
1971 (44th),Actress -- Supporting Role,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me? {'Allison'},NO
1971 (44th),Actress -- Supporting Role,Margaret Leighton,The Go-Between {'Mrs. Maudsley'},NO
1970 (43rd),Actress -- Supporting Role,Karen Black,Five Easy Pieces {'Rayette Dipesto'},NO
1970 (43rd),Actress -- Supporting Role,Lee Grant,The Landlord {'Mrs. Enders'},NO
1970 (43rd),Actress -- Supporting Role,Sally Kellerman,M*A*S*H {'Major Margaret 'Hot Lips' Houlihan'},NO
1970 (43rd),Actress -- Supporting Role,Maureen Stapleton,Airport {'Inez Guerrero'},NO
1969 (42nd),Actress -- Supporting Role,Catherine Burns,Last Summer {'Rhoda'},NO
1969 (42nd),Actress -- Supporting Role,Dyan Cannon,Bob & Carol & Ted & Alice {'Alice Henderson'},NO
1969 (42nd),Actress -- Supporting Role,Sylvia Miles,Midnight Cowboy {'Cass'},NO
1969 (42nd),Actress -- Supporting Role,Susannah York,"They Shoot Horses, Don't They? {'Alice'}",NO
1968 (41st),Actress -- Supporting Role,Lynn Carlin,Faces {'Maria Forst'},NO
1968 (41st),Actress -- Supporting Role,Sondra Locke,The Heart Is a Lonely Hunter {'Mick Kelly'},NO
1968 (41st),Actress -- Supporting Role,Kay Medford,Funny Girl {'Rose Brice'},NO
1968 (41st),Actress -- Supporting Role,Estelle Parsons,"Rachel, Rachel {'Calla Mackie'}",NO
1967 (40th),Actress -- Supporting Role,Carol Channing,Thoroughly Modern Millie {'Muzzy Van Hossmere'},NO
1967 (40th),Actress -- Supporting Role,Mildred Natwick,Barefoot in the Park {'Mrs. Ethel Banks'},NO
1967 (40th),Actress -- Supporting Role,Beah Richards,Guess Who's Coming to Dinner {'Mrs. Prentice'},NO
1967 (40th),Actress -- Supporting Role,Katharine Ross,The Graduate {'Elaine Robinson'},NO
1966 (39th),Actress -- Supporting Role,Wendy Hiller,A Man for All Seasons {'Alice More'},NO
1966 (39th),Actress -- Supporting Role,Jocelyne Lagarde,Hawaii {'Malama'},NO
1966 (39th),Actress -- Supporting Role,Vivien Merchant,Alfie {'Lily'},NO
1966 (39th),Actress -- Supporting Role,Geraldine Page,You're a Big Boy Now {'Margary Chanticleer'},NO
1965 (38th),Actress -- Supporting Role,Ruth Gordon,Inside Daisy Clover {'The Dealer'},NO
1965 (38th),Actress -- Supporting Role,Joyce Redman,Othello {'Emilia'},NO
1965 (38th),Actress -- Supporting Role,Maggie Smith,Othello {'Desdemona'},NO
1965 (38th),Actress -- Supporting Role,Peggy Wood,The Sound of Music {'Mother Abbess'},NO
1964 (37th),Actress -- Supporting Role,Gladys Cooper,My Fair Lady {'Mrs. Higgins'},NO
1964 (37th),Actress -- Supporting Role,Dame Edith Evans,The Chalk Garden {'Mrs. St. Maugham'},NO
1964 (37th),Actress -- Supporting Role,Grayson Hall,The Night of the Iguana {'Judith Fellowes'},NO
1964 (37th),Actress -- Supporting Role,Agnes Moorehead,"Hush...Hush, Sweet Charlotte {'Velma Cruther'}",NO
1963 (36th),Actress -- Supporting Role,Diane Cilento,Tom Jones {'Molly'},NO
1963 (36th),Actress -- Supporting Role,Dame Edith Evans,Tom Jones {'Miss Western'},NO
1963 (36th),Actress -- Supporting Role,Joyce Redman,Tom Jones {'Mrs. Waters'},NO
1963 (36th),Actress -- Supporting Role,Lilia Skala,Lilies of the Field {'Mother Maria'},NO
1962 (35th),Actress -- Supporting Role,Mary Badham,To Kill a Mockingbird {'Scout Finch'},NO
1962 (35th),Actress -- Supporting Role,Shirley Knight,Sweet Bird of Youth {'Heavenly Finley'},NO
1962 (35th),Actress -- Supporting Role,Angela Lansbury,The Manchurian Candidate {'Raymond's Mother'},NO
1962 (35th),Actress -- Supporting Role,Thelma Ritter,Birdman of Alcatraz {'Elizabeth Stroud'},NO
1961 (34th),Actress -- Supporting Role,Fay Bainter,The Children's Hour {'Mrs. Amelia Tilford'},NO
1961 (34th),Actress -- Supporting Role,Judy Garland,Judgment at Nuremberg {'Irene Hoffman'},NO
1961 (34th),Actress -- Supporting Role,Lotte Lenya,The Roman Spring of Mrs. Stone {'Countess Magda Terribili-Gonzales'},NO
1961 (34th),Actress -- Supporting Role,Una Merkel,Summer and Smoke {'Mrs. Winemiller'},NO
1960 (33rd),Actress -- Supporting Role,Glynis Johns,The Sundowners {'Mrs. Firth'},NO
1960 (33rd),Actress -- Supporting Role,Shirley Knight,The Dark at the Top of the Stairs {'Reenie'},NO
1960 (33rd),Actress -- Supporting Role,Janet Leigh,Psycho {'Marion Crane'},NO
1960 (33rd),Actress -- Supporting Role,Mary Ure,Sons and Lovers {'Clara Dawes'},NO
1959 (32nd),Actress -- Supporting Role,Hermione Baddeley,Room at the Top {'Elspeth'},NO
1959 (32nd),Actress -- Supporting Role,Susan Kohner,Imitation of Life {'Sarah Jane (age 18)'},NO
1959 (32nd),Actress -- Supporting Role,Juanita Moore,Imitation of Life {'Annie Johnson'},NO
1959 (32nd),Actress -- Supporting Role,Thelma Ritter,Pillow Talk {'Alma'},NO
1958 (31st),Actress -- Supporting Role,Peggy Cass,Auntie Mame {'Agnes Gooch'},NO
1958 (31st),Actress -- Supporting Role,Martha Hyer,Some Came Running {'Gwen French'},NO
1958 (31st),Actress -- Supporting Role,Maureen Stapleton,Lonelyhearts {'Fay Doyle'},NO
1958 (31st),Actress -- Supporting Role,Cara Williams,The Defiant Ones {'The Woman'},NO
1957 (30th),Actress -- Supporting Role,Carolyn Jones,The Bachelor Party {'The Existentialist'},NO
1957 (30th),Actress -- Supporting Role,Elsa Lanchester,Witness for the Prosecution {'Miss Plimsoll'},NO
1957 (30th),Actress -- Supporting Role,Hope Lange,Peyton Place {'Selena Cross'},NO
1957 (30th),Actress -- Supporting Role,Diane Varsi,Peyton Place {'Allison MacKenzie'},NO
1956 (29th),Actress -- Supporting Role,Mildred Dunnock,Baby Doll {'Aunt Rose Comfort'},NO
1956 (29th),Actress -- Supporting Role,Eileen Heckart,The Bad Seed {'Mrs. Daigle'},NO
1956 (29th),Actress -- Supporting Role,Mercedes McCambridge,Giant {'Luz Benedict'},NO
1956 (29th),Actress -- Supporting Role,Patty McCormack,The Bad Seed {'Rhoda Penmark'},NO
1955 (28th),Actress -- Supporting Role,Betsy Blair,Marty {'Clara Snyder'},NO
1955 (28th),Actress -- Supporting Role,Peggy Lee,Pete Kelly's Blues {'Rose Hopkins'},NO
1955 (28th),Actress -- Supporting Role,Marisa Pavan,The Rose Tattoo {'Rosa Della Rose'},NO
1955 (28th),Actress -- Supporting Role,Natalie Wood,Rebel without a Cause {'Judy'},NO
1954 (27th),Actress -- Supporting Role,Nina Foch,Executive Suite {'Erica Martin'},NO
1954 (27th),Actress -- Supporting Role,Katy Jurado,Broken Lance {'Senora Devereaux'},NO
1954 (27th),Actress -- Supporting Role,Jan Sterling,The High and the Mighty {'Sally McKee'},NO
1954 (27th),Actress -- Supporting Role,Claire Trevor,The High and the Mighty {'Mary Holst'},NO
1953 (26th),Actress -- Supporting Role,Grace Kelly,Mogambo {'Linda Nordley'},NO
1953 (26th),Actress -- Supporting Role,Geraldine Page,Hondo {'Angie Lowe'},NO
1953 (26th),Actress -- Supporting Role,Marjorie Rambeau,Torch Song {'Mrs. Stewart'},NO
1953 (26th),Actress -- Supporting Role,Thelma Ritter,Pickup on South Street {'Moe'},NO
1952 (25th),Actress -- Supporting Role,Jean Hagen,Singin' in the Rain {'Lina Lamont'},NO
1952 (25th),Actress -- Supporting Role,Colette Marchand,Moulin Rouge {'Marie Charlet'},NO
1952 (25th),Actress -- Supporting Role,Terry Moore,"Come Back, Little Sheba {'Marie Loring'}",NO
1952 (25th),Actress -- Supporting Role,Thelma Ritter,With a Song in My Heart {'Clancy'},NO
1951 (24th),Actress -- Supporting Role,Joan Blondell,The Blue Veil {'Annie Rawlins'},NO
1951 (24th),Actress -- Supporting Role,Mildred Dunnock,Death of a Salesman {'Linda Loman'},NO
1951 (24th),Actress -- Supporting Role,Lee Grant,Detective Story {'A Shoplifter'},NO
1951 (24th),Actress -- Supporting Role,Thelma Ritter,The Mating Season {'Ellen McNulty'},NO
1950 (23rd),Actress -- Supporting Role,Hope Emerson,Caged {'Evelyn Harper'},NO
1950 (23rd),Actress -- Supporting Role,Celeste Holm,All about Eve {'Karen Richards'},NO
1950 (23rd),Actress -- Supporting Role,Nancy Olson,Sunset Blvd. {'Betty Schaefer'},NO
1950 (23rd),Actress -- Supporting Role,Thelma Ritter,All about Eve {'Birdie'},NO
1949 (22nd),Actress -- Supporting Role,Ethel Barrymore,Pinky {'Miss Em'},NO
1949 (22nd),Actress -- Supporting Role,Celeste Holm,Come to the Stable {'Sister Scholastica'},NO
1949 (22nd),Actress -- Supporting Role,Elsa Lanchester,Come to the Stable {'Miss Potts'},NO
1949 (22nd),Actress -- Supporting Role,Ethel Waters,Pinky {'Granny'},NO
1948 (21st),Actress -- Supporting Role,Barbara Bel Geddes,I Remember Mama {'Katrin'},NO
1948 (21st),Actress -- Supporting Role,Ellen Corby,I Remember Mama {'Aunt Trina'},NO
1948 (21st),Actress -- Supporting Role,Agnes Moorehead,Johnny Belinda {'Aggie McDonald'},NO
1948 (21st),Actress -- Supporting Role,Jean Simmons,Hamlet {'Ophelia'},NO
1947 (20th),Actress -- Supporting Role,Ethel Barrymore,The Paradine Case {'Lady Sophie Horfield'},NO
1947 (20th),Actress -- Supporting Role,Gloria Grahame,Crossfire {'Ginny Tremaine'},NO
1947 (20th),Actress -- Supporting Role,Marjorie Main,The Egg and I {'Ma Kettle'},NO
1947 (20th),Actress -- Supporting Role,Anne Revere,Gentleman's Agreement {'Mrs. Green'},NO
1946 (19th),Actress -- Supporting Role,Ethel Barrymore,The Spiral Staircase {'Mrs. Warren'},NO
1946 (19th),Actress -- Supporting Role,Lillian Gish,Duel in the Sun {'Belle McCanles'},NO
1946 (19th),Actress -- Supporting Role,Flora Robson,Saratoga Trunk {'Angelique Buiton'},NO
1946 (19th),Actress -- Supporting Role,Gale Sondergaard,Anna and the King of Siam {'Lady Thiang'},NO
1945 (18th),Actress -- Supporting Role,Eve Arden,Mildred Pierce {'Ida'},NO
1945 (18th),Actress -- Supporting Role,Ann Blyth,Mildred Pierce {'Veda Pierce'},NO
1945 (18th),Actress -- Supporting Role,Angela Lansbury,The Picture of Dorian Gray {'Sibyl Vane'},NO
1945 (18th),Actress -- Supporting Role,Joan Lorring,The Corn Is Green {'Bessie Watty'},NO
1944 (17th),Actress -- Supporting Role,Jennifer Jones,Since You Went Away {'Jane Hilton'},NO
1944 (17th),Actress -- Supporting Role,Angela Lansbury,Gaslight {'Nancy Oliver'},NO
1944 (17th),Actress -- Supporting Role,Aline MacMahon,Dragon Seed {'Ling's Wife'},NO
1944 (17th),Actress -- Supporting Role,Agnes Moorehead,Mrs. Parkington {'Aspacia Conti'},NO
1943 (16th),Actress -- Supporting Role,Gladys Cooper,The Song of Bernadette {'Sister Vauzous'},NO
1943 (16th),Actress -- Supporting Role,Paulette Goddard,So Proudly We Hail! {'Lieutenant Joan O'Doul'},NO
1943 (16th),Actress -- Supporting Role,Anne Revere,The Song of Bernadette {'Louise Soubirous'},NO
1943 (16th),Actress -- Supporting Role,Lucile Watson,Watch on the Rhine {'Fanny Farrelly'},NO
1942 (15th),Actress -- Supporting Role,Gladys Cooper,"Now, Voyager {'Mrs. Vale'}",NO
1942 (15th),Actress -- Supporting Role,Agnes Moorehead,The Magnificent Ambersons {'Fanny Minafer'},NO
1942 (15th),Actress -- Supporting Role,Susan Peters,Random Harvest {'Kitty'},NO
1942 (15th),Actress -- Supporting Role,Dame May Whitty,Mrs. Miniver {'Lady Beldon'},NO
1941 (14th),Actress -- Supporting Role,Sara Allgood,How Green Was My Valley {'Mrs. Morgan'},NO
1941 (14th),Actress -- Supporting Role,Patricia Collinge,The Little Foxes {'Birdie Hubbard'},NO
1941 (14th),Actress -- Supporting Role,Teresa Wright,The Little Foxes {'Alexandra Giddens'},NO
1941 (14th),Actress -- Supporting Role,Margaret Wycherly,Sergeant York {'Mother York'},NO
1940 (13th),Actress -- Supporting Role,Judith Anderson,Rebecca {'Mrs. Danvers'},NO
1940 (13th),Actress -- Supporting Role,Ruth Hussey,The Philadelphia Story {'Liz Imbrie'},NO
1940 (13th),Actress -- Supporting Role,Barbara O'Neil,"All This, and Heaven Too {'Duchesse de Praslin'}",NO
1940 (13th),Actress -- Supporting Role,Marjorie Rambeau,Primrose Path {'Mamie Adams'},NO
