,Year,Category,Nominee,Movie,Winner
1329,2000 (73rd),Directing,Billy Elliot,Stephen Daldry,NO
1330,2000 (73rd),Directing,"Crouching Tiger, Hidden Dragon",Ang Lee,NO
1331,2000 (73rd),Directing,Erin Brockovich,Steven Soderbergh,NO
1332,2000 (73rd),Directing,Gladiator,Ridley Scott,NO
1459,1999 (72nd),Directing,Being John Malkovich,Spike Jonze,NO
1460,1999 (72nd),Directing,The Cider House Rules,Lasse Hallström,NO
1461,1999 (72nd),Directing,The Insider,Michael Mann,NO
1462,1999 (72nd),Directing,The Sixth Sense,M. Night Shyamalan,NO
1584,1998 (71st),Directing,Life Is Beautiful,Roberto Benigni,NO
1586,1998 (71st),Directing,Shakespeare in Love,John Madden,NO
1587,1998 (71st),Directing,The Thin Red Line,Terrence Malick,NO
1588,1998 (71st),Directing,The Truman Show,Peter Weir,NO
1734,1997 (70th),Directing,The Full Monty,Peter Cattaneo,NO
1735,1997 (70th),Directing,Good Will Hunting,Gus Van Sant,NO
1736,1997 (70th),Directing,L.A. Confidential,Curtis Hanson,NO
1737,1997 (70th),Directing,The Sweet Hereafter,Atom Egoyan,NO
1872,1996 (69th),Directing,Fargo,Joel Coen,NO
1873,1996 (69th),Directing,The People vs. Larry Flynt,Milos Forman,NO
1874,1996 (69th),Directing,Secrets & Lies,Mike Leigh,NO
1875,1996 (69th),Directing,Shine,Scott Hicks,NO
2003,1995 (68th),Directing,Babe,Chris Noonan,NO
2005,1995 (68th),Directing,Dead Man Walking,Tim Robbins,NO
2006,1995 (68th),Directing,Leaving Las Vegas,Mike Figgis,NO
2007,1995 (68th),Directing,The Postman (Il Postino),Michael Radford,NO
2143,1994 (67th),Directing,Bullets over Broadway,Woody Allen,NO
2145,1994 (67th),Directing,Pulp Fiction,Quentin Tarantino,NO
2146,1994 (67th),Directing,Quiz Show,Robert Redford,NO
2147,1994 (67th),Directing,Red,Krzysztof Kieslowski,NO
2281,1993 (66th),Directing,In the Name of the Father,Jim Sheridan,NO
2282,1993 (66th),Directing,The Piano,Jane Campion,NO
2283,1993 (66th),Directing,The Remains of the Day,James Ivory,NO
2285,1993 (66th),Directing,Short Cuts,Robert Altman,NO
2400,1992 (65th),Directing,The Crying Game,Neil Jordan,NO
2401,1992 (65th),Directing,Howards End,James Ivory,NO
2402,1992 (65th),Directing,The Player,Robert Altman,NO
2403,1992 (65th),Directing,Scent of a Woman,Martin Brest,NO
2526,1991 (64th),Directing,Boyz N the Hood,John Singleton,NO
2527,1991 (64th),Directing,Bugsy,Barry Levinson,NO
2528,1991 (64th),Directing,JFK,Oliver Stone,NO
2530,1991 (64th),Directing,Thelma & Louise,Ridley Scott,NO
2652,1990 (63rd),Directing,"The Godfather, Part III",Francis Ford Coppola,NO
2653,1990 (63rd),Directing,Good Fellas,Martin Scorsese,NO
2654,1990 (63rd),Directing,The Grifters,Stephen Frears,NO
2655,1990 (63rd),Directing,Reversal of Fortune,Barbet Schroeder,NO
2781,1989 (62nd),Directing,Crimes and Misdemeanors,Woody Allen,NO
2782,1989 (62nd),Directing,Dead Poets Society,Peter Weir,NO
2783,1989 (62nd),Directing,Henry V,Kenneth Branagh,NO
2784,1989 (62nd),Directing,My Left Foot,Jim Sheridan,NO
2895,1988 (61st),Directing,A Fish Called Wanda,Charles Crichton,NO
2896,1988 (61st),Directing,The Last Temptation of Christ,Martin Scorsese,NO
2897,1988 (61st),Directing,Mississippi Burning,Alan Parker,NO
2899,1988 (61st),Directing,Working Girl,Mike Nichols,NO
3018,1987 (60th),Directing,Fatal Attraction,Adrian Lyne,NO
3019,1987 (60th),Directing,Hope and Glory,John Boorman,NO
3021,1987 (60th),Directing,Moonstruck,Norman Jewison,NO
3022,1987 (60th),Directing,My Life as a Dog,Lasse Hallström,NO
3137,1986 (59th),Directing,Blue Velvet,David Lynch,NO
3138,1986 (59th),Directing,Hannah and Her Sisters,Woody Allen,NO
3139,1986 (59th),Directing,The Mission,Roland Joffé,NO
3141,1986 (59th),Directing,A Room with a View,James Ivory,NO
3260,1985 (58th),Directing,Kiss of the Spider Woman,Hector Babenco,NO
3262,1985 (58th),Directing,Prizzi's Honor,John Huston,NO
3263,1985 (58th),Directing,Ran,Akira Kurosawa,NO
3264,1985 (58th),Directing,Witness,Peter Weir,NO
3377,1984 (57th),Directing,Broadway Danny Rose,Woody Allen,NO
3378,1984 (57th),Directing,The Killing Fields,Roland Joffé,NO
3379,1984 (57th),Directing,A Passage to India,David Lean,NO
3380,1984 (57th),Directing,Places in the Heart,Robert Benton,NO
3497,1983 (56th),Directing,The Dresser,Peter Yates,NO
3498,1983 (56th),Directing,Fanny & Alexander,Ingmar Bergman,NO
3499,1983 (56th),Directing,Silkwood,Mike Nichols,NO
3500,1983 (56th),Directing,Tender Mercies,Bruce Beresford,NO
3613,1982 (55th),Directing,Das Boot,Wolfgang Petersen,NO
3614,1982 (55th),Directing,E.T. The Extra-Terrestrial,Steven Spielberg,NO
3616,1982 (55th),Directing,Tootsie,Sydney Pollack,NO
3617,1982 (55th),Directing,The Verdict,Sidney Lumet,NO
3736,1981 (54th),Directing,Atlantic City,Louis Malle,NO
3737,1981 (54th),Directing,Chariots of Fire,Hugh Hudson,NO
3738,1981 (54th),Directing,On Golden Pond,Mark Rydell,NO
3739,1981 (54th),Directing,Raiders of the Lost Ark,Steven Spielberg,NO
3856,1980 (53rd),Directing,The Elephant Man,David Lynch,NO
3858,1980 (53rd),Directing,Raging Bull,Martin Scorsese,NO
3859,1980 (53rd),Directing,The Stunt Man,Richard Rush,NO
3860,1980 (53rd),Directing,Tess,Roman Polanski,NO
3969,1979 (52nd),Directing,All That Jazz,Bob Fosse,NO
3970,1979 (52nd),Directing,Apocalypse Now,Francis Coppola,NO
3971,1979 (52nd),Directing,Breaking Away,Peter Yates,NO
3973,1979 (52nd),Directing,La Cage aux Folles,Edouard Molinaro,NO
4094,1978 (51st),Directing,Coming Home,Hal Ashby,NO
4096,1978 (51st),Directing,Heaven Can Wait,"Warren Beatty, Buck Henry",NO
4097,1978 (51st),Directing,Interiors,Woody Allen,NO
4098,1978 (51st),Directing,Midnight Express,Alan Parker,NO
4215,1977 (50th),Directing,Close Encounters of the Third Kind,Steven Spielberg,NO
4216,1977 (50th),Directing,Julia,Fred Zinnemann,NO
4217,1977 (50th),Directing,Star Wars,George Lucas,NO
4218,1977 (50th),Directing,The Turning Point,Herbert Ross,NO
4339,1976 (49th),Directing,All the President's Men,Alan J. Pakula,NO
4340,1976 (49th),Directing,Face to Face,Ingmar Bergman,NO
4341,1976 (49th),Directing,Network,Sidney Lumet,NO
4343,1976 (49th),Directing,Seven Beauties,Lina Wertmüller,NO
4452,1975 (48th),Directing,Amarcord,Federico Fellini,NO
4453,1975 (48th),Directing,Barry Lyndon,Stanley Kubrick,NO
4454,1975 (48th),Directing,Dog Day Afternoon,Sidney Lumet,NO
4455,1975 (48th),Directing,Nashville,Robert Altman,NO
4570,1974 (47th),Directing,Chinatown,Roman Polanski,NO
4571,1974 (47th),Directing,Day for Night,Francois Truffaut,NO
4573,1974 (47th),Directing,Lenny,Bob Fosse,NO
4574,1974 (47th),Directing,A Woman under the Influence,John Cassavetes,NO
4685,1973 (46th),Directing,American Graffiti,George Lucas,NO
4686,1973 (46th),Directing,Cries and Whispers,Ingmar Bergman,NO
4687,1973 (46th),Directing,The Exorcist,William Friedkin,NO
4688,1973 (46th),Directing,Last Tango in Paris,Bernardo Bertolucci,NO
4795,1972 (45th),Directing,Deliverance,John Boorman,NO
4796,1972 (45th),Directing,The Emigrants,Jan Troell,NO
4797,1972 (45th),Directing,The Godfather,Francis Ford Coppola,NO
4798,1972 (45th),Directing,Sleuth,Joseph L. Mankiewicz,NO
4908,1971 (44th),Directing,A Clockwork Orange,Stanley Kubrick,NO
4909,1971 (44th),Directing,Fiddler on the Roof,Norman Jewison,NO
4911,1971 (44th),Directing,The Last Picture Show,Peter Bogdanovich,NO
4912,1971 (44th),Directing,Sunday Bloody Sunday,John Schlesinger,NO
5018,1970 (43rd),Directing,Fellini Satyricon,Federico Fellini,NO
5019,1970 (43rd),Directing,Love Story,Arthur Hiller,NO
5020,1970 (43rd),Directing,M*A*S*H,Robert Altman,NO
5022,1970 (43rd),Directing,Women in Love,Ken Russell,NO
5130,1969 (42nd),Directing,Alice's Restaurant,Arthur Penn,NO
5131,1969 (42nd),Directing,Butch Cassidy and the Sundance Kid,George Roy Hill,NO
5133,1969 (42nd),Directing,"They Shoot Horses, Don't They?",Sydney Pollack,NO
5134,1969 (42nd),Directing,Z,Costa-Gavras,NO
5242,1968 (41st),Directing,The Battle of Algiers,Gillo Pontecorvo,NO
5243,1968 (41st),Directing,The Lion in Winter,Anthony Harvey,NO
5245,1968 (41st),Directing,Romeo and Juliet,Franco Zeffirelli,NO
5246,1968 (41st),Directing,2001: A Space Odyssey,Stanley Kubrick,NO
5362,1967 (40th),Directing,Bonnie and Clyde,Arthur Penn,NO
5364,1967 (40th),Directing,Guess Who's Coming to Dinner,Stanley Kramer,NO
5365,1967 (40th),Directing,In Cold Blood,Richard Brooks,NO
5366,1967 (40th),Directing,In the Heat of the Night,Norman Jewison,NO
5490,1966 (39th),Directing,Blow-Up,Michelangelo Antonioni,NO
5491,1966 (39th),Directing,A Man and a Woman,Claude Lelouch,NO
5493,1966 (39th),Directing,The Professionals,Richard Brooks,NO
5494,1966 (39th),Directing,Who's Afraid of Virginia Woolf?,Mike Nichols,NO
5619,1965 (38th),Directing,The Collector,William Wyler,NO
5620,1965 (38th),Directing,Darling,John Schlesinger,NO
5621,1965 (38th),Directing,Doctor Zhivago,David Lean,NO
5623,1965 (38th),Directing,Woman in the Dunes,Hiroshi Teshigahara,NO
5746,1964 (37th),Directing,Becket,Peter Glenville,NO
5747,1964 (37th),Directing,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,NO
5748,1964 (37th),Directing,Mary Poppins,Robert Stevenson,NO
5750,1964 (37th),Directing,Zorba the Greek,Michael Cacoyannis,NO
5878,1963 (36th),Directing,America America,Elia Kazan,NO
5879,1963 (36th),Directing,The Cardinal,Otto Preminger,NO
5880,1963 (36th),Directing,Federico Fellini's 8-1/2,Federico Fellini,NO
5881,1963 (36th),Directing,Hud,Martin Ritt,NO
6003,1962 (35th),Directing,David and Lisa,Frank Perry,NO
6004,1962 (35th),Directing,Divorce--Italian Style,Pietro Germi,NO
6006,1962 (35th),Directing,The Miracle Worker,Arthur Penn,NO
6007,1962 (35th),Directing,To Kill a Mockingbird,Robert Mulligan,NO
6127,1961 (34th),Directing,The Guns of Navarone,J. Lee Thompson,NO
6128,1961 (34th),Directing,The Hustler,Robert Rossen,NO
6129,1961 (34th),Directing,Judgment at Nuremberg,Stanley Kramer,NO
6130,1961 (34th),Directing,La Dolce Vita,Federico Fellini,NO
6258,1960 (33rd),Directing,Never on Sunday,Jules Dassin,NO
6259,1960 (33rd),Directing,Psycho,Alfred Hitchcock,NO
6260,1960 (33rd),Directing,Sons and Lovers,Jack Cardiff,NO
6261,1960 (33rd),Directing,The Sundowners,Fred Zinnemann,NO
6384,1959 (32nd),Directing,The Diary of Anne Frank,George Stevens,NO
6385,1959 (32nd),Directing,The Nun's Story,Fred Zinnemann,NO
6386,1959 (32nd),Directing,Room at the Top,Jack Clayton,NO
6387,1959 (32nd),Directing,Some Like It Hot,Billy Wilder,NO
6499,1958 (31st),Directing,Cat on a Hot Tin Roof,Richard Brooks,NO
6500,1958 (31st),Directing,The Defiant Ones,Stanley Kramer,NO
6502,1958 (31st),Directing,I Want to Live!,Robert Wise,NO
6503,1958 (31st),Directing,The Inn of the Sixth Happiness,Mark Robson,NO
6610,1957 (30th),Directing,Peyton Place,Mark Robson,NO
6611,1957 (30th),Directing,Sayonara,Joshua Logan,NO
6612,1957 (30th),Directing,12 Angry Men,Sidney Lumet,NO
6613,1957 (30th),Directing,Witness for the Prosecution,Billy Wilder,NO
6730,1956 (29th),Directing,Around the World in 80 Days,Michael Anderson,NO
6731,1956 (29th),Directing,Friendly Persuasion,William Wyler,NO
6733,1956 (29th),Directing,The King and I,Walter Lang,NO
6734,1956 (29th),Directing,War and Peace,King Vidor,NO
6864,1955 (28th),Directing,Bad Day at Black Rock,John Sturges,NO
6865,1955 (28th),Directing,East of Eden,Elia Kazan,NO
6867,1955 (28th),Directing,Picnic,Joshua Logan,NO
6868,1955 (28th),Directing,Summertime,David Lean,NO
6998,1954 (27th),Directing,The Country Girl,George Seaton,NO
6999,1954 (27th),Directing,The High and the Mighty,William Wellman,NO
7001,1954 (27th),Directing,Rear Window,Alfred Hitchcock,NO
7002,1954 (27th),Directing,Sabrina,Billy Wilder,NO
7138,1953 (26th),Directing,Lili,Charles Walters,NO
7139,1953 (26th),Directing,Roman Holiday,William Wyler,NO
7140,1953 (26th),Directing,Shane,George Stevens,NO
7141,1953 (26th),Directing,Stalag 17,Billy Wilder,NO
7272,1952 (25th),Directing,Five Fingers,Joseph L. Mankiewicz,NO
7273,1952 (25th),Directing,The Greatest Show on Earth,Cecil B. DeMille,NO
7274,1952 (25th),Directing,High Noon,Fred Zinnemann,NO
7275,1952 (25th),Directing,Moulin Rouge,John Huston,NO
7410,1951 (24th),Directing,The African Queen,John Huston,NO
7411,1951 (24th),Directing,An American in Paris,Vincente Minnelli,NO
7412,1951 (24th),Directing,Detective Story,William Wyler,NO
7414,1951 (24th),Directing,A Streetcar Named Desire,Elia Kazan,NO
7530,1950 (23rd),Directing,The Asphalt Jungle,John Huston,NO
7531,1950 (23rd),Directing,Born Yesterday,George Cukor,NO
7532,1950 (23rd),Directing,Sunset Blvd.,Billy Wilder,NO
7533,1950 (23rd),Directing,The Third Man,Carol Reed,NO
7644,1949 (22nd),Directing,All the King's Men,Robert Rossen,NO
7645,1949 (22nd),Directing,Battleground,William A. Wellman,NO
7646,1949 (22nd),Directing,The Fallen Idol,Carol Reed,NO
7647,1949 (22nd),Directing,The Heiress,William Wyler,NO
7763,1948 (21st),Directing,Hamlet,Laurence Olivier,NO
7764,1948 (21st),Directing,Johnny Belinda,Jean Negulesco,NO
7765,1948 (21st),Directing,The Search,Fred Zinnemann,NO
7766,1948 (21st),Directing,The Snake Pit,Anatole Litvak,NO
7871,1947 (20th),Directing,The Bishop's Wife,Henry Koster,NO
7872,1947 (20th),Directing,Crossfire,Edward Dmytryk,NO
7873,1947 (20th),Directing,A Double Life,George Cukor,NO
7875,1947 (20th),Directing,Great Expectations,David Lean,NO
7987,1946 (19th),Directing,Brief Encounter,David Lean,NO
7988,1946 (19th),Directing,It's a Wonderful Life,Frank Capra,NO
7989,1946 (19th),Directing,The Killers,Robert Siodmak,NO
7990,1946 (19th),Directing,The Yearling,Clarence Brown,NO
8110,1945 (18th),Directing,The Bells of St. Mary's,Leo McCarey,NO
8112,1945 (18th),Directing,National Velvet,Clarence Brown,NO
8113,1945 (18th),Directing,The Southerner,Jean Renoir,NO
8114,1945 (18th),Directing,Spellbound,Alfred Hitchcock,NO
8285,1944 (17th),Directing,Double Indemnity,Billy Wilder,NO
8287,1944 (17th),Directing,Laura,Otto Preminger,NO
8288,1944 (17th),Directing,Lifeboat,Alfred Hitchcock,NO
8289,1944 (17th),Directing,Wilson,Henry King,NO
8461,1943 (16th),Directing,Heaven Can Wait,Ernst Lubitsch,NO
8462,1943 (16th),Directing,The Human Comedy,Clarence Brown,NO
8463,1943 (16th),Directing,The More the Merrier,George Stevens,NO
8464,1943 (16th),Directing,The Song of Bernadette,Henry King,NO
8652,1942 (15th),Directing,Kings Row,Sam Wood,NO
8654,1942 (15th),Directing,Random Harvest,Mervyn LeRoy,NO
8655,1942 (15th),Directing,Wake Island,John Farrow,NO
8656,1942 (15th),Directing,Yankee Doodle Dandy,Michael Curtiz,NO
8842,1941 (14th),Directing,Citizen Kane,Orson Welles,NO
8843,1941 (14th),Directing,Here Comes Mr. Jordan,Alexander Hall,NO
8845,1941 (14th),Directing,The Little Foxes,William Wyler,NO
8846,1941 (14th),Directing,Sergeant York,Howard Hawks,NO
9037,1940 (13th),Directing,Kitty Foyle,Sam Wood,NO
9038,1940 (13th),Directing,The Letter,William Wyler,NO
9039,1940 (13th),Directing,The Philadelphia Story,George Cukor,NO
9040,1940 (13th),Directing,Rebecca,Alfred Hitchcock,NO
9196,1939 (12th),Directing,"Goodbye, Mr. Chips",Sam Wood,NO
9197,1939 (12th),Directing,Mr. Smith Goes to Washington,Frank Capra,NO
9198,1939 (12th),Directing,Stagecoach,John Ford,NO
9199,1939 (12th),Directing,Wuthering Heights,William Wyler,NO
9343,1938 (11th),Directing,Angels with Dirty Faces,Michael Curtiz,NO
9344,1938 (11th),Directing,Boys Town,Norman Taurog,NO
9345,1938 (11th),Directing,The Citadel,King Vidor,NO
9346,1938 (11th),Directing,Four Daughters,Michael Curtiz,NO
9480,1937 (10th),Directing,The Good Earth,Sidney Franklin,NO
9481,1937 (10th),Directing,The Life of Emile Zola,William Dieterle,NO
9482,1937 (10th),Directing,Stage Door,Gregory La Cava,NO
9483,1937 (10th),Directing,A Star Is Born,William Wellman,NO
9609,1936 (9th),Directing,Dodsworth,William Wyler,NO
9610,1936 (9th),Directing,The Great Ziegfeld,Robert Z. Leonard,NO
9612,1936 (9th),Directing,My Man Godfrey,Gregory La Cava,NO
9613,1936 (9th),Directing,San Francisco,W. S. Van Dyke,NO
9711,1935 (8th),Directing,Captain Blood,Michael Curtiz [came in 2nd],NO
9713,1935 (8th),Directing,The Lives of a Bengal Lancer,Henry Hathaway [came in 3rd],NO
9714,1935 (8th),Directing,Mutiny on the Bounty,Frank Lloyd,NO
9803,1934 (7th),Directing,One Night of Love,Victor Schertzinger [came in 3rd],NO
9804,1934 (7th),Directing,The Thin Man,W. S. Van Dyke [came in 2nd],NO
9869,1932/33 (6th),Directing,Lady for a Day,Frank Capra [came in 2nd],NO
9870,1932/33 (6th),Directing,Little Women,George Cukor [came in 3rd],NO
9934,1931/32 (5th),Directing,The Champ,King Vidor,NO
9935,1931/32 (5th),Directing,Shanghai Express,Josef Von Sternberg,NO
9988,1930/31 (4th),Directing,Cimarron,Wesley Ruggles,NO
9989,1930/31 (4th),Directing,A Free Soul,Clarence Brown,NO
9990,1930/31 (4th),Directing,The Front Page,Lewis Milestone,NO
9991,1930/31 (4th),Directing,Morocco,Josef Von Sternberg,NO
10040,1929/30 (3rd),Directing,Clarence Brown,Anna Christie; and Romance,NO
10041,1929/30 (3rd),Directing,Robert Leonard,The Divorcee,NO
10042,1929/30 (3rd),Directing,Ernst Lubitsch,The Love Parade,NO
10044,1929/30 (3rd),Directing,King Vidor,Hallelujah,NO
10081,1928/29 (2nd),Directing,Lionel Barrymore,Madame X,NO
10082,1928/29 (2nd),Directing,Harry Beaumont,The Broadway Melody,NO
10083,1928/29 (2nd),Directing,Irving Cummings,In Old Arizona,NO
10085,1928/29 (2nd),Directing,Frank Lloyd,Drag; and Weary River,NO
10086,1928/29 (2nd),Directing,Ernst Lubitsch,The Patriot,NO
10112,1927/28 (1st),Directing,Ted Wilde,Speedy,NO
10114,1927/28 (1st),Directing,Herbert Brenon,Sorrell and Son,NO
10115,1927/28 (1st),Directing,King Vidor,The Crowd,NO
0,2010 (83rd),Actor -- Leading Role,Javier Bardem,Biutiful {'Uxbal'},NO
1,2010 (83rd),Actor -- Leading Role,Jeff Bridges,True Grit {'Rooster Cogburn'},NO
2,2010 (83rd),Actor -- Leading Role,Jesse Eisenberg,The Social Network {'Mark Zuckerberg'},NO
4,2010 (83rd),Actor -- Leading Role,James Franco,127 Hours {'Aron Ralston'},NO
136,2009 (82nd),Actor -- Leading Role,George Clooney,Up in the Air {'Ryan Bingham'},NO
137,2009 (82nd),Actor -- Leading Role,Colin Firth,A Single Man {'George'},NO
138,2009 (82nd),Actor -- Leading Role,Morgan Freeman,Invictus {'Nelson Mandela'},NO
139,2009 (82nd),Actor -- Leading Role,Jeremy Renner,The Hurt Locker {'Staff Sergeant William James'},NO
275,2008 (81st),Actor -- Leading Role,Richard Jenkins,The Visitor {'Walter'},NO
276,2008 (81st),Actor -- Leading Role,Frank Langella,Frost/Nixon {'Richard Nixon'},NO
278,2008 (81st),Actor -- Leading Role,Brad Pitt,The Curious Case of Benjamin Button {'Benjamin Button'},NO
279,2008 (81st),Actor -- Leading Role,Mickey Rourke,The Wrestler {'Randy'},NO
393,2007 (80th),Actor -- Leading Role,George Clooney,Michael Clayton {'Michael Clayton'},NO
395,2007 (80th),Actor -- Leading Role,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street {'Sweeney Todd'},NO
396,2007 (80th),Actor -- Leading Role,Tommy Lee Jones,In the Valley of Elah {'Hank Deerfield'},NO
397,2007 (80th),Actor -- Leading Role,Viggo Mortensen,Eastern Promises {'Nikolai'},NO
520,2006 (79th),Actor -- Leading Role,Leonardo DiCaprio,Blood Diamond {'Danny Archer'},NO
521,2006 (79th),Actor -- Leading Role,Ryan Gosling,Half Nelson {'Dan Dunne'},NO
522,2006 (79th),Actor -- Leading Role,Peter O'Toole,Venus {'Maurice'},NO
523,2006 (79th),Actor -- Leading Role,Will Smith,The Pursuit of Happyness {'Chris Gardner'},NO
651,2005 (78th),Actor -- Leading Role,Terrence Howard,Hustle & Flow {'DJay'},NO
652,2005 (78th),Actor -- Leading Role,Heath Ledger,Brokeback Mountain {'Ennis Del Mar'},NO
653,2005 (78th),Actor -- Leading Role,Joaquin Phoenix,Walk the Line {'John R. Cash'},NO
654,2005 (78th),Actor -- Leading Role,David Strathairn,"Good Night, and Good Luck. {'Edward R. Murrow'}",NO
779,2004 (77th),Actor -- Leading Role,Don Cheadle,Hotel Rwanda {'Paul Rusesabagina'},NO
780,2004 (77th),Actor -- Leading Role,Johnny Depp,Finding Neverland {'Sir James Matthew Barrie'},NO
781,2004 (77th),Actor -- Leading Role,Leonardo DiCaprio,The Aviator {'Howard Hughes'},NO
782,2004 (77th),Actor -- Leading Role,Clint Eastwood,Million Dollar Baby {'Frankie Dunn'},NO
908,2003 (76th),Actor -- Leading Role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl {'Jack Sparrow'},NO
909,2003 (76th),Actor -- Leading Role,Ben Kingsley,House of Sand and Fog {'Behrani'},NO
910,2003 (76th),Actor -- Leading Role,Jude Law,Cold Mountain {'Inman'},NO
911,2003 (76th),Actor -- Leading Role,Bill Murray,Lost in Translation {'Bob Harris'},NO
1031,2002 (75th),Actor -- Leading Role,Nicolas Cage,Adaptation {'Charlie Kaufman & Donald Kaufman'},NO
1032,2002 (75th),Actor -- Leading Role,Michael Caine,The Quiet American {'Thomas Fowler'},NO
1033,2002 (75th),Actor -- Leading Role,Daniel Day-Lewis,Gangs of New York {'Bill 'The Butcher' Cutting'},NO
1034,2002 (75th),Actor -- Leading Role,Jack Nicholson,About Schmidt {'Warren Schmidt'},NO
1157,2001 (74th),Actor -- Leading Role,Russell Crowe,A Beautiful Mind {'John Nash'},NO
1158,2001 (74th),Actor -- Leading Role,Sean Penn,I Am Sam {'Sam Dawson'},NO
1159,2001 (74th),Actor -- Leading Role,Will Smith,Ali {'Muhammad Ali'},NO
1161,2001 (74th),Actor -- Leading Role,Tom Wilkinson,In the Bedroom {'Matt Fowler'},NO
1294,2000 (73rd),Actor -- Leading Role,Javier Bardem,Before Night Falls {'Reinaldo Arenas'},NO
1296,2000 (73rd),Actor -- Leading Role,Tom Hanks,Cast Away {'Chuck Noland'},NO
1297,2000 (73rd),Actor -- Leading Role,Ed Harris,Pollock {'Jackson Pollock'},NO
1298,2000 (73rd),Actor -- Leading Role,Geoffrey Rush,Quills {'The Marquis de Sade'},NO
1423,1999 (72nd),Actor -- Leading Role,Russell Crowe,The Insider {'Jeffrey Wigand'},NO
1424,1999 (72nd),Actor -- Leading Role,Richard Farnsworth,The Straight Story {'Alvin Straight'},NO
1425,1999 (72nd),Actor -- Leading Role,Sean Penn,Sweet and Lowdown {'Emmet Ray'},NO
1427,1999 (72nd),Actor -- Leading Role,Denzel Washington,The Hurricane {'Rubin 'Hurricane' Carter'},NO
1550,1998 (71st),Actor -- Leading Role,Tom Hanks,Saving Private Ryan {'Captain Miller'},NO
1551,1998 (71st),Actor -- Leading Role,Ian McKellen,Gods and Monsters {'James Whale'},NO
1552,1998 (71st),Actor -- Leading Role,Nick Nolte,Affliction {'Wade Whitehouse'},NO
1553,1998 (71st),Actor -- Leading Role,Edward Norton,American History X {'Derek'},NO
1699,1997 (70th),Actor -- Leading Role,Matt Damon,Good Will Hunting {'Will Hunting'},NO
1700,1997 (70th),Actor -- Leading Role,Robert Duvall,The Apostle {'The Apostle E.F.'},NO
1701,1997 (70th),Actor -- Leading Role,Peter Fonda,Ulee's Gold {'Ulee Jackson'},NO
1702,1997 (70th),Actor -- Leading Role,Dustin Hoffman,Wag the Dog {'Stanley Motss'},NO
1836,1996 (69th),Actor -- Leading Role,Tom Cruise,Jerry Maguire {'Jerry Maguire'},NO
1837,1996 (69th),Actor -- Leading Role,Ralph Fiennes,The English Patient {'Almasy'},NO
