batsman,batsman_runs_x,total_runs_x,total_runs_y,batsman_runs_y,batsman_runs
BA Stokes,1.0,43,25,1,20
BAW Mendis,0.0,0,0,0,0
BB McCullum,15.0,294,128,2,26
BB Samantray,1.0,13,2,0,15
BB Sran,0.0,0,0,0,0
BCJ Cutting,0.0,15,19,0,14
BE Hendricks,0.0,0,0,0,0
BJ Haddin,0.0,2,1,0,18
BJ Hodge,5.0,125,43,0,22
BJ Rohrer,1.0,22,5,0,24
BMAJ Mendis,0.0,0,0,0,0
BR Dunk,0.0,7,0,0,13
Basil Thampi,0.0,1,1,0,0
Bipul Sharma,0.0,11,9,0,11
C Ingram,0.0,20,5,0,15
C Madan,0.0,4,0,0,15
C Munro,0.0,20,8,0,16
C Nanda,0.0,0,0,0,0
C de Grandhomme,0.0,19,18,0,14
CA Ingram,0.0,3,0,0,0
CA Lynn,9.0,127,63,0,31
CA Pujara,1.0,51,4,0,17
CH Gayle,35.0,383,322,7,36
CH Morris,2.0,37,26,0,14
CJ Anderson,2.0,40,31,0,18
CJ Ferguson,0.0,9,0,0,12
CJ Jordan,0.0,0,0,0,0
CJ McKay,0.0,0,0,0,0
CK Kapugedera,0.0,0,0,0,0
CK Langeveldt,0.0,0,1,0,0
CL White,6.0,75,38,0,21
CM Gautam,0.0,19,6,0,13
CR Brathwaite,0.0,10,16,0,13
CR Woakes,0.0,5,2,0,0
CRD Fernando,0.0,0,0,0,0
D Kalyankrishna,0.0,0,0,0,0
D Salunkhe,0.0,5,0,0,11
D Shorey,0.0,0,1,0,0
D Short,0.0,11,5,0,17
D Wiese,0.0,13,4,0,15
D du Preez,0.0,0,0,0,10
DA Miller,11.0,131,86,1,24
DA Warner,48.0,462,179,4,37
DAJ Bracewell,0.0,1,0,0,12
DB Das,0.0,23,16,0,13
DB Ravi Teja,1.0,36,9,0,15
DE Bollinger,0.0,1,1,0,0
DH Yagnik,0.0,23,2,0,10
DJ Bravo,4.0,118,60,0,15
DJ Harris,0.0,11,5,0,27
DJ Hooda,1.0,26,24,0,11
DJ Hussey,4.0,90,60,0,21
DJ Jacobs,0.0,10,4,0,13
DJ Muthuswami,0.0,0,0,0,0
DJ Thornely,0.0,5,2,0,0
DJG Sammy,1.0,15,18,0,14
DL Chahar,0.0,2,6,0,10
DL Vettori,0.0,12,2,0,0
DM Bravo,0.0,1,0,0,0
DNT Zoysa,0.0,1,0,0,0
DP Nannes,0.0,0,0,0,0
DP Vijaykumar,0.0,0,0,0,0
DPMD Jayawardene,11.0,201,40,1,23
DR Martyn,0.0,1,0,0,19
DR Smith,15.0,249,117,0,27
DS Kulkarni,0.0,7,2,0,0
DS Lehmann,0.0,3,0,0,0
DT Christian,0.0,22,18,0,13
DT Patil,0.0,1,0,0,0
DW Steyn,0.0,16,3,0,0
E Lewis,4.0,36,26,0,29
EJG Morgan,4.0,76,34,0,18
ER Dwivedi,0.0,3,2,0,12
F Behardien,0.0,2,0,0,0
F du Plessis,11.0,165,59,0,29
FH Edwards,0.0,0,0,0,0
FY Fazal,0.0,23,1,0,16
G Gambhir,34.0,499,58,0,27
GB Hogg,0.0,1,0,0,0
GC Smith,4.0,95,9,0,25
GD McGrath,0.0,1,0,0,0
GH Vihari,0.0,23,1,0,13
GJ Bailey,2.0,60,19,0,18
GJ Maxwell,6.0,113,91,0,20
GR Napier,0.0,1,0,0,15
Gurkeerat Singh,2.0,48,11,0,16
H Brar,0.0,2,1,0,22
H Das,0.0,0,0,0,0
H Gurney,0.0,0,0,0,0
H Klaasen,0.0,5,1,0,11
H Vihari,0.0,0,0,0,0
H Viljoen,0.0,1,0,0,0
HH Gibbs,5.0,84,31,0,24
HH Pandya,3.0,74,69,0,18
HM Amla,5.0,60,21,2,36
HV Patel,0.0,3,9,0,0
Harbhajan Singh,1.0,79,42,0,0
Harmeet Singh,0.0,3,0,0,0
Harpreet Singh,0.0,0,0,0,0
I Malhotra,0.0,1,0,0,0
I Sharma,0.0,4,2,0,0
I Sodhi,0.0,0,1,0,0
IC Pandey,0.0,0,0,0,0
IK Pathan,1.0,94,38,0,14
IR Jaggi,0.0,7,0,0,10
Imran Tahir,0.0,3,0,0,0
Iqbal Abdulla,0.0,9,1,0,0
Ishan Kishan,3.0,64,34,0,21
J Archer,0.0,6,4,0,0
J Arunkumar,0.0,5,0,0,0
J Bairstow,4.0,50,18,1,46
J Botha,1.0,39,5,0,14
J Denly,0.0,0,0,0,0
J Searles,0.0,0,1,0,0
J Suchith,0.0,4,2,0,0
J Syed Mohammad,0.0,4,0,0,0
J Theron,0.0,1,0,0,0
J Yadav,0.0,0,0,0,0
JA Morkel,3.0,61,54,0,14
JC Buttler,9.0,141,62,0,31
JD Ryder,4.0,67,19,0,20
JD Unadkat,0.0,6,1,0,0
JDP Oram,0.0,6,5,0,0
JDS Neesham,0.0,3,1,0,14
JE Taylor,0.0,0,0,0,0
JEC Franklin,1.0,25,9,0,20
JH Kallis,17.0,257,44,0,25
JJ Bumrah,0.0,2,1,0,0
JJ Roy,1.0,18,8,0,23
JJ van der Wath,0.0,1,1,0,0
JM Kemp,0.0,1,1,0,13
JO Holder,0.0,4,2,0,0
JP Duminy,14.0,128,79,0,27
JP Faulkner,0.0,36,23,0,11
JR Hopes,4.0,49,11,0,21
Jaskaran Singh,0.0,0,0,0,0
Joginder Sharma,0.0,1,2,0,0
K Ahmed,0.0,0,0,0,0
K Goel,0.0,17,9,0,13
K Gowtham,0.0,10,10,0,0
K Paul,0.0,1,1,0,0
K Rabada,0.0,5,2,0,10
K Upadhyay,0.0,0,1,0,0
KA Pollard,13.0,184,174,0,21
KAJ Roach,0.0,1,0,0,10
KB Arun Karthik,0.0,6,1,0,0
KC Cariappa,0.0,0,2,0,0
KC Sangakkara,9.0,197,26,0,24
KD Karthik,17.0,358,101,1,22
KH Pandya,1.0,86,36,0,19
KJ Abbott,0.0,0,1,0,0
KK Cooper,0.0,9,8,0,0
KK Nair,8.0,159,39,0,23
KL Rahul,17.0,177,81,2,34
KM Jadhav,3.0,92,38,0,15
KMDN Kulasekara,0.0,1,0,0,0
KP Appanna,0.0,0,0,0,0
KP Pietersen,4.0,92,40,1,27
KS Williamson,10.0,114,44,0,32
KV Sharma,0.0,18,14,0,0
KW Richardson,0.0,2,1,0,0
Kamran Akmal,1.0,12,8,0,21
Kamran Khan,0.0,0,0,0,0
Karanveer Singh,0.0,1,0,0,0
Kuldeep Yadav,0.0,4,0,0,0
L Ablish,0.0,0,0,0,0
L Balaji,0.0,2,1,0,0
L Livingstone,0.0,6,5,0,18
L Plunkett,0.0,0,0,0,0
L Ronchi,0.0,6,1,0,0
LA Carseldine,0.0,11,0,0,16
LA Pomersbach,1.0,27,13,0,18
LH Ferguson,0.0,0,0,0,0
LJ Wright,0.0,15,3,0,21
LMP Simmons,12.0,110,44,1,37
LPC Silva,0.0,5,1,0,13
LR Shukla,0.0,33,16,0,12
LRPL Taylor,3.0,68,45,0,18
M Ali,3.0,20,23,0,22
M Ashwin,0.0,0,0,0,0
M Kaif,0.0,23,6,0,11
M Kartik,0.0,7,1,0,0
M Klinger,0.0,9,0,0,18
M Lomror,0.0,3,0,0,0
M Manhas,0.0,44,10,0,13
M Markande,0.0,3,0,0,0
M Morkel,0.0,10,5,0,0
M Muralitharan,0.0,1,0,0,0
M Ntini,0.0,2,0,0,0
M Rawat,0.0,4,1,0,0
M Santner,0.0,0,3,0,17
M Ur Rahman,0.0,2,0,0,0
M Vijay,13.0,247,91,2,25
M Vohra,3.0,98,39,0,22
M Wood,0.0,0,0,0,0
M de Lange,0.0,0,0,0,0
MA Agarwal,5.0,118,52,0,17
MA Khote,0.0,2,1,0,0
MA Starc,0.0,12,0,0,0
MC Henriques,5.0,86,27,0,19
MC Juneja,0.0,11,1,0,17
MD Mishra,0.0,26,8,0,13
MDKJ Perera,0.0,3,0,0,0
MEK Hussey,16.0,200,52,1,34
MF Maharoof,0.0,12,9,0,12
MG Johnson,0.0,10,7,0,0
MJ Clarke,0.0,12,0,0,16
MJ Guptill,0.0,25,14,0,20
MJ Lumb,1.0,47,6,0,23
MJ McClenaghan,0.0,6,7,0,0
MK Pandey,15.0,257,76,1,24
MK Tiwary,6.0,157,40,0,20
ML Hayden,8.0,124,44,0,34
MM Patel,0.0,5,0,0,0
MM Sharma,0.0,9,4,0,0
MN Samuels,0.0,9,7,0,11
MN van Wyk,1.0,18,1,0,33
MP Stoinis,1.0,35,18,0,19
MR Marsh,0.0,9,14,0,16
MS Bisla,4.0,97,23,0,20
MS Dhoni,23.0,303,207,0,26
MS Gony,0.0,6,8,0,0
MS Wade,0.0,0,0,0,0
MV Boucher,0.0,33,12,0,17
Mandeep Singh,5.0,161,33,0,18
Mashrafe Mortaza,0.0,0,0,0,0
Misbah-ul-Haq,0.0,10,6,0,14
Mohammad Ashraful,0.0,0,0,0,0
Mohammad Asif,0.0,0,0,0,0
Mohammad Hafeez,0.0,7,2,0,0
Mohammad Nabi,0.0,11,7,0,14
Mohammed Shami,0.0,5,2,0,0
Mohammed Siraj,0.0,2,1,0,0
Mustafizur Rahman,0.0,0,0,0,0
N Naik,0.0,1,0,0,0
N Pooran,0.0,10,14,0,29
N Rana,7.0,83,60,0,26
N Saini,0.0,16,0,0,11
ND Doshi,0.0,0,0,0,0
NJ Maddinson,0.0,4,0,0,0
NJ Rimmington,0.0,0,0,0,0
NL McCullum,0.0,0,1,0,13
NLTC Perera,0.0,26,26,0,14
NM Coulter-Nile,0.0,3,4,0,0
NS Naik,0.0,1,0,0,11
NV Ojha,6.0,122,78,0,16
Niraj Patel,1.0,15,1,0,20
OA Shah,4.0,35,23,0,23
P Awana,0.0,0,0,0,0
P Chopra,0.0,2,0,0,0
P Dogra,0.0,4,5,0,10
P Krishna,0.0,0,0,0,0
P Kumar,0.0,22,17,0,0
P Negi,0.0,29,16,0,10
P Parameswaran,0.0,0,0,0,0
P R Barman,0.0,2,0,0,20
P Raj,0.0,0,0,0,0
P Sahu,0.0,1,1,0,0
P Shaw,4.0,72,19,1,24
PA Patel,13.0,369,49,0,21
PA Reddy,0.0,15,2,0,16
PC Valthaty,3.0,63,20,1,21
PD Collingwood,3.0,9,13,0,29
PJ Cummins,0.0,5,4,0,0
PJ Sangwan,0.0,1,0,0,0
PM Sarvesh Kumar,0.0,0,0,0,0
PP Chawla,0.0,54,18,0,0
PP Ojha,0.0,0,0,0,0
PR Shah,0.0,9,2,0,10
PSP Handscomb,0.0,0,0,0,0
PV Tambe,0.0,1,0,0,0
Pankaj Singh,0.0,0,0,0,0
Parvez Rasool,0.0,1,0,0,0
Q de Kock,10.0,160,55,1,29
R Ashwin,0.0,32,10,0,0
R Bhatia,0.0,24,13,0,0
R Bhui,0.0,0,0,0,0
R Bishnoi,0.0,1,2,0,0
R Dhawan,0.0,14,4,0,0
R Dravid,11.0,272,28,0,26
R McLaren,1.0,14,1,0,12
R Ninan,0.0,0,0,0,0
R Parag,1.0,18,5,0,33
R Rampaul,0.0,3,2,0,0
R Salam,0.0,0,0,0,0
R Sathish,0.0,22,6,0,11
R Sharma,0.0,5,3,0,0
R Shukla,0.0,2,0,0,0
R Singh,0.0,5,2,0,10
R Tewatia,0.0,11,3,0,9
R Vinay Kumar,0.0,21,9,0,0
RA Jadeja,0.0,136,65,0,15
RA Tripathi,4.0,75,28,0,23
RD Chahar,0.0,2,0,0,0
RE Levi,0.0,10,4,0,13
RE van der Merwe,0.0,13,8,0,10
RG More,0.0,0,0,0,0
RG Sharma,32.0,431,193,1,27
RJ Harris,0.0,6,3,0,0
RJ Peterson,0.0,3,1,0,0
RJ Quiney,1.0,13,3,0,14
RN ten Doeschate,1.0,27,15,0,15
RP Singh,0.0,2,1,0,0
RR Bhatkal,0.0,0,0,0,0
RR Pant,12.0,151,95,1,33
RR Powar,0.0,6,1,0,0
RR Raje,0.0,1,1,0,0
RR Rossouw,0.0,3,3,0,10
RR Sarwan,0.0,6,1,0,18
RS Bopara,3.0,39,16,0,24
RS Gavaskar,0.0,0,0,0,0
RS Sodhi,0.0,1,0,0,0
RT Ponting,0.0,7,2,0,10
RV Gomez,0.0,5,1,0,0
RV Uthappa,23.0,443,156,0,26
Rashid Khan,0.0,5,9,0,0
S Anirudha,1.0,11,7,0,11
S Aravind,0.0,7,0,0,0
S Badree,0.0,0,0,0,0
S Badrinath,11.0,156,28,0,22
S Chanderpaul,0.0,4,0,0,0
S Curran,1.0,13,3,0,11
S Dhawan,32.0,529,95,0,29
S Dube,0.0,1,3,0,10
S Gill,4.0,43,15,0,22
S Gopal,0.0,14,1,0,0
S Hetmyer,1.0,4,7,0,18
S Kaul,0.0,0,0,0,0
S Kaushik,0.0,0,0,0,0
S Ladda,0.0,0,0,0,0
S Lamichhane,0.0,0,0,0,0
S Mavi,0.0,1,0,0,0
S Nadeem,0.0,1,0,0,0
S Narwal,0.0,6,0,0,0
S Rana,0.0,9,1,0,11
S Randiv,0.0,0,0,0,0
S Rutherford,0.0,2,7,0,11
S Sharma,0.0,2,0,0,0
S Singh,0.0,1,1,0,17
S Sohal,2.0,34,18,0,18
S Sreesanth,0.0,7,0,0,0
S Sriram,0.0,3,0,0,15
S Tyagi,0.0,0,0,0,0
S Vidyut,1.0,22,3,0,18
SA Abbott,0.0,1,1,0,0
SA Asnodkar,1.0,59,10,0,22
SA Yadav,1.0,53,21,0,14
SB Bangar,0.0,1,3,0,0
SB Jakati,0.0,3,0,0,0
SB Joshi,0.0,0,0,0,0
SB Styris,0.0,11,3,0,13
SB Wagh,0.0,0,0,0,0
SC Ganguly,6.0,138,41,0,24
SD Chitnis,0.0,10,1,0,12
SD Lad,0.0,1,1,0,15
SE Bond,0.0,0,0,0,0
SE Marsh,21.0,274,77,1,36
SJ Srivastava,0.0,0,0,0,0
SK Raina,38.0,492,194,1,28
SK Trivedi,0.0,3,1,0,0
SK Warne,0.0,14,6,0,0
SL Malinga,0.0,6,5,0,0
SM Harwood,0.0,0,0,0,0
SM Katich,1.0,26,8,0,21
SM Pollock,0.0,12,8,0,18
SMSM Senanayake,0.0,0,0,0,0
SN Khan,1.0,45,12,0,18
SN Thakur,0.0,5,1,0,0
SP Fleming,0.0,26,3,0,19
SP Goswami,1.0,32,3,0,15
SP Jackson,0.0,5,0,0,12
SP Narine,4.0,95,46,0,14
SPD Smith,9.0,183,47,1,28
SR Tendulkar,14.0,300,29,1,29
SR Watson,22.0,345,178,4,27
SS Iyer,11.0,151,67,0,28
SS Shaikh,0.0,1,0,0,0
SS Tiwary,7.0,93,45,0,19
ST Jayasuriya,5.0,85,38,1,25
STR Binny,0.0,66,35,0,13
SV Samson,13.0,172,89,2,25
SW Billings,3.0,33,10,0,17
SW Tait,0.0,1,1,0,0
Sachin Baby,0.0,11,5,0,13
Salman Butt,1.0,30,2,0,27
Sandeep Sharma,0.0,1,0,0,0
Shahid Afridi,0.0,7,6,0,0
Shakib Al Hasan,2.0,71,22,0,16
Shivam Sharma,0.0,1,0,0,0
Shoaib Ahmed,0.0,0,0,0,0
Shoaib Akhtar,0.0,0,0,0,0
Shoaib Malik,0.0,5,0,0,10
Sohail Tanvir,0.0,3,1,0,0
Sunny Gupta,0.0,0,0,0,0
Sunny Singh,0.0,6,1,0,0
Swapnil Singh,0.0,0,0,0,0
T Curran,0.0,3,0,0,0
T Henderson,0.0,0,1,0,0
T Kohli,0.0,0,1,0,0
T Taibu,0.0,3,0,0,10
T Thushara,0.0,0,0,0,0
TA Boult,0.0,0,1,0,0
TD Paine,0.0,0,0,0,0
TG Southee,0.0,8,4,0,0
TL Suman,2.0,55,26,0,17
TM Dilshan,8.0,139,24,0,23
TM Head,1.0,12,8,0,20
TM Srivastava,0.0,0,0,0,0
TR Birt,0.0,9,2,0,15
TS Mills,0.0,0,1,0,0
U Kaul,0.0,0,0,0,0
UA Birla,0.0,1,0,0,0
UBT Chand,1.0,32,9,0,15
UT Khawaja,0.0,14,3,0,21
UT Yadav,0.0,12,4,0,0
Umar Gul,0.0,2,5,0,0
V Kohli,42.0,486,190,5,32
V Pratap Singh,0.0,0,0,0,0
V Sehwag,17.0,340,105,2,26
V Shankar,2.0,34,24,0,21
VH Zol,0.0,3,1,0,14
VR Aaron,0.0,2,2,0,0
VRV Singh,0.0,1,0,0,0
VS Malik,0.0,1,0,0,0
VS Yeligati,0.0,0,0,0,0
VVS Laxman,1.0,34,4,0,14
VY Mahesh,0.0,0,0,0,0
Vishnu Vinod,0.0,1,1,0,0
W Jaffer,0.0,14,3,0,16
WA Mota,0.0,3,0,0,0
WD Parnell,0.0,5,1,0,0
WP Saha,7.0,161,59,1,19
WPUJC Vaas,0.0,2,2,0,0
Washington Sundar,0.0,5,4,0,0
X Thalaivan Sargunam,0.0,0,0,0,10
Y Gnaneswara Rao,0.0,3,0,0,19
Y Nagar,0.0,20,9,0,14
Y Venugopal Rao,3.0,77,37,0,18
YA Abdulla,0.0,0,0,0,0
YK Pathan,15.0,265,161,1,21
YS Chahal,0.0,0,0,0,0
YV Takawale,0.0,27,3,0,19
Yashpal Singh,0.0,5,0,0,11
Younis Khan,0.0,0,0,0,0
Yuvraj Singh,12.0,218,149,0,21
Z Khan,0.0,11,2,0,0
