,batsman,batsman_runs_x,total_runs_x,total_runs_y,batsman_runs_y,batsman_runs
131,MC Juneja,17.857142857142858,11,1,0,0
132,SW Billings,17.789473684210527,33,10,3,0
133,CA Pujara,17.727272727272727,51,4,1,0
134,MA Agarwal,17.722222222222218,118,52,5,0
135,AD Mathews,17.658536585365855,45,29,1,0
136,D Short,17.571428571428573,11,5,0,0
137,M Santner,17.5,0,3,0,0
138,AL Menaria,17.434782608695652,24,17,0,0
139,TL Suman,17.333333333333332,55,26,2,0
140,AC Blizzard,17.142857142857142,22,2,1,0
141,MV Boucher,17.130434782608695,33,12,0,0
142,AP Dole,17.0,3,1,0,0
143,S Singh,17.0,1,1,0,0
144,FY Fazal,16.636363636363637,23,1,0,0
145,NV Ojha,16.54255319148936,122,78,6,0
146,Gurkeerat Singh,16.51851851851852,48,11,2,0
147,Shakib Al Hasan,16.5,71,22,2,0
148,PA Reddy,16.4,15,2,0,0
149,C Munro,16.363636363636363,20,8,0,0
150,MJ Clarke,16.333333333333332,12,0,0,0
151,W Jaffer,16.25,14,3,0,0
152,LA Carseldine,16.2,11,0,0,0
153,MR Marsh,16.071428571428573,9,14,0,0
154,D Wiese,15.875,13,4,0,0
155,SP Goswami,15.842105263157894,32,3,1,0
156,Anirudh Singh,15.75,6,1,0,0
157,BB Samantray,15.625,13,2,1,0
158,RA Jadeja,15.607999999999999,136,65,0,0
159,KM Jadhav,15.585714285714285,92,38,3,0
160,C Ingram,15.583333333333336,20,5,0,0
161,RN ten Doeschate,15.523809523809526,27,15,1,0
162,S Sriram,15.5,3,0,0,0
163,DJ Bravo,15.131313131313133,118,60,4,0
164,C Madan,15.0,4,0,0,0
165,SD Lad,15.0,1,1,0,0
166,A Joseph,15.0,2,0,0,0
167,UBT Chand,15.0,32,9,1,0
168,DB Ravi Teja,15.0,36,9,1,0
169,GR Napier,15.0,1,0,0,0
170,TR Birt,15.0,9,2,0,0
171,C de Grandhomme,14.904761904761903,19,18,0,0
172,SP Narine,14.870370370370368,95,46,4,0
173,DJG Sammy,14.75,15,18,1,0
174,RJ Quiney,14.714285714285715,13,3,1,0
175,Misbah-ul-Haq,14.625,10,6,0,0
176,J Botha,14.607142857142858,39,5,1,0
177,Mohammad Nabi,14.6,11,7,0,0
178,JA Morkel,14.552238805970148,61,54,3,0
179,VH Zol,14.5,3,1,0,0
180,SA Yadav,14.476190476190474,53,21,1,0
181,AA Jhunjhunwala,14.466666666666667,20,5,1,0
182,Y Nagar,14.25,20,9,0,0
183,NLTC Perera,14.133333333333333,26,26,0,0
184,BCJ Cutting,14.117647058823529,15,19,0,0
185,VVS Laxman,14.1,34,4,1,0
186,CH Morris,14.054054054054054,37,26,2,0
187,IK Pathan,14.024390243902438,94,38,1,0
188,JDS Neesham,14.0,3,1,0,0
189,AB Barath,14.0,5,1,0,0
190,MD Mishra,13.941176470588234,26,8,0,0
191,RE Levi,13.833333333333336,10,4,0,0
192,DB Das,13.818181818181818,23,16,0,0
193,Sachin Baby,13.7,11,5,0,0
194,AB McDonald,13.666666666666664,9,4,0,0
195,K Goel,13.625,17,9,0,0
196,M Manhas,13.526315789473687,44,10,0,0
197,AM Nayar,13.44,57,20,0,0
198,CR Brathwaite,13.428571428571427,10,16,0,0
199,STR Binny,13.363636363636365,66,35,0,0
200,LPC Silva,13.333333333333336,5,1,0,0
201,B Chipli,13.333333333333336,29,7,1,0
202,BR Dunk,13.333333333333336,7,0,0,0
203,GH Vihari,13.333333333333336,23,1,0,0
204,DT Christian,13.176470588235292,22,18,0,0
205,DJ Jacobs,13.142857142857142,10,4,0,0
206,SB Styris,13.1,11,3,0,0
207,JM Kemp,13.0,1,1,0,0
208,NL McCullum,13.0,0,1,0,0
209,AR Patel,13.0,48,35,0,0
210,CM Gautam,13.0,19,6,0,0
211,SP Jackson,12.666666666666664,5,0,0,0
212,MF Maharoof,12.642857142857142,12,9,0,0
213,AP Tare,12.555555555555555,41,11,1,0
214,SD Chitnis,12.375,10,1,0,0
215,LR Shukla,12.272727272727273,33,16,0,0
216,CJ Ferguson,12.25,9,0,0,0
217,R McLaren,12.230769230769232,14,1,1,0
218,A Ashish Reddy,12.173913043478262,17,15,0,0
219,AS Raut,12.125,13,7,0,0
220,DAJ Bracewell,12.0,1,0,0,0
221,ER Dwivedi,12.0,3,2,0,0
222,AR Bawne,12.0,1,0,0,0
223,N Saini,11.916666666666664,16,0,0,0
224,DJ Hooda,11.888888888888891,26,24,1,0
225,S Curran,11.875,13,3,1,0
226,M Kaif,11.772727272727273,23,6,0,0
227,Yashpal Singh,11.75,5,0,0,0
228,S Rutherford,11.714285714285715,2,7,0,0
229,JP Faulkner,11.711111111111109,36,23,0,0
230,MN Samuels,11.5,9,7,0,0
231,NS Naik,11.5,1,0,0,0
232,S Rana,11.375,9,1,0,0
233,S Anirudha,11.333333333333336,11,7,1,0
234,H Klaasen,11.333333333333336,5,1,0,0
235,R Sathish,11.25,22,6,0,0
236,D Salunkhe,11.0,5,0,0,0
237,Bipul Sharma,11.0,11,9,0,0
238,IR Jaggi,10.857142857142858,7,0,0,0
239,RE van der Merwe,10.6,13,8,0,0
240,RR Rossouw,10.6,3,3,0,0
241,P Dogra,10.583333333333334,4,5,0,0
242,P Negi,10.457142857142856,29,16,0,0
243,DL Chahar,10.428571428571429,2,6,0,0
244,R Singh,10.428571428571429,5,2,0,0
245,Shoaib Malik,10.4,5,0,0,0
246,T Taibu,10.333333333333334,3,0,0,0
247,Ankit Sharma,10.25,11,9,0,0
248,PR Shah,10.222222222222221,9,2,0,0
249,RT Ponting,10.111111111111109,7,2,0,0
250,S Dube,10.0,1,3,0,0
251,KAJ Roach,10.0,1,0,0,0
252,X Thalaivan Sargunam,10.0,0,0,0,0
253,DH Yagnik,10.0,23,2,0,0
254,D du Preez,10.0,0,0,0,0
255,K Rabada,10.0,5,2,0,0
256,AB Agarkar,9.944444444444443,13,5,0,0
257,R Tewatia,9.916666666666666,11,3,0,0
