Subject,SubjectId,Split,PA,AB,H,TB,BB,SF,HBP
PitcherId,446321,vs RHH,35,32,12,17,3,0,0
PitcherId,446372,vs LHH,27,25,8,9,1,0,1
PitcherId,446372,vs RHH,47,41,8,18,5,0,1
PitcherId,446399,vs LHH,9,8,1,4,0,0,1
PitcherId,446399,vs RHH,9,9,1,1,0,0,0
PitcherId,446899,vs LHH,6,5,0,0,1,0,0
PitcherId,446899,vs RHH,23,21,6,7,2,0,0
PitcherId,448178,vs LHH,1,1,0,0,0,0,0
PitcherId,448178,vs RHH,2,1,0,0,1,0,0
PitcherId,448179,vs LHH,9,7,6,7,2,0,0
PitcherId,448179,vs RHH,54,51,10,17,1,1,0
PitcherId,448281,vs LHH,13,13,6,9,0,0,0
PitcherId,448281,vs RHH,12,11,2,5,0,0,0
PitcherId,448306,vs LHH,62,54,15,23,5,1,1
PitcherId,448306,vs RHH,47,40,8,14,6,0,1
PitcherId,448609,vs LHH,12,12,1,1,0,0,0
PitcherId,448609,vs RHH,8,6,2,3,2,0,0
PitcherId,448614,vs LHH,22,20,4,4,1,0,1
PitcherId,448614,vs RHH,19,18,5,6,1,0,0
PitcherId,448802,vs LHH,13,12,1,4,1,0,0
PitcherId,448802,vs RHH,15,14,5,11,1,0,0
PitcherId,449104,vs LHH,7,7,1,2,0,0,0
PitcherId,449104,vs RHH,12,11,3,3,1,0,0
PitcherId,450172,vs LHH,58,46,13,23,10,1,1
PitcherId,450172,vs RHH,33,28,9,16,5,0,0
PitcherId,450212,vs LHH,9,7,2,5,2,0,0
PitcherId,450212,vs RHH,10,9,3,4,1,0,0
PitcherId,450275,vs LHH,12,10,2,4,1,1,0
PitcherId,450275,vs RHH,6,5,1,1,1,0,0
PitcherId,450306,vs LHH,6,6,2,6,0,0,0
PitcherId,450306,vs RHH,41,38,6,8,3,0,0
PitcherId,450308,vs LHH,24,23,7,12,1,0,0
PitcherId,450308,vs RHH,44,39,7,10,5,0,0
PitcherId,450729,vs LHH,31,26,12,24,4,0,1
PitcherId,450729,vs RHH,20,20,6,8,0,0,0
PitcherId,451584,vs LHH,11,11,2,2,0,0,0
PitcherId,451584,vs RHH,12,12,3,5,0,0,0
PitcherId,451596,vs LHH,28,22,4,6,4,1,0
PitcherId,451596,vs RHH,40,36,11,19,4,0,0
PitcherId,451661,vs LHH,8,8,1,1,0,0,0
PitcherId,451661,vs RHH,20,17,4,8,3,0,0
PitcherId,452027,vs LHH,2,2,0,0,0,0,0
PitcherId,452027,vs RHH,3,2,1,1,1,0,0
PitcherId,452061,vs LHH,8,8,4,7,0,0,0
PitcherId,452061,vs RHH,19,18,4,7,1,0,0
PitcherId,452657,vs LHH,15,15,3,4,0,0,0
PitcherId,452657,vs RHH,62,54,12,20,4,1,2
PitcherId,452666,vs LHH,6,6,1,1,0,0,0
PitcherId,452666,vs RHH,8,6,3,5,2,0,0
PitcherId,453172,vs LHH,6,6,3,4,0,0,0
PitcherId,453172,vs RHH,20,16,1,1,3,0,1
PitcherId,453178,vs LHH,67,58,17,29,6,1,2
PitcherId,453178,vs RHH,38,33,7,10,4,1,0
PitcherId,453192,vs LHH,3,3,0,0,0,0,0
PitcherId,453192,vs RHH,29,28,3,5,1,0,0
PitcherId,453249,vs LHH,4,3,1,2,1,0,0
PitcherId,453249,vs RHH,16,14,2,3,2,0,0
PitcherId,453265,vs LHH,2,2,0,0,0,0,0
PitcherId,453265,vs RHH,20,20,4,9,0,0,0
PitcherId,453281,vs LHH,12,10,2,2,0,2,0
PitcherId,453281,vs RHH,25,23,3,5,2,0,0
PitcherId,453284,vs LHH,4,3,1,1,1,0,0
PitcherId,453284,vs RHH,14,10,5,6,3,0,1
PitcherId,453286,vs LHH,44,37,13,26,5,0,0
PitcherId,453286,vs RHH,63,59,13,22,3,1,0
PitcherId,453329,vs LHH,48,41,7,9,5,0,1
PitcherId,453329,vs RHH,25,23,4,5,1,1,0
PitcherId,453343,vs LHH,7,7,1,1,0,0,0
PitcherId,453343,vs RHH,19,19,2,3,0,0,0
PitcherId,453344,vs LHH,3,2,0,0,1,0,0
PitcherId,453344,vs RHH,15,14,4,6,0,0,0
PitcherId,453385,vs LHH,5,4,0,0,1,0,0
PitcherId,453385,vs RHH,69,60,17,23,8,1,0
PitcherId,453562,vs LHH,27,21,9,14,5,0,1
PitcherId,453562,vs RHH,49,46,10,15,2,0,0
PitcherId,453646,vs LHH,4,4,0,0,0,0,0
PitcherId,453646,vs RHH,3,2,0,0,1,0,0
PitcherId,455009,vs LHH,12,12,2,5,0,0,0
PitcherId,455009,vs RHH,10,9,3,6,0,0,1
PitcherId,455374,vs LHH,6,5,2,5,1,0,0
PitcherId,455374,vs RHH,24,21,5,9,3,0,0
PitcherId,456027,vs LHH,14,10,2,2,4,0,0
PitcherId,456027,vs RHH,11,10,3,7,1,0,0
PitcherId,456034,vs LHH,26,24,9,14,0,0,0
PitcherId,456034,vs RHH,79,73,22,41,6,0,0
PitcherId,456068,vs LHH,42,39,9,13,0,2,1
PitcherId,456068,vs RHH,36,35,8,12,0,0,1
PitcherId,456167,vs LHH,9,7,1,2,2,0,0
PitcherId,456167,vs RHH,25,20,9,16,4,0,1
PitcherId,456501,vs LHH,54,50,13,18,4,0,0
PitcherId,456501,vs RHH,33,33,9,12,0,0,0
PitcherId,456696,vs LHH,18,17,6,10,1,0,0
PitcherId,456696,vs RHH,16,14,3,4,1,0,1
PitcherId,456713,vs LHH,7,7,1,1,0,0,0
PitcherId,456713,vs RHH,19,19,3,4,0,0,0
PitcherId,457429,vs LHH,11,6,1,1,3,0,1
PitcherId,457429,vs RHH,9,8,3,10,1,0,0
PitcherId,457435,vs LHH,6,5,2,3,1,0,0
PitcherId,457435,vs RHH,10,8,1,1,2,0,0
PitcherId,457732,vs LHH,6,5,1,1,0,0,1
PitcherId,457732,vs RHH,23,21,8,13,1,1,0
PitcherId,457918,vs LHH,27,25,7,10,2,0,0
PitcherId,457918,vs RHH,77,68,12,15,8,0,1
PitcherId,458006,vs LHH,6,6,3,5,0,0,0
PitcherId,458006,vs RHH,4,4,1,2,0,0,0
PitcherId,458677,vs LHH,7,6,2,2,1,0,0
PitcherId,458677,vs RHH,19,15,2,5,4,0,0
PitcherId,458708,vs LHH,35,33,6,9,0,1,0
PitcherId,458708,vs RHH,42,42,10,15,0,0,0
PitcherId,459429,vs LHH,5,3,2,2,2,0,0
PitcherId,459429,vs RHH,3,3,1,1,0,0,0
PitcherId,460059,vs LHH,11,10,5,9,0,0,0
PitcherId,460059,vs RHH,8,8,3,3,0,0,0
PitcherId,460283,vs LHH,9,7,2,3,1,0,1
PitcherId,460283,vs RHH,8,7,1,4,1,0,0
PitcherId,461325,vs LHH,10,10,2,3,0,0,0
PitcherId,461325,vs RHH,22,18,7,15,4,0,0
PitcherId,461829,vs LHH,14,13,7,8,1,0,0
PitcherId,461829,vs RHH,53,46,15,18,5,0,2
PitcherId,461872,vs LHH,3,2,0,0,1,0,0
PitcherId,461872,vs RHH,4,4,0,0,0,0,0
PitcherId,462136,vs LHH,53,48,7,11,5,0,0
PitcherId,462136,vs RHH,21,19,2,3,2,0,0
PitcherId,462382,vs LHH,19,19,4,5,0,0,0
PitcherId,462382,vs RHH,16,14,5,6,2,0,0
PitcherId,462515,vs LHH,12,11,0,0,1,0,0
PitcherId,462515,vs RHH,8,7,0,0,1,0,0
PitcherId,465657,vs LHH,9,9,2,2,0,0,0
PitcherId,465657,vs RHH,10,10,4,9,0,0,0
PitcherId,467008,vs LHH,8,8,1,3,0,0,0
PitcherId,467008,vs RHH,6,3,0,0,2,0,1
PitcherId,467100,vs LHH,19,17,10,13,0,2,0
PitcherId,467100,vs RHH,43,37,12,14,0,2,2
PitcherId,468504,vs LHH,25,24,2,5,1,0,0
PitcherId,468504,vs RHH,46,41,12,13,4,1,0
PitcherId,471822,vs LHH,7,6,2,4,1,0,0
PitcherId,471822,vs RHH,24,23,4,5,1,0,0
PitcherId,471911,vs RHH,1,1,1,1,0,0,0
PitcherId,472551,vs LHH,3,2,1,1,0,0,1
PitcherId,472551,vs RHH,2,1,1,4,1,0,0
PitcherId,472610,vs LHH,13,11,3,4,2,0,0
PitcherId,472610,vs RHH,8,7,3,7,1,0,0
PitcherId,473879,vs LHH,10,8,1,1,2,0,0
PitcherId,473879,vs RHH,14,13,3,3,1,0,0
PitcherId,474284,vs LHH,2,1,0,0,1,0,0
PitcherId,474284,vs RHH,17,16,8,12,1,0,0
PitcherId,474463,vs LHH,13,12,6,6,0,1,0
PitcherId,474463,vs RHH,22,20,5,10,1,0,0
PitcherId,474699,vs LHH,10,8,1,1,2,0,0
PitcherId,474699,vs RHH,5,3,0,0,2,0,0
PitcherId,475054,vs LHH,5,3,0,0,1,0,1
PitcherId,475054,vs RHH,12,12,2,3,0,0,0
PitcherId,475243,vs LHH,6,6,0,0,0,0,0
PitcherId,475243,vs RHH,8,7,0,0,1,0,0
PitcherId,475479,vs LHH,16,13,2,2,3,0,0
PitcherId,475479,vs RHH,12,10,1,1,2,0,0
PitcherId,476123,vs LHH,15,13,5,5,2,0,0
PitcherId,476123,vs RHH,13,11,2,6,2,0,0
PitcherId,476451,vs LHH,40,38,7,10,2,0,0
PitcherId,476451,vs RHH,24,21,4,5,1,0,2
PitcherId,476454,vs LHH,6,5,2,2,1,0,0
PitcherId,476454,vs RHH,15,11,3,6,4,0,0
PitcherId,476589,vs LHH,15,13,4,10,2,0,0
PitcherId,476589,vs RHH,24,22,6,8,1,0,0
PitcherId,477132,vs LHH,24,24,2,2,0,0,0
PitcherId,477132,vs RHH,48,45,10,14,2,1,0
PitcherId,477569,vs LHH,20,20,4,8,0,0,0
PitcherId,477569,vs RHH,14,14,2,5,0,0,0
PitcherId,488748,vs LHH,1,1,0,0,0,0,0
PitcherId,488748,vs RHH,7,6,1,1,1,0,0
PitcherId,488768,vs LHH,30,25,8,15,5,0,0
PitcherId,488768,vs RHH,29,26,7,13,3,0,0
PitcherId,488786,vs LHH,6,3,1,1,3,0,0
PitcherId,488786,vs RHH,19,15,5,14,4,0,0
PitcherId,488846,vs LHH,8,8,0,0,0,0,0
PitcherId,488846,vs RHH,6,6,0,0,0,0,0
PitcherId,488984,vs LHH,9,9,3,4,0,0,0
PitcherId,488984,vs RHH,18,17,6,6,1,0,0
PitcherId,489119,vs LHH,10,8,0,0,1,0,1
PitcherId,489119,vs RHH,64,63,17,24,1,0,0
PitcherId,489265,vs LHH,12,12,4,5,0,0,0
PitcherId,489265,vs RHH,11,11,1,1,0,0,0
PitcherId,489294,vs LHH,3,3,0,0,0,0,0
PitcherId,489294,vs RHH,19,17,4,7,2,0,0
PitcherId,489446,vs LHH,2,1,0,0,1,0,0
PitcherId,489446,vs RHH,14,11,3,4,3,0,0
PitcherId,490063,vs LHH,21,19,5,6,2,0,0
PitcherId,490063,vs RHH,24,23,9,13,1,0,0
PitcherId,491646,vs LHH,13,11,7,13,2,0,0
PitcherId,491646,vs RHH,7,5,2,3,1,0,1
PitcherId,491708,vs LHH,5,5,0,0,0,0,0
PitcherId,491708,vs RHH,9,6,0,0,3,0,0
PitcherId,493157,vs LHH,13,12,1,2,1,0,0
PitcherId,493157,vs RHH,13,11,2,3,1,0,1
PitcherId,493200,vs LHH,14,14,4,5,0,0,0
PitcherId,493200,vs RHH,16,16,4,7,0,0,0
PitcherId,493247,vs LHH,8,7,2,5,1,0,0
PitcherId,493247,vs RHH,19,17,2,3,1,1,0
PitcherId,493603,vs LHH,7,7,1,4,0,0,0
PitcherId,493603,vs RHH,9,9,2,5,0,0,0
PitcherId,497807,vs LHH,15,13,3,9,2,0,0
PitcherId,497807,vs RHH,11,10,3,6,0,0,0
PitcherId,500610,vs LHH,7,7,4,7,0,0,0
PitcherId,500610,vs RHH,18,16,6,8,2,0,0
PitcherId,500724,vs LHH,11,11,3,4,0,0,0
PitcherId,500724,vs RHH,21,16,2,3,4,1,0
PitcherId,500779,vs LHH,18,15,6,10,3,0,0
PitcherId,500779,vs RHH,54,49,15,23,5,0,0
PitcherId,501381,vs LHH,21,18,4,6,3,0,0
PitcherId,501381,vs RHH,45,41,9,21,4,0,0
PitcherId,501593,vs LHH,10,10,2,2,0,0,0
PitcherId,501593,vs RHH,5,4,0,0,1,0,0
PitcherId,501625,vs LHH,3,3,0,0,0,0,0
PitcherId,501625,vs RHH,13,13,5,5,0,0,0
PitcherId,501697,vs LHH,9,8,2,4,1,0,0
PitcherId,501697,vs RHH,21,20,6,8,0,0,0
PitcherId,501789,vs LHH,13,12,2,2,1,0,0
PitcherId,501789,vs RHH,9,8,2,3,1,0,0
PitcherId,501817,vs LHH,3,3,1,1,0,0,0
PitcherId,501817,vs RHH,5,4,1,1,1,0,0
PitcherId,501925,vs LHH,2,2,0,0,0,0,0
PitcherId,501925,vs RHH,14,14,2,2,0,0,0
PitcherId,501957,vs LHH,24,21,7,9,2,0,1
PitcherId,501957,vs RHH,38,30,8,16,5,2,1
PitcherId,502004,vs LHH,3,3,1,1,0,0,0
PitcherId,502004,vs RHH,7,5,1,1,1,1,0
PitcherId,502009,vs LHH,6,5,1,1,1,0,0
PitcherId,502009,vs RHH,9,8,4,7,1,0,0
PitcherId,502026,vs LHH,1,1,1,2,0,0,0
PitcherId,502026,vs RHH,14,12,2,2,2,0,0
PitcherId,502028,vs LHH,14,12,4,8,2,0,0
PitcherId,502028,vs RHH,21,21,6,14,0,0,0
PitcherId,502032,vs LHH,1,1,0,0,0,0,0
PitcherId,502032,vs RHH,3,3,2,5,0,0,0
PitcherId,502042,vs LHH,45,42,11,24,3,0,0
PitcherId,502042,vs RHH,36,34,9,11,2,0,0
PitcherId,502043,vs LHH,42,34,9,11,7,0,1
PitcherId,502043,vs RHH,35,34,12,18,0,0,1
PitcherId,502046,vs LHH,2,2,0,0,0,0,0
PitcherId,502046,vs RHH,3,3,2,2,0,0,0
PitcherId,502051,vs LHH,5,5,1,4,0,0,0
PitcherId,502051,vs RHH,14,13,0,0,1,0,0
PitcherId,502083,vs LHH,8,7,1,1,1,0,0
PitcherId,502083,vs RHH,14,12,1,1,2,0,0
PitcherId,502085,vs LHH,9,9,2,3,0,0,0
PitcherId,502085,vs RHH,5,3,0,0,1,0,1
PitcherId,502087,vs LHH,16,15,8,10,1,0,0
PitcherId,502087,vs RHH,7,5,1,1,2,0,0
PitcherId,502154,vs LHH,6,6,3,3,0,0,0
PitcherId,502154,vs RHH,23,23,4,4,0,0,0
PitcherId,502171,vs LHH,23,20,11,22,3,0,0
PitcherId,502171,vs RHH,10,10,6,10,0,0,0
PitcherId,502188,vs LHH,41,38,11,16,3,0,0
PitcherId,502188,vs RHH,34,30,5,5,2,0,0
PitcherId,502190,vs LHH,35,31,9,13,4,0,0
PitcherId,502190,vs RHH,32,31,10,10,0,1,0
PitcherId,502202,vs LHH,16,10,2,2,4,1,1
PitcherId,502202,vs RHH,17,14,4,7,3,0,0
PitcherId,502239,vs LHH,5,5,0,0,0,0,0
PitcherId,502239,vs RHH,16,13,2,3,3,0,0
PitcherId,502327,vs LHH,14,13,1,1,1,0,0
PitcherId,502327,vs RHH,85,77,20,38,7,0,0
PitcherId,502381,vs LHH,13,11,3,7,2,0,0
PitcherId,502381,vs RHH,14,12,5,6,1,1,0
PitcherId,502522,vs LHH,8,8,3,10,0,0,0
PitcherId,502522,vs RHH,7,6,2,2,1,0,0
PitcherId,502624,vs LHH,27,25,5,8,2,0,0
PitcherId,502624,vs RHH,42,38,12,23,4,0,0
PitcherId,502706,vs LHH,4,4,1,1,0,0,0
PitcherId,502706,vs RHH,25,23,6,9,2,0,0
PitcherId,502748,vs LHH,22,18,2,6,4,0,0
PitcherId,502748,vs RHH,38,34,7,15,4,0,0
PitcherId,503285,vs LHH,2,2,1,4,0,0,0
PitcherId,503285,vs RHH,11,11,1,1,0,0,0
PitcherId,503444,vs LHH,9,8,1,2,1,0,0
PitcherId,503444,vs RHH,9,7,1,2,2,0,0
PitcherId,503449,vs LHH,44,41,12,15,2,0,0
PitcherId,503449,vs RHH,28,26,7,8,2,0,0
PitcherId,504379,vs LHH,15,13,2,3,1,1,0
PitcherId,504379,vs RHH,27,27,8,11,0,0,0
PitcherId,506433,vs LHH,40,36,6,9,3,1,0
PitcherId,506433,vs RHH,34,31,6,10,3,0,0
PitcherId,514669,vs RHH,7,6,0,0,1,0,0
PitcherId,516714,vs LHH,7,6,2,2,1,0,0
PitcherId,516714,vs RHH,5,5,2,5,0,0,0
PitcherId,516969,vs LHH,19,17,6,9,2,0,0
PitcherId,516969,vs RHH,13,11,5,8,1,1,0
PitcherId,517008,vs LHH,17,17,3,3,0,0,0
PitcherId,517008,vs RHH,14,14,5,5,0,0,0
PitcherId,517414,vs LHH,11,7,1,1,3,1,0
PitcherId,517414,vs RHH,14,11,2,6,2,0,1
PitcherId,518397,vs LHH,5,5,2,2,0,0,0
PitcherId,518397,vs RHH,3,3,1,3,0,0,0
PitcherId,518452,vs LHH,47,38,9,11,5,0,1
PitcherId,518452,vs RHH,32,29,12,22,3,0,0
PitcherId,518468,vs LHH,2,1,1,2,1,0,0
PitcherId,518468,vs RHH,5,3,0,0,1,1,0
PitcherId,518516,vs LHH,21,21,1,1,0,0,0
PitcherId,518516,vs RHH,57,53,13,25,2,0,2
PitcherId,518553,vs LHH,15,12,1,1,3,0,0
PitcherId,518553,vs RHH,7,6,1,2,1,0,0
PitcherId,518560,vs LHH,22,21,3,7,1,0,0
PitcherId,518560,vs RHH,41,38,7,11,2,0,1
PitcherId,518567,vs LHH,31,26,4,7,2,0,1
PitcherId,518567,vs RHH,45,42,11,20,3,0,0
PitcherId,518617,vs LHH,4,4,1,1,0,0,0
PitcherId,518617,vs RHH,14,9,2,3,5,0,0
PitcherId,518633,vs LHH,11,10,3,3,0,0,0
PitcherId,518633,vs RHH,69,61,20,40,8,0,0
PitcherId,518715,vs LHH,2,2,0,0,0,0,0
PitcherId,518715,vs RHH,11,11,2,4,0,0,0
PitcherId,518716,vs LHH,18,14,5,8,2,0,2
PitcherId,518716,vs RHH,25,24,6,8,0,0,0
PitcherId,518748,vs LHH,7,6,3,4,1,0,0
PitcherId,518748,vs RHH,13,11,4,6,2,0,0
PitcherId,518858,vs LHH,6,5,1,1,1,0,0
PitcherId,518858,vs RHH,7,7,1,2,0,0,0
PitcherId,518875,vs LHH,9,9,1,1,0,0,0
PitcherId,518875,vs RHH,13,12,0,0,1,0,0
PitcherId,518883,vs LHH,14,13,3,4,1,0,0
PitcherId,518883,vs RHH,13,12,3,4,1,0,0
PitcherId,518886,vs LHH,15,10,1,1,4,1,0
PitcherId,518886,vs RHH,17,13,1,4,3,0,0
PitcherId,518927,vs LHH,9,9,1,1,0,0,0
PitcherId,518927,vs RHH,13,10,4,10,2,0,0
PitcherId,519043,vs LHH,28,28,6,7,0,0,0
PitcherId,519043,vs RHH,64,56,17,21,6,0,1
PitcherId,519076,vs LHH,37,33,9,10,4,0,0
PitcherId,519076,vs RHH,37,33,9,22,4,0,0
PitcherId,519085,vs LHH,4,4,1,1,0,0,0
PitcherId,519085,vs RHH,21,18,4,11,2,0,1
PitcherId,519096,vs LHH,11,11,0,0,0,0,0
PitcherId,519096,vs RHH,12,12,3,3,0,0,0
PitcherId,519141,vs LHH,17,17,5,8,0,0,0
PitcherId,519141,vs RHH,26,24,6,13,2,0,0
PitcherId,519144,vs LHH,33,32,9,11,1,0,0
PitcherId,519144,vs RHH,55,51,11,19,2,1,1
PitcherId,519151,vs LHH,5,5,1,1,0,0,0
PitcherId,519151,vs RHH,6,5,1,1,0,0,1
PitcherId,519168,vs LHH,5,4,1,1,1,0,0
PitcherId,519168,vs RHH,4,4,1,1,0,0,0
PitcherId,519186,vs LHH,7,4,3,4,2,1,0
PitcherId,519186,vs RHH,4,3,0,0,1,0,0
PitcherId,519240,vs LHH,8,6,2,3,0,1,0
PitcherId,519240,vs RHH,6,4,2,2,2,0,0
PitcherId,519242,vs LHH,15,14,3,4,0,0,1
PitcherId,519242,vs RHH,93,87,25,47,2,1,3
PitcherId,519267,vs LHH,9,8,1,2,0,0,0
PitcherId,519267,vs RHH,22,21,1,2,1,0,0
PitcherId,519293,vs LHH,7,6,1,1,1,0,0
PitcherId,519293,vs RHH,11,11,1,1,0,0,0
PitcherId,519294,vs LHH,9,7,2,2,2,0,0
PitcherId,519294,vs RHH,11,11,3,6,0,0,0
PitcherId,519301,vs LHH,5,5,1,2,0,0,0
PitcherId,519301,vs RHH,6,5,0,0,1,0,0
PitcherId,519322,vs LHH,4,4,0,0,0,0,0
PitcherId,519322,vs RHH,13,13,1,1,0,0,0
PitcherId,519326,vs LHH,4,3,1,2,1,0,0
PitcherId,519326,vs RHH,7,7,1,1,0,0,0
PitcherId,519381,vs LHH,7,6,1,2,1,0,0
PitcherId,519381,vs RHH,5,4,1,1,1,0,0
PitcherId,519437,vs LHH,3,3,1,1,0,0,0
PitcherId,519437,vs RHH,2,2,1,1,0,0,0
PitcherId,519455,vs LHH,14,14,3,7,0,0,0
PitcherId,519455,vs RHH,16,12,4,6,3,0,0
PitcherId,520980,vs LHH,8,7,1,1,1,0,0
PitcherId,520980,vs RHH,18,18,3,4,0,0,0
PitcherId,521230,vs LHH,15,12,4,5,3,0,0
PitcherId,521230,vs RHH,19,18,3,7,1,0,0
PitcherId,523260,vs LHH,12,11,2,5,1,0,0
PitcherId,523260,vs RHH,18,18,4,4,0,0,0
PitcherId,523848,vs LHH,15,13,7,7,2,0,0
PitcherId,523848,vs RHH,15,12,3,4,2,0,1
PitcherId,527048,vs LHH,4,3,0,0,0,1,0
PitcherId,527048,vs RHH,71,65,20,33,4,0,1
