,,age_grp,Count,Notes,Rate,Statistics
39,2011,0-1,18.0,,5.07,
39,2012,0-1,5.0,,1.4,
39,2013,0-1,11.0,,3.14,
39,2014,0-1,0.0,,0.0,
39,2015,0-1,5.0,,1.4,
39,Year,0-1,,,,Greene
40,Year,0-1,,,,Grundy
41,Year,0-1,,,,Harrison
42,Year,0-1,,,,Henry
43,Year,0-1,,,,Hickory
44,Year,0-1,,,,Holt
45,Year,0-1,,,,Howard
46,Year,0-1,,,,Howell
47,Year,0-1,,,,Iron
48,2006,0-1,,*,,
48,2001,0-1,33.0,,3.26,
48,2002,0-1,30.0,,2.96,
48,2003,0-1,35.0,,3.45,
48,2004,0-1,32.0,,3.1,
48,2005,0-1,26.0,,2.5,
48,2006,0-1,15.0,,1.4,
48,2007,0-1,32.0,,3.01,
48,2008,0-1,24.0,,2.29,
48,2009,0-1,23.0,,2.22,
48,2010,0-1,36.0,,3.69,
48,2011,0-1,21.0,,2.19,
48,2012,0-1,29.0,,3.01,
48,2013,0-1,33.0,,3.48,
48,2014,0-1,22.0,,2.31,
48,2015,0-1,25.0,,2.68,
48,Year,0-1,,,,Jackson
49,Year,0-1,,,,Jasper
50,Year,0-1,,,,Jefferson
51,Year,0-1,,,,Johnson
52,Year,0-1,,,,Knox
53,Year,0-1,,,,Laclede
54,Year,0-1,,,,Lafayette
55,Year,0-1,,,,Lawrence
56,Year,0-1,,,,Lewis
57,Year,0-1,,,,Lincoln
58,Year,0-1,,,,Linn
59,Year,0-1,,,,Livingston
60,Year,0-1,,,,Macon
61,Year,0-1,,,,Madison
62,Year,0-1,,,,Maries
63,Year,0-1,,,,Marion
64,Year,0-1,,,,McDonald
65,Year,0-1,,,,Mercer
66,Year,0-1,,,,Miller
67,Year,0-1,,,,Mississippi
68,Year,0-1,,,,Moniteau
69,Year,0-1,,,,Monroe
70,Year,0-1,,,,Montgomery
71,Year,0-1,,,,Morgan
72,Year,0-1,,,,New Madrid
73,Year,0-1,,,,Newton
74,Year,0-1,,,,Nodaway
75,Year,0-1,,,,Oregon
76,Year,0-1,,,,Osage
77,Year,0-1,,,,Ozark
78,Year,0-1,,,,Pemiscot
79,Year,0-1,,,,Perry
80,Year,0-1,,,,Pettis
81,Year,0-1,,,,Phelps
82,Year,0-1,,,,Pike
83,Year,0-1,,,,Platte
84,Year,0-1,,,,Polk
85,Year,0-1,,,,Pulaski
86,Year,0-1,,,,Putnam
87,Year,0-1,,,,Ralls
88,Year,0-1,,,,Randolph
89,Year,0-1,,,,Ray
90,Year,0-1,,,,Reynolds
91,Year,0-1,,,,Ripley
92,Year,0-1,,,,Saline
93,Year,0-1,,,,Schuyler
94,Year,0-1,,,,Scotland
95,Year,0-1,,,,Scott
96,Year,0-1,,,,Shannon
97,Year,0-1,,,,Shelby
98,Year,0-1,,,,St. Charles
99,Year,0-1,,,,St. Clair
100,Year,0-1,,,,St. Francois
101,2002,0-1,,*,,
101,2003,0-1,,*,,
101,2004,0-1,,*,,
101,2005,0-1,,*,,
101,2006,0-1,,*,,
101,2007,0-1,,*,,
101,2008,0-1,,*,,
101,2009,0-1,,*,,
101,2010,0-1,,*,,
101,2011,0-1,,*,,
101,2012,0-1,,*,,
101,2014,0-1,,*,,
101,2015,0-1,,*,,
101,2001,0-1,20.0,,3.8,
101,2002,0-1,17.0,,3.3,
101,2003,0-1,9.0,,1.71,
101,2004,0-1,14.0,,2.68,
101,2005,0-1,11.0,,2.17,
101,2006,0-1,14.0,,2.61,
101,2007,0-1,12.0,,2.25,
101,2008,0-1,15.0,,2.77,
101,2009,0-1,14.0,,2.73,
101,2010,0-1,16.0,,3.3,
101,2011,0-1,9.0,,1.82,
101,2012,0-1,15.0,,3.19,
101,2013,0-1,22.0,,4.69,
101,2014,0-1,9.0,,1.92,
101,2015,0-1,9.0,,1.96,
101,Year,0-1,,,,St. Louis City
102,2010,0-1,,*,,
102,2014,0-1,,*,,
102,2001,0-1,35.0,,2.82,
102,2002,0-1,21.0,,1.73,
102,2003,0-1,25.0,,2.04,
102,2004,0-1,24.0,,1.97,
102,2005,0-1,28.0,,2.33,
102,2006,0-1,33.0,,2.65,
102,2007,0-1,29.0,,2.35,
102,2008,0-1,28.0,,2.29,
102,2009,0-1,27.0,,2.29,
102,2010,0-1,18.0,,1.55,
102,2011,0-1,33.0,,2.77,
102,2012,0-1,29.0,,2.5,
102,2013,0-1,31.0,,2.69,
102,2014,0-1,18.0,,1.54,
102,2015,0-1,33.0,,2.83,
102,Year,0-1,,,,St. Louis County
103,Year,0-1,,,,Ste. Genevieve
104,Year,0-1,,,,Stoddard
105,Year,0-1,,,,Stone
106,Year,0-1,,,,Sullivan
107,Year,0-1,,,,Taney
108,Year,0-1,,,,Texas
109,Year,0-1,,,,Vernon
110,Year,0-1,,,,Warren
111,Year,0-1,,,,Washington
112,Year,0-1,,,,Wayne
113,Year,0-1,,,,Webster
114,2001,0-1,0.0,,0.0,
114,2002,0-1,0.0,,0.0,
114,2003,0-1,0.0,,0.0,
114,2004,0-1,0.0,,0.0,
114,2005,0-1,0.0,,0.0,
114,2006,0-1,0.0,,0.0,
114,2007,0-1,0.0,,0.0,
114,2008,0-1,0.0,,0.0,
114,2009,0-1,0.0,,0.0,
114,2010,0-1,0.0,,0.0,
114,2011,0-1,0.0,,0.0,
114,2012,0-1,0.0,,0.0,
114,2013,0-1,0.0,,0.0,
114,2014,0-1,0.0,,0.0,
114,2015,0-1,0.0,,0.0,
114,Year,0-1,,,,Worth
115,Year,0-1,,,,Wright
116,2001,0-1,258.0,,3.43,
116,2002,0-1,258.0,,3.43,
116,2003,0-1,231.0,,3.0,
116,2004,0-1,231.0,,2.97,
116,2005,0-1,256.0,,3.26,
116,2006,0-1,196.0,,2.41,
116,2007,0-1,210.0,,2.56,
116,2008,0-1,228.0,,2.82,
116,2009,0-1,217.0,,2.75,
116,2010,0-1,246.0,,3.21,
116,2011,0-1,215.0,,2.83,
116,2012,0-1,225.0,,2.98,
116,2013,0-1,235.0,,3.12,
116,2014,0-1,181.0,,2.41,
116,2015,0-1,213.0,,2.84,
116,Year,0-1,,,,Total for selection
117,2001,0-1,258.0,,3.43,
117,2002,0-1,258.0,,3.43,
117,2003,0-1,232.0,,3.01,
117,2004,0-1,231.0,,2.97,
117,2005,0-1,256.0,,3.26,
117,2006,0-1,196.0,,2.41,
117,2007,0-1,210.0,,2.56,
117,2008,0-1,228.0,,2.82,
117,2009,0-1,217.0,,2.75,
117,2010,0-1,246.0,,3.21,
117,2011,0-1,215.0,,2.83,
117,2012,0-1,225.0,,2.98,
117,2013,0-1,236.0,,3.14,
117,2014,0-1,181.0,,2.41,
117,2015,0-1,213.0,,2.84,
117,Year,0-1,,,,Missouri
0,Year,1-4,,,,County
1,Year,1-4,,,,Adair
2,Year,1-4,,,,Andrew
3,Year,1-4,,,,Atchison
4,2001,1-4,,*,,
4,2002,1-4,,*,,
4,2003,1-4,,*,,
4,2004,1-4,,*,,
4,2005,1-4,,*,,
4,2006,1-4,,*,,
4,2007,1-4,,*,,
4,2008,1-4,,*,,
4,2009,1-4,,*,,
4,2010,1-4,,*,,
4,2011,1-4,,*,,
4,2012,1-4,,*,,
4,2013,1-4,,*,,
4,2014,1-4,,*,,
4,2015,1-4,,*,,
4,2001,1-4,11.0,,8.51,
4,2002,1-4,8.0,,6.42,
4,2003,1-4,7.0,,5.79,
4,2004,1-4,9.0,,6.78,
4,2005,1-4,12.0,,8.67,
4,2006,1-4,12.0,,8.74,
4,2007,1-4,16.0,,11.39,
4,2008,1-4,13.0,,9.4,
4,2009,1-4,18.0,,12.95,
4,2010,1-4,14.0,,10.3,
4,2011,1-4,12.0,,9.05,
4,2012,1-4,16.0,,12.13,
4,2013,1-4,10.0,,7.83,
4,2014,1-4,11.0,,8.93,
4,2015,1-4,11.0,,8.8,
4,Year,1-4,,,,Audrain
5,2001,1-4,,*,,
5,2002,1-4,,*,,
5,2003,1-4,,*,,
5,2006,1-4,,*,,
5,2007,1-4,,*,,
5,2009,1-4,,*,,
5,2013,1-4,,*,,
5,2014,1-4,,*,,
5,2015,1-4,,*,,
5,2001,1-4,16.0,,8.75,
5,2002,1-4,11.0,,6.1,
5,2003,1-4,18.0,,9.56,
5,2004,1-4,26.0,,14.18,
5,2005,1-4,25.0,,13.03,
5,2006,1-4,16.0,,8.59,
5,2007,1-4,17.0,,9.07,
5,2008,1-4,29.0,,14.8,
5,2009,1-4,18.0,,9.66,
5,2010,1-4,21.0,,11.25,
5,2011,1-4,25.0,,13.56,
5,2012,1-4,21.0,,11.49,
5,2013,1-4,17.0,,9.06,
5,2014,1-4,13.0,,6.96,
5,2015,1-4,15.0,,8.43,
5,Year,1-4,,,,Barry
6,Year,1-4,,,,Barton
7,Year,1-4,,,,Bates
8,Year,1-4,,,,Benton
9,Year,1-4,,,,Bollinger
10,2001,1-4,41.0,,6.04,
10,2002,1-4,32.0,,4.76,
10,2003,1-4,38.0,,5.64,
10,2004,1-4,40.0,,5.78,
10,2005,1-4,59.0,,8.27,
10,2006,1-4,39.0,,5.32,
10,2007,1-4,39.0,,5.18,
10,2008,1-4,43.0,,5.53,
10,2009,1-4,49.0,,6.3,
10,2010,1-4,36.0,,4.42,
10,2011,1-4,50.0,,6.17,
10,2012,1-4,43.0,,5.32,
10,2013,1-4,35.0,,4.34,
10,2014,1-4,40.0,,4.88,
10,2015,1-4,46.0,,5.42,
10,Year,1-4,,,,Boone
11,2001,1-4,48.0,,11.13,
11,2002,1-4,29.0,,6.82,
11,2003,1-4,54.0,,12.68,
11,2004,1-4,26.0,,6.04,
11,2005,1-4,29.0,,6.73,
11,2006,1-4,42.0,,9.91,
11,2007,1-4,27.0,,6.04,
11,2008,1-4,45.0,,9.52,
11,2009,1-4,53.0,,10.95,
11,2010,1-4,45.0,,9.22,
11,2011,1-4,46.0,,9.33,
11,2012,1-4,43.0,,8.81,
11,2013,1-4,53.0,,10.82,
11,2014,1-4,47.0,,9.67,
11,2015,1-4,38.0,,8.08,
11,Year,1-4,,,,Buchanan
12,2001,1-4,31.0,,15.14,
12,2002,1-4,27.0,,12.44,
12,2003,1-4,29.0,,13.77,
12,2004,1-4,32.0,,14.84,
12,2005,1-4,32.0,,14.82,
12,2006,1-4,31.0,,14.2,
12,2007,1-4,30.0,,13.41,
12,2008,1-4,44.0,,20.43,
12,2009,1-4,31.0,,13.88,
12,2010,1-4,24.0,,10.81,
12,2011,1-4,37.0,,17.05,
12,2012,1-4,25.0,,11.8,
12,2013,1-4,23.0,,10.3,
12,2014,1-4,30.0,,13.09,
12,2015,1-4,20.0,,8.93,
12,Year,1-4,,,,Butler
13,Year,1-4,,,,Caldwell
14,2001,1-4,,*,,
14,2002,1-4,,*,,
14,2004,1-4,,*,,
14,2005,1-4,,*,,
14,2008,1-4,,*,,
14,2009,1-4,,*,,
14,2012,1-4,,*,,
14,2013,1-4,,*,,
14,2015,1-4,,*,,
14,2001,1-4,13.0,,6.12,
14,2002,1-4,14.0,,6.6,
14,2003,1-4,22.0,,10.61,
14,2004,1-4,14.0,,6.88,
14,2005,1-4,11.0,,5.09,
14,2006,1-4,22.0,,10.13,
14,2007,1-4,21.0,,9.77,
14,2008,1-4,18.0,,8.16,
14,2009,1-4,18.0,,8.25,
14,2010,1-4,27.0,,12.74,
14,2011,1-4,22.0,,10.57,
14,2012,1-4,16.0,,7.84,
14,2013,1-4,16.0,,7.96,
14,2014,1-4,22.0,,10.86,
14,2015,1-4,17.0,,8.27,
14,Year,1-4,,,,Callaway
15,2001,1-4,,*,,
15,2002,1-4,,*,,
15,2003,1-4,,*,,
15,2005,1-4,,*,,
15,2006,1-4,,*,,
15,2007,1-4,,*,,
15,2008,1-4,,*,,
15,2009,1-4,,*,,
15,2010,1-4,,*,,
15,2011,1-4,,*,,
15,2012,1-4,,*,,
15,2013,1-4,,*,,
15,2014,1-4,,*,,
15,2015,1-4,,*,,
15,2001,1-4,16.0,,11.52,
15,2002,1-4,17.0,,11.85,
15,2003,1-4,16.0,,11.51,
15,2004,1-4,26.0,,16.73,
15,2005,1-4,12.0,,7.68,
15,2006,1-4,12.0,,7.38,
15,2007,1-4,16.0,,9.42,
15,2008,1-4,16.0,,9.21,
15,2009,1-4,19.0,,10.96,
15,2010,1-4,15.0,,8.67,
15,2011,1-4,12.0,,6.95,
15,2012,1-4,13.0,,7.65,
15,2013,1-4,10.0,,6.07,
15,2014,1-4,10.0,,6.31,
15,2015,1-4,14.0,,8.81,
15,Year,1-4,,,,Camden
16,2006,1-4,,*,,
16,2007,1-4,,*,,
16,2009,1-4,,*,,
16,2011,1-4,,*,,
16,2014,1-4,,*,,
16,2001,1-4,26.0,,8.11,
16,2002,1-4,29.0,,8.61,
16,2003,1-4,27.0,,8.02,
16,2004,1-4,21.0,,6.06,
16,2005,1-4,21.0,,6.12,
16,2006,1-4,17.0,,4.76,
16,2007,1-4,19.0,,5.28,
16,2008,1-4,28.0,,7.76,
16,2009,1-4,17.0,,4.58,
16,2010,1-4,27.0,,7.11,
16,2011,1-4,16.0,,4.29,
16,2012,1-4,23.0,,6.21,
16,2013,1-4,23.0,,6.33,
16,2014,1-4,12.0,,3.31,
16,2015,1-4,27.0,,7.39,
16,Year,1-4,,,,Cape Girardeau
17,Year,1-4,,,,Carroll
18,Year,1-4,,,,Carter
19,2001,1-4,44.0,,8.69,
19,2002,1-4,25.0,,4.93,
19,2003,1-4,35.0,,6.9,
19,2004,1-4,39.0,,7.59,
19,2005,1-4,25.0,,4.82,
19,2006,1-4,40.0,,7.7,
19,2007,1-4,61.0,,11.43,
19,2008,1-4,49.0,,9.09,
19,2009,1-4,48.0,,8.88,
19,2010,1-4,31.0,,5.65,
19,2011,1-4,37.0,,6.89,
19,2012,1-4,28.0,,5.39,
19,2013,1-4,20.0,,4.05,
19,2014,1-4,25.0,,5.12,
19,2015,1-4,24.0,,4.84,
19,Year,1-4,,,,Cass
20,2001,1-4,,*,,
20,2002,1-4,,*,,
20,2003,1-4,,*,,
20,2004,1-4,,*,,
20,2005,1-4,,*,,
20,2006,1-4,,*,,
20,2007,1-4,,*,,
20,2008,1-4,,*,,
20,2009,1-4,,*,,
20,2010,1-4,,*,,
20,2011,1-4,,*,,
20,2012,1-4,,*,,
20,2013,1-4,,*,,
20,2014,1-4,,*,,
20,2015,1-4,,*,,
20,2001,1-4,6.0,,8.88,
20,2002,1-4,5.0,,8.08,
20,2003,1-4,6.0,,9.86,
20,2004,1-4,13.0,,21.35,
20,2005,1-4,7.0,,10.59,
20,2006,1-4,5.0,,7.35,
20,2007,1-4,9.0,,13.29,
20,2008,1-4,8.0,,11.8,
20,2009,1-4,7.0,,10.22,
20,2010,1-4,7.0,,10.42,
20,2011,1-4,9.0,,14.63,
20,2012,1-4,8.0,,13.58,
20,2013,1-4,8.0,,13.18,
20,2014,1-4,7.0,,11.46,
20,2015,1-4,5.0,,8.14,
20,Year,1-4,,,,Cedar
21,Year,1-4,,,,Chariton
22,2001,1-4,,*,,
22,2002,1-4,,*,,
22,2003,1-4,,*,,
22,2005,1-4,,*,,
22,2006,1-4,,*,,
22,2010,1-4,,*,,
22,2012,1-4,,*,,
22,2014,1-4,,*,,
22,2015,1-4,,*,,
22,2001,1-4,11.0,,3.08,
22,2002,1-4,17.0,,4.78,
22,2003,1-4,18.0,,5.04,
22,2004,1-4,20.0,,5.36,
22,2005,1-4,14.0,,3.6,
22,2006,1-4,15.0,,3.58,
22,2007,1-4,42.0,,9.58,
22,2008,1-4,22.0,,4.76,
22,2009,1-4,29.0,,6.12,
22,2010,1-4,18.0,,3.87,
22,2011,1-4,24.0,,5.25,
22,2012,1-4,15.0,,3.34,
22,2013,1-4,20.0,,4.55,
22,2014,1-4,11.0,,2.57,
22,2015,1-4,16.0,,3.82,
22,Year,1-4,,,,Christian
23,Year,1-4,,,,Clark
24,2001,1-4,78.0,,7.19,
24,2002,1-4,88.0,,7.81,
24,2003,1-4,91.0,,8.1,
24,2004,1-4,90.0,,7.77,
24,2005,1-4,76.0,,6.46,
24,2006,1-4,84.0,,7.0,
24,2007,1-4,108.0,,8.8,
24,2008,1-4,84.0,,6.73,
24,2009,1-4,83.0,,6.38,
24,2010,1-4,84.0,,6.38,
24,2011,1-4,85.0,,6.59,
24,2012,1-4,83.0,,6.64,
24,2013,1-4,82.0,,6.63,
24,2014,1-4,68.0,,5.58,
24,2015,1-4,74.0,,6.11,
24,Year,1-4,,,,Clay
25,2001,1-4,,*,,
25,2002,1-4,,*,,
25,2003,1-4,,*,,
25,2004,1-4,,*,,
25,2005,1-4,,*,,
25,2006,1-4,,*,,
25,2007,1-4,,*,,
25,2008,1-4,,*,,
25,2009,1-4,,*,,
25,2010,1-4,,*,,
25,2011,1-4,,*,,
25,2012,1-4,,*,,
25,2013,1-4,,*,,
25,2014,1-4,,*,,
25,2015,1-4,,*,,
25,2001,1-4,6.0,,5.88,
25,2002,1-4,7.0,,6.79,
25,2003,1-4,8.0,,7.48,
25,2004,1-4,14.0,,12.64,
25,2005,1-4,5.0,,4.84,
25,2006,1-4,6.0,,5.81,
25,2007,1-4,10.0,,9.34,
25,2008,1-4,14.0,,13.17,
25,2009,1-4,12.0,,11.37,
25,2010,1-4,8.0,,7.39,
25,2011,1-4,9.0,,8.93,
25,2012,1-4,5.0,,5.12,
25,2013,1-4,12.0,,12.07,
25,2014,1-4,7.0,,7.34,
25,2015,1-4,11.0,,11.73,
25,Year,1-4,,,,Clinton
26,2008,1-4,,*,,
26,2001,1-4,27.0,,7.49,
26,2002,1-4,26.0,,7.05,
26,2003,1-4,33.0,,8.9,
26,2004,1-4,20.0,,5.29,
26,2005,1-4,20.0,,5.12,
26,2006,1-4,37.0,,9.46,
26,2007,1-4,29.0,,7.34,
26,2008,1-4,19.0,,4.59,
26,2009,1-4,33.0,,8.0,
26,2010,1-4,23.0,,5.6,
26,2011,1-4,22.0,,5.38,
26,2012,1-4,33.0,,8.51,
26,2013,1-4,23.0,,6.05,
26,2014,1-4,20.0,,5.3,
26,2015,1-4,37.0,,9.61,
26,Year,1-4,,,,Cole
27,Year,1-4,,,,Cooper
28,Year,1-4,,,,Crawford
29,Year,1-4,,,,Dade
30,Year,1-4,,,,Dallas
31,Year,1-4,,,,Daviess
32,Year,1-4,,,,DeKalb
33,Year,1-4,,,,Dent
34,Year,1-4,,,,Douglas
35,2008,1-4,,*,,
35,2001,1-4,36.0,,18.88,
35,2002,1-4,31.0,,16.14,
35,2003,1-4,35.0,,19.07,
35,2004,1-4,33.0,,18.01,
35,2005,1-4,33.0,,18.26,
35,2006,1-4,35.0,,19.62,
35,2007,1-4,31.0,,17.82,
35,2008,1-4,18.0,,10.21,
35,2009,1-4,29.0,,16.79,
35,2010,1-4,33.0,,18.93,
35,2011,1-4,39.0,,21.8,
35,2012,1-4,37.0,,20.14,
35,2013,1-4,33.0,,18.17,
35,2014,1-4,29.0,,15.94,
35,2015,1-4,23.0,,12.41,
35,Year,1-4,,,,Dunklin
36,2001,1-4,25.0,,4.84,
36,2002,1-4,37.0,,7.08,
36,2003,1-4,36.0,,6.87,
36,2004,1-4,34.0,,6.45,
36,2005,1-4,31.0,,5.8,
36,2006,1-4,27.0,,5.14,
36,2007,1-4,32.0,,6.08,
36,2008,1-4,43.0,,8.15,
36,2009,1-4,53.0,,10.16,
36,2010,1-4,47.0,,8.94,
36,2011,1-4,66.0,,12.63,
36,2012,1-4,56.0,,10.86,
36,2013,1-4,54.0,,10.49,
36,2014,1-4,34.0,,6.66,
36,2015,1-4,41.0,,8.22,
36,Year,1-4,,,,Franklin
37,Year,1-4,,,,Gasconade
38,Year,1-4,,,,Gentry
39,2001,1-4,80.0,,6.84,
39,2002,1-4,54.0,,4.62,
39,2003,1-4,75.0,,6.37,
39,2004,1-4,95.0,,7.91,
39,2005,1-4,103.0,,8.48,
39,2006,1-4,109.0,,8.65,
39,2007,1-4,97.0,,7.61,
39,2008,1-4,87.0,,6.66,
39,2009,1-4,116.0,,8.59,
39,2010,1-4,97.0,,7.15,
39,2011,1-4,112.0,,8.19,
39,2012,1-4,101.0,,7.37,
39,2013,1-4,81.0,,5.87,
39,2014,1-4,62.0,,4.49,
39,2015,1-4,59.0,,4.24,
39,Year,1-4,,,,Greene
40,Year,1-4,,,,Grundy
41,Year,1-4,,,,Harrison
42,2001,1-4,,*,,
42,2002,1-4,,*,,
42,2003,1-4,,*,,
42,2004,1-4,,*,,
42,2005,1-4,,*,,
42,2006,1-4,,*,,
42,2007,1-4,,*,,
42,2008,1-4,,*,,
42,2009,1-4,,*,,
42,2010,1-4,,*,,
42,2011,1-4,,*,,
42,2012,1-4,,*,,
42,2013,1-4,,*,,
42,2014,1-4,,*,,
42,2015,1-4,,*,,
42,2001,1-4,19.0,,17.66,
42,2002,1-4,12.0,,11.42,
42,2003,1-4,10.0,,8.92,
42,2004,1-4,5.0,,4.48,
42,2005,1-4,10.0,,9.27,
42,2006,1-4,11.0,,10.05,
42,2007,1-4,16.0,,14.71,
42,2008,1-4,12.0,,11.35,
42,2009,1-4,11.0,,10.67,
42,2010,1-4,7.0,,6.49,
42,2011,1-4,8.0,,7.62,
42,2012,1-4,9.0,,8.76,
42,2013,1-4,12.0,,11.35,
42,2014,1-4,7.0,,6.57,
42,2015,1-4,8.0,,7.56,
42,Year,1-4,,,,Henry
43,Year,1-4,,,,Hickory
44,Year,1-4,,,,Holt
45,Year,1-4,,,,Howard
46,2001,1-4,,*,,
46,2003,1-4,,*,,
46,2001,1-4,12.0,,5.92,
46,2002,1-4,29.0,,14.61,
46,2003,1-4,17.0,,8.47,
46,2004,1-4,23.0,,11.25,
46,2005,1-4,25.0,,12.01,
46,2006,1-4,20.0,,9.69,
46,2007,1-4,24.0,,11.27,
46,2008,1-4,31.0,,14.01,
46,2009,1-4,24.0,,10.67,
46,2010,1-4,30.0,,12.9,
46,2011,1-4,37.0,,16.07,
46,2012,1-4,24.0,,10.58,
46,2013,1-4,36.0,,16.3,
46,2014,1-4,36.0,,16.85,
46,2015,1-4,21.0,,10.22,
46,Year,1-4,,,,Howell
47,Year,1-4,,,,Iron
48,2001,1-4,237.0,,6.56,
48,2002,1-4,240.0,,6.53,
48,2003,1-4,244.0,,6.54,
48,2004,1-4,271.0,,7.23,
48,2005,1-4,260.0,,6.87,
48,2006,1-4,234.0,,6.23,
48,2007,1-4,244.0,,6.48,
48,2008,1-4,226.0,,6.07,
48,2009,1-4,266.0,,7.14,
48,2010,1-4,279.0,,7.32,
48,2011,1-4,255.0,,6.74,
48,2012,1-4,242.0,,6.44,
48,2013,1-4,248.0,,6.65,
48,2014,1-4,212.0,,5.7,
48,2015,1-4,202.0,,5.4,
48,Year,1-4,,,,Jackson
49,2001,1-4,44.0,,7.17,
49,2002,1-4,41.0,,6.41,
49,2003,1-4,61.0,,9.32,
49,2004,1-4,58.0,,8.74,
49,2005,1-4,63.0,,9.43,
49,2006,1-4,61.0,,8.96,
49,2007,1-4,78.0,,11.42,
49,2008,1-4,57.0,,8.07,
49,2009,1-4,85.0,,11.78,
49,2010,1-4,77.0,,10.72,
49,2011,1-4,70.0,,9.69,
49,2012,1-4,60.0,,8.8,
49,2013,1-4,56.0,,8.31,
49,2014,1-4,48.0,,7.14,
49,2015,1-4,34.0,,5.13,
49,Year,1-4,,,,Jasper
50,2001,1-4,59.0,,5.14,
50,2002,1-4,64.0,,5.69,
50,2003,1-4,56.0,,5.05,
50,2004,1-4,58.0,,5.13,
50,2005,1-4,87.0,,7.73,
50,2006,1-4,66.0,,5.72,
50,2007,1-4,55.0,,4.67,
50,2008,1-4,66.0,,5.44,
50,2009,1-4,88.0,,7.27,
50,2010,1-4,67.0,,5.49,
50,2011,1-4,66.0,,5.52,
50,2012,1-4,83.0,,7.2,
50,2013,1-4,55.0,,4.8,
50,2014,1-4,49.0,,4.3,
50,2015,1-4,55.0,,4.94,
50,Year,1-4,,,,Jefferson
51,2001,1-4,,*,,
51,2004,1-4,,*,,
51,2007,1-4,,*,,
51,2010,1-4,,*,,
51,2012,1-4,,*,,
51,2015,1-4,,*,,
51,2001,1-4,6.0,,2.36,
51,2002,1-4,20.0,,7.81,
51,2003,1-4,21.0,,8.21,
51,2004,1-4,15.0,,5.62,
51,2005,1-4,27.0,,9.85,
51,2006,1-4,21.0,,7.94,
51,2007,1-4,17.0,,6.35,
51,2008,1-4,23.0,,8.36,
51,2009,1-4,28.0,,10.02,
51,2010,1-4,17.0,,5.94,
51,2011,1-4,21.0,,7.34,
51,2012,1-4,13.0,,4.51,
51,2013,1-4,26.0,,9.09,
51,2014,1-4,21.0,,7.52,
51,2015,1-4,15.0,,5.34,
51,Year,1-4,,,,Johnson
52,Year,1-4,,,,Knox
53,2011,1-4,,*,,
53,2015,1-4,,*,,
53,2001,1-4,31.0,,17.25,
53,2002,1-4,32.0,,18.0,
53,2003,1-4,20.0,,11.49,
53,2004,1-4,32.0,,17.69,
53,2005,1-4,25.0,,13.28,
53,2006,1-4,41.0,,20.79,
53,2007,1-4,26.0,,12.9,
53,2008,1-4,26.0,,12.49,
