Country / territory of asylum/residence,Year,Value
Austria,2010,262113212539275231811522223212140322417112194241541831551929121123818126201221144311212451592315513110102415339446112122524131251382111132341975161762115421971182145168212702461311176104111312122771242531210252981271162134351152114121132172033111422128821413321371231145421381981
Austria,2011,4754121021816383437419811476511851792451121001641111914281853142562244718810911324123512238471331182191234284514315331262352326433101111121281112721792515144111339525403115635288812223622390849453823341271172224578535732321322033543743125112133151823223391434543419527155
Austria,2012,138103213429419168323936222215249210302211215311718141114812218425324111125612471147061189414412246313514137162123022158120239561561412221911132581660595181111447810122348222031050262611414234842835521312271334214121521573111532216126791540564013214141414254161151213128313713022720436
Austria,2013,191841615255215730182114732920120141342182091211611980492711512716711230178514443214749131271177161931016102114134136327521201663312311551193111122031176533492606217253217112811102128613118315119253491401143048333301721222211510333201944116717149338131126132824131312922124845
Austria,2014,13521125132214116515115119974772425711121927111741612113241663212813123229922217182381211723078560532131712821823141733965331303725822121162282154101259112919308137163511171172247141214212212121175874237112011262121126617414212516911214021233211173101335610221340521017161351691242142184112715215921172113125104
Austria,2015,64989103292064992133361129241511955116956176403182214523410214651401703951472110231287561247150214343341912114941002017181696
Austria,2016,659315374172015161170179221172734214315333062451481257710513635110612899792487521132531176221952865147527321518403341191261126517170
Austria,2017,8***6**6**58**6512*1632****13*7987**10146*776*5*23*****717*5615*20**116178*5***27******387**82*650**3818*13302313*11122*34*1010*521*155*24**88**4210327*****90**58**88***811*****12*236***22489133811176**8119**9*****74**278*5**6
Austria,2018,*305131051994877*6286*11**119**21**1258*10******43496**21*9*9**2715**912***************10119*1012*****811*12***723817*8*****18***1566710***1389***12*22*62831056****1223358
Belgium,1999,121112671279919321081412155136185416131725104435129218163253583142214159775882171424727012194220163221162988114324203412141328688351112642121232752914735983031218915335200512469131642024221320117212251117261459313216131321462416163848269333191796117023225511752221417351101471815421698179129411344152965789711864271633311162631261125512112669131829311451248115242422172175721135834441127212311
Belgium,2000,24575339185828222209122512823357171638493140650292113571032053113511392361424135351138513761713421050171216163155465112821514131445910361034167233421263865956151249597397444351489203187028712561960110227116811487355625782661192137531932027127129861341202287681280142153961932421832110110322712470212162224926142233453819918744452701054665361235522843143278246361128117161654122011739629177261311229283192464362719555843211133121704474311511293498022111551178030312614121
Belgium,2001,1208114055215642141721305034411195581148301036328231711216051634923117104425513516111251012932125511627213012113901499242214141263141678721681081315125923821382166512567101178871511429292756750911114218785916137341571219227222157620321922719592227534219411612012161996211221818672216140451327251916611213882112132211087616211101203342417321117115236184812796889619242266146376139532553
Belgium,2002,154152221111541173241108922719323346245182613219224944737181082520811871222310316714207713219526286152138133591462919331137132225133538101883111485051111212415153121446151526147516314621817945730111251141411431223529764468231519361522821282142210817141916162941513381433133641315521418248171383264121021118211146319138171013041156573341741472113022487033114131339910521932411591320129
Belgium,2003,252141464511202911152141737261721143523821351222513113192414242221311717101614227363182261251263252251332854212928346135571112853101445572412218140312151323533221241151073815261251440111354152241511392363312521912141411221641182228313142228114413165591153111564263542211635142266111531291612111518163164111101612688119222212311612836512161481137172210284274018
Belgium,2004,1517143131564413191134128168115633241171844142335112571111116125815459124194945129726182812244631629196432125713122151461122313413313055132381669332711314211824162201521511411219113936813323112411151211252129124418199518171942112112217169322214323241247119334110927192634823719268761811711111163717111611021612795123232934126213349131268304211841732103328145199172816581121302010221813141615523111419
Belgium,2005,9216102571201032761971028123981456357194181711613133113296531211112121579202853107170211376118531511734421242352643011172132074951496512132549231322641103547413425321136760901116027717276113968111106018852541281103810155331721162356731971221641121185161611561118221413151165361416511122114954942201111647192156152512587316921131612722211281611
Belgium,2006,23728451113441093411214013452218715176271623111114401453296164272116101122181124125131242414181131511182131546157182771816159132391416110697315263161103561322267333232139573151231178332274273242615128101181510251812812446634141133427731711964542713811082481022441141102521115239431314183113622422151241371612121504142733
Belgium,2007,415149141716422316423464152721788112031672291003121127815021212498208322332512545482112116165109241513111211021621114141910201112172011211812221731624122512615211112241325141012299811232163116321146310681128224395634512911420143221242811331253102853375188412574132131142132827126112012511691441124622410122416711221029109272
Belgium,2008,511195399211171231262824120311204229413222652111112615234223261031442108624167273842102427186574131247112582210240426316711114321315953554947101621525441171114112510321111241605129123211141332226136342211113113012553111321313316411928111611212910218576121542745415136187129114374182212413616119616151
Belgium,2009,14149713431782463141314722135548202461123557713631051618216961320131729117315922951066623126211115212183111514111617114410528163274225782325101813236183111103611334012259543421071918128410101535745211101721713205581511512422158103201612554225122511771322276333514681121724120131171291224257173123712211123712344457614261211116181431002121057122211221326176
Belgium,2010,661523304496416437871555324103031510114210926563171392121719111174116347911746522227360825355223393119626247103019501821952413201723982614621314020119319516122211272221263122711497165891311176181102917199242114511109121374917312563373416310222117934111169141818614343221112230121219493173231043111641331171471282223571511108632392233610325253551367216211832552109689231112261617317581163
Belgium,2011,11720153862932313746259128565382395113512021417351358265178201240735318522333172125421601198391403281612281165291631164111167121194102107458278111114642022346634846215701118210581492951517421361172151153211442411721024482161213134216163333215312013193183111309214255411546431322241821762326017120128589120191515344225341681613722983431324134352114712734291122424520141358413212021316
Belgium,2012,211155123122122116291714102331611823256523151713111136210211529724911425711221412413541755412213012610261432111411186331313149621211121129431162254119246710011355232122556324143922015711394117836636211541121708481187283131122425328126667910812615114232511431625212296201101235123301551961771855752566711315447311231109847012241611616289313732482192311733320321124617619442541137
Belgium,2013,1814322393656479331939513727313111010312145217221121114111669157161632330415243113131341227840221271162357141126442117108141122488715149442610932322117968311273849351475262232195157282225113742241314241541597424116113444432117124667264271416762555931346521812645141914394311311743107911285612165391225924827333120123111518732927532277
Belgium,2014,12654462621113561311004222523122157959237133315164914114118010272181297421972226141155141413111111661631447683044033781172241313261191010746221137753411789127281493161413121172112242721541610431542514512103421638341897102201312533556215333556191911023238871361145181511217410113312451251138
Belgium,2015,111823537211206213313172375181035515202115511728629331211221227110139510671714321112312231132394111321351219436217979231295924915149318157824813133111155156171531119441873397853270614013223441017362113113222233191247191882293491166620411211461008512313335741727815911074828115621113245311061261231336823201127401102763621950410511447431121125211213692711113
Belgium,2016,121131021967631631511811577158391942152253102811352743272911194213439521131651171271031222785515397687322213761337318134531118313633235359176232453706110129181249181745211333104483157161557134138131331976142621131324733686111163133651166621341311352451137381081071291620532611202
Belgium,2017,1646145210*347171010**8*22**54166425117*115**7*29*5**271987***18**18*4550*26486*771427*37**75181085126*15**96*3412221418***325171013*7072**2155****37*46***301216711*8****1724***9843716*622*****591556*62*11*7764365**70*102369**1128*264327**13226*4184645**6*6657*619242535**45*108*252*7**6**199*13390**205*5********1425*56143925167407**
Belgium,2018,1815***15**43*301410105*25103735210*2024654250580517***4020*10145*4041*6311148**816*20****62514155*437*11**2814*292010*116**550*5**6*106255*77300**30551101511475*155***555*13311014101064332713*67**301659109*5512**30*7710101101065**5265450**87**5130**10*29954*153015158
Bosnia and Herzegovina,2006,1111611
Bosnia and Herzegovina,2007,123734445
Bosnia and Herzegovina,2008,4121733
Bosnia and Herzegovina,2009,122111
Bosnia and Herzegovina,2010,51112
Bosnia and Herzegovina,2011,1112331
Bosnia and Herzegovina,2012,12111712
Bosnia and Herzegovina,2013,133321111
Bosnia and Herzegovina,2014,111113121
Bosnia and Herzegovina,2015,11533
Bosnia and Herzegovina,2016,6225314
Bosnia and Herzegovina,2017,55****5****************18**20**
Bosnia and Herzegovina,2018,9*515*530*138*3447*5*8**149**31***85*8*14**65
Bulgaria,1999,824109212312131112105141371062211113111922111113343335
Bulgaria,2000,14111381112747934111131522156161533436121542737150272434823
Bulgaria,2001,311013270146614114216124822161224221147352486814575157386341171524
Bulgaria,2002,181111619637651014223491212121141502117722723411437116118191495
Bulgaria,2003,6231121261722952311111517052131681151111418211017
Bulgaria,2004,1916321217212131111102154112561141246101110842439215131113131185
Bulgaria,2005,134112313332215841111515111325211412441212116125811
Bulgaria,2006,11113418111413322522191117311520111113126211518591
Bulgaria,2007,21411211261121124121111147311128161413121111
Bulgaria,2008,1111210210224122114223111151128211111211131256121
Bulgaria,2009,12111321122114393313112111161212116112016113381232
Bulgaria,2010,1211223115122571335111612312332114101851132512311241711132111319
Bulgaria,2011,55725131011311114141113122313018211111
Bulgaria,2012,421535111156274111123691133255216162116111012181121
Bulgaria,2013,81171236292011671241663792141613521134612618333113151363515861342213243111324284111122115385714818121412127
Bulgaria,2014,3113727121221821249181316111351121500951141726212222417184212388162421731714963233221936325931113122424314143
Bulgaria,2015,275132333151213615812112132216135222913677557611335212112532191211296825950718474111160112160374
Bulgaria,2016,61222621312052286209146269814310779066811213113035741281401561285111585641211742130
Bulgaria,2017,445***163127*3959124*****324080*39**1457*12*5440*
Bulgaria,2018,50*13*79**12*5614415915112
Canada,1999,1246451261339714105111292110721815391132756111332721431871013101757654885331982931676661136342513112981532773114731143522334467415493818252411785232929185621513121184675172928684935145411205178314521122124727109132312916226515124101612342013213257212222251037267300159211175245117257112123251123162536102813215712314631253114535431342126270351120664961781215118122330891159316371391012621111118438201253722712118177331719911122512563612101211414351131697624522782468212511912211178513217423313218228510822216625522331153727286023120183525133111227165884762127120520105
Canada,2000,1889329324341557981316117612251132086512255513511131418161612011011514231681828171522932152544121211331224262224121121833103894211646311220112101262107131437123106311716982722263911422415328119124991641431121741002110316202934139141311491423104421511811449134125441915219820133116213128721218715271315161116811314699221461025743156616351215178828451055615912537110415932035174783391677210819761131111223241317262132181523224211214331232136241161331237121313221117192171111769226502714523721453218221127119148446211483612348283753281118302418025278535121100221931332515227440421394115282111517711081216023519494523821101127146116734529323737216834115213114701439912
Canada,2001,3811312464142054821017649111232926541711264221166850181915311242130302341312294238232647436614630326133919617158111753757117228354012051674237881614113213163269452135364326816819813052242926721217131062022641135625577912817631612227210232149187713652182236202172211443881215221136134511022526572516248317172513183334186138718581217124051686481441771236272141316161526451122322151621172162681494352875251611324516366115391392217737153474415443137413111992038351111152391275515124151120134153914428264421411471524161321177428232321511129761925189146161987315812048363522981845544136297113212572812434327132214921623319721055235526
Canada,2002,125233617218744118119182226102543924172342911142513395222313912569217171531213231224460821818122277388119361453706354245201923327712249184225138845411722672642574137223111727129171831641710510135229325341510921240348503251472172442151552681836166945019321223714311110714521853177363213226121136585852111631115213784162213226116221415732911717512018181641319317192112194138611924020206120413616921152192119524224228513222112139396225811415912154014157391245714432393341928331127313132792240632331104452161281027101171917224131102125125115441234149574112162229534652101011076682725142074334241102957613101681511318453560186619
Canada,2003,13186101183112330283631121149514127161111112135731210378144614724122551477261163324019115111249294311174165714852428442131111564217232172212147125282429211621225616311457150339108327170110535144224284145634462142131911421537214511321523105722162437931116339112610769110661683277169296101015477425234351231221883413860135732114492171515821442291154535613145132221933118212121222311361537321137241231412101126438346645141162152284533471686461371173521510234031412234296113333735101792277126193721722847189610324827198862120222103512628782024281842222442320515864351183134623815461481121122724413192452339121711561620615410063166910
Canada,2004,141411186175771181813872103735311161510144111211278131222406167215171112133131225121202171846222232634015121417102418123475113131918271233281413132530275151911847214612313637148116517314822226152211610211291726841971201931793192313313116127121839278157113438111304152112482111553323625283710248730231931113313421587114683711362427141162813401719211751442113943111712211236104451522201111826512211811930173204191511315117481226414311119339131148192921123513182276253152117417121616118615214271102230512109143133233117253118525213173368139638311638154425
Canada,2005,202217142181121111115113633713152985101737901174432710134491315161036123722318292610311911114943631631113419242412383832373534812210236584121224793221311112163217334210975181156152214292154354714713221913071811833311585617134116151810015611006116156441221631574133334162146173852011512702052121041514113101651224236117111131192204241521940212191610164524415127221917115158231128161213141191512233026346551958453422318252292264434156111041209115341144310241562838412230119116174354316221517191471359934193683633593
Canada,2006,66810164131111112194303661611315811131110191351117031225953710144312313112111171104232521623121102126143528213321534928164643249133416161823163382151292282265222121231317158151811971902010421021638311171722482422417122102542123641925273811102113155131211221274731531312134105130221831223116171837111435391242362335152112149721582112674111632112732153917181134712242411124282124142013711411239132474251472217213261413744151219219166421291319221291722653253641621313632123111191217141265734741341225311418331371113323432211413924876117311117281020116
Canada,2007,2412511218158151411413131451158112744256732741111151147232111131118551147761931613722163741310181711947613832041101149110317114321314198331412111221352222112101113151318111151313106112131107311512112925251761662923235145371218120831264131382218241481112113265981911281544457451155131219911212913306281023827135762336276121481321116517611211182115392913831263210153112444122101131229240113162246386662924111061131082103830352285512232757903201220571762011128722955891159325181015331358232671114421310441114216121314101313432432373357151157038421191815123328812
Canada,2008,216341113612622122627818315431441597226713353512135592151123021065320611117111131118116131073381304392942221675182101119116846121223051336136386278144127212931007265726514235426404101921601583329915547319127236179122330137421511712012113035214269265633181414221222013121062116419221283276122555832171213691633942213153343125651141623288422128750683471711012723451412392492184813201221362421014121611397631310234203612622142117124132618531984341031112207133141262336651594713332611241181474221325112231576314514292171321172515299401131323433521911431138132331114222457953731621445427224171343836227143325722222129
Canada,2009,213675145159111418112121217113211093175243111104121687033744487026220144414515281373620061329214131314615172394367212251516619491532527427123321217472143193241513111197817321022296211194091339641132222951244645291317238231421251668464041015352124122312410216663611144311822912716161111141413910511247284815244223115331036142475887099746132115424562954224137141231217316171114112112162574655120391231321131310741919134112323913137127622213112207411107411816321515194133663934142136521145241220537121513252173461171212514731215167221373711123616831211346712212317512276
Canada,2010,1763402138191642181261113810117311512435111111915981196121616489421311110143161494412572622852454341222564211414745474658522325532815481034653134116323056542556493172429438433235449121111597412161311124259312317212137362134221611464320945313327268522847201132388105631512682955917152111055521312121243103313422971144247111958148468214785780318204631210347255331236327916113317234621229141141191295326113712316183311154292174222265111149262291366756414267411332601131142827221210238126115143219131123153294331124181025719458427242371234622175110922143511532583143124521417371126244925620521252271114302252940844113142791172921
Canada,2011,34517325345265911381120413125237015231483119157821152826324142524631274451821921519741253795114111153111102127114942125745907074276011515210173114431114616420252127821864342384532423113311315223859169524634432015610137274827165887013951210351231035312475131214111270135111312231931681123138482624252524141115332132153012471661513638573552124615103243446421121110211181134511616123918142482541413201521345422203443228206861744353341437268316103311111148601116523231265961911188919565535857331181624542816485523331123683587782212243223313111124941861912233517321520212861442314610113738166
Canada,2012,491947175248415151112010311311124106761151375143763378832364524215621649195126624287100212264144617251255240216181020224741285393619261172333251262910572782119144735105222244461112144234174121519912444181192131463720212891223122251181523411849682322811124912820915431121141214912616979433843101011273369103774123926915060301247641750122234673142220121329514127021435224437451813211413123651642313112221273731310532219161230140152101028631233413614929361331475321871402621242191511029570131216602221141112437462222292973051846220125301376147213411721
Canada,2013,268353293361101214512122421912121819162156111012736264135471336261111215925283443142442462521771913415785122166421794315262610124123291313232493122216212154622123642119831624923461414621243112814643221112232212292231982217110127910826121122611171125138341592547113116113619112322154331617128254121425141513260217273717147354181230121322121113115123192412152235111032471236151220352202014149693441238252111320128121125410911953
Canada,2014,6412223130813691344841212530761139828115515127540843016111175331335376414582031551021513382111132128386311286240112129788513715286112491119312365822912121686498535132312228941115013176191456522210158696861203821505162631916495114153621412151111166393695151331234196532518382417245139491921231211166312211145853337781191123213842859322593235321201511131601211151073412214713361266943912245327222061910832254629121725262161315723
Canada,2015,1255731092131121727120271155245331381113531328311215144162923533111218729745322110151271541345453221512422252082231411205424774130365628241454120419242604318864256123141131711249681214189211713531145413955644884131953216168251311023237485623716521222193264417231951434322710502121124189124125413131113162132491220273522612741012111824711141011717216221120704131821957222237923632238107111161184369189621032112512583802176531564223724112412426217413162811053718591112
Canada,2016,54171216120311151448110141415392391715342261111468673143811891775193441241461211212173211242141120162551221113329212619214620141993314065100292024343419212662111712614852121205914247266552642318526413579316115534427421771871613153351102211311411518261513110813451216357317161124246412681373511005126322162547101129101012243218524261102314551112359485214351616234711517871723118901153141216815221111430130262116193547782416211211120103261151259152711119113614524140182166888561421082574469384442321669113418161232810
Canada,2017,5562285*23***9*11*1046686*7950**13202*1371129725*30*40*****5**63**2016676*37286*66191925*9*12214*12914*1428*813***108**204**651310221215**91055094*679176*7**1929**838*1115*1650*13110677*1635*142*37*79**1564*88617***125**7*17710365*15**29*2310**1501422814*51428**6212521*4075*12226*2558566514**92012*411241038*774988*281***191368**46537**179*201105438*1743235*6179**17*59**8886042883852760256833111*3614**17*8*10395****249126*308631*5164938*291511038714*1816020*84**18***658*1313**19*76321619717**8**156158100*14**82076146533565753159*56*12531*67**47*8***332315**27379169*31995512105933**12511371292012*115*511217775173318*13295*
Canada,2018,14765*11*1319382316127176*341725689107201071319201567***1260*152292*54692103**14128*65*5012553311411*45**610*20628575*15*246217*712941*23*275***8*273*69*51199142**95221*138621410172256*112***53**
Croatia,2003,1211611
Croatia,2004,21113554211132411484141
Croatia,2005,2211186143142511
Croatia,2006,1112231111
Croatia,2007,4411147341111210
Croatia,2008,113174713712
Croatia,2009,113123111111171
Croatia,2010,1321111729131132111123232
Croatia,2011,12114115181441429111611216816111131121
Croatia,2012,20513121122117122171481111131821012191589241464548415140314
Croatia,2013,21121711332111753641911241871131120261114114101143610124
Croatia,2014,6454513213213111112413211352221211115221143112
Croatia,2015,241131111115562112351714411132311123
Croatia,2016,313865274108451241121116111220111161502131312161113328111427621156
Croatia,2017,*5*63***19**115727****5***147***26****61***********5662010*274544***15*9**8
Croatia,2018,****10***12*96356**********3718
Cyprus,2001,111154151381118171342413681516211214119418511126241
Cyprus,2002,113325311171241322132416113133991151612311355221112257372198
Cyprus,2003,45112112113888195712017118249111316111734235711113611011113113211181
Cyprus,2004,53121185510256180147454752335359229117151111161111414953273651222511126618118340134872404402123293114109101625212623152226196336816123291176281
Cyprus,2005,1111102413832842452132175911181594211171241459977130221918839153511132235616631842411152911713218542743226418812451522101
Cyprus,2006,21910635352131653615593117362717961242461537612111831621274011131141928727541313347920274113910512917521528125711313317133331623641115851311
Cyprus,2007,8458111211121322208194221232182142548919330134727623343137171272122611234113311577133762020782017113203119121841141112116811911921558123302713
Cyprus,2008,325207644243111510216125164111112272301128301819661112743932121031746512511212148701132834113277217241211911111211664613
Cyprus,2009,211326172182133403518106988151710516115174216827212981215686351026159911112183510202221211224278208111411381443913252319741312221113
Cyprus,2010,191210932311310168923723117173611292116113110777111341952101127111411191188183115218117417119395251214321672221197
Cyprus,2011,216223911341118215126311219113121213213427814143317254125122111151111115116815487514212715312413627111124462128
Cyprus,2012,132181482112111131113121171713482111156315711773612821153113511161455213171
Cyprus,2013,12211211711122118437219116311081242111123114211033434608569171051
Cyprus,2014,42418211755101311211391116112870311113142411512121222211023882645
Cyprus,2015,5176128151118311347110111111210111651431141220587413921211112233434103101193310
Cyprus,2016,112313713111221311172211831728121631341427158183222171211085112131763201111919373901131211210182
Cyprus,2017,****910*62434181045*7*1319**2445***7**20*129*21927**28**10101929*****18**115*8*18*9**24**11*5*6546*215*****251412*40**12*5**24812*2420
Cyprus,2018,*95**5927*2099*105*471018***8***9**1527295517*55**2210***121322**9039*
Czech Rep.,1999,1818172143114619117115315410206534104421141182511213121269814742112541108104643731426411131417746414129112171862111530164926211711015112510
Czech Rep.,2000,31130101373216215321723321151488111147531221643025010174021188213521383438233014194445611111171575251087684110160310873622910353526284411715115821272953262312461111567111
Czech Rep.,2001,552210717136138411301211111640100713620303282307111334641443161956118512121461216922163132241101113522918114205119752428573749201113111111891533089378134202511597107160613221312531551896192416189038518815631026111176131793
Czech Rep.,2002,333382741768310961241251440217935611264011214217213256225211522424173264018222433137182117151012315169232424915721235315111311121233111021181835111318221111316331147664711112
Czech Rep.,2003,547822414129328611112611361325141224575461143111356315447104017130921733113233556175111171164111125601117112133111136482123331115111120291021
Czech Rep.,2004,22555164016111101112532723814561734927626313338171512914194718141212618114371175733815104275115131110221151522142113233855161831367192143231614110402231221442242139218
Czech Rep.,2005,1211178433741389613952811174752112823316216111162281217411717533714188512811432222115172111461123597361413271119121132311181212261
Czech Rep.,2006,12111312222212413122715122131162511116166313123291241614121171723111222110212442813611692243737212111911118114326244317651191147161110373111311119521
Czech Rep.,2007,6221515104525821111315144228511851410112161212236224251032122411221541523711220132312211131112110411824128483192132142
Czech Rep.,2008,12111151166711185611246112821081155233113131112315101118351111251216103183131329818551316212233411111111
Czech Rep.,2009,3313371121518617131232412212033348112111614551315113151226221111125328312711214232675112
Czech Rep.,2010,11122164251111213421112114148211111511311125
Czech Rep.,2011,31122111211116151111413151321221232143812111113211151622121111111244111
Czech Rep.,2012,11251212213727191211145211741111141141212431112271
Czech Rep.,2013,242131113136134871211211413115351211011123221101111111111141211
Czech Rep.,2014,11132611623211611121111213115431111312511131211231213461311221212
Czech Rep.,2015,13625711431311221924611121152131443123216211613811611232111411111112671
Czech Rep.,2016,8211134431115111152322610411291211311331242723241134213321535111116111511317
Czech Rep.,2017,***5*265*8****5***5****6*10******6165**6****58**10***627***6****188**5*8***209
Czech Rep.,2018,*12**55*524*7*86**5******58****7**9****6**15***7***6**16*19****24**7**16
Denmark,1999,15101271311753721189653751273111204123616111522471193218451312712121312111221564141411221189134442111114411136115581119212311151841315251322321104111
Denmark,2000,411121671929211131113310311154138116315031933111717121111112011174401122711711632129510111121311110512311471672521832121141323461241167655240144320112412214462112824221082132239352352298218231335201372423242525
Denmark,2001,41125653874926363314581381182118124341145325812107211582411606327321411313641125643931319252152714362212121294311863183146166313344146431695192265916277256142351111242613101422932425912773113051161311810711191012532823311319616321991189154123
Denmark,2002,246121312431842107311092341277697111032113111611123331122123141186161774222614482113101354629153552211121172311218443611116122212219311511611141311818266671683213832216681651102551244105363158101327164395171111511155121244115211012
Denmark,2003,1411511492874135111712962152181231112616252281424244212141113127256416123429332931142382543121654246121743411161121421303181251011113823115221231543244123111248611232291112014753333111111220141334
Denmark,2004,23141151113811115311012111311512275211153111661091111416681321391072877112111612721363211114111720711182432211313193731312224414111018197121823112232121212171911141145162
Denmark,2005,11412134133823122358111236218111153118312652144411151311312512211311222251212421261415714514161154612432765182133318314112491621222541105131017121141111
Denmark,2006,521111111323101112711614682013314113514445111341131111362311414111211151231134551632125114241131131316217521121123314414215411281221014
Denmark,2007,211112912311812212171111035229812141122432141171113123411476412135330113311311171215112122231112125086111111151111181112121315131311111654
Denmark,2008,5211136152711273112243121110821311948491212855751182211131128157141521146214911341312111113311211704518161451512212821124241
