case,length_id,target_id,num_src_tables,src_numeric_total,src_categorical_total,src_numeric_avg,src_numeric_min,src_numeric_max,src_categorical_avg,src_categorical_min,src_categorical_max,tgt_numeric,tgt_categorical
length2_28,2,28,2,11,4,5.5,4,7,2.0,1,3,12,1
length2_29,2,29,2,4,1,2.0,1,3,0.5,0,1,4,1
length2_30,2,30,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_31,2,31,2,4,4,2.0,2,2,2.0,2,2,3,2
length2_32,2,32,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_33,2,33,2,2,5,1.0,0,2,2.5,2,3,5,1
length2_34,2,34,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_35,2,35,2,12,22,6.0,6,6,11.0,6,16,2,1
length2_36,2,36,3,10,17,3.3333333333333335,2,6,5.666666666666667,0,17,9,16
length2_37,2,37,2,12,22,6.0,6,6,11.0,6,16,1,1
length2_38,2,38,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_39,2,39,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_40,2,40,2,6,6,3.0,3,3,3.0,2,4,1,1
length2_41,2,41,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_42,2,42,2,11,4,5.5,4,7,2.0,1,3,1,1
length2_43,2,43,2,22,6,11.0,11,11,3.0,2,4,5,1
length2_44,2,44,2,3,4,1.5,1,2,2.0,2,2,2,1
length2_45,2,45,1,4,3,4.0,4,4,3.0,3,3,2,1
length2_46,2,46,3,12,21,4.0,4,4,7.0,7,7,4,7
length2_47,2,47,2,18,17,9.0,4,14,8.5,0,17,33,1
length2_48,2,48,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_49,2,49,2,12,6,6.0,3,9,3.0,2,4,1,1
length2_50,2,50,2,18,17,9.0,4,14,8.5,0,17,3,1
length2_51,2,51,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_52,2,52,3,14,16,4.666666666666667,4,5,5.333333333333333,5,6,4,6
length2_53,2,53,3,6,6,2.0,0,6,2.0,2,2,6,4
length2_54,2,54,2,18,17,9.0,4,14,8.5,0,17,3,1
length2_55,2,55,2,5,2,2.5,1,4,1.0,0,2,3,2
length2_56,2,56,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_57,2,57,2,4,1,2.0,1,3,0.5,0,1,2,1
length2_58,2,58,2,3,4,1.5,1,2,2.0,2,2,3,1
length2_59,2,59,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,4
length2_60,2,60,3,6,12,2.0,0,6,4.0,3,5,6,10
length2_61,2,61,1,4,0,4.0,4,4,0.0,0,0,4,0
length2_62,2,62,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_63,2,63,2,3,4,1.5,1,2,2.0,2,2,3,1
length2_64,2,64,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_65,2,65,2,12,6,6.0,3,9,3.0,2,4,1,1
length2_66,2,66,2,6,6,3.0,3,3,3.0,2,4,1,1
length2_67,2,67,2,7,6,3.5,3,4,3.0,2,4,4,5
length2_68,2,68,2,6,6,3.0,3,3,3.0,2,4,4,2
length2_69,2,69,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_70,2,70,2,6,6,3.0,3,3,3.0,2,4,4,1
length2_71,2,71,2,6,6,3.0,3,3,3.0,2,4,1,1
length2_72,2,72,2,3,4,1.5,1,2,2.0,2,2,3,1
length2_73,2,73,2,4,4,2.0,2,2,2.0,2,2,3,2
length2_74,2,74,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_75,2,75,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_76,2,76,2,3,4,1.5,1,2,2.0,2,2,2,1
length2_77,2,77,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_78,2,78,3,6,12,2.0,0,6,4.0,3,5,6,10
length2_79,2,79,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_80,2,80,1,4,0,4.0,4,4,0.0,0,0,4,0
length2_81,2,81,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_82,2,82,2,5,2,2.5,1,4,1.0,0,2,4,4
length2_83,2,83,1,0,2,0.0,0,0,2.0,2,2,1,1
length2_84,2,84,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_85,2,85,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_86,2,86,2,12,6,6.0,3,9,3.0,2,4,1,1
length2_87,2,87,1,7,5,7.0,7,7,5.0,5,5,0,1
length2_88,2,88,2,3,4,1.5,1,2,2.0,2,2,2,1
length2_89,2,89,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_90,2,90,1,1,2,1.0,1,1,2.0,2,2,1,2
length2_91,2,91,2,8,13,4.0,4,4,6.5,4,9,1,1
length2_92,2,92,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_93,2,93,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_94,2,94,1,4,0,4.0,4,4,0.0,0,0,4,0
length2_95,2,95,2,6,6,3.0,3,3,3.0,2,4,6,2
length2_96,2,96,2,12,6,6.0,3,9,3.0,2,4,1,1
length2_97,2,97,2,6,6,3.0,3,3,3.0,2,4,4,2
length2_98,2,98,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_99,2,99,2,3,4,1.5,1,2,2.0,2,2,1,1
length3_0,3,0,1,4,3,4.0,4,4,3.0,3,3,2,1
length3_1,3,1,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_2,3,2,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_3,3,3,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_4,3,4,1,4,3,4.0,4,4,3.0,3,3,1,1
length3_5,3,5,3,36,0,12.0,12,12,0.0,0,0,12,0
length3_6,3,6,3,27,6,9.0,2,21,2.0,0,3,1,1
length3_7,3,7,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_8,3,8,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_9,3,9,2,1,6,0.5,0,1,3.0,2,4,1,1
length3_10,3,10,2,2,4,1.0,0,2,2.0,1,3,2,4
length3_11,3,11,1,4,3,4.0,4,4,3.0,3,3,2,1
length3_12,3,12,1,4,3,4.0,4,4,3.0,3,3,2,1
length3_13,3,13,1,4,3,4.0,4,4,3.0,3,3,2,1
length3_14,3,14,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_15,3,15,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,2,1
length3_16,3,16,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,2,1
length3_17,3,17,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,2,1
length3_18,3,18,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_19,3,19,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_20,3,20,1,4,3,4.0,4,4,3.0,3,3,1,1
length3_21,3,21,1,2,2,2.0,2,2,2.0,2,2,2,1
length3_22,3,22,2,10,18,5.0,1,9,9.0,1,17,3,1
length3_23,3,23,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_24,3,24,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,2,1
length3_25,3,25,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_26,3,26,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,1,1
length3_27,3,27,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_28,3,28,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_29,3,29,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_30,3,30,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_31,3,31,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,2,1
length3_32,3,32,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_33,3,33,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,6,1
length3_34,3,34,2,116,8,58.0,58,58,4.0,4,4,0,5
length3_35,3,35,3,3,13,1.0,0,2,4.333333333333333,3,7,2,4
length3_36,3,36,4,0,7,0.0,0,0,1.75,1,2,0,3
length3_37,3,37,4,0,7,0.0,0,0,1.75,1,2,0,3
length3_38,3,38,4,4,4,1.0,1,1,1.0,1,1,4,1
length3_39,3,39,2,5,2,2.5,1,4,1.0,0,2,2,0
length3_40,3,40,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_41,3,41,2,6,6,3.0,3,3,3.0,2,4,4,0
length3_42,3,42,2,6,6,3.0,3,3,3.0,2,4,5,0
length3_43,3,43,2,6,6,3.0,3,3,3.0,2,4,5,1
length3_44,3,44,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_45,3,45,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_46,3,46,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_47,3,47,2,116,8,58.0,58,58,4.0,4,4,0,5
length3_48,3,48,4,9,0,2.25,2,3,0.0,0,0,6,0
length3_49,3,49,1,5,5,5.0,5,5,5.0,5,5,2,1
length3_50,3,50,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_51,3,51,2,3,4,1.5,1,2,2.0,2,2,3,2
length3_52,3,52,4,8,4,2.0,2,2,1.0,1,1,5,4
length3_53,3,53,3,15,24,5.0,5,5,8.0,8,8,5,0
length3_54,3,54,4,16,4,4.0,4,4,1.0,1,1,13,4
length3_55,3,55,4,16,4,4.0,4,4,1.0,1,1,13,4
length3_56,3,56,4,16,4,4.0,4,4,1.0,1,1,13,4
length3_57,3,57,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_58,3,58,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_59,3,59,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_60,3,60,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_61,3,61,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_62,3,62,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_63,3,63,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_64,3,64,1,2,1,2.0,2,2,1.0,1,1,4,0
length3_65,3,65,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_66,3,66,2,3,3,1.5,0,3,1.5,1,2,11,0
length3_67,3,67,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_68,3,68,4,12,4,3.0,3,3,1.0,1,1,12,1
length3_69,3,69,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_70,3,70,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_71,3,71,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_72,3,72,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_73,3,73,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_74,3,74,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_75,3,75,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_76,3,76,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_77,3,77,2,3,4,1.5,1,2,2.0,2,2,1,2
length3_78,3,78,3,8,6,2.6666666666666665,2,4,2.0,0,3,3,1
length3_79,3,79,3,36,0,12.0,12,12,0.0,0,0,12,0
length3_80,3,80,4,63,61,15.75,15,16,15.25,15,16,15,16
length3_81,3,81,4,63,61,15.75,15,16,15.25,15,16,15,16
length3_82,3,82,4,63,61,15.75,15,16,15.25,15,16,15,16
length3_83,3,83,3,3,13,1.0,0,2,4.333333333333333,3,7,2,3
length3_84,3,84,3,3,13,1.0,0,2,4.333333333333333,3,7,2,4
length3_85,3,85,4,0,7,0.0,0,0,1.75,1,2,0,3
length3_86,3,86,3,66,6,22.0,3,56,2.0,1,4,20,0
length3_87,3,87,3,66,6,22.0,3,56,2.0,1,4,2,0
length3_88,3,88,4,8,0,2.0,1,3,0.0,0,0,5,0
length3_89,3,89,1,12,10,12.0,12,12,10.0,10,10,21,0
length3_90,3,90,1,12,10,12.0,12,12,10.0,10,10,21,0
length3_91,3,91,3,8,6,2.6666666666666665,2,4,2.0,0,3,6,1
length3_92,3,92,3,8,6,2.6666666666666665,2,4,2.0,0,3,6,1
length3_93,3,93,3,8,6,2.6666666666666665,2,4,2.0,0,3,2,0
length3_94,3,94,3,8,6,2.6666666666666665,2,4,2.0,0,3,3,1
length3_95,3,95,3,8,6,2.6666666666666665,2,4,2.0,0,3,3,1
length3_96,3,96,3,27,6,9.0,2,21,2.0,0,3,30,1
length3_97,3,97,3,27,6,9.0,2,21,2.0,0,3,1,1
length3_98,3,98,2,26,61,13.0,4,22,30.5,3,58,1,1
length3_99,3,99,2,26,61,13.0,4,22,30.5,3,58,1,1
length3_100,3,100,3,66,6,22.0,3,56,2.0,1,4,2,0
length4_0,4,0,4,17,11,4.25,2,6,2.75,1,5,0,1
length4_1,4,1,4,17,11,4.25,2,6,2.75,1,5,24,3
length4_2,4,2,4,17,11,4.25,2,6,2.75,1,5,26,1
length4_3,4,3,4,17,11,4.25,2,6,2.75,1,5,25,2
length4_4,4,4,4,17,11,4.25,2,6,2.75,1,5,24,3
length4_5,4,5,4,17,11,4.25,2,6,2.75,1,5,26,1
length4_6,4,6,4,17,11,4.25,2,6,2.75,1,5,25,2
length4_7,4,7,4,17,11,4.25,2,6,2.75,1,5,2,1
length4_8,4,8,4,17,11,4.25,2,6,2.75,1,5,2,1
length4_9,4,9,4,17,11,4.25,2,6,2.75,1,5,2,1
length4_10,4,10,3,7,5,2.3333333333333335,1,4,1.6666666666666667,0,3,10,2
length4_11,4,11,3,8,4,2.6666666666666665,1,4,1.3333333333333333,0,2,10,2
length4_12,4,12,4,17,11,4.25,2,6,2.75,1,5,17,10
length4_13,4,13,4,17,11,4.25,2,6,2.75,1,5,3,2
length4_14,4,14,4,17,11,4.25,2,6,2.75,1,5,3,2
length4_15,4,15,4,17,11,4.25,2,6,2.75,1,5,2,2
length4_16,4,16,4,17,11,4.25,2,6,2.75,1,5,4,2
length4_17,4,17,4,17,11,4.25,2,6,2.75,1,5,7,2
length4_18,4,18,1,18,9,18.0,18,18,9.0,9,9,3,1
length4_19,4,19,1,18,9,18.0,18,18,9.0,9,9,3,1
length4_20,4,20,1,18,9,18.0,18,18,9.0,9,9,3,1
length4_21,4,21,1,18,9,18.0,18,18,9.0,9,9,3,1
length4_22,4,22,1,18,9,18.0,18,18,9.0,9,9,3,1
length4_23,4,23,5,7,23,1.4,1,3,4.6,1,18,3,22
length4_24,4,24,4,12,16,3.0,3,3,4.0,4,4,6,1
length4_25,4,25,4,12,16,3.0,3,3,4.0,4,4,6,1
length4_26,4,26,4,12,16,3.0,3,3,4.0,4,4,7,0
length4_27,4,27,4,12,8,3.0,3,3,2.0,2,2,4,1
length4_28,4,28,4,12,8,3.0,3,3,2.0,2,2,4,1
length4_29,4,29,4,12,8,3.0,3,3,2.0,2,2,5,0
length4_30,4,30,5,79,76,15.8,15,16,15.2,15,16,15,16
length4_31,4,31,5,0,9,0.0,0,0,1.8,1,2,0,5
length4_32,4,32,5,0,9,0.0,0,0,1.8,1,2,0,5
length4_33,4,33,5,5,5,1.0,1,1,1.0,1,1,5,1
length4_34,4,34,5,7,5,1.4,1,3,1.0,1,1,7,1
length4_35,4,35,5,7,5,1.4,1,3,1.0,1,1,7,1
length4_36,4,36,5,23,26,4.6,1,19,5.2,1,22,22,22
length4_37,4,37,5,23,26,4.6,1,19,5.2,1,22,22,22
length4_38,4,38,5,7,23,1.4,1,3,4.6,1,18,3,23
length4_39,4,39,4,8,4,2.0,2,2,1.0,1,1,2,1
length4_40,4,40,4,8,4,2.0,2,2,1.0,1,1,3,0
length4_41,4,41,4,8,4,2.0,2,2,1.0,1,1,3,0
length4_42,4,42,4,9,27,2.25,2,3,6.75,6,7,8,1
length4_43,4,43,4,9,27,2.25,2,3,6.75,6,7,8,1
length4_44,4,44,4,9,27,2.25,2,3,6.75,6,7,8,1
length4_45,4,45,4,10,4,2.5,2,3,1.0,1,1,5,0
length4_46,4,46,4,10,4,2.5,2,3,1.0,1,1,5,0
length4_47,4,47,4,10,4,2.5,2,3,1.0,1,1,5,0
length4_48,4,48,1,22,6,22.0,22,22,6.0,6,6,11,1
length4_49,4,49,1,22,6,22.0,22,22,6.0,6,6,11,1
length4_50,4,50,1,22,6,22.0,22,22,6.0,6,6,12,0
length4_51,4,51,4,44,7,11.0,11,11,1.75,1,2,12,1
length4_52,4,52,4,44,7,11.0,11,11,1.75,1,2,13,0
length4_53,4,53,4,44,7,11.0,11,11,1.75,1,2,12,1
length4_54,4,54,4,8,0,2.0,2,2,0.0,0,0,2,0
length4_55,4,55,4,8,0,2.0,2,2,0.0,0,0,2,0
length4_56,4,56,4,12,8,3.0,3,3,2.0,2,2,4,1
length4_57,4,57,4,8,0,2.0,2,2,0.0,0,0,2,0
length4_58,4,58,4,8,0,2.0,2,2,0.0,0,0,2,0
length4_59,4,59,4,4,20,1.0,1,1,5.0,5,5,5,1
length4_60,4,60,4,4,20,1.0,1,1,5.0,5,5,5,1
length4_61,4,61,4,4,20,1.0,1,1,5.0,5,5,5,1
length4_62,4,62,4,1543,0,385.75,352,413,0.0,0,0,520,0
length4_63,4,63,4,1543,0,385.75,352,413,0.0,0,0,520,0
length4_64,4,64,4,1543,0,385.75,352,413,0.0,0,0,520,0
length4_65,4,65,5,0,25,0.0,0,0,5.0,5,5,0,5
length4_66,4,66,5,0,25,0.0,0,0,5.0,5,5,0,5
length4_67,4,67,1,3,7,3.0,3,3,7.0,7,7,3,1
length4_68,4,68,2,6,6,3.0,3,3,3.0,2,4,4,2
length4_69,4,69,3,3,5,1.0,1,1,1.6666666666666667,1,2,1,5
length4_70,4,70,5,5,25,1.0,1,1,5.0,5,5,1,5
length4_71,4,71,1,24,3,24.0,24,24,3.0,3,3,24,1
length4_72,4,72,2,3,4,1.5,1,2,2.0,2,2,2,1
length4_73,4,73,2,3,4,1.5,1,2,2.0,2,2,3,2
length4_74,4,74,1,4,3,4.0,4,4,3.0,3,3,6,1
length4_75,4,75,2,6,6,3.0,3,3,3.0,2,4,2,1
length4_76,4,76,3,9,4,3.0,1,5,1.3333333333333333,1,2,2,2
length4_77,4,77,3,10,7,3.3333333333333335,3,4,2.3333333333333335,1,4,7,2
length4_78,4,78,3,10,7,3.3333333333333335,3,4,2.3333333333333335,1,4,8,2
length4_79,4,79,5,15,5,3.0,3,3,1.0,1,1,3,1
length4_80,4,80,2,3,3,1.5,0,3,1.5,1,2,5,1
length4_81,4,81,2,3,3,1.5,0,3,1.5,1,2,5,1
length4_82,4,82,5,21,5,4.2,1,15,1.0,1,1,10,1
length4_83,4,83,2,3,4,1.5,1,2,2.0,2,2,2,2
length4_84,4,84,5,10,15,2.0,2,2,3.0,3,3,2,3
