SCHOOL_YEAR,ULCS_NO,INCIDENT_TYPE,INCIDENT_COUNT,SCHOOL_ID
2013-2014,7510,7510,0,751
2013-2014,7730,7730,1,773
2013-2014,8010,8010,1,801
2013-2014,8030,8030,34,803
2013-2014,8040,8040,0,804
2013-2014,8040,8040,0,804
2013-2014,8140,8140,5,814
2013-2014,8250,8250,0,825
2013-2014,8270,8270,0,827
2013-2014,8340,8340,1,834
2013-2014,8350,8350,12,835
2013-2014,8390,8390,6,839
2013-2014,8430,8430,1,843
2013-2014,7220,7220,0,722
2013-2014,1010,1010,23,101
2013-2014,1050,1050,2,105
2013-2014,1060,1060,0,106
2013-2014,1080,1080,0,108
2013-2014,1230,1230,1,123
2013-2014,1300,1300,0,130
2013-2014,1350,1350,0,135
2013-2014,1370,1370,22,137
2013-2014,1390,1390,0,139
2013-2014,1390,1390,0,139
2013-2014,1400,1400,0,140
2013-2014,6440,6440,1,644
2013-2014,7110,7110,28,711
2013-2014,7150,7150,0,715
2013-2014,7270,7270,0,727
2013-2014,7280,7280,0,728
2013-2014,7310,7310,1,731
2013-2014,7350,7350,0,735
2013-2014,7360,7360,0,736
2013-2014,7510,7510,0,751
2013-2014,7730,7730,28,773
2013-2014,8010,8010,0,801
2013-2014,8010,8010,15,801
2013-2014,8020,8020,0,802
2013-2014,2190,2190,1,219
2013-2014,2240,2240,0,224
2013-2014,2410,2410,1,241
2013-2014,2490,2490,0,249
2013-2014,2650,2650,2,265
2013-2014,2650,2650,1,265
2013-2014,2690,2690,0,269
2013-2014,2630,2630,0,263
2013-2014,7130,7130,2,713
2013-2014,7260,7260,0,726
2013-2014,7310,7310,0,731
2013-2014,7320,7320,0,732
2013-2014,7330,7330,0,733
2013-2014,7440,7440,3,744
2013-2014,7490,7490,1,749
2013-2014,7500,7500,10,750
2013-2014,8030,8030,6,803
2013-2014,8040,8040,0,804
2013-2014,8090,8090,5,809
2013-2014,8090,8090,0,809
2013-2014,2650,2650,0,265
2013-2014,2690,2690,0,269
2013-2014,8260,8260,0,826
2013-2014,8340,8340,1,834
2013-2014,8390,8390,0,839
2013-2014,8400,8400,0,840
2013-2014,8400,8400,0,840
2013-2014,8430,8430,0,843
2013-2014,8430,8430,0,843
2013-2014,8560,8560,0,856
2013-2014,4020,4020,1,402
2013-2014,4300,4300,6,430
2013-2014,4320,4320,0,432
2013-2014,4380,4380,0,438
2013-2014,4460,4460,0,446
2013-2014,4470,4470,9,447
2013-2014,4480,4480,0,448
2013-2014,4530,4530,1,453
2013-2014,4570,4570,4,457
2013-2014,5020,5020,7,502
2013-2014,5020,5020,2,502
2013-2014,2140,2140,0,214
2013-2014,2160,2160,19,216
2013-2014,8340,8340,0,834
2013-2014,2210,2210,10,221
2013-2014,2340,2340,0,234
2013-2014,2340,2340,0,234
2013-2014,2370,2370,0,237
2013-2014,2390,2390,1,239
2013-2014,2540,2540,0,254
2013-2014,2630,2630,0,263
2013-2014,2640,2640,0,264
2013-2014,2650,2650,0,265
2013-2014,2670,2670,1,267
2013-2014,8370,8370,0,837
2013-2014,8390,8390,1,839
2013-2014,8400,8400,0,840
2013-2014,8430,8430,0,843
2013-2014,4020,4020,0,402
2013-2014,1130,1130,5,113
2013-2014,1280,1280,0,128
2013-2014,1290,1290,0,129
2013-2014,1390,1390,0,139
2013-2014,1420,1420,0,142
2013-2014,1440,1440,9,144
2013-2014,4030,4030,2,403
2013-2014,4060,4060,0,406
2013-2014,4140,4140,0,414
2013-2014,4270,4270,0,427
2013-2014,4280,4280,12,428
2013-2014,4300,4300,2,430
2013-2014,4320,4320,0,432
2013-2014,4350,4350,22,435
2013-2014,4440,4440,8,444
2013-2014,4440,4440,7,444
2013-2014,4460,4460,0,446
2013-2014,4480,4480,0,448
2013-2014,4320,4320,10,432
2013-2014,4440,4440,0,444
2013-2014,4460,4460,1,446
2013-2014,4460,4460,0,446
2013-2014,4460,4460,2,446
2013-2014,4530,4530,0,453
2013-2014,4570,4570,2,457
2013-2014,5020,5020,1,502
2013-2014,5070,5070,4,507
2013-2014,5080,5080,0,508
2013-2014,5230,5230,0,523
2013-2014,5390,5390,0,539
2013-2014,5150,5150,0,515
2013-2014,5150,5150,0,515
2013-2014,5250,5250,3,525
2013-2014,5260,5260,22,526
2013-2014,5260,5260,0,526
2013-2014,5340,5340,0,534
2013-2014,5410,5410,0,541
2013-2014,5430,5430,0,543
2013-2014,5480,5480,2,548
2013-2014,5500,5500,1,550
2013-2014,5680,5680,0,568
2013-2014,6010,6010,2,601
2013-2014,6020,6020,0,602
2013-2014,6050,6050,0,605
2013-2014,6070,6070,0,607
2013-2014,6210,6210,0,621
2013-2014,4320,4320,0,432
2013-2014,5020,5020,0,502
2013-2014,1260,1260,0,126
2013-2014,1260,1260,0,126
2013-2014,1290,1290,0,129
2013-2014,1300,1300,0,130
2013-2014,1330,1330,0,133
2013-2014,1360,1360,0,136
2013-2014,1380,1380,17,138
2013-2014,4240,4240,0,424
2013-2014,4350,4350,17,435
2013-2014,4350,4350,5,435
2013-2014,4350,4350,3,435
2013-2014,4460,4460,0,446
2013-2014,5050,5050,2,505
2013-2014,5070,5070,0,507
2013-2014,5080,5080,0,508
2013-2014,5160,5160,0,516
2013-2014,5250,5250,0,525
2013-2014,5250,5250,0,525
2013-2014,5250,5250,0,525
2013-2014,2130,2130,0,213
2013-2014,2190,2190,0,219
2013-2014,2190,2190,0,219
2013-2014,2240,2240,0,224
2013-2014,2320,2320,0,232
2013-2014,2370,2370,0,237
2013-2014,2470,2470,0,247
2013-2014,2490,2490,0,249
2013-2014,2520,2520,0,252
2013-2014,2590,2590,0,259
2013-2014,6010,6010,0,601
2013-2014,6010,6010,2,601
2013-2014,6090,6090,0,609
2013-2014,6230,6230,0,623
2013-2014,6300,6300,1,630
2013-2014,6340,6340,0,634
2013-2014,6340,6340,0,634
2013-2014,6360,6360,0,636
2013-2014,6430,6430,0,643
2013-2014,6470,6470,5,647
2013-2014,7010,7010,24,701
2013-2014,7100,7100,1,710
2013-2014,7120,7120,10,712
2013-2014,7130,7130,0,713
2013-2014,7260,7260,3,726
2013-2014,7280,7280,0,728
2013-2014,5080,5080,0,508
2013-2014,5150,5150,0,515
2013-2014,5170,5170,0,517
2013-2014,5210,5210,7,521
2013-2014,5330,5330,0,533
2013-2014,5410,5410,0,541
2013-2014,5430,5430,0,543
2013-2014,5520,5520,0,552
2013-2014,5600,5600,18,560
2013-2014,6030,6030,0,603
2013-2014,1010,1010,6,101
2013-2014,1030,1030,2,103
2013-2014,1060,1060,0,106
2013-2014,1190,1190,4,119
2013-2014,1190,1190,0,119
2013-2014,1200,1200,1,120
2013-2014,1340,1340,3,134
2013-2014,1400,1400,0,140
2013-2014,2000,2000,0,200
2013-2014,2000,2000,10,200
2013-2014,6260,6260,0,626
2013-2014,6340,6340,0,634
2013-2014,6360,6360,24,636
2013-2014,6380,6380,0,638
2013-2014,6450,6450,1,645
2013-2014,6470,6470,0,647
2013-2014,7100,7100,0,710
2013-2014,7110,7110,0,711
2013-2014,7280,7280,0,728
2013-2014,7290,7290,0,729
2013-2014,7330,7330,6,733
2013-2014,7350,7350,0,735
2013-2014,7360,7360,3,736
2013-2014,7390,7390,1,739
2013-2014,7400,7400,0,740
2013-2014,7400,7400,6,740
2013-2014,7510,7510,0,751
2013-2014,7530,7530,0,753
2013-2014,1030,1030,6,103
2013-2014,1100,1100,0,110
2013-2014,1100,1100,3,110
2013-2014,1230,1230,1,123
2013-2014,1260,1260,7,126
2013-2014,1330,1330,1,133
2013-2014,1340,1340,0,134
2013-2014,1360,1360,0,136
2013-2014,1370,1370,13,137
2013-2014,1370,1370,6,137
2013-2014,4030,4030,2,403
2013-2014,4530,4530,0,453
2013-2014,4560,4560,0,456
2013-2014,5170,5170,0,517
2013-2014,5330,5330,2,533
2013-2014,5430,5430,0,543
2013-2014,5480,5480,0,548
2013-2014,4020,4020,0,402
2013-2014,4020,4020,11,402
2013-2014,1030,1030,0,103
2013-2014,1130,1130,0,113
2013-2014,1300,1300,2,130
2013-2014,1370,1370,1,137
2013-2014,1440,1440,0,144
2013-2014,4300,4300,0,430
2013-2014,4440,4440,0,444
2013-2014,4440,4440,1,444
2013-2014,4530,4530,0,453
2013-2014,4530,4530,1,453
2013-2014,5080,5080,1,508
2013-2014,5470,5470,0,547
2013-2014,2340,2340,0,234
2013-2014,2620,2620,0,262
2013-2014,2620,2620,0,262
2013-2014,2620,2620,2,262
2013-2014,2630,2630,0,263
2013-2014,2630,2630,0,263
2013-2014,2690,2690,0,269
2013-2014,2720,2720,0,272
2013-2014,6340,6340,0,634
2013-2014,6450,6450,0,645
2013-2014,6460,6460,0,646
2013-2014,6470,6470,0,647
2013-2014,6540,6540,0,654
2013-2014,7010,7010,10,701
2013-2014,7110,7110,0,711
2013-2014,7130,7130,0,713
2013-2014,7200,7200,0,720
2013-2014,7220,7220,0,722
2013-2014,7260,7260,0,726
2013-2014,7330,7330,0,733
2013-2014,7370,7370,1,737
2013-2014,2000,2000,16,200
2013-2014,2010,2010,6,201
2013-2014,2090,2090,0,209
2013-2014,2260,2260,6,226
2013-2014,2480,2480,0,248
2013-2014,2540,2540,1,254
2013-2014,2620,2620,1,262
2013-2014,2720,2720,0,272
2013-2014,8040,8040,0,804
2013-2014,8120,8120,0,812
2013-2014,8200,8200,0,820
2013-2014,8260,8260,0,826
2013-2014,8300,8300,7,830
2013-2014,8350,8350,0,835
2013-2014,8400,8400,0,840
2013-2014,8410,8410,2,841
2013-2014,8420,8420,1,842
2013-2014,8430,8430,0,843
2013-2014,5490,5490,0,549
2013-2014,5490,5490,0,549
2013-2014,5500,5500,1,550
2013-2014,5510,5510,2,551
2013-2014,5680,5680,11,568
2013-2014,6310,6310,0,631
2013-2014,6340,6340,0,634
2013-2014,6380,6380,6,638
2013-2014,6430,6430,0,643
2013-2014,6450,6450,2,645
2013-2014,6460,6460,0,646
2013-2014,6460,6460,0,646
2013-2014,7110,7110,5,711
2013-2014,2340,2340,0,234
2013-2014,2450,2450,0,245
2013-2014,2510,2510,3,251
2013-2014,2510,2510,0,251
2013-2014,2510,2510,0,251
2013-2014,2630,2630,1,263
2013-2014,2640,2640,1,264
2013-2014,2640,2640,1,264
2013-2014,5550,5550,0,555
2013-2014,5560,5560,0,556
2013-2014,5680,5680,3,568
2013-2014,6020,6020,0,602
2013-2014,6090,6090,3,609
2013-2014,6200,6200,0,620
2013-2014,6250,6250,1,625
2013-2014,6360,6360,0,636
2013-2014,6440,6440,0,644
2013-2014,6460,6460,0,646
2013-2014,6470,6470,0,647
2013-2014,7120,7120,0,712
2013-2014,8040,8040,1,804
2013-2014,8040,8040,0,804
2013-2014,4270,4270,0,427
2013-2014,8140,8140,1,814
2013-2014,8200,8200,0,820
2013-2014,8360,8360,0,836
2013-2014,8380,8380,0,838
2013-2014,8380,8380,0,838
2013-2014,8390,8390,0,839
2013-2014,8390,8390,2,839
2013-2014,8410,8410,0,841
2013-2014,4380,4380,0,438
2013-2014,1580,1580,0,158
2013-2014,2090,2090,0,209
2013-2014,2210,2210,0,221
2013-2014,2260,2260,3,226
2013-2014,2510,2510,0,251
2013-2014,2520,2520,0,252
2013-2014,2580,2580,0,258
2013-2014,2670,2670,0,267
2013-2014,2690,2690,0,269
2013-2014,7380,7380,0,738
2013-2014,8010,8010,9,801
2013-2014,8030,8030,27,803
2013-2014,8380,8380,0,838
2013-2014,5450,5450,0,545
2013-2014,5470,5470,1,547
2013-2014,5600,5600,0,560
2013-2014,5600,5600,3,560
2013-2014,6010,6010,0,601
2013-2014,6010,6010,1,601
2013-2014,6030,6030,14,603
2013-2014,6060,6060,7,606
2013-2014,6100,6100,0,610
2013-2014,6210,6210,0,621
2013-2014,6220,6220,3,622
2013-2014,6220,6220,0,622
2013-2014,6220,6220,0,622
2013-2014,6220,6220,0,622
2013-2014,6350,6350,0,635
2013-2014,6380,6380,0,638
2013-2014,6390,6390,0,639
2013-2014,6480,6480,1,648
2013-2014,6540,6540,0,654
2013-2014,7010,7010,24,701
2013-2014,7220,7220,10,722
2013-2014,7350,7350,0,735
2013-2014,7400,7400,7,740
2013-2014,7400,7400,0,740
2013-2014,7530,7530,0,753
2013-2014,8020,8020,17,802
2013-2014,8120,8120,9,812
2013-2014,8160,8160,0,816
2013-2014,8200,8200,1,820
2013-2014,8210,8210,0,821
2013-2014,8240,8240,0,824
2013-2014,8320,8320,1,832
2013-2014,8430,8430,1,843
2013-2014,8430,8430,0,843
2013-2014,4480,4480,1,448
2013-2014,5020,5020,3,502
2013-2014,5050,5050,5,505
2013-2014,5060,5060,0,506
2013-2014,5150,5150,0,515
2013-2014,5160,5160,4,516
2013-2014,5200,5200,0,520
2013-2014,5320,5320,4,532
2013-2014,5320,5320,0,532
2013-2014,5340,5340,0,534
2013-2014,5400,5400,0,540
2013-2014,5410,5410,0,541
2013-2014,5430,5430,4,543
2013-2014,5440,5440,2,544
2013-2014,5530,5530,0,553
2013-2014,5600,5600,3,560
2013-2014,5600,5600,0,560
2013-2014,1030,1030,0,103
2013-2014,1030,1030,0,103
2013-2014,1190,1190,2,119
2013-2014,1250,1250,0,125
2013-2014,1250,1250,0,125
2013-2014,1370,1370,1,137
2013-2014,1400,1400,0,140
2013-2014,1470,1470,22,147
2013-2014,2020,2020,3,202
2013-2014,5050,5050,0,505
2013-2014,5150,5150,0,515
2013-2014,5400,5400,0,540
2013-2014,5470,5470,0,547
2013-2014,5490,5490,1,549
2013-2014,5490,5490,0,549
2013-2014,5530,5530,0,553
2013-2014,6090,6090,0,609
2013-2014,6230,6230,3,623
2013-2014,6230,6230,0,623
2013-2014,6270,6270,0,627
2013-2014,1080,1080,0,108
2013-2014,1200,1200,2,120
2013-2014,1290,1290,0,129
2013-2014,1290,1290,1,129
2013-2014,1350,1350,0,135
2013-2014,1360,1360,0,136
2013-2014,1380,1380,3,138
2013-2014,1390,1390,2,139
2013-2014,1580,1580,1,158
2013-2014,2010,2010,0,201
2013-2014,1420,1420,4,142
2013-2014,5350,5350,5,535
2013-2014,5370,5370,0,537
2013-2014,5420,5420,0,542
2013-2014,5430,5430,1,543
2013-2014,5480,5480,1,548
2013-2014,5550,5550,3,555
2013-2014,6050,6050,0,605
2013-2014,6060,6060,3,606
2013-2014,6070,6070,0,607
2013-2014,6230,6230,0,623
2013-2014,6270,6270,0,627
2013-2014,6320,6320,0,632
2013-2014,6410,6410,1,641
2013-2014,6430,6430,0,643
2013-2014,1460,1460,0,146
2013-2014,1580,1580,1,158
2013-2014,2090,2090,0,209
2013-2014,2130,2130,0,213
2013-2014,2410,2410,0,241
2013-2014,2410,2410,0,241
2013-2014,2510,2510,4,251
2013-2014,2590,2590,0,259
2013-2014,2670,2670,5,267
2013-2014,7300,7300,0,730
2013-2014,7300,7300,1,730
2013-2014,7390,7390,0,739
2013-2014,7400,7400,0,740
2013-2014,7440,7440,0,744
2013-2014,7490,7490,7,749
2013-2014,8010,8010,2,801
2013-2014,8160,8160,2,816
2013-2014,8210,8210,0,821
2013-2014,8560,8560,0,856
2013-2014,7390,7390,1,739
2013-2014,8140,8140,1,814
2013-2014,8160,8160,0,816
2013-2014,8240,8240,6,824
2013-2014,8260,8260,0,826
2013-2014,8310,8310,0,831
2013-2014,8320,8320,1,832
2013-2014,8350,8350,0,835
2013-2014,8350,8350,0,835
2013-2014,8390,8390,4,839
2013-2014,8400,8400,0,840
2013-2014,8410,8410,1,841
2013-2014,8430,8430,1,843
2013-2014,1030,1030,0,103
2013-2014,1100,1100,2,110
2013-2014,1200,1200,1,120
2013-2014,1280,1280,0,128
2013-2014,1340,1340,2,134
2013-2014,1380,1380,0,138
2013-2014,1410,1410,0,141
2013-2014,2010,2010,2,201
2013-2014,2140,2140,0,214
2013-2014,2140,2140,1,214
2013-2014,6320,6320,1,632
2013-2014,6320,6320,0,632
2013-2014,6390,6390,0,639
2013-2014,6410,6410,17,641
2013-2014,6540,6540,0,654
2013-2014,7100,7100,0,710
2013-2014,7130,7130,12,713
2013-2014,7220,7220,1,722
2013-2014,7310,7310,0,731
2013-2014,7360,7360,1,736
2013-2014,7430,7430,0,743
2013-2014,7460,7460,0,746
2013-2014,8030,8030,0,803
2013-2014,8040,8040,0,804
2013-2014,8160,8160,0,816
2013-2014,8200,8200,0,820
2013-2014,6450,6450,0,645
2013-2014,2240,2240,0,224
2013-2014,2260,2260,1,226
2013-2014,2290,2290,0,229
2013-2014,2320,2320,1,232
2013-2014,2320,2320,0,232
2013-2014,2340,2340,1,234
2013-2014,2370,2370,2,237
2013-2014,2480,2480,4,248
2013-2014,2490,2490,0,249
2013-2014,2670,2670,1,267
2013-2014,6480,6480,1,648
2013-2014,6540,6540,0,654
2013-2014,7120,7120,9,712
2013-2014,7290,7290,0,729
2013-2014,7310,7310,0,731
2013-2014,7330,7330,0,733
2013-2014,7500,7500,0,750
2013-2014,7530,7530,0,753
2013-2014,8160,8160,4,816
2013-2014,8200,8200,5,820
2013-2014,8230,8230,0,823
2013-2014,8250,8250,0,825
2013-2014,8260,8260,0,826
2013-2014,8260,8260,3,826
2013-2014,2690,2690,1,269
2013-2014,8310,8310,3,831
2013-2014,8320,8320,0,832
2013-2014,8340,8340,1,834
2013-2014,8360,8360,0,836
2013-2014,8370,8370,0,837
2013-2014,8370,8370,0,837
2013-2014,8390,8390,19,839
2013-2014,8420,8420,2,842
2013-2014,8430,8430,0,843
2013-2014,8440,8440,0,844
2013-2014,4220,4220,0,422
2013-2014,4380,4380,0,438
2013-2014,4480,4480,0,448
2013-2014,4530,4530,0,453
2013-2014,2160,2160,0,216
2013-2014,2480,2480,1,248
2013-2014,2640,2640,0,264
2013-2014,2640,2640,0,264
2013-2014,2650,2650,0,265
2013-2014,8360,8360,1,836
2013-2014,8370,8370,0,837
2013-2014,8560,8560,0,856
2013-2014,1010,1010,13,101
2013-2014,1020,1020,7,102
2013-2014,1080,1080,0,108
2013-2014,1100,1100,1,110
2013-2014,1100,1100,4,110
2013-2014,1190,1190,0,119
2013-2014,1340,1340,1,134
2013-2014,1350,1350,0,135
2013-2014,1420,1420,2,142
2013-2014,4030,4030,0,403
2013-2014,4140,4140,0,414
2013-2014,4270,4270,0,427
2013-2014,4370,4370,0,437
2013-2014,4380,4380,8,438
2013-2014,4460,4460,0,446
2013-2014,4470,4470,0,447
2013-2014,4560,4560,5,456
2013-2014,4570,4570,2,457
2013-2014,5080,5080,0,508
2013-2014,4140,4140,3,414
2013-2014,4220,4220,0,422
2013-2014,4350,4350,0,435
2013-2014,4350,4350,5,435
2013-2014,4480,4480,0,448
2013-2014,4530,4530,1,453
2013-2014,5080,5080,1,508
2013-2014,5250,5250,4,525
2013-2014,5330,5330,2,533
2013-2014,5440,5440,0,544
2013-2014,5090,5090,0,509
2013-2014,5170,5170,0,517
2013-2014,5340,5340,0,534
2013-2014,5370,5370,0,537
2013-2014,5390,5390,0,539
2013-2014,5400,5400,0,540
2013-2014,5420,5420,1,542
2013-2014,5420,5420,5,542
2013-2014,5440,5440,0,544
2013-2014,5450,5450,0,545
2013-2014,5470,5470,0,547
2013-2014,5480,5480,2,548
2013-2014,5550,5550,0,555
2013-2014,5550,5550,2,555
2013-2014,5590,5590,0,559
2013-2014,6090,6090,0,609
2013-2014,6200,6200,0,620
2013-2014,6200,6200,1,620
2013-2014,6210,6210,1,621
2013-2014,4220,4220,0,422
2013-2014,4240,4240,0,424
2013-2014,4280,4280,1,428
2013-2014,4300,4300,0,430
2013-2014,4460,4460,0,446
2013-2014,1050,1050,1,105
2013-2014,1050,1050,1,105
2013-2014,1050,1050,0,105
2013-2014,1300,1300,1,130
2013-2014,1360,1360,0,136
2013-2014,1370,1370,0,137
2013-2014,1390,1390,0,139
2013-2014,1390,1390,0,139
2013-2014,1400,1400,0,140
2013-2014,4060,4060,0,406
2013-2014,4100,4100,0,410
2013-2014,4350,4350,1,435
2013-2014,4380,4380,0,438
2013-2014,4380,4380,0,438
2013-2014,5070,5070,2,507
2013-2014,5160,5160,4,516
2013-2014,5160,5160,9,516
2013-2014,5260,5260,0,526
2013-2014,1490,1490,0,149
2013-2014,2090,2090,0,209
2013-2014,2210,2210,1,221
2013-2014,2380,2380,0,238
2013-2014,2390,2390,12,239
2013-2014,2410,2410,0,241
2013-2014,2450,2450,0,245
2013-2014,2470,2470,0,247
2013-2014,2540,2540,0,254
2013-2014,2540,2540,0,254
2013-2014,2590,2590,0,259
2013-2014,6250,6250,0,625
2013-2014,6350,6350,0,635
2013-2014,6360,6360,0,636
2013-2014,6360,6360,4,636
2013-2014,6380,6380,0,638
2013-2014,6440,6440,0,644
2013-2014,6450,6450,0,645
2013-2014,7100,7100,22,710
2013-2014,5080,5080,0,508
2013-2014,5250,5250,0,525
2013-2014,5260,5260,0,526
2013-2014,5350,5350,6,535
2013-2014,5400,5400,0,540
2013-2014,5420,5420,8,542
2013-2014,5490,5490,0,549
2013-2014,6030,6030,7,603
2013-2014,6040,6040,0,604
2013-2014,6090,6090,0,609
2013-2014,6220,6220,1,622
2013-2014,6230,6230,0,623
2013-2014,1080,1080,0,108
2013-2014,1340,1340,0,134
2013-2014,1380,1380,0,138
2013-2014,1420,1420,0,142
2013-2014,1470,1470,1,147
2013-2014,1490,1490,0,149
2013-2014,2000,2000,0,200
2013-2014,2090,2090,0,209
2013-2014,2190,2190,0,219
2013-2014,6320,6320,3,632
2013-2014,6350,6350,0,635
2013-2014,6380,6380,0,638
2013-2014,6430,6430,0,643
2013-2014,7100,7100,0,710
2013-2014,7100,7100,0,710
2013-2014,7200,7200,1,720
2013-2014,7270,7270,0,727
2013-2014,7320,7320,0,732
2013-2014,7370,7370,0,737
2013-2014,7380,7380,1,738
2013-2014,1050,1050,0,105
2013-2014,1130,1130,24,113
2013-2014,1200,1200,17,120
2013-2014,1260,1260,7,126
2013-2014,1290,1290,0,129
2013-2014,1350,1350,7,135
2013-2014,1350,1350,0,135
2013-2014,4060,4060,2,406
2013-2014,4060,4060,0,406
2013-2014,4100,4100,3,410
2013-2014,4240,4240,3,424
2013-2014,4270,4270,0,427
2013-2014,4320,4320,1,432
2013-2014,4370,4370,0,437
2013-2014,4440,4440,1,444
2013-2014,4460,4460,7,446
2013-2014,5060,5060,3,506
2013-2014,5160,5160,0,516
2013-2014,5230,5230,5,523
2013-2014,5260,5260,0,526
2013-2014,5400,5400,2,540
2013-2014,5440,5440,0,544
2013-2014,5480,5480,0,548
2013-2014,4030,4030,1,403
2013-2014,4060,4060,0,406
2013-2014,1020,1020,2,102
2013-2014,1100,1100,0,110
2013-2014,1130,1130,0,113
2013-2014,1190,1190,0,119
2013-2014,1260,1260,2,126
2013-2014,1300,1300,1,130
2013-2014,1390,1390,0,139
2013-2014,4270,4270,0,427
2013-2014,4270,4270,0,427
2013-2014,4300,4300,0,430
2013-2014,4320,4320,3,432
2013-2014,5060,5060,0,506
2013-2014,5170,5170,0,517
2013-2014,5200,5200,2,520
2013-2014,5300,5300,0,530
2013-2014,5330,5330,1,533
2013-2014,6270,6270,0,627
2013-2014,2470,2470,0,247
2013-2014,2520,2520,0,252
2013-2014,2580,2580,3,258
2013-2014,2590,2590,0,259
2013-2014,2020,2020,0,202
2013-2014,6350,6350,0,635
2013-2014,6380,6380,0,638
2013-2014,6430,6430,0,643
2013-2014,6430,6430,1,643
2013-2014,6470,6470,0,647
2013-2014,6480,6480,1,648
2013-2014,6540,6540,3,654
2013-2014,7260,7260,4,726
2013-2014,7370,7370,0,737
2013-2014,7440,7440,0,744
2013-2014,7500,7500,1,750
2013-2014,7510,7510,0,751
2013-2014,7730,7730,2,773
2013-2014,2020,2020,5,202
2013-2014,2140,2140,1,214
2013-2014,2160,2160,3,216
2013-2014,2260,2260,0,226
2013-2014,2470,2470,0,247
2013-2014,2690,2690,0,269
2013-2014,8040,8040,0,804
2013-2014,8160,8160,0,816
2013-2014,8180,8180,1,818
2013-2014,8210,8210,0,821
2013-2014,8240,8240,0,824
2013-2014,8270,8270,8,827
2013-2014,8270,8270,0,827
2013-2014,8300,8300,0,830
2013-2014,8380,8380,0,838
2013-2014,8400,8400,3,840
2013-2014,8440,8440,23,844
2013-2014,8560,8560,0,856
2013-2014,5500,5500,0,550
2013-2014,5590,5590,1,559
2013-2014,6020,6020,0,602
2013-2014,6020,6020,0,602
2013-2014,6030,6030,7,603
2013-2014,6050,6050,0,605
2013-2014,6220,6220,0,622
2013-2014,6340,6340,0,634
2013-2014,6480,6480,0,648
2013-2014,6540,6540,0,654
2013-2014,7130,7130,2,713
2013-2014,7200,7200,0,720
2013-2014,7220,7220,0,722
2013-2014,7260,7260,0,726
2013-2014,2140,2140,0,214
2013-2014,2160,2160,0,216
2013-2014,2210,2210,0,221
2013-2014,2210,2210,2,221
2013-2014,2290,2290,0,229
2013-2014,2320,2320,0,232
2013-2014,2410,2410,2,241
2013-2014,2540,2540,1,254
2013-2014,2630,2630,0,263
2013-2014,5510,5510,4,551
2013-2014,5530,5530,7,553
2013-2014,5530,5530,4,553
2013-2014,5550,5550,0,555
2013-2014,5560,5560,0,556
2013-2014,5590,5590,0,559
2013-2014,6010,6010,3,601
2013-2014,6200,6200,0,620
2013-2014,6200,6200,0,620
2013-2014,6430,6430,0,643
2013-2014,6460,6460,0,646
2013-2014,6480,6480,0,648
2013-2014,4030,4030,0,403
2013-2014,4280,4280,0,428
2013-2014,4300,4300,2,430
2013-2014,5440,5440,0,544
2013-2014,8120,8120,0,812
2013-2014,8230,8230,0,823
