,hero,disadvantage,winrate,matches
23,Slark,1.2,50.06,342371
24,Omniknight,1.19,48.94,40493
25,Anti-Mage,1.19,47.15,315852
26,Techies,1.17,51.58,163714
27,Meepo,1.15,53.24,40852
28,Lina,1.03,54.21,212586
29,Puck,0.95,54.7,94437
30,Doom,0.92,51.4,109456
31,Monkey King,0.87,54.3,191592
32,Night Stalker,0.79,47.67,100860
33,Abaddon,0.77,49.04,74393
34,Axe,0.76,49.62,223669
35,Enchantress,0.76,56.11,71784
36,Pudge,0.73,51.11,483829
37,Disruptor,0.72,50.5,169166
38,Rubick,0.7,54.34,248240
39,Tiny,0.68,55.81,146325
40,Sniper,0.68,51.96,347513
41,Oracle,0.63,54.44,55788
42,Spirit Breaker,0.63,50.25,152910
43,Mars,0.57,55.11,106351
44,Clinkz,0.56,46.37,158170
45,Invoker,0.55,52.0,303989
46,Drow Ranger,0.55,50.94,200605
47,Outworld Devourer,0.51,56.01,60688
48,Dazzle,0.51,50.95,129060
49,Mirana,0.51,49.23,253108
50,Necrophos,0.5,48.04,147980
51,Leshrac,0.47,57.3,35716
52,Lone Druid,0.46,48.58,65895
53,Dragon Knight,0.44,52.13,115785
54,Vengeful Spirit,0.42,49.97,96318
55,Silencer,0.39,51.56,141959
56,Timbersaw,0.39,55.3,86161
57,Ancient Apparition,0.38,50.01,129491
58,Snapfire,0.37,53.18,96950
59,Huskar,0.36,53.32,91493
60,Tusk,0.36,53.38,122062
61,Phantom Lancer,0.34,54.2,133956
62,Tinker,0.32,56.79,107528
63,Troll Warlord,0.29,50.82,143574
64,Luna,0.25,51.26,144742
65,Pugna,0.24,52.64,106897
66,Bounty Hunter,0.21,51.17,147107
67,Earth Spirit,0.19,54.33,76273
68,Phantom Assassin,0.16,52.74,357881
69,Beastmaster,0.07,53.24,38545
70,Lycan,0.04,58.28,24005
71,Medusa,-0.01,52.24,133931
72,Chaos Knight,-0.02,52.75,75364
73,Lich,-0.03,50.48,162283
74,Grimstroke,-0.05,55.73,133050
75,Witch Doctor,-0.06,51.33,263780
76,Queen of Pain,-0.18,51.96,301880
77,Batrider,-0.19,58.05,44982
78,Brewmaster,-0.25,53.24,32017
79,Magnus,-0.28,51.36,121007
80,Lifestealer,-0.32,53.34,150098
81,Keeper of the Light,-0.34,55.37,104026
82,Bristleback,-0.39,53.0,204676
83,Shadow Fiend,-0.43,53.09,205437
84,Terrorblade,-0.43,54.72,98421
85,Earthshaker,-0.47,52.78,267286
86,Warlock,-0.53,49.62,110421
87,Sven,-0.61,50.53,217277
88,Pangolier,-0.63,55.29,116368
89,Gyrocopter,-0.67,57.08,70409
90,Arc Warden,-0.69,49.06,56573
91,Ogre Magi,-0.75,48.22,371382
92,Ember Spirit,-0.76,56.9,169562
93,Dark Willow,-0.92,52.75,97385
94,Dark Seer,-1.0,48.56,44358
95,Enigma,-1.09,50.64,65845
96,Bloodseeker,-1.19,54.48,117156
97,Alchemist,-1.24,52.15,107700
98,Undying,-1.35,50.92,98000
99,Kunkka,-1.48,56.16,151208
100,Crystal Maiden,-1.54,50.51,241877
101,Clockwerk,-1.54,49.88,123928
102,Sand King,-1.62,52.8,111130
103,Naga Siren,-1.64,54.11,46335
104,Phoenix,-1.69,52.09,122710
105,Jakiro,-1.73,51.06,233311
106,Wraith King,-1.75,47.32,281812
107,Treant Protector,-1.83,51.89,110218
108,Nyx Assassin,-1.87,52.77,73184
109,Zeus,-1.87,47.1,280756
110,Slardar,-1.89,51.58,163454
111,Elder Titan,-2.0,52.09,38042
112,Tidehunter,-2.11,52.38,119021
113,Venomancer,-2.19,52.23,159001
114,Viper,-2.24,54.22,165554
115,Centaur Warrunner,-2.29,52.52,97094
116,Spectre,-2.63,46.58,276436
117,Underlord,-4.29,49.68,113883
0,Meepo,10.92,43.87,42478
1,Io,5.49,56.01,38108
2,Legion Commander,4.92,47.3,240844
3,Templar Assassin,4.33,52.92,80706
4,Troll Warlord,4.24,48.08,113692
5,Phantom Assassin,4.16,50.09,277249
6,Broodmother,4.1,47.59,28606
7,Lone Druid,4.06,46.25,52782
8,Slardar,3.96,46.91,119573
9,Chen,3.77,55.32,10918
10,Huskar,3.42,51.34,71284
11,Monkey King,2.96,53.33,145597
12,Kunkka,2.89,52.71,113647
13,Puck,2.76,54.0,77795
14,Axe,2.65,49.16,158639
15,Ursa,2.63,49.79,171636
16,Magnus,2.48,49.85,92760
17,Enchantress,2.39,55.32,48319
18,Riki,2.37,48.19,103025
19,Visage,2.16,54.26,13154
20,Drow Ranger,2.14,50.69,144615
21,Shadow Fiend,2.1,51.79,155652
22,Bloodseeker,2.09,52.32,104871
23,Nature's Prophet,2.08,58.19,139177
24,Lina,1.99,54.4,159004
25,Tiny,1.95,55.52,104936
26,Beastmaster,1.9,52.54,29276
27,Lycan,1.84,57.33,18495
28,Slark,1.72,50.99,247119
29,Earthshaker,1.71,51.88,188774
30,Terrorblade,1.7,53.71,84376
31,Clinkz,1.54,47.04,122308
32,Spirit Breaker,1.48,50.81,103279
33,Alchemist,1.4,50.73,81019
34,Shadow Demon,1.33,56.4,43669
35,Shadow Shaman,1.31,51.25,137458
36,Night Stalker,1.25,48.79,74842
37,Earth Spirit,1.22,54.43,57800
38,Outworld Devourer,1.2,56.33,43758
39,Bounty Hunter,1.17,51.55,107169
40,Disruptor,1.14,51.49,123949
41,Dazzle,1.09,51.75,99753
42,Luna,1.09,51.77,101427
43,Ember Spirit,1.07,56.06,128175
44,Sven,1.0,50.35,147777
45,Keeper of the Light,1.0,55.03,72795
46,Pangolier,0.93,54.83,89493
47,Centaur Warrunner,0.93,50.49,71049
48,Invoker,0.88,53.0,226451
49,Elder Titan,0.88,50.39,27166
50,Silencer,0.86,52.45,107073
51,Nyx Assassin,0.85,51.22,52214
52,Batrider,0.84,57.86,32056
53,Tusk,0.82,54.11,85751
54,Naga Siren,0.74,52.81,34748
55,Snapfire,0.72,54.05,70072
56,Lion,0.7,53.9,292543
57,Venomancer,0.7,50.61,109116
58,Crystal Maiden,0.61,49.83,183843
59,Grimstroke,0.6,56.19,103063
60,Oracle,0.56,55.79,45955
61,Rubick,0.56,55.67,188516
62,Leshrac,0.56,58.19,26101
63,Lifestealer,0.55,53.66,102428
64,Mirana,0.5,50.76,191756
65,Dragon Knight,0.32,53.58,83716
66,Jakiro,0.23,50.53,166899
67,Tidehunter,0.22,51.31,83020
68,Viper,0.13,53.01,114738
69,Timbersaw,0.08,56.72,61079
70,Witch Doctor,0.05,52.61,198816
71,Faceless Void,0.04,51.45,266750
72,Dark Willow,0.02,53.08,72108
73,Vengeful Spirit,-0.02,51.91,72913
74,Phantom Lancer,-0.03,55.73,94387
75,Doom,-0.04,53.81,85914
76,Warlock,-0.05,50.64,82424
77,Weaver,-0.13,53.68,93670
78,Windranger,-0.26,51.76,248079
79,Mars,-0.31,57.14,76619
80,Treant Protector,-0.31,51.69,78840
81,Gyrocopter,-0.31,57.65,48561
82,Chaos Knight,-0.42,54.46,52667
83,Phoenix,-0.56,52.28,80216
84,Void Spirit,-0.82,54.59,102235
85,Omniknight,-0.89,52.69,28768
86,Abaddon,-0.89,52.33,53078
87,Bane,-0.93,52.18,66861
88,Pudge,-0.95,54.05,341793
89,Techies,-1.1,55.28,115720
90,Enigma,-1.22,52.26,49750
91,Winter Wyvern,-1.33,57.11,76174
92,Ogre Magi,-1.38,50.44,279120
93,Queen of Pain,-1.39,54.53,235136
94,Juggernaut,-1.41,52.85,315852
95,Brewmaster,-1.43,55.8,23799
96,Lich,-1.44,53.41,126070
97,Razor,-1.68,56.08,46162
98,Sniper,-1.72,55.64,242379
99,Sand King,-1.77,54.31,82010
100,Morphling,-1.86,57.01,133305
101,Undying,-1.91,52.97,67635
102,Arc Warden,-2.04,52.1,40167
103,Skywrath Mage,-2.05,54.2,137013
104,Underlord,-2.08,49.01,81779
105,Dark Seer,-2.3,51.57,33460
106,Death Prophet,-2.38,57.7,37222
107,Ancient Apparition,-2.93,54.98,99230
108,Pugna,-2.99,57.34,77565
109,Bristleback,-3.02,56.97,140087
110,Necrophos,-3.23,53.53,108145
111,Clockwerk,-3.24,53.22,87888
112,Tinker,-3.41,61.7,75539
113,Storm Spirit,-3.92,59.25,89970
114,Wraith King,-4.18,51.49,207063
115,Spectre,-4.77,50.65,196707
116,Zeus,-5.45,52.43,207234
117,Medusa,-6.0,59.87,94292
0,Techies,4.12,46.46,52101
1,Faceless Void,3.78,44.56,103751
2,Riki,2.19,45.23,46801
3,Morphling,1.87,49.54,57875
4,Nature's Prophet,1.86,54.34,65640
5,Drow Ranger,1.82,47.64,73123
6,Clinkz,1.75,43.87,53282
7,Zeus,1.69,42.44,88346
8,Bounty Hunter,1.67,47.67,53617
9,Bloodseeker,1.62,49.21,48292
10,Rubick,1.53,50.98,74605
11,Naga Siren,1.53,48.49,15906
12,Io,1.49,56.13,18378
13,Nyx Assassin,1.37,47.34,24006
14,Meepo,1.34,50.64,16061
15,Mars,1.27,51.7,33080
16,Shadow Shaman,1.26,47.92,58576
17,Void Spirit,1.25,48.92,42259
18,Legion Commander,1.21,47.65,98588
19,Dragon Knight,1.2,49.15,37900
20,Bristleback,1.19,49.17,69194
21,Luna,1.12,48.31,47691
22,Axe,1.11,47.43,74051
23,Medusa,1.07,48.94,45711
24,Earthshaker,0.96,49.15,80449
25,Shadow Fiend,0.96,49.44,65713
26,Lion,0.95,50.07,121458
27,Puck,0.94,52.06,29798
28,Silencer,0.91,48.92,45711
29,Ogre Magi,0.84,45.21,116092
30,Skywrath Mage,0.76,47.91,57245
31,Mirana,0.7,47.28,82237
32,Chen,0.6,54.84,5667
33,Troll Warlord,0.59,48.52,48117
34,Tiny,0.54,53.13,44687
35,Gyrocopter,0.52,52.92,23292
36,Anti-Mage,0.51,46.32,93670
37,Disruptor,0.5,48.73,48838
38,Crystal Maiden,0.48,46.75,79302
39,Phantom Lancer,0.48,51.47,40872
40,Underlord,0.45,43.48,33841
41,Necrophos,0.42,46.53,49855
42,Terrorblade,0.39,51.3,29536
43,Bane,0.34,47.53,27156
44,Monkey King,0.33,52.24,66117
45,Broodmother,0.28,48.35,13403
46,Tidehunter,0.28,47.93,37521
47,Wraith King,0.28,44.1,91598
48,Sand King,0.23,48.77,34704
49,Spirit Breaker,0.18,48.75,52265
50,Storm Spirit,0.12,51.47,48742
51,Vengeful Spirit,0.08,48.43,32969
52,Enigma,0.08,47.58,22733
53,Keeper of the Light,0.02,52.3,32554
54,Magnus,-0.17,49.21,36679
55,Slark,-0.18,49.4,97019
56,Slardar,-0.2,47.95,53549
57,Abaddon,-0.23,48.29,24690
58,Tinker,-0.24,54.43,35440
59,Alchemist,-0.26,49.06,34573
60,Phantom Assassin,-0.28,50.82,109987
61,Centaur Warrunner,-0.43,48.57,30915
62,Queen of Pain,-0.48,50.11,95832
63,Oracle,-0.49,53.06,19147
64,Pangolier,-0.5,52.54,36727
65,Clockwerk,-0.52,47.16,36106
66,Spectre,-0.54,43.58,70754
67,Doom,-0.55,50.74,33567
68,Night Stalker,-0.57,47.5,31618
69,Warlock,-0.61,47.94,36548
70,Winter Wyvern,-0.67,52.62,32503
71,Outworld Devourer,-0.68,54.43,18767
72,Earth Spirit,-0.7,52.7,24910
73,Tusk,-0.77,52.1,37892
74,Dazzle,-0.77,50.2,46012
75,Dark Willow,-0.79,50.4,31458
76,Elder Titan,-0.8,48.83,13200
77,Templar Assassin,-0.86,54.36,29638
78,Leshrac,-0.86,55.72,12533
79,Chaos Knight,-0.86,51.32,25438
80,Kunkka,-0.87,52.84,48271
81,Enchantress,-0.89,54.93,25332
82,Grimstroke,-0.95,53.9,42104
83,Witch Doctor,-0.97,50.15,88846
84,Ember Spirit,-0.98,54.23,50587
85,Jakiro,-1.02,48.48,69800
86,Invoker,-1.07,51.34,95009
87,Lina,-1.12,53.72,70385
88,Lycan,-1.13,56.45,8937
89,Beastmaster,-1.17,52.17,13062
90,Lich,-1.22,49.74,53634
91,Arc Warden,-1.29,48.03,17776
92,Sven,-1.3,49.33,62647
93,Pugna,-1.32,51.93,35331
94,Huskar,-1.34,52.66,34805
95,Snapfire,-1.35,52.53,30755
96,Timbersaw,-1.36,54.39,27989
97,Shadow Demon,-1.39,55.24,17499
98,Sniper,-1.44,51.71,126500
99,Venomancer,-1.44,49.44,51503
100,Windranger,-1.47,49.55,113513
101,Treant Protector,-1.53,49.58,34917
102,Omniknight,-1.54,49.95,14125
103,Ursa,-1.55,50.56,69619
104,Visage,-1.56,54.45,6465
105,Lifestealer,-1.6,52.24,46492
106,Dark Seer,-1.61,47.62,14989
107,Pudge,-1.62,51.13,166303
108,Undying,-1.87,49.54,34063
109,Juggernaut,-1.9,49.9,127623
110,Lone Druid,-2.02,49.42,22608
111,Ancient Apparition,-2.02,50.52,42936
112,Brewmaster,-2.16,52.88,10579
113,Viper,-2.18,51.82,60721
114,Phoenix,-2.19,50.53,37364
115,Razor,-2.37,53.13,24077
116,Death Prophet,-2.49,54.03,17974
117,Batrider,-2.67,57.53,15292
0,Meepo,3.74,50.4,28967
1,Chen,3.73,54.09,10727
2,Visage,3.62,51.39,12297
3,Broodmother,3.48,47.04,24088
4,Lycan,3.0,54.69,16598
5,Io,2.89,57.42,35320
6,Naga Siren,2.53,49.59,30170
7,Phantom Lancer,1.86,52.39,80614
8,Shadow Demon,1.84,54.44,37540
9,Earth Spirit,1.68,52.64,55692
10,Techies,1.64,51.11,100856
11,Bounty Hunter,1.62,49.82,108720
12,Oracle,1.45,53.48,40882
13,Terrorblade,1.36,52.65,66105
14,Puck,1.35,54.14,69212
15,Outworld Devourer,1.3,54.95,43310
16,Templar Assassin,1.28,54.69,61620
17,Leshrac,1.25,56.13,25100
18,Beastmaster,1.24,51.97,27727
19,Tiny,1.22,55.0,105092
20,Bloodseeker,1.18,51.89,76613
21,Nature's Prophet,1.08,57.81,124865
22,Rubick,1.06,53.85,181611
23,Nyx Assassin,1.04,49.75,50449
24,Lone Druid,1.0,48.33,44671
25,Ember Spirit,1.0,54.8,120282
26,Void Spirit,0.95,51.42,91846
27,Batrider,0.89,56.5,31531
28,Dark Seer,0.78,47.02,31062
29,Axe,0.77,49.82,142471
30,Winter Wyvern,0.72,53.59,68821
31,Chaos Knight,0.72,51.93,45742
32,Tinker,0.71,56.04,72514
33,Huskar,0.71,52.86,57459
34,Omniknight,0.7,49.72,27122
35,Keeper of the Light,0.69,54.04,68614
36,Tidehunter,0.68,49.57,80495
37,Enchantress,0.66,55.86,46566
38,Disruptor,0.63,50.74,113491
39,Abaddon,0.62,49.46,49813
40,Kunkka,0.59,53.76,99092
41,Bane,0.56,49.33,57213
42,Underlord,0.53,45.04,78267
43,Mars,0.5,54.95,70624
44,Timbersaw,0.49,54.98,57477
45,Treant Protector,0.49,49.59,76514
46,Enigma,0.46,49.2,45319
47,Necrophos,0.44,48.46,103062
48,Snapfire,0.4,53.09,66630
49,Luna,0.38,51.22,91847
50,Dragon Knight,0.38,52.21,74877
51,Riki,0.37,49.06,85630
52,Venomancer,0.35,49.72,106792
53,Storm Spirit,0.34,53.6,99976
54,Legion Commander,0.33,50.59,188048
55,Elder Titan,0.3,49.75,26324
56,Tusk,0.28,53.39,83250
57,Zeus,0.27,45.49,196956
58,Pudge,0.27,51.64,327517
59,Vengeful Spirit,0.26,50.35,67903
60,Brewmaster,0.21,52.71,21762
61,Doom,0.19,52.24,77656
62,Arc Warden,0.19,48.46,36972
63,Silencer,0.17,51.86,93698
64,Shadow Fiend,0.17,52.47,139920
65,Lina,0.15,54.93,141733
66,Bristleback,0.14,52.42,126909
67,Earthshaker,0.13,52.2,190877
68,Warlock,0.11,49.22,75613
69,Razor,0.09,52.9,43278
70,Slardar,0.07,49.72,111729
71,Magnus,0.06,51.13,86272
72,Centaur Warrunner,0.05,50.16,65610
73,Gyrocopter,0.05,55.94,46267
74,Spirit Breaker,0.04,51.04,98832
75,Ogre Magi,0.0,47.89,256220
76,Dark Willow,-0.01,51.82,66347
77,Dazzle,-0.02,51.62,87432
78,Pugna,-0.03,52.92,74049
79,Alchemist,-0.03,50.96,68678
80,Morphling,-0.05,53.79,119962
81,Wraith King,-0.07,46.19,176141
82,Spectre,-0.07,44.74,166544
83,Pangolier,-0.07,54.55,83077
84,Sand King,-0.07,51.22,75811
85,Skywrath Mage,-0.08,50.85,111425
86,Crystal Maiden,-0.09,49.29,164130
87,Clinkz,-0.17,47.64,101290
88,Grimstroke,-0.18,55.65,93927
89,Queen of Pain,-0.18,52.04,218030
90,Shadow Shaman,-0.22,51.55,120935
91,Undying,-0.26,49.96,64071
92,Viper,-0.26,52.13,105486
93,Sven,-0.29,50.42,129199
94,Lifestealer,-0.3,53.21,86100
95,Invoker,-0.31,52.88,206605
96,Lion,-0.34,53.58,264292
97,Troll Warlord,-0.34,51.6,86330
98,Death Prophet,-0.38,54.22,33261
99,Ursa,-0.42,51.62,141874
100,Night Stalker,-0.44,49.34,68844
101,Phantom Assassin,-0.44,53.26,207868
102,Weaver,-0.47,52.72,82071
103,Anti-Mage,-0.48,49.24,191374
104,Jakiro,-0.48,49.99,160117
105,Faceless Void,-0.49,50.68,194941
106,Windranger,-0.52,50.75,221313
107,Phoenix,-0.53,50.97,79360
108,Drow Ranger,-0.56,52.18,121560
109,Juggernaut,-0.58,50.77,252515
110,Witch Doctor,-0.6,51.98,177800
111,Ancient Apparition,-0.61,51.25,87766
112,Lich,-0.66,51.31,110383
113,Sniper,-0.75,53.38,228169
114,Medusa,-0.84,53.13,85560
115,Monkey King,-0.85,55.85,118255
116,Slark,-0.92,52.3,201375
117,Clockwerk,-1.64,50.28,83329
