Split,SubjectId,Subject,PA,AB,H,TB,BB,SF,HBP
vs RHP,430945,430945,60,55,10,17,2,1,2
vs LHP,430947,430947,5,5,0,0,0,0,0
vs RHP,430947,430947,29,24,8,9,5,0,0
vs LHP,431094,431094,12,9,2,5,3,0,0
vs RHP,431094,431094,6,5,1,1,0,0,0
vs LHP,431145,431145,11,8,1,1,3,0,0
vs RHP,431145,431145,60,48,9,16,10,1,1
vs LHP,431171,431171,1,1,0,0,0,0,0
vs LHP,433217,433217,3,3,0,0,0,0,0
vs RHP,433217,433217,18,18,4,5,0,0,0
vs LHP,434158,434158,14,11,4,10,3,0,0
vs RHP,434158,434158,50,41,16,25,8,0,1
vs RHP,434378,434378,2,2,0,0,0,0,0
vs LHP,434563,434563,16,16,6,7,0,0,0
vs RHP,434563,434563,8,7,2,3,1,0,0
vs RHP,434628,434628,3,3,1,1,0,0,0
vs LHP,434636,434636,23,21,4,7,1,1,0
vs RHP,434636,434636,46,41,14,17,5,0,0
vs LHP,434658,434658,15,13,1,1,2,0,0
vs RHP,434658,434658,22,21,4,4,1,0,0
vs LHP,434670,434670,10,9,3,9,1,0,0
vs RHP,434670,434670,53,45,13,26,8,0,0
vs LHP,434778,434778,24,23,12,21,1,0,0
vs RHP,434778,434778,44,42,8,13,0,1,1
vs LHP,435062,435062,30,27,3,4,2,0,1
vs RHP,435062,435062,26,26,5,7,0,0,0
vs LHP,435063,435063,18,15,2,2,3,0,0
vs RHP,435063,435063,43,35,6,11,6,1,1
vs LHP,435064,435064,4,4,0,0,0,0,0
vs RHP,435064,435064,19,19,4,7,0,0,0
vs LHP,435079,435079,7,3,1,1,4,0,0
vs RHP,435079,435079,50,47,17,26,2,0,1
vs LHP,435221,435221,2,1,0,0,1,0,0
vs LHP,435263,435263,14,13,4,4,1,0,0
vs RHP,435263,435263,27,24,8,13,3,0,0
vs LHP,435559,435559,8,8,0,0,0,0,0
vs RHP,435559,435559,10,8,0,0,2,0,0
vs LHP,435622,435622,4,3,2,2,1,0,0
vs RHP,435622,435622,45,44,9,9,1,0,0
vs LHP,443558,443558,14,11,4,16,3,0,0
vs RHP,443558,443558,52,48,13,21,4,0,0
vs LHP,444379,444379,3,2,0,0,1,0,0
vs RHP,444379,444379,38,34,12,27,4,0,0
vs LHP,444432,444432,17,15,1,1,2,0,0
vs RHP,444432,444432,47,45,18,37,2,0,0
vs LHP,444489,444489,6,6,0,0,0,0,0
vs RHP,444489,444489,17,16,4,8,1,0,0
vs LHP,444843,444843,1,1,0,0,0,0,0
vs RHP,444843,444843,17,15,5,9,2,0,0
vs LHP,444876,444876,15,13,3,6,1,1,0
vs RHP,444876,444876,44,43,7,14,0,0,1
vs LHP,445055,445055,17,15,4,4,0,0,1
vs RHP,445055,445055,31,29,8,11,1,0,1
vs LHP,445988,445988,4,4,2,3,0,0,0
vs RHP,445988,445988,46,43,10,17,2,0,1
vs RHP,446192,446192,4,4,0,0,0,0,0
vs LHP,446263,446263,5,5,3,4,0,0,0
vs RHP,446263,446263,22,18,2,3,4,0,0
vs LHP,446308,446308,14,13,5,10,1,0,0
vs RHP,446308,446308,42,36,8,14,4,0,1
vs LHP,446334,446334,20,19,3,4,0,1,0
vs RHP,446334,446334,50,47,15,34,3,0,0
vs LHP,446381,446381,2,2,0,0,0,0,0
vs RHP,446381,446381,12,9,3,3,2,0,0
vs LHP,446386,446386,11,10,4,5,1,0,0
vs RHP,446386,446386,6,5,2,3,0,0,1
vs LHP,446481,446481,8,8,2,2,0,0,0
vs RHP,446481,446481,61,54,18,35,5,1,1
vs LHP,446653,446653,1,0,0,0,0,0,0
vs RHP,446653,446653,12,11,4,5,0,1,0
vs LHP,448179,448179,2,2,0,0,0,0,0
vs RHP,448179,448179,3,3,0,0,0,0,0
vs RHP,448306,448306,2,2,1,1,0,0,0
vs LHP,448602,448602,3,3,0,0,0,0,0
vs RHP,448602,448602,3,2,1,4,0,0,1
vs LHP,448801,448801,27,26,6,7,1,0,0
vs RHP,448801,448801,47,40,7,11,7,0,0
vs RHP,448802,448802,1,1,0,0,0,0,0
vs LHP,449181,449181,14,13,5,10,1,0,0
vs RHP,449181,449181,39,36,13,17,1,0,2
vs LHP,450314,450314,4,4,2,3,0,0,0
vs RHP,450314,450314,49,39,11,23,10,0,0
vs LHP,451594,451594,3,3,1,1,0,0,0
vs RHP,451594,451594,53,42,13,20,10,0,1
vs RHP,451705,451705,2,2,0,0,0,0,0
vs LHP,452095,452095,11,10,4,5,0,1,0
vs RHP,452095,452095,30,28,6,11,1,1,0
vs LHP,452104,452104,24,21,6,7,2,0,1
vs RHP,452104,452104,22,19,3,5,2,0,1
vs LHP,452220,452220,9,8,0,0,1,0,0
vs RHP,452220,452220,34,27,9,15,5,1,1
vs LHP,452234,452234,2,2,1,1,0,0,0
vs RHP,452234,452234,43,33,4,11,8,1,1
vs LHP,452252,452252,7,6,2,2,1,0,0
vs RHP,452252,452252,40,38,11,13,2,0,0
vs LHP,452254,452254,23,22,3,4,1,0,0
vs RHP,452254,452254,47,42,13,20,5,0,0
vs LHP,452655,452655,15,15,2,2,0,0,0
vs RHP,452655,452655,37,30,14,20,7,0,0
vs LHP,452657,452657,1,0,0,0,1,0,0
vs RHP,452657,452657,7,7,2,3,0,0,0
vs LHP,452672,452672,3,3,1,1,0,0,0
vs LHP,452678,452678,6,5,2,2,1,0,0
vs RHP,452678,452678,62,53,16,30,9,0,0
vs LHP,453056,453056,31,28,8,9,3,0,0
vs RHP,453056,453056,32,26,4,4,5,0,0
vs LHP,453064,453064,8,7,1,2,1,0,0
vs RHP,453064,453064,63,60,14,22,3,0,0
vs LHP,453203,453203,10,10,2,3,0,0,0
vs RHP,453203,453203,2,2,0,0,0,0,0
vs LHP,453211,453211,10,8,1,1,2,0,0
vs RHP,453211,453211,2,1,0,0,0,0,1
vs RHP,453281,453281,1,1,0,0,0,0,0
vs LHP,453286,453286,1,1,1,1,0,0,0
vs RHP,453286,453286,8,6,2,2,0,0,0
vs LHP,453385,453385,2,1,0,0,0,0,0
vs RHP,453385,453385,5,5,0,0,0,0,0
vs LHP,453400,453400,1,1,0,0,0,0,0
vs RHP,453400,453400,9,9,2,2,0,0,0
vs RHP,453562,453562,7,7,1,1,0,0,0
vs LHP,453568,453568,27,26,9,11,1,0,0
vs RHP,453568,453568,46,41,15,26,4,1,0
vs RHP,453923,453923,1,1,0,0,0,0,0
vs LHP,453943,453943,17,17,6,10,0,0,0
vs RHP,453943,453943,53,48,14,27,4,1,0
vs LHP,454560,454560,2,2,0,0,0,0,0
vs RHP,454560,454560,9,8,6,7,1,0,0
vs LHP,454975,454975,4,4,2,2,0,0,0
vs RHP,454975,454975,29,29,6,8,0,0,0
vs LHP,455104,455104,5,4,0,0,1,0,0
vs RHP,455104,455104,1,1,0,0,0,0,0
vs LHP,455117,455117,14,13,6,10,1,0,0
vs RHP,455117,455117,24,18,2,2,6,0,0
vs LHP,455139,455139,2,2,1,2,0,0,0
vs RHP,455139,455139,11,9,4,9,2,0,0
vs LHP,455759,455759,14,14,3,3,0,0,0
vs RHP,455759,455759,16,15,3,4,0,0,1
vs LHP,455976,455976,18,16,3,3,1,0,1
vs RHP,455976,455976,38,32,9,13,5,0,1
vs LHP,456030,456030,10,9,1,1,1,0,0
vs RHP,456030,456030,62,59,14,22,3,0,0
vs LHP,456078,456078,9,7,1,1,2,0,0
vs RHP,456078,456078,39,35,8,12,3,0,1
vs LHP,456422,456422,3,2,1,1,1,0,0
vs RHP,456422,456422,32,27,7,7,3,1,0
vs LHP,456488,456488,18,18,5,8,0,0,0
vs RHP,456488,456488,27,25,9,10,2,0,0
vs LHP,456501,456501,2,2,0,0,0,0,0
vs RHP,456501,456501,7,5,1,1,0,1,0
vs LHP,456714,456714,25,22,8,13,2,1,0
vs RHP,456714,456714,7,7,2,2,0,0,0
vs LHP,456781,456781,8,8,2,3,0,0,0
vs RHP,456781,456781,15,14,3,7,1,0,0
vs LHP,457454,457454,9,9,1,1,0,0,0
vs RHP,457454,457454,18,15,1,1,2,1,0
vs LHP,457477,457477,4,4,0,0,0,0,0
vs RHP,457477,457477,17,14,4,4,3,0,0
vs LHP,457705,457705,10,8,2,4,2,0,0
vs RHP,457705,457705,68,60,20,34,7,1,0
vs LHP,457708,457708,14,12,3,7,2,0,0
vs RHP,457708,457708,55,47,16,43,8,0,0
vs LHP,457727,457727,10,9,3,9,1,0,0
vs RHP,457727,457727,55,49,15,18,5,0,1
vs LHP,457759,457759,31,29,8,11,2,0,0
vs RHP,457759,457759,34,29,10,13,2,2,1
vs LHP,457763,457763,23,21,8,11,2,0,0
vs RHP,457763,457763,47,41,11,16,5,1,0
vs LHP,457787,457787,11,10,2,5,1,0,0
vs RHP,457787,457787,42,35,5,12,4,1,0
vs LHP,457803,457803,13,12,3,3,1,0,0
vs RHP,457803,457803,30,27,9,22,3,0,0
vs LHP,458015,458015,20,20,6,12,0,0,0
vs RHP,458015,458015,56,48,20,36,8,0,0
vs LHP,458085,458085,7,5,1,1,2,0,0
vs RHP,458085,458085,35,28,10,17,7,0,0
vs LHP,458675,458675,1,1,0,0,0,0,0
vs RHP,458675,458675,6,5,0,0,1,0,0
vs LHP,458731,458731,42,36,8,13,2,0,2
vs RHP,458731,458731,35,29,10,12,6,0,0
vs RHP,458913,458913,1,1,0,0,0,0,0
vs LHP,459431,459431,6,6,1,1,0,0,0
vs RHP,459431,459431,36,29,4,8,7,0,0
vs LHP,459964,459964,5,5,1,1,0,0,0
vs RHP,459964,459964,37,27,4,7,9,0,1
vs LHP,460026,460026,12,12,5,6,0,0,0
vs RHP,460026,460026,8,8,1,1,0,0,0
vs LHP,460060,460060,2,2,0,0,0,0,0
vs RHP,460060,460060,28,25,6,6,3,0,0
vs LHP,460075,460075,14,14,4,6,0,0,0
vs RHP,460075,460075,33,33,10,20,0,0,0
vs LHP,460077,460077,5,5,1,3,0,0,0
vs RHP,460077,460077,17,16,6,6,1,0,0
vs LHP,460086,460086,14,12,3,6,2,0,0
vs RHP,460086,460086,42,40,10,17,2,0,0
vs LHP,460099,460099,7,7,0,0,0,0,0
vs LHP,460269,460269,4,3,1,1,0,0,0
vs RHP,460269,460269,4,4,0,0,0,0,0
vs LHP,460576,460576,4,4,2,2,0,0,0
vs RHP,460576,460576,50,47,17,32,2,0,1
vs LHP,461235,461235,16,16,2,2,0,0,0
vs RHP,461235,461235,41,36,4,11,4,1,0
vs LHP,461314,461314,18,15,4,11,2,0,1
vs RHP,461314,461314,39,35,10,19,3,1,0
vs RHP,461829,461829,5,5,1,2,0,0,0
vs LHP,461865,461865,8,8,4,4,0,0,0
vs RHP,461865,461865,28,28,4,8,0,0,0
vs LHP,462101,462101,6,3,1,1,2,0,1
vs RHP,462101,462101,41,38,15,27,2,0,0
vs LHP,463610,463610,15,14,2,2,1,0,0
vs RHP,463610,463610,8,8,0,0,0,0,0
vs LHP,465041,465041,4,4,1,1,0,0,0
vs RHP,465041,465041,42,37,11,18,5,0,0
vs LHP,465753,465753,4,4,1,2,0,0,0
vs RHP,465753,465753,18,17,3,5,1,0,0
vs LHP,466320,466320,15,13,3,4,2,0,0
vs RHP,466320,466320,56,54,17,35,2,0,0
vs LHP,466988,466988,1,1,1,1,0,0,0
vs RHP,466988,466988,6,6,3,3,0,0,0
vs LHP,467092,467092,7,7,5,8,0,0,0
vs RHP,467092,467092,25,25,6,8,0,0,0
vs LHP,467100,467100,2,2,0,0,0,0,0
vs RHP,467100,467100,2,2,0,0,0,0,0
vs LHP,467793,467793,21,19,7,11,2,0,0
vs RHP,467793,467793,49,41,17,33,8,0,0
vs LHP,467827,467827,9,9,1,1,0,0,0
vs RHP,467827,467827,22,22,6,11,0,0,0
vs LHP,471083,471083,3,3,0,0,0,0,0
vs RHP,471083,471083,31,27,8,14,4,0,0
vs LHP,471865,471865,23,21,5,6,1,0,1
vs RHP,471865,471865,41,37,11,14,4,0,0
vs LHP,473724,473724,1,1,0,0,0,0,0
vs LHP,474319,474319,3,3,2,6,0,0,0
vs LHP,474443,474443,9,6,1,2,3,0,0
vs RHP,474443,474443,26,24,10,11,1,0,0
vs LHP,474463,474463,1,1,0,0,0,0,0
vs RHP,474463,474463,1,1,0,0,0,0,0
vs LHP,474568,474568,9,7,2,2,2,0,0
vs RHP,474568,474568,29,29,6,9,0,0,0
vs LHP,474832,474832,31,26,8,14,4,0,1
vs RHP,474832,474832,39,30,9,18,9,0,0
vs LHP,474892,474892,17,15,1,1,2,0,0
vs RHP,474892,474892,51,46,12,34,5,0,0
vs LHP,475174,475174,9,9,5,8,0,0,0
vs RHP,475174,475174,50,44,8,11,6,0,0
vs RHP,475243,475243,2,2,0,0,0,0,0
vs RHP,475247,475247,1,1,0,0,0,0,0
vs LHP,475253,475253,4,4,0,0,0,0,0
vs RHP,475253,475253,11,6,1,1,4,0,1
vs LHP,475582,475582,13,12,4,5,1,0,0
vs RHP,475582,475582,30,28,6,10,1,0,1
vs LHP,476451,476451,2,2,1,1,0,0,0
vs RHP,476451,476451,5,5,1,1,0,0,0
vs RHP,476883,476883,30,25,5,12,5,0,0
vs LHP,477132,477132,3,3,0,0,0,0,0
vs RHP,477132,477132,3,1,1,1,0,0,0
vs LHP,477165,477165,3,3,0,0,0,0,0
vs RHP,477165,477165,4,4,0,0,0,0,0
vs LHP,485567,485567,8,8,0,0,0,0,0
vs RHP,485567,485567,33,27,12,15,3,1,0
vs LHP,488671,488671,5,4,1,1,1,0,0
vs RHP,488671,488671,23,16,2,5,7,0,0
vs LHP,488721,488721,1,1,0,0,0,0,0
vs RHP,488721,488721,3,3,1,1,0,0,0
vs RHP,488768,488768,4,4,1,1,0,0,0
vs LHP,488771,488771,6,6,0,0,0,0,0
vs RHP,488771,488771,27,24,5,5,2,0,0
vs LHP,488810,488810,1,0,0,0,0,1,0
vs RHP,488810,488810,1,1,0,0,0,0,0
vs LHP,488818,488818,1,1,0,0,0,0,0
vs LHP,488862,488862,18,17,3,5,1,0,0
vs RHP,488862,488862,39,36,8,12,2,1,0
vs LHP,488912,488912,3,3,2,3,0,0,0
vs RHP,488912,488912,15,13,1,1,1,0,0
vs LHP,489232,489232,5,5,1,2,0,0,0
vs RHP,489232,489232,16,13,4,7,2,0,1
vs LHP,489267,489267,11,10,2,8,1,0,0
vs RHP,489267,489267,16,14,5,11,0,2,0
vs RHP,489305,489305,10,9,0,0,0,0,1
vs RHP,489365,489365,2,2,2,2,0,0,0
vs LHP,490063,490063,2,2,0,0,0,0,0
vs LHP,491676,491676,23,21,3,5,2,0,0
vs RHP,491676,491676,4,4,1,1,0,0,0
vs LHP,491696,491696,2,2,2,6,0,0,0
vs RHP,491696,491696,9,7,4,5,0,0,2
vs LHP,492802,492802,1,1,0,0,0,0,0
vs RHP,492802,492802,9,9,1,2,0,0,0
vs LHP,492841,492841,4,4,0,0,0,0,0
vs RHP,492841,492841,7,7,1,1,0,0,0
vs LHP,493114,493114,4,3,3,4,1,0,0
vs RHP,493114,493114,46,42,15,22,4,0,0
vs LHP,493128,493128,6,4,0,0,2,0,0
vs RHP,493128,493128,16,13,5,6,2,0,1
vs LHP,493193,493193,10,10,2,3,0,0,0
vs RHP,493193,493193,8,8,0,0,0,0,0
vs LHP,493200,493200,1,1,0,0,0,0,0
vs LHP,493316,493316,6,6,2,2,0,0,0
vs RHP,493316,493316,62,53,11,18,6,0,3
vs LHP,493329,493329,16,16,1,1,0,0,0
vs RHP,493329,493329,46,43,9,12,2,0,1
vs LHP,493351,493351,13,13,6,6,0,0,0
vs RHP,493351,493351,34,31,5,7,3,0,0
vs LHP,493472,493472,8,7,3,3,1,0,0
vs RHP,493472,493472,6,5,0,0,1,0,0
vs LHP,493596,493596,9,7,0,0,0,2,0
vs RHP,493596,493596,12,10,3,5,2,0,0
vs LHP,500208,500208,9,9,3,4,0,0,0
vs RHP,500208,500208,21,19,6,7,1,0,1
vs LHP,500743,500743,1,1,0,0,0,0,0
vs RHP,500743,500743,11,8,2,3,2,0,0
vs LHP,500871,500871,22,22,2,2,0,0,0
vs RHP,500871,500871,24,18,3,6,5,0,1
vs LHP,500874,500874,10,10,6,7,0,0,0
vs RHP,500874,500874,5,3,0,0,2,0,0
vs RHP,500887,500887,6,5,0,0,1,0,0
vs LHP,501303,501303,11,11,2,2,0,0,0
vs RHP,501303,501303,10,9,1,4,0,0,0
vs LHP,501571,501571,1,0,0,0,0,0,0
vs RHP,501571,501571,4,2,0,0,1,1,0
vs LHP,501659,501659,7,5,1,1,1,0,1
vs RHP,501659,501659,22,21,4,6,1,0,0
vs LHP,501896,501896,9,7,3,3,2,0,0
vs RHP,501896,501896,27,26,6,11,1,0,0
vs LHP,501981,501981,12,8,2,5,4,0,0
vs RHP,501981,501981,47,42,10,26,5,0,0
vs RHP,502034,502034,3,3,0,0,0,0,0
vs RHP,502043,502043,2,2,0,0,0,0,0
vs LHP,502054,502054,4,4,1,1,0,0,0
vs RHP,502054,502054,6,6,2,2,0,0,0
vs LHP,502082,502082,4,2,0,0,2,0,0
vs RHP,502082,502082,29,27,4,6,0,1,1
vs LHP,502110,502110,16,14,4,4,2,0,0
vs RHP,502110,502110,54,46,11,21,6,2,0
vs LHP,502143,502143,13,12,4,8,1,0,0
vs RHP,502143,502143,45,39,10,11,6,0,0
vs LHP,502188,502188,2,2,0,0,0,0,0
vs RHP,502188,502188,4,3,0,0,0,1,0
vs RHP,502190,502190,4,2,0,0,0,0,0
vs LHP,502210,502210,5,5,1,1,0,0,0
vs RHP,502210,502210,36,32,12,17,4,0,0
vs LHP,502273,502273,3,3,2,2,0,0,0
vs RHP,502273,502273,3,3,1,2,0,0,0
vs LHP,502317,502317,4,4,2,2,0,0,0
vs RHP,502317,502317,8,7,1,1,1,0,0
vs LHP,502481,502481,4,3,2,3,0,0,0
vs RHP,502481,502481,41,38,14,20,1,0,1
vs LHP,502517,502517,2,1,1,1,0,1,0
vs RHP,502517,502517,10,10,2,4,0,0,0
vs LHP,502523,502523,10,10,3,4,0,0,0
vs RHP,502523,502523,10,9,1,1,1,0,0
vs LHP,502544,502544,2,2,0,0,0,0,0
vs RHP,502544,502544,18,15,2,3,3,0,0
vs LHP,502582,502582,14,11,6,7,2,0,0
vs RHP,502582,502582,24,21,1,1,3,0,0
vs RHP,502624,502624,4,4,0,0,0,0,0
vs LHP,502671,502671,15,13,5,6,2,0,0
vs RHP,502671,502671,54,49,11,24,3,1,1
vs RHP,503351,503351,10,10,1,2,0,0,0
vs LHP,503437,503437,1,0,0,0,1,0,0
vs RHP,503437,503437,14,14,3,3,0,0,0
vs LHP,503449,503449,1,1,0,0,0,0,0
vs RHP,503449,503449,4,4,1,1,0,0,0
vs LHP,503556,503556,13,12,2,2,1,0,0
vs RHP,503556,503556,46,41,12,16,3,1,1
vs LHP,506560,506560,3,3,1,1,0,0,0
vs RHP,506560,506560,17,17,4,4,0,0,0
vs LHP,506702,506702,6,5,0,0,0,0,0
vs RHP,506702,506702,38,35,4,5,3,0,0
vs LHP,506924,506924,14,13,4,7,1,0,0
vs RHP,506924,506924,16,15,1,3,1,0,0
vs LHP,514888,514888,16,14,1,1,2,0,0
vs RHP,514888,514888,54,51,19,22,3,0,0
vs LHP,514917,514917,10,9,6,8,1,0,0
vs RHP,514917,514917,66,52,15,17,11,0,1
vs LHP,516416,516416,21,18,5,6,3,0,0
vs RHP,516416,516416,51,45,16,34,5,0,1
vs LHP,516770,516770,15,15,5,8,0,0,0
vs RHP,516770,516770,14,14,3,3,0,0,0
vs LHP,516782,516782,1,1,0,0,0,0,0
vs RHP,516782,516782,2,2,1,1,0,0,0
vs LHP,516949,516949,1,1,0,0,0,0,0
vs RHP,516949,516949,5,4,0,0,0,0,1
vs LHP,517370,517370,1,0,0,0,0,1,0
vs RHP,517370,517370,15,14,3,3,1,0,0
vs LHP,518452,518452,3,2,0,0,0,0,0
vs RHP,518452,518452,3,1,0,0,2,0,0
vs LHP,518516,518516,6,6,2,3,0,0,0
vs RHP,518516,518516,3,3,2,4,0,0,0
vs LHP,518542,518542,5,4,2,2,0,0,0
vs RHP,518542,518542,19,14,5,11,4,0,0
vs RHP,518560,518560,5,4,0,0,0,0,0
vs LHP,518567,518567,3,3,0,0,0,0,0
vs RHP,518567,518567,4,3,0,0,0,0,0
vs LHP,518568,518568,7,6,2,6,1,0,0
vs RHP,518568,518568,4,4,0,0,0,0,0
vs LHP,518586,518586,15,15,6,10,0,0,0
vs RHP,518586,518586,5,5,3,3,0,0,0
vs LHP,518595,518595,6,5,0,0,1,0,0
vs RHP,518595,518595,20,17,4,5,2,0,0
vs LHP,518614,518614,14,13,3,4,0,1,0
vs RHP,518614,518614,32,32,9,12,0,0,0
vs LHP,518618,518618,4,4,0,0,0,0,0
vs RHP,518618,518618,27,21,8,19,4,0,2
vs LHP,518626,518626,12,11,1,1,1,0,0
vs RHP,518626,518626,66,48,16,30,13,2,3
vs LHP,518649,518649,15,13,3,7,2,0,0
vs RHP,518649,518649,33,31,2,3,2,0,0
vs LHP,518653,518653,7,7,1,1,0,0,0
vs RHP,518653,518653,8,7,2,2,1,0,0
vs LHP,518692,518692,21,18,9,15,2,0,1
vs RHP,518692,518692,38,30,9,19,7,1,0
vs LHP,518700,518700,6,4,3,3,1,1,0
vs RHP,518700,518700,17,16,4,6,0,0,0
vs LHP,518735,518735,17,13,2,5,3,0,1
vs RHP,518735,518735,26,22,7,11,4,0,0
vs LHP,518792,518792,7,5,0,0,2,0,0
vs RHP,518792,518792,45,38,12,20,6,1,0
vs LHP,518934,518934,21,20,6,11,1,0,0
vs RHP,518934,518934,25,21,9,11,3,1,0
vs LHP,518960,518960,2,1,0,0,1,0,0
vs RHP,518960,518960,41,37,8,14,3,0,1
vs LHP,519043,519043,1,1,0,0,0,0,0
vs RHP,519043,519043,10,9,1,1,0,0,0
vs LHP,519048,519048,6,6,3,3,0,0,0
vs RHP,519048,519048,38,37,3,3,1,0,0
vs LHP,519076,519076,2,2,0,0,0,0,0
vs RHP,519076,519076,1,1,0,0,0,0,0
vs LHP,519083,519083,6,5,1,4,1,0,0
vs RHP,519083,519083,25,24,5,6,1,0,0
vs LHP,519184,519184,5,5,1,1,0,0,0
vs RHP,519184,519184,16,16,4,4,0,0,0
vs LHP,519203,519203,6,5,2,2,1,0,0
vs RHP,519203,519203,51,47,14,22,4,0,0
vs LHP,519208,519208,3,2,2,2,0,0,1
vs RHP,519208,519208,21,19,4,4,2,0,0
vs LHP,519222,519222,12,12,4,5,0,0,0
vs RHP,519222,519222,4,4,1,1,0,0,0
vs LHP,519237,519237,4,4,1,2,0,0,0
vs RHP,519237,519237,44,41,8,14,2,1,0
vs RHP,519242,519242,1,1,0,0,0,0,0
vs RHP,519294,519294,1,1,0,0,0,0,0
vs LHP,519295,519295,9,9,0,0,0,0,0
vs RHP,519295,519295,30,29,5,5,1,0,0
vs LHP,519306,519306,5,5,2,2,0,0,0
vs RHP,519306,519306,11,10,5,6,0,0,1
vs LHP,519317,519317,3,1,0,0,2,0,0
vs RHP,519317,519317,30,27,5,12,3,0,0
vs LHP,519333,519333,7,7,1,1,0,0,0
vs RHP,519333,519333,15,14,3,4,1,0,0
vs LHP,519390,519390,18,16,1,1,2,0,0
vs RHP,519390,519390,51,45,11,23,6,0,0
vs RHP,519455,519455,1,0,0,0,0,0,0
