month,station,datetime,obs_type,obs_value,TMAX_F,country_code
2,13,18660209,0,-2,28,4
12,17,18661227,0,-2,28,4
2,28,18660215,0,-2,28,13
2,13,18660208,0,-2,28,4
2,15,18660215,0,-2,28,4
3,15,18660317,0,-2,28,4
2,13,18660213,0,-2,28,4
12,28,18661229,0,-2,28,13
12,13,18661227,0,-2,28,4
1,9,18660131,0,-2,28,4
12,12,18661218,0,-2,28,4
3,16,18660304,0,-2,28,4
2,13,18660201,0,-2,28,4
12,17,18661201,0,-2,28,4
1,16,18660110,0,-2,28,4
2,13,18660207,0,-2,28,4
2,22,18660221,0,-2,28,9
1,5,18660101,0,-2,28,2
10,25,18661025,0,-2,28,11
4,25,18660421,0,-2,28,11
2,20,18660221,0,-2,28,7
4,25,18660410,0,-2,28,11
1,20,18660107,0,-2,28,7
12,25,18661209,0,-2,28,11
1,25,18660107,0,-2,29,11
2,25,18660217,0,-2,29,11
10,25,18661018,0,-2,29,11
5,25,18660502,0,-2,29,11
12,9,18661211,0,-2,29,4
3,8,18660317,0,-2,29,4
1,28,18660127,0,-2,29,13
3,9,18660305,0,-2,29,4
1,13,18660129,0,-2,29,4
2,16,18660207,0,-2,29,4
12,10,18661227,0,-2,29,4
2,14,18660201,0,-2,29,4
1,15,18660124,0,-2,29,4
2,9,18660207,0,-2,29,4
3,15,18660309,0,-2,29,4
3,16,18660319,0,-2,29,4
1,14,18660104,0,-2,29,4
3,14,18660308,0,-2,29,4
1,16,18660125,0,-2,29,4
1,15,18660125,0,-2,29,4
12,15,18661211,0,-2,29,4
1,9,18660126,0,-2,29,4
12,28,18661231,0,-2,29,13
12,28,18661214,0,-2,29,13
12,8,18661222,0,-2,29,4
12,13,18661201,0,-2,29,4
1,9,18660103,0,-2,29,4
12,16,18661225,0,-2,29,4
11,17,18661122,0,-2,29,4
3,25,18660303,0,-2,29,11
1,13,18660118,0,-2,29,4
11,8,18661123,0,-2,29,4
12,20,18661225,0,-2,29,7
3,8,18660322,0,-2,29,4
3,16,18660326,0,-2,29,4
4,25,18660406,0,-2,29,11
1,25,18660129,0,-2,29,11
1,5,18660108,0,-2,29,2
4,25,18660407,0,-2,29,11
12,5,18661226,0,-2,29,2
1,25,18660130,0,-2,29,11
1,25,18660108,0,-1,29,11
5,25,18660515,0,-1,30,11
2,25,18660206,0,-1,30,11
3,25,18660328,0,-1,30,11
11,25,18661110,0,-1,30,11
12,21,18661225,0,-1,30,8
11,20,18661130,0,-1,30,7
1,16,18660102,0,-1,30,4
3,16,18660308,0,-1,30,4
12,9,18661218,0,-1,30,4
11,8,18661121,0,-1,30,4
11,13,18661122,0,-1,30,4
10,25,18661027,0,-1,30,11
1,28,18660128,0,-1,30,13
8,25,18660811,0,-1,30,11
2,25,18660212,0,-1,30,11
3,13,18660324,0,-1,30,4
2,14,18660221,0,-1,30,4
2,14,18660213,0,-1,30,4
12,11,18661218,0,-1,30,4
3,14,18660310,0,-1,30,4
1,9,18660111,0,-1,30,4
3,11,18660308,0,-1,30,4
2,15,18660201,0,-1,30,4
11,17,18661123,0,-1,30,4
12,8,18661227,0,-1,30,4
12,25,18661227,0,-1,30,11
12,9,18661227,0,-1,30,4
12,17,18661218,0,-1,30,4
12,28,18661213,0,-1,30,13
11,17,18661124,0,-1,30,4
2,8,18660221,0,-1,30,4
1,14,18660102,0,-1,30,4
11,16,18661122,0,-1,30,4
3,16,18660321,0,-1,30,4
11,9,18661122,0,-1,30,4
1,28,18660122,0,-1,30,13
12,28,18661220,0,-1,30,13
2,28,18660206,0,-1,30,13
3,8,18660306,0,-1,30,4
1,15,18660104,0,-1,30,4
12,12,18661210,0,-1,30,4
3,13,18660321,0,-1,30,4
1,28,18660123,0,-1,30,13
12,11,18661226,0,-1,30,4
1,15,18660105,0,-1,30,4
2,15,18660209,0,-1,30,4
12,8,18661211,0,-1,30,4
12,10,18661226,0,-1,30,4
12,10,18661220,0,-1,30,4
12,17,18661226,0,-1,30,4
3,16,18660320,0,-1,30,4
12,12,18661226,0,-1,30,4
12,28,18661211,0,-1,30,13
3,15,18660320,0,-1,30,4
11,22,18661130,0,-1,30,9
12,25,18661230,0,-1,30,11
1,5,18660122,0,-1,30,2
11,25,18661123,0,-1,30,11
12,20,18661215,0,-1,30,7
1,25,18660123,0,-1,30,11
2,25,18660216,0,-1,30,11
2,21,18660222,0,-1,30,8
12,21,18661224,0,-1,30,8
11,25,18661114,0,-1,30,11
12,27,18661231,0,-1,31,12
12,22,18661225,0,-1,31,9
11,25,18661116,0,-1,31,11
2,16,18660208,0,-1,31,4
2,15,18660208,0,-1,31,4
3,16,18660305,0,-1,31,4
1,14,18660112,0,-1,31,4
2,16,18660220,0,-1,31,4
3,13,18660305,0,-1,31,4
2,13,18660219,0,-1,31,4
2,9,18660208,0,-1,31,4
2,15,18660202,0,-1,31,4
12,25,18661223,0,-1,31,11
11,8,18661105,0,-1,31,4
12,14,18661227,0,-1,31,4
12,16,18661201,0,-1,31,4
3,16,18660310,0,-1,31,4
1,25,18660103,0,-1,31,11
3,15,18660307,0,-1,31,4
1,9,18660102,0,-1,31,4
3,11,18660310,0,-1,31,4
3,16,18660306,0,-1,31,4
12,17,18661225,0,-1,31,4
1,13,18660131,0,-1,31,4
2,16,18660213,0,-1,31,4
1,5,18660105,0,-1,31,2
1,13,18660111,0,-1,31,4
2,13,18660227,0,-1,31,4
12,11,18661225,0,-1,31,4
12,13,18661219,0,-1,31,4
2,21,18660221,0,-1,31,8
3,11,18660326,0,-1,31,4
3,15,18660319,0,-1,31,4
1,14,18660119,0,-1,31,4
11,15,18661123,0,-1,31,4
3,14,18660317,0,-1,31,4
12,15,18661217,0,-1,31,4
1,25,18660121,0,-1,31,11
1,14,18660118,0,-1,31,4
1,9,18660123,0,-1,31,4
3,13,18660322,0,-1,31,4
1,14,18660116,0,-1,31,4
11,13,18661124,0,-1,31,4
3,11,18660319,0,-1,31,4
1,28,18660124,0,-1,31,13
11,9,18661123,0,-1,31,4
12,6,18661223,0,0,31,3
12,25,18661210,0,0,31,11
12,6,18661221,0,0,31,3
11,21,18661130,0,0,31,8
12,25,18661225,0,0,31,11
1,25,18660114,0,0,31,11
1,5,18660107,0,0,31,2
5,25,18660516,0,0,31,11
12,22,18661222,0,0,31,9
12,25,18661226,0,0,31,11
3,25,18660312,0,0,31,11
2,25,18660219,0,0,31,11
5,25,18660525,0,0,32,11
3,25,18660329,0,0,32,11
10,25,18661028,0,0,32,11
3,25,18660321,0,0,32,11
5,25,18660513,0,0,32,11
1,13,18660101,0,0,32,4
11,14,18661124,0,0,32,4
12,15,18661218,0,0,32,4
3,14,18660322,0,0,32,4
1,16,18660103,0,0,32,4
11,14,18661123,0,0,32,4
1,16,18660117,0,0,32,4
12,16,18661221,0,0,32,4
4,13,18660407,0,0,32,4
12,6,18661222,0,0,32,3
12,28,18661215,0,0,32,13
1,14,18660117,0,0,32,4
1,9,18660104,0,0,32,4
11,8,18661130,0,0,32,4
12,9,18661226,0,0,32,4
3,11,18660321,0,0,32,4
12,28,18661212,0,0,32,13
1,9,18660124,0,0,32,4
2,28,18660217,0,0,32,13
1,25,18660128,0,0,32,11
3,15,18660326,0,0,32,4
3,14,18660326,0,0,32,4
12,14,18661226,0,0,32,4
12,25,18661218,0,0,32,11
11,9,18661124,0,0,32,4
3,28,18660308,0,0,32,13
12,16,18661226,0,0,32,4
2,16,18660218,0,0,32,4
12,12,18661201,0,0,32,4
2,15,18660207,0,0,32,4
12,9,18661225,0,0,32,4
11,20,18661122,0,0,32,7
12,20,18661222,0,0,32,7
2,15,18660226,0,0,32,4
1,14,18660131,0,0,32,4
12,16,18661218,0,0,32,4
12,22,18661224,0,0,32,9
2,15,18660220,0,0,32,4
2,13,18660214,0,0,32,4
12,15,18661227,0,0,32,4
1,25,18660127,0,0,32,11
2,25,18660222,0,0,32,11
3,13,18660327,0,0,32,4
1,20,18660101,0,0,32,7
12,20,18661226,0,0,32,7
1,25,18660120,0,0,32,11
4,25,18660411,0,0,32,11
4,25,18660429,0,0,32,11
12,20,18661223,0,0,32,7
2,25,18660202,0,0,33,11
2,5,18660221,0,0,33,2
1,5,18660121,0,0,33,2
5,25,18660501,0,0,33,11
1,5,18660103,0,0,33,2
11,22,18661122,0,0,33,9
12,21,18661226,0,0,33,8
1,25,18660119,0,0,33,11
1,25,18660118,0,0,33,11
12,21,18661222,0,0,33,8
4,25,18660422,0,0,33,11
12,22,18661223,0,0,33,9
12,22,18661201,0,0,33,9
5,25,18660503,0,0,33,11
12,21,18661223,0,0,33,8
1,25,18660122,0,0,33,11
1,23,18660101,0,0,33,10
12,21,18661221,0,0,33,8
2,16,18660217,0,1,33,4
12,28,18661222,0,1,33,13
12,10,18661218,0,1,33,4
11,11,18661123,0,1,33,4
2,14,18660217,0,1,33,4
12,14,18661201,0,1,33,4
12,10,18661201,0,1,33,4
12,11,18661201,0,1,33,4
2,8,18660217,0,1,33,4
2,13,18660221,0,1,33,4
3,25,18660322,0,1,33,11
2,8,18660214,0,1,33,4
2,13,18660212,0,1,33,4
2,8,18660215,0,1,33,4
3,8,18660327,0,1,33,4
1,28,18660117,0,1,33,13
11,15,18661122,0,1,33,4
3,13,18660328,0,1,33,4
3,13,18660329,0,1,33,4
3,14,18660305,0,1,33,4
2,8,18660220,0,1,33,4
3,15,18660321,0,1,33,4
12,13,18661210,0,1,33,4
2,14,18660226,0,1,33,4
11,16,18661123,0,1,33,4
2,14,18660228,0,1,33,4
12,17,18661222,0,1,33,4
12,22,18661215,0,1,33,9
3,13,18660316,0,1,33,4
1,16,18660131,0,1,33,4
1,16,18660129,0,1,33,4
12,25,18661213,0,1,33,11
2,28,18660202,0,1,33,13
4,9,18660407,0,1,33,4
11,12,18661124,0,1,33,4
1,15,18660126,0,1,33,4
11,16,18661124,0,1,33,4
1,13,18660130,0,1,33,4
1,14,18660130,0,1,33,4
11,20,18661120,0,1,33,7
12,28,18661226,0,1,33,13
1,15,18660127,0,1,33,4
5,25,18660504,0,1,33,11
11,25,18661103,0,1,33,11
5,25,18660514,0,1,33,11
2,5,18660222,0,1,33,2
11,25,18661125,0,1,33,11
12,25,18661212,0,1,33,11
5,25,18660517,0,1,33,11
11,25,18661111,0,1,33,11
11,5,18661130,0,1,33,2
10,25,18661023,0,1,33,11
12,22,18661226,0,1,34,9
1,20,18660105,0,1,34,7
4,25,18660425,0,1,34,11
12,21,18661215,0,1,34,8
12,5,18661217,0,1,34,2
1,25,18660115,0,1,34,11
1,22,18660106,0,1,34,9
2,6,18660221,0,1,34,3
11,22,18661120,0,1,34,9
4,25,18660423,0,1,34,11
4,25,18660430,0,1,34,11
12,16,18661209,0,1,34,4
12,13,18661222,0,1,34,4
1,5,18660104,0,1,34,2
3,8,18660310,0,1,34,4
3,14,18660328,0,1,34,4
3,13,18660313,0,1,34,4
3,15,18660310,0,1,34,4
11,27,18661130,0,1,34,12
2,27,18660228,0,1,34,12
2,15,18660213,0,1,34,4
3,28,18660326,0,1,34,13
12,15,18661225,0,1,34,4
1,14,18660111,0,1,34,4
3,14,18660313,0,1,34,4
2,16,18660228,0,1,34,4
12,9,18661222,0,1,34,4
2,15,18660228,0,1,34,4
2,13,18660228,0,1,34,4
3,28,18660318,0,1,34,13
1,28,18660116,0,1,34,13
1,28,18660110,0,1,34,13
2,16,18660227,0,1,34,4
3,8,18660312,0,1,34,4
2,27,18660227,0,1,34,12
3,14,18660330,0,1,34,4
12,16,18661219,0,1,34,4
1,28,18660126,0,1,34,13
3,13,18660330,0,1,34,4
1,15,18660117,0,1,34,4
2,9,18660228,0,1,34,4
3,8,18660331,0,1,34,4
3,15,18660305,0,1,34,4
11,12,18661122,0,1,34,4
2,26,18660228,0,1,34,12
3,11,18660306,0,1,34,4
9,25,18660912,0,1,34,11
3,9,18660329,0,1,34,4
1,15,18660129,0,1,34,4
1,28,18660129,0,1,34,13
3,13,18660315,0,1,34,4
3,28,18660317,0,1,34,13
12,10,18661219,0,1,34,4
1,16,18660115,0,1,34,4
1,9,18660101,0,1,34,4
1,13,18660112,0,1,34,4
1,28,18660104,0,1,34,13
3,11,18660307,0,1,34,4
12,15,18661226,0,1,34,4
3,28,18660309,0,1,34,13
12,25,18661222,0,1,34,11
12,14,18661219,0,1,34,4
3,28,18660319,0,1,34,13
3,16,18660327,0,1,34,4
11,16,18661125,0,1,34,4
2,14,18660220,0,1,34,4
3,28,18660325,0,1,34,13
10,25,18661024,0,1,34,11
3,22,18660315,0,1,34,9
1,21,18660106,0,1,34,8
12,6,18661224,0,1,35,3
2,20,18660220,0,1,35,7
12,20,18661221,0,1,35,7
11,25,18661112,0,1,35,11
11,21,18661122,0,1,35,8
11,21,18661120,0,1,35,8
1,5,18660106,0,1,35,2
3,22,18660306,0,1,35,9
3,20,18660315,0,2,35,7
12,25,18661203,0,2,35,11
12,21,18661201,0,2,35,8
11,21,18661118,0,2,35,8
11,6,18661130,0,2,35,3
3,22,18660305,0,2,35,9
1,5,18660102,0,2,35,2
12,5,18661201,0,2,35,2
12,26,18661231,0,2,35,12
2,9,18660213,0,2,35,4
3,14,18660327,0,2,35,4
12,14,18661225,0,2,35,4
12,15,18661219,0,2,35,4
2,9,18660224,0,2,35,4
2,15,18660217,0,2,35,4
2,16,18660219,0,2,35,4
12,12,18661219,0,2,35,4
3,25,18660331,0,2,35,11
12,8,18661225,0,2,35,4
12,14,18661222,0,2,35,4
12,11,18661219,0,2,35,4
10,8,18661026,0,2,35,4
1,16,18660112,0,2,35,4
11,9,18661104,0,2,35,4
2,16,18660211,0,2,35,4
2,9,18660227,0,2,35,4
11,12,18661123,0,2,35,4
11,17,18661103,0,2,35,4
2,14,18660215,0,2,35,4
1,16,18660111,0,2,35,4
12,9,18661219,0,2,35,4
1,25,18660125,0,2,35,11
3,28,18660305,0,2,35,13
11,13,18661130,0,2,35,4
1,28,18660103,0,2,35,13
3,16,18660322,0,2,35,4
3,11,18660330,0,2,35,4
1,15,18660110,0,2,35,4
9,25,18660903,0,2,35,11
3,11,18660305,0,2,35,4
3,9,18660310,0,2,35,4
4,11,18660407,0,2,35,4
2,16,18660209,0,2,35,4
11,17,18661121,0,2,35,4
11,12,18661130,0,2,35,4
11,16,18661121,0,2,35,4
3,28,18660310,0,2,35,13
10,8,18661027,0,2,35,4
11,25,18661115,0,2,35,11
8,25,18660815,0,2,35,11
1,5,18660114,0,2,35,2
11,20,18661118,0,2,35,7
10,25,18661014,0,2,35,11
