country_code,station,datetime,obs_type,obs_value,TMAX_F,month
EZE,21,680848,1,-9,16,2
SZ,26,680819,1,-9,16,1
SZ,26,680843,1,-8,17,1
SZ,26,680856,1,-8,17,2
SZ,26,681160,1,-8,17,12
CA,14,680851,1,-8,17,2
SZ,26,680861,1,-8,17,2
SZ,26,680813,1,-8,17,1
CA,14,680823,1,-8,17,1
SZ,26,680887,1,-8,17,3
SZ,26,680882,1,-8,17,3
SZ,26,680858,1,-8,17,2
GME,23,680854,1,-8,17,2
SZ,26,680868,1,-8,17,2
SZ,26,680814,1,-8,18,1
SZ,26,680878,1,-8,18,3
GME,23,680855,1,-8,18,2
SZ,26,681126,1,-8,18,11
SZ,26,680886,1,-8,18,3
GM,22,680855,1,-8,18,2
SZ,26,680845,1,-8,18,2
SZ,26,680816,1,-8,18,1
CA,17,681168,1,-8,18,12
CA,14,681160,1,-8,18,12
GME,23,680847,1,-8,18,2
CA,14,680852,1,-8,18,2
CA,14,680854,1,-8,18,2
CA,17,680883,1,-8,18,3
EZE,21,680854,1,-8,18,2
GM,22,680854,1,-8,18,2
SZ,26,681176,1,-8,18,12
SZ,26,681162,1,-8,18,12
GME,23,680853,1,-7,19,2
EZE,21,680859,1,-7,19,2
SZ,26,680848,1,-7,19,2
AU,6,680848,1,-7,19,2
EZE,21,680891,1,-7,19,3
SZ,26,680903,1,-7,19,4
AU,6,680854,1,-7,19,2
SZ,26,680847,1,-7,19,2
CA,14,680836,1,-7,19,1
CA,14,680850,1,-7,19,2
CA,14,680832,1,-7,19,1
SZ,26,680875,1,-7,19,3
CA,17,680827,1,-7,19,1
SZ,26,680890,1,-7,19,3
SZ,26,681158,1,-7,19,12
SZ,26,680824,1,-7,19,1
SZ,26,680841,1,-7,20,1
AU,6,680856,1,-7,20,2
EZE,21,680815,1,-7,20,1
SZ,26,680825,1,-7,20,1
CA,17,681161,1,-7,20,12
CA,14,681167,1,-7,20,12
EZE,21,680855,1,-7,20,2
SZ,26,680857,1,-7,20,2
CA,14,680819,1,-7,20,1
SZ,26,681177,1,-7,20,12
SZ,26,680888,1,-7,20,3
AU,6,680849,1,-7,20,2
GME,23,680850,1,-7,20,2
SZ,26,680840,1,-6,20,1
GME,23,680892,1,-6,20,3
GME,23,680814,1,-6,20,1
GM,22,680814,1,-6,21,1
GM,22,680853,1,-6,21,2
EZE,21,680853,1,-6,21,2
SZ,26,680860,1,-6,21,2
GME,23,680891,1,-6,21,3
CA,17,680881,1,-6,21,3
CA,14,680840,1,-6,21,1
CA,17,680849,1,-6,21,2
CA,17,680850,1,-6,21,2
CA,17,681167,1,-6,21,12
CA,17,681160,1,-6,21,12
CA,17,680852,1,-6,21,2
CA,17,680851,1,-6,21,2
SZ,26,680891,1,-6,21,3
AU,6,680858,1,-6,21,2
SZ,26,680823,1,-6,21,1
AU,6,680855,1,-6,21,2
GM,22,680858,1,-6,21,2
SZ,26,680869,1,-6,21,2
SZ,26,680873,1,-6,21,3
AU,6,680891,1,-6,21,3
SZ,26,681144,1,-6,21,11
GM,22,680891,1,-6,21,3
SZ,26,680872,1,-6,21,3
GME,23,680858,1,-6,22,2
SZ,26,681152,1,-6,22,12
CA,17,681162,1,-6,22,12
CA,17,681166,1,-6,22,12
CA,14,680842,1,-6,22,1
AU,6,680853,1,-6,22,2
AU,6,680850,1,-6,22,2
GM,22,680847,1,-6,22,2
AU,6,680851,1,-6,22,2
AU,6,681175,1,-6,22,12
SZ,26,680883,1,-5,22,3
SZ,26,680884,1,-5,22,3
SZ,26,680905,1,-5,22,4
SZ,26,680851,1,-5,22,2
SZ,26,681153,1,-5,23,12
CA,14,680815,1,-5,23,1
CA,14,681159,1,-5,23,12
SZ,26,681145,1,-5,23,11
SZ,26,680844,1,-5,23,2
EZE,21,680858,1,-5,23,2
BE,7,680854,1,-5,23,2
CA,14,680816,1,-5,23,1
AU,6,680859,1,-5,23,2
CA,17,680823,1,-5,23,1
SZ,26,680870,1,-5,23,2
CA,17,680841,1,-5,23,1
CA,17,680836,1,-5,23,1
CA,17,680813,1,-5,23,1
SZ,26,680893,1,-5,23,3
BE,7,680855,1,-5,23,2
EZE,21,680813,1,-5,23,1
SZ,26,680889,1,-5,23,3
EZE,21,680860,1,-5,23,2
AU,6,680852,1,-5,23,2
EZE,21,680814,1,-5,23,1
SZ,26,680876,1,-5,24,3
BE,7,680856,1,-5,24,2
SZ,26,681155,1,-5,24,12
EZE,21,680892,1,-5,24,3
SZ,26,680892,1,-5,24,3
SZ,26,680835,1,-5,24,1
SZ,26,681125,1,-5,24,11
BE,7,680857,1,-4,24,2
SZ,26,680862,1,-4,24,2
AU,6,681174,1,-4,24,12
GME,23,680893,1,-4,24,3
CA,14,680882,1,-4,24,3
CA,14,681166,1,-4,24,12
GME,23,680815,1,-4,24,1
CA,14,680853,1,-4,24,2
CA,17,680857,1,-4,24,2
EZE,21,681176,1,-4,24,12
CA,17,680840,1,-4,24,1
AU,6,681176,1,-4,24,12
SZ,26,680846,1,-4,24,2
SZ,26,681120,1,-4,24,11
SZ,26,681175,1,-4,24,12
SZ,26,680822,1,-4,25,1
SZ,26,680833,1,-4,25,1
EZE,21,680852,1,-4,25,2
CA,14,680833,1,-4,25,1
CA,14,680814,1,-4,25,1
CA,14,680858,1,-4,25,2
USC,29,681161,1,-4,25,12
SZ,26,681146,1,-4,25,11
CA,17,680848,1,-4,25,2
CA,14,680884,1,-4,25,3
CA,14,680824,1,-4,25,1
EZE,21,680847,1,-4,26,2
GME,23,680859,1,-4,26,2
GM,22,680813,1,-4,26,1
GME,23,680846,1,-4,26,2
SZ,26,681163,1,-4,26,12
SZ,26,680826,1,-4,26,1
SZ,26,680859,1,-4,26,2
SZ,26,680904,1,-3,26,4
USC,29,681169,1,-3,26,12
CA,17,680816,1,-3,26,1
CA,17,680832,1,-3,26,1
AU,6,680815,1,-3,26,1
CA,14,680857,1,-3,26,2
CA,17,680858,1,-3,26,2
CA,17,680822,1,-3,26,1
SZ,26,681137,1,-3,26,11
SZ,26,681166,1,-3,26,12
SZ,26,681151,1,-3,26,12
SZ,26,681157,1,-3,26,12
GM,22,681171,1,-3,26,12
AU,6,681159,1,-3,26,12
SZ,26,681123,1,-3,26,11
SZ,26,681149,1,-3,27,12
SZ,26,681148,1,-3,27,12
GME,23,680813,1,-3,27,1
SZ,26,681165,1,-3,27,12
AU,6,681173,1,-3,27,12
AU,6,680890,1,-3,27,3
SZ,26,681174,1,-3,27,12
SZ,26,681164,1,-3,27,12
EZE,21,681174,1,-3,27,12
AU,6,680892,1,-3,27,3
EZE,21,680837,1,-3,27,1
SZ,26,681117,1,-3,27,11
CA,17,680871,1,-3,27,2
CA,17,680815,1,-3,27,1
CA,17,680842,1,-3,27,1
SZ,26,681147,1,-3,27,12
GM,22,680893,1,-3,27,3
AU,6,680813,1,-3,27,1
USC,29,681162,1,-3,27,12
SZ,26,681140,1,-3,27,11
GME,23,680866,1,-3,27,2
CA,14,680845,1,-3,27,2
SZ,26,680906,1,-3,27,4
CA,14,680822,1,-3,27,1
GM,22,680900,1,-3,27,3
SZ,26,680818,1,-3,27,1
EZE,21,680866,1,-3,27,2
GME,23,680837,1,-2,28,1
SZ,26,681143,1,-2,28,11
SZ,26,681124,1,-2,28,11
BE,7,680853,1,-2,28,2
GME,23,680865,1,-2,28,2
GM,22,680892,1,-2,28,3
SZ,26,681113,1,-2,28,10
EZE,21,680900,1,-2,28,3
AU,6,680857,1,-2,28,2
GME,23,680890,1,-2,28,3
CA,17,680853,1,-2,28,2
USC,29,681168,1,-2,28,12
CA,17,681175,1,-2,28,12
SZ,26,681116,1,-2,28,10
CA,14,680872,1,-2,28,3
CA,17,680820,1,-2,28,1
CA,17,681159,1,-2,28,12
CA,14,680861,1,-2,28,2
CA,14,680871,1,-2,28,2
CA,14,681154,1,-2,28,12
CA,14,680881,1,-2,28,3
CA,17,680882,1,-2,28,3
CA,17,680833,1,-2,28,1
CA,17,680870,1,-2,28,2
AU,6,680832,1,-2,28,1
AU,6,681160,1,-2,28,12
SZ,26,681105,1,-2,28,10
GME,23,680900,1,-2,28,3
AU,6,680866,1,-2,28,2
SZ,26,681154,1,-2,28,12
SZ,26,680839,1,-2,28,1
GM,22,680864,1,-2,28,2
GM,22,680865,1,-2,28,2
SZ,26,680817,1,-2,28,1
EZE,21,681175,1,-2,28,12
EZE,21,681169,1,-2,28,12
GM,22,681170,1,-2,28,12
EZE,21,680893,1,-2,28,3
SZ,26,681173,1,-2,28,12
GME,23,680894,1,-2,28,3
AU,6,680814,1,-2,28,1
AU,6,680865,1,-2,29,2
SZ,26,681130,1,-2,29,11
SZ,26,680834,1,-2,29,1
GM,22,680815,1,-2,29,1
SZ,26,681167,1,-2,29,12
EZE,21,680868,1,-2,29,2
GM,22,680837,1,-2,29,1
CA,17,680884,1,-2,29,3
CA,17,681176,1,-2,29,12
CA,14,681176,1,-2,29,12
CA,17,680876,1,-2,29,3
CA,17,681163,1,-2,29,12
CA,17,680826,1,-2,29,1
CA,17,680845,1,-2,29,2
CA,17,680859,1,-2,29,2
UK,28,680855,1,-2,29,2
CA,14,680821,1,-2,29,1
CA,17,680814,1,-2,29,1
CA,14,680867,1,-2,29,2
EZE,21,680834,1,-2,29,1
GME,23,680834,1,-2,29,1
SZ,26,681142,1,-2,29,11
BE,7,680813,1,-2,29,1
AU,6,681177,1,-2,29,12
GM,22,680846,1,-2,29,2
GM,22,680859,1,-1,29,2
EZE,21,681173,1,-1,29,12
GME,23,680851,1,-1,29,2
SZ,26,681141,1,-1,29,11
GME,23,680852,1,-1,29,2
EZE,21,680865,1,-1,30,2
GME,23,680842,1,-1,30,1
GME,23,680896,1,-1,30,3
GME,23,680836,1,-1,30,1
EZE,21,680846,1,-1,30,2
GME,23,680899,1,-1,30,3
SZ,26,681112,1,-1,30,10
SZ,26,681150,1,-1,30,12
SZ,26,681118,1,-1,30,11
EZE,21,680867,1,-1,30,2
CA,14,680849,1,-1,30,2
CA,14,680844,1,-1,30,2
CA,17,680872,1,-1,30,3
SZ,26,681172,1,-1,30,12
CA,14,680843,1,-1,30,1
CA,14,681164,1,-1,30,12
UK,28,680853,1,-1,30,2
CA,17,680879,1,-1,30,3
CA,17,680824,1,-1,30,1
GME,23,680864,1,-1,30,2
SZ,26,681104,1,-1,30,10
SZ,26,681134,1,-1,30,11
EZE,21,680890,1,-1,30,3
SZ,26,680821,1,-1,30,1
AU,6,680846,1,-1,30,2
GM,22,680834,1,-1,30,1
GME,23,681174,1,-1,31,12
AU,6,680894,1,-1,31,3
EZE,21,681160,1,-1,31,12
AU,6,680900,1,-1,31,3
GM,22,680866,1,-1,31,2
GM,22,680899,1,-1,31,3
BE,7,680852,1,-1,31,2
SZ,26,681115,1,-1,31,10
SZ,26,681121,1,-1,31,11
SZ,26,681114,1,-1,31,10
CA,14,680896,1,-1,31,3
CA,14,681155,1,-1,31,12
CA,14,681144,1,-1,31,11
CA,17,680867,1,-1,31,2
EIE,20,680838,1,-1,31,1
SZ,26,681099,1,-1,31,10
GME,23,681173,1,-1,31,12
EZE,21,680844,1,-1,31,2
SZ,26,681129,1,-1,31,11
CA,14,680826,1,-1,31,1
CA,14,680825,1,-1,31,1
CA,14,680828,1,-1,31,1
CA,14,680863,1,-1,31,2
CA,17,680863,1,-1,31,2
AU,6,680824,1,-1,31,1
CA,17,680862,1,-1,31,2
CA,17,680875,1,-1,31,3
UK,28,680856,1,-1,31,2
SZ,26,680867,1,-1,31,2
CA,14,681175,1,-1,31,12
CA,14,680875,1,-1,31,3
CA,14,680859,1,-1,31,2
SZ,26,681122,1,-1,31,11
USC,29,681163,1,-1,31,12
ITE,25,680833,1,0,31,1
AU,6,680843,1,0,31,1
EZE,21,680864,1,0,31,2
EZE,21,680894,1,0,31,3
AU,6,680833,1,0,31,1
GM,22,680836,1,0,31,1
AU,6,681155,1,0,31,12
AU,6,680845,1,0,31,2
SZ,26,681127,1,0,31,11
BE,7,680836,1,0,31,1
GME,23,681171,1,0,31,12
AU,6,680893,1,0,31,3
GM,22,680894,1,0,31,3
GME,23,680845,1,0,31,2
GME,23,680835,1,0,31,1
AU,6,680825,1,0,31,1
BE,7,681159,1,0,31,12
EZE,21,681159,1,0,31,12
SZ,26,681100,1,0,31,10
GM,22,680890,1,0,31,3
SZ,26,680836,1,0,31,1
BE,7,680891,1,0,31,3
EZE,21,680833,1,0,31,1
BE,7,680814,1,0,32,1
ITE,25,680832,1,0,32,1
ITE,25,680830,1,0,32,1
SZ,26,681136,1,0,32,11
EZE,21,680836,1,0,32,1
UK,28,680839,1,0,32,1
GME,23,681159,1,0,32,12
ITE,24,680855,1,0,32,2
BE,7,681169,1,0,32,12
BE,7,680833,1,0,32,1
SZ,26,681103,1,0,32,10
BE,7,680834,1,0,32,1
SZ,26,681094,1,0,32,10
USC,29,681154,1,0,32,12
CA,17,681127,1,0,32,11
GME,23,680816,1,0,32,1
GM,22,681159,1,0,32,12
CA,14,680895,1,0,32,3
CA,14,681112,1,0,32,10
EIE,20,680835,1,0,32,1
SZ,26,680916,1,0,32,4
CA,14,680860,1,0,32,2
EIE,20,680836,1,0,32,1
EIE,20,680832,1,0,32,1
ITE,24,680832,1,0,32,1
EIE,20,680834,1,0,32,1
CA,17,681154,1,0,32,12
EIE,20,680833,1,0,32,1
CA,14,681126,1,0,32,11
CA,14,680864,1,0,32,2
GME,23,680889,1,0,32,3
GM,22,681173,1,0,32,12
CA,14,681174,1,0,32,12
EIE,20,680837,1,0,32,1
GM,22,680852,1,0,32,2
CA,17,680864,1,0,32,2
SZ,26,681156,1,0,32,12
SZ,26,681107,1,0,32,10
EZE,21,680838,1,0,32,1
EZE,21,680845,1,0,32,2
UK,28,680857,1,0,32,2
EZE,21,681168,1,0,32,12
GME,23,680884,1,0,32,3
UK,27,680833,1,0,32,1
EZE,21,681172,1,0,32,12
EZE,21,680842,1,0,32,1
SZ,26,681098,1,0,32,10
ITE,25,680831,1,0,32,1
EZE,21,681155,1,0,33,12
AU,6,680847,1,0,33,2
ITE,25,680836,1,0,33,1
AU,6,680860,1,0,33,2
EZE,21,680816,1,0,33,1
GME,23,680883,1,0,33,3
GME,23,680895,1,0,33,3
GME,23,680830,1,0,33,1
GME,23,681158,1,0,33,12
UK,28,680854,1,0,33,2
UK,27,680837,1,0,33,1
GM,22,680901,1,0,33,3
SZ,26,681171,1,0,33,12
GME,23,681170,1,0,33,12
AU,6,680837,1,0,33,1
AU,6,681166,1,0,33,12
AU,6,680834,1,0,33,1
AU,6,680872,1,0,33,3
EZE,21,681170,1,0,33,12
CA,14,681123,1,1,33,11
CA,17,681126,1,1,33,11
GME,23,680888,1,1,33,3
CA,14,681152,1,1,33,12
EZE,21,680824,1,1,33,1
CA,17,680860,1,1,33,2
CA,14,681153,1,1,33,12
EIE,20,680839,1,1,33,1
SZ,26,681108,1,1,33,10
EZE,21,681177,1,1,33,12
CA,14,681145,1,1,33,11
UK,28,680837,1,1,33,1
CA,14,680818,1,1,33,1
CA,14,680835,1,1,33,1
CA,14,680817,1,1,33,1
CA,17,680843,1,1,33,1
CA,14,680868,1,1,33,2
EZE,21,680841,1,1,33,1
EZE,21,680895,1,1,33,3
BE,7,681155,1,1,33,12
BE,7,680815,1,1,33,1
ITE,25,680815,1,1,33,1
AU,6,680838,1,1,33,1
GM,22,680816,1,1,33,1
GM,22,680830,1,1,33,1
GM,22,681150,1,1,33,12
AU,6,681156,1,1,33,12
BE,7,680858,1,1,33,2
GME,23,681160,1,1,33,12
EZE,21,681156,1,1,33,12
GM,22,681158,1,1,33,12
UK,27,680834,1,1,33,1
GME,23,680831,1,1,33,1
UK,27,680835,1,1,34,1
GM,22,681169,1,1,34,12
BE,7,681158,1,1,34,12
EZE,21,680899,1,1,34,3
GME,23,680901,1,1,34,3
BE,7,680835,1,1,34,1
UK,28,680813,1,1,34,1
SZ,26,681132,1,1,34,11
SZ,26,680917,1,1,34,4
SZ,26,681106,1,1,34,10
AU,6,680895,1,1,34,3
GM,22,681172,1,1,34,12
SZ,26,680943,1,1,34,5
AU,6,680836,1,1,34,1
ITE,24,680831,1,1,34,1
CA,17,680821,1,1,34,1
CA,14,681127,1,1,34,11
CA,14,681113,1,1,34,10
CA,17,681112,1,1,34,10
CA,17,681123,1,1,34,11
CA,14,680910,1,1,34,4
GM,22,680896,1,1,34,3
CA,14,680846,1,1,34,2
GM,22,680833,1,1,34,1
ITE,24,680833,1,1,34,1
ITE,25,680834,1,1,34,1
EZE,21,680830,1,1,34,1
USC,29,681164,1,1,34,12
GME,23,680841,1,1,34,1
CA,17,681144,1,1,34,11
UK,27,680832,1,1,34,1
CA,14,681151,1,1,34,12
SZ,26,681090,1,1,34,10
SZ,26,680950,1,1,34,5
EZE,21,680829,1,1,34,1
EZE,21,680843,1,1,34,1
SZ,26,681168,1,1,34,12
UK,28,680838,1,1,34,1
ITE,25,680813,1,1,34,1
SZ,26,681131,1,1,34,11
ITE,25,680855,1,1,34,2
GME,23,681156,1,1,34,12
AU,6,681165,1,1,34,12
ITE,24,680893,1,1,34,3
UK,28,680836,1,1,34,1
GME,23,681161,1,1,34,12
EZE,21,681161,1,1,34,12
UK,27,680839,1,1,34,1
SZ,26,681119,1,1,34,11
AU,6,681161,1,1,34,12
UK,27,680838,1,1,34,1
SZ,26,680820,1,1,34,1
EZE,21,681171,1,1,34,12
GME,23,681168,1,1,34,12
EZE,21,680825,1,1,34,1
GME,23,680833,1,1,35,1
BE,7,680830,1,1,35,1
BE,7,680892,1,1,35,3
GME,23,680863,1,1,35,2
GM,22,680831,1,1,35,1
ITE,24,680853,1,2,35,2
EZE,21,680888,1,2,35,3
AU,6,680842,1,2,35,1
ITE,24,680854,1,2,35,2
EZE,21,681132,1,2,35,11
GM,22,681168,1,2,35,12
GM,22,680842,1,2,35,1
GM,22,680851,1,2,35,2
GME,23,680861,1,2,35,2
EZE,21,680831,1,2,35,1
AU,6,681162,1,2,35,12
AU,6,680844,1,2,35,2
UK,28,680834,1,2,35,1
UK,28,680832,1,2,35,1
USC,29,681176,1,2,35,12
CA,17,681151,1,2,35,12
CA,14,681122,1,2,35,11
UK,28,680858,1,2,35,2
CA,14,681147,1,2,35,12
SZ,26,681101,1,2,35,10
CA,17,680861,1,2,35,2
CA,17,680846,1,2,35,2
CA,17,681174,1,2,35,12
ITE,25,680829,1,2,35,1
SZ,26,680951,1,2,35,5
EZE,21,680883,1,2,35,3
CA,17,680825,1,2,35,1
CA,17,681121,1,2,35,11
CA,14,680877,1,2,35,3
BE,7,680831,1,2,35,1
ITE,25,680844,1,2,35,2
SZ,26,681138,1,2,35,11
CA,14,680885,1,2,35,3
CA,14,681173,1,2,35,12
ITE,25,680893,1,2,35,3
EZE,21,681162,1,2,35,12
CA,17,680844,1,2,35,2
UK,28,680833,1,2,35,1
EZE,21,680835,1,2,35,1
EZE,21,680896,1,2,35,3
SZ,26,680837,1,2,35,1
GM,22,680883,1,2,35,3
GME,23,681169,1,2,35,12
ITE,24,680852,1,2,35,2
SZ,26,680956,1,2,35,5
GME,23,680838,1,2,35,1
GM,22,680887,1,2,35,3
UK,28,680852,1,2,35,2
EZE,21,680877,1,2,35,3
AU,6,680868,1,2,35,2
SZ,26,681170,1,2,35,12
GM,22,681155,1,2,35,12
AU,6,680829,1,2,35,1
GM,22,680888,1,2,35,3
BE,7,680847,1,2,35,2
AU,6,681171,1,2,36,12
GM,22,681161,1,2,36,12
ITE,25,681161,1,2,36,12
ITE,24,680813,1,2,36,1
AU,6,680841,1,2,36,1
AU,6,681158,1,2,36,12
SZ,26,680907,1,2,36,4
GM,22,680863,1,2,36,2
ITE,25,680860,1,2,36,2
AU,6,680899,1,2,36,3
GM,22,681156,1,2,36,12
GME,23,681172,1,2,36,12
GME,23,680902,1,2,36,3
SZ,26,681133,1,2,36,11
AU,6,680830,1,2,36,1
ITE,25,680891,1,2,36,3
AU,6,680867,1,2,36,2
GME,23,680867,1,2,36,2
GM,22,680884,1,2,36,3
SZ,26,680953,1,2,36,5
ITE,24,680834,1,2,36,1
UK,28,680862,1,2,36,2
UK,27,680856,1,2,36,2
GM,22,680895,1,2,36,3
AU,6,681154,1,2,36,12
AU,6,681172,1,2,36,12
CA,14,681165,1,2,36,12
SZ,26,680921,1,2,36,4
CA,17,680877,1,2,36,3
USC,29,681155,1,2,36,12
SZ,26,680910,1,2,36,4
CA,17,680866,1,2,36,2
SZ,26,680954,1,2,36,5
CA,17,681169,1,2,36,12
SZ,26,680942,1,2,36,5
CA,14,681172,1,2,36,12
EZE,21,680861,1,2,36,2
USC,29,681177,1,2,36,12
SZ,26,681135,1,2,36,11
EZE,21,680832,1,2,36,1
EZE,21,680819,1,2,36,1
CA,17,680835,1,2,36,1
SZ,26,681028,1,2,36,8
CA,17,681113,1,2,36,10
UK,28,680840,1,2,36,1
CA,14,681140,1,2,36,11
CA,17,681155,1,2,36,12
EIE,20,680813,1,2,36,1
CA,17,680818,1,2,36,1
GME,23,680829,1,2,36,1
ITE,25,681176,1,2,36,12
GM,22,681174,1,2,36,12
GM,22,680885,1,2,36,3
GME,23,680832,1,2,36,1
GME,23,680874,1,2,36,3
EZE,21,680884,1,2,36,3
GME,23,680819,1,2,36,1
UK,28,680835,1,2,36,1
GM,22,680835,1,2,36,1
GME,23,680897,1,2,36,3
GME,23,681162,1,2,36,12
UK,28,680831,1,2,36,1
UK,28,680828,1,2,36,1
BE,7,680832,1,2,36,1
BE,7,680863,1,2,36,2
EZE,21,681166,1,2,36,12
EZE,21,681149,1,2,36,12
GME,23,680885,1,2,36,3
EZE,21,680871,1,2,36,2
ITE,25,680856,1,2,36,2
ITE,25,680892,1,2,36,3
ITE,25,680898,1,2,36,3
SZ,26,681029,1,2,36,8
GME,23,680879,1,2,36,3
EZE,21,681158,1,2,36,12
GM,22,680841,1,2,36,1
SZ,26,681110,1,2,36,10
ITE,24,680848,1,2,36,2
GME,23,681155,1,2,36,12
ITE,25,680859,1,2,36,2
ITE,24,680857,1,2,36,2
UK,27,680857,1,2,36,2
GM,22,680861,1,2,36,2
SZ,26,681096,1,2,36,10
ITE,24,680892,1,2,36,3
GME,23,680878,1,2,36,3
EZE,21,680887,1,2,36,3
GM,22,681151,1,2,36,12
EZE,21,681130,1,2,36,11
SZ,26,681128,1,2,36,11
EZE,21,680889,1,2,36,3
EZE,21,680885,1,2,36,3
AU,6,681168,1,2,36,12
ITE,25,681160,1,3,37,12
UK,27,680858,1,3,37,2
AU,6,680839,1,3,37,1
GM,22,680832,1,3,37,1
UK,28,680847,1,3,37,2
ITE,25,681159,1,3,37,12
EZE,21,680839,1,3,37,1
UK,28,680890,1,3,37,3
BE,7,681170,1,3,37,12
SZ,26,681082,1,3,37,9
UK,28,680830,1,3,37,1
GME,23,680887,1,3,37,3
CA,17,681147,1,3,37,12
AU,6,680888,1,3,37,3
CA,14,681171,1,3,37,12
EZE,21,681133,1,3,37,11
GME,23,681149,1,3,37,12
EIE,20,680840,1,3,37,1
SZ,26,680920,1,3,37,4
GME,23,680876,1,3,37,3
CA,14,681139,1,3,37,11
GME,23,681167,1,3,37,12
CA,17,680868,1,3,37,2
AU,6,680877,1,3,37,3
EZE,21,681131,1,3,37,11
CA,17,680834,1,3,37,1
CA,17,680911,1,3,37,4
AU,6,681136,1,3,37,11
CA,17,681153,1,3,37,12
CA,17,680873,1,3,37,3
BE,7,681173,1,3,37,12
CA,14,680873,1,3,37,3
CA,17,680895,1,3,37,3
CA,14,680880,1,3,37,3
AU,6,680901,1,3,37,3
AU,6,680816,1,3,37,1
AU,6,681167,1,3,37,12
CA,14,680847,1,3,37,2
AU,6,680864,1,3,37,2
EIE,20,680831,1,3,37,1
CA,17,681138,1,3,37,11
GME,23,681176,1,3,37,12
AU,6,681137,1,3,37,11
CA,17,680896,1,3,37,3
CA,17,680817,1,3,37,1
ITE,24,680815,1,3,37,1
SZ,26,681095,1,3,37,10
ITE,24,680836,1,3,37,1
GME,23,680860,1,3,37,2
ITE,24,680814,1,3,37,1
GME,23,680818,1,3,37,1
BE,7,680900,1,3,37,3
EZE,21,680876,1,3,37,3
BE,7,680829,1,3,37,1
ITE,24,680856,1,3,37,2
EZE,21,681167,1,3,37,12
EZE,21,680875,1,3,37,3
GM,22,680829,1,3,37,1
UK,28,680851,1,3,37,2
UK,27,680813,1,3,37,1
GME,23,680843,1,3,37,1
GM,22,680845,1,3,37,2
SZ,26,681005,1,3,37,7
AU,6,681164,1,3,37,12
AU,6,681157,1,3,37,12
ITE,25,680847,1,3,37,2
SZ,26,680957,1,3,37,5
ITE,25,680817,1,3,37,1
SZ,26,681111,1,3,37,10
ITE,24,681160,1,3,38,12
AU,6,681130,1,3,38,11
GM,22,680838,1,3,38,1
ITE,24,681159,1,3,38,12
GM,22,681160,1,3,38,12
GM,22,681149,1,3,38,12
BE,7,680851,1,3,38,2
SZ,26,680995,1,3,38,7
GM,22,681167,1,3,38,12
ITE,24,680847,1,3,38,2
GME,23,680903,1,3,38,4
BE,7,680859,1,3,38,2
SZ,26,680924,1,3,38,4
UK,27,680831,1,3,38,1
ITE,25,680814,1,3,38,1
CA,17,681164,1,3,38,12
