,titulo,tipo,precio,condicion,ubicacion,tiempo,reputacion,pago
37,Frigobar Mini Refrigerador Midea Blanco2.3pies 50lts Defrost,Televisión y Video,99.0,Nuevo  -  3 vendidos,"Quito, Pichincha ( Quito )",10 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
38,Tv Lg 65 65uj6320 Smart 4k Hdr Web Os 3.5 Magic Control,Televisión y Video,1.199,Nuevo  -  7 vendidos,"Quito, Pichincha ( Quito )",10 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
39,Frigobar Mini Refrigerador Midea Croma 4 Pies 121lts Defrost,Televisión y Video,139.0,Nuevo  -  8 vendidos,"Quito, Pichincha ( Quito )",10 Años,98% de compradores lo recomiendan,
40,Sony Smart Tv 55 Uhd / 4k Incluido Iva,Televisión y Video,853.0,Nuevo  -  15 vendidos,"Quito, Pichincha ( Quito )",7 Años,,Tarjeta de Crédito
41,Tcl Televisor Led 55¨ Smart Tv 4k Harman Kardon Uhd Netflix,Televisión y Video,848.0,Nuevo  -  28 vendidos,"Quito, Pichincha ( Quito )",11 Años,99% de compradores lo recomiendan,Tarjeta de Crédito
42,Sony Smartv Led 40 40w659d Isdbt Wifi Canales Hd,Televisión y Video,509.0,Nuevo  -  33 vendidos,"Quito, Pichincha ( Quito )",10 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
43,Tcl Televisor Led 65 Pulg Smart Tv 4k Uhd Señal Digital Wifi,Televisión y Video,1.148,Nuevo  -  5 vendidos,"Quito, Pichincha ( Quito )",11 Años,99% de compradores lo recomiendan,Tarjeta de Crédito
44,Lg 49 Smart Lk54 Nueva 2018,Televisión y Video,589.0,Nuevo  -  107 vendidos,"Cuenca, Azuay",2 Años,,
45,Tcl Smart Tv 40 Uhd / 4k Incluido Iva,Televisión y Video,434.0,Nuevo  -  2 vendidos,"Guayaquil, Guayas",1 Año,,Tarjeta de Crédito
46,Sony Televisor Led 32 Pulgadas Smart Tv Usb Hd Wifi Netflix,Televisión y Video,378.0,Nuevo  -  56 vendidos,"Quito, Pichincha ( Quito )",1 Año,97% de compradores lo recomiendan,Tarjeta de Crédito
47,Tv Smart Tcl 40 4k + Parlante Amplificado 15 50000,Televisión y Video,510.0,Nuevo  -  2 vendidos,"Quito, Pichincha ( Quito )",2 Años,95% de compradores lo recomiendan,Efectivo
48,Lg Smartv Led 43 Ultimo Modelo Fullhd Isdbt 2018 Bluetooth,Televisión y Video,549.0,Nuevo  -  2 vendidos,"Quito, Pichincha ( Quito )",10 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
49,Nueva Lg 43 Smart 4k Uk63 Nueva 2018 Gratis Control Magico,Televisión y Video,549.0,Nuevo  -  83 vendidos,"Cuenca, Azuay",2 Años,,
0,"Computador Gamer Cpu Intel Core I5 Dd 500gb M 4g, I7 Oferta",Computadoras y Servidores,329.0,Nuevo  -  85 vendidos,"Quito, Pichincha ( Quito )",4 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
1,"Cyber 5 Computadoras Dual Core Completas Y Nuevas I3,i5,i7",Computadoras y Servidores,2.3,Nuevo  -  33 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
2,Computador Cpu Intel Core I7 3.6 7ma Gen 2tb 4gb Led 20 Dvd,Computadoras y Servidores,697.0,Nuevo  -  103 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
3,Cpu Economico Varios Modelos,Computadoras y Servidores,75.0,Usado  -  8 vendidos,"Cuenca, Azuay",9 Años,,Efectivo
4,"Computadora Cpu Intel Core I5 3.0 7ma 2tb 8gb Gt-730 2gb, I7",Computadoras y Servidores,665.0,Nuevo  -  24 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
5,Computadora Cpu 2tb 4gb Led 20 Mesa Vr Box Ip2810 I3/i5/i7,Computadoras y Servidores,439.0,Nuevo  -  163 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
6,Computador Cpu Gamer Intel Core I7 7ma Gen 2tb 8gb Gtx1050ti,Computadoras y Servidores,1.149,Nuevo  -  19 vendidos,"Quito, Pichincha ( Quito )",2 Años,94% de compradores lo recomiendan,Tarjeta de Crédito
7,Server Hp Proliant Ml110 G9 V4 Intel Xeon 6 Core 8gb 4tb Dvd,Computadoras y Servidores,1.839,Nuevo  -  13 vendidos,"Quito, Pichincha ( Quito )",12 Años,99% de compradores lo recomiendan,
8,Computadora Cpu Intel Core I5 3.0 7ma 2tb 8gb Gtx1050 2gb I7,Computadoras y Servidores,825.0,Nuevo  -  15 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
9,Computador All In One Hp 20-c205la Celeron 4gb 1tb W10,Computadoras y Servidores,520.0,Nuevo  -  15 vendidos,"Quito, Pichincha ( Quito )",1 Año,97% de compradores lo recomiendan,Tarjeta de Crédito
10,Regulador De Voltaje Altek 1600w 8 Tomas New Precio Inc Iva,Computadoras y Servidores,10.0,Nuevo  -  151 vendidos,"Quito, Pichincha ( Quito )",3 Años,,Efectivo
11,"Computador Cpu Dual Core 3,3 Ghz G4400 D.320 M 2gb I3 ,i5,i7",Computadoras y Servidores,219.0,Nuevo  -  100 vendidos,"Quito, Pichincha ( Quito )",4 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
12,Cpu Core I5 7400 3.0 7ta G 2000 Gb - 4 Gb Ram Dvd Writer,Computadoras y Servidores,400.0,Nuevo  -  17 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
13,Cpu Intel Core I3-8100-3.6 8th Gen 2000gb 4gb Nuevo,Computadoras y Servidores,355.0,Nuevo  -  36 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Tarjeta de Crédito
14,Cyber 5 Compu Core I5 Instala Trasla Gratis Todo El País,Computadoras y Servidores,1.788,Usado  -  13 vendidos,"Santo Domingo, Santo Domingo de los Tsáchilas",4 Años,99% de compradores lo recomiendan,Tarjeta de Crédito
15,Kit 10 Computadoras Completas,Computadoras y Servidores,2.38,Usado  -  1 vendido,"Santo Domingo, Santo Domingo de los Tsáchilas",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
16,"Computador Cpu Dual Core 3.3 2tb 4gb Memor 7ma Gen, I3/i5/i7",Computadoras y Servidores,269.0,Nuevo  -  162 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
17,Computador Cpu Intel Core I3 3.9 7ma 2tb 4gb Led20 Dvd I5/i7,Computadoras y Servidores,439.0,Nuevo  -  48 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
18,Computador Todo En 1 Hp G209la 24 I5 1tb 4 Gb Ram Blanco,Computadoras y Servidores,929.0,Nuevo,"Quito, Pichincha ( Quito )",1 Año,97% de compradores lo recomiendan,Efectivo
19,"Computadora Cpu Completo Intel Dual Core 2tb 4gb, I3/i5/i7",Computadoras y Servidores,499.0,Nuevo  -  31 vendidos,"Quito, Pichincha ( Quito )",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
20,"Computadora Cpu Intel Core I3 3.9ghz 4gb,2tb ,20 Led Nuevas",Computadoras y Servidores,408.0,Nuevo  -  102 vendidos,"Quito, Pichincha ( Quito )",8 Años,98% de compradores lo recomiendan,Efectivo
21,Computador Cpu Intel Core I7 3.6 7ma Gen 2tb 4gb Led 20 Dvd,Computadoras y Servidores,697.0,Nuevo  -  2 vendidos,"Quito, Pichincha ( Quito )",2 Años,94% de compradores lo recomiendan,Tarjeta de Crédito
22,"Computadora Cpu Completo Intel Dual Core 2tb 4gb, I3/i5/i7",Computadoras y Servidores,499.0,Nuevo  -  2 vendidos,"Quito, Pichincha ( Quito )",2 Años,94% de compradores lo recomiendan,Tarjeta de Crédito
23,"Cyber 5 Computadoras Core I3 (con Accesorios, Instalación)",Computadoras y Servidores,1.67,Usado  -  2 vendidos,"Santo Domingo, Santo Domingo de los Tsáchilas",2 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
24,Cyber Kitts 5 Equipos Core I5 Instalacion Gratis,Computadoras y Servidores,1.778,Usado  -  1 vendido,"Santo Domingo, Santo Domingo de los Tsáchilas",1 Año,,Tarjeta de Crédito
25,"Computadora Intel Core I3 3.9 7ma 2tb 4gb Led 20 Cpu, I5/i7",Computadoras y Servidores,419.0,Nuevo  -  3 vendidos,"Quito, Pichincha ( Quito )",2 Años,94% de compradores lo recomiendan,Tarjeta de Crédito
26,Dell 3467 Core I3 4gb 1tb Dvdw Septima Generacion W10 Nuevas,Computadoras y Servidores,449.0,Nuevo  -  7 vendidos,"Quito, Pichincha ( Quito )",2 Años,,Tarjeta de Crédito
27,Super Cpu Intel Core I3 Octava Gen 3.6 Ghz 4gb 500gb Nuevos,Computadoras y Servidores,319.0,Nuevo  -  15 vendidos,"Quito, Pichincha ( Quito )",2 Años,,Tarjeta de Crédito
28,Computador Cpu I7 7700 3.6 Led 20 2 Tera 4gb Dvd Garantia,Computadoras y Servidores,645.0,Nuevo  -  278 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
29,"Computador Escritorio 7ta Generacióni3,i5,i7 Cotice El Suyo",Computadoras y Servidores,490.0,Nuevo  -  54 vendidos,"Quito, Pichincha ( Quito )",13 Años,98% de compradores lo recomiendan,Efectivo
30,Monitor 17 Hd Led / Nuevo En Caja,Computadoras y Servidores,69.0,Nuevo  -  59 vendidos,"Quito, Pichincha ( Quito )",3 Años,97% de compradores lo recomiendan,
31,Servidor Hp Proliant Ml110 Gen10 16gb 4tb Server Intel Xeon,Computadoras y Servidores,1.587,Nuevo  -  15 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Efectivo
32,Computador Intel Core I7 8700 8va Gen D.d 1tb M 4gb Led 20,Computadoras y Servidores,759.0,Nuevo  -  86 vendidos,"Quito, Pichincha ( Quito )",4 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
33,Pc Gamer I7 8700k Gtx1080 64gb 480gb Ssd Led 23 1tb Cpu I9,Computadoras y Servidores,3.875,Nuevo  -  34 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
34,Promocion Computadora De Escritorio +impresora + Escritorio,Computadoras y Servidores,439.0,Nuevo  -  68 vendidos,"Quito, Pichincha ( Quito )",13 Años,98% de compradores lo recomiendan,Efectivo
35,"Pc Hp Compaq Dc 5750 + Monitor 17 +teclado,mouse",Computadoras y Servidores,145.0,Usado  -  48 vendidos,"Quito, Pichincha ( Quito )",5 Años,95% de compradores lo recomiendan,
36,Pc Computadora Gamer Intel G4560 8gb Video Gt1030 Monitor 20,Computadoras y Servidores,695.0,Nuevo  -  37 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
37,Primera Pc Gamer 8gb Ram Dual Cpu Video 2gb Juegos Computado,Computadoras y Servidores,499.0,Nuevo  -  32 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
38,Cpu I7-7700-16gb Ram / 2 Teras / Mb Asus Gigaby / 4gb Video,Computadoras y Servidores,850.0,Nuevo  -  83 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
39,Computador Cpu Intel Core I5 D.500gb 8gb Ram Tarj V 2gb,Computadoras y Servidores,346.0,Nuevo  -  24 vendidos,"Quito, Pichincha ( Quito )",1 Año,98% de compradores lo recomiendan,Efectivo
40,Laptop I7 Dell Alienware 17 R4 Gamer Gtx1080 1.3tb 32gb Gami,Computadoras y Servidores,3.75,Nuevo  -  16 vendidos,"Guayaquil, Guayas",4 Años,100% de compradores lo recomiendan,Tarjeta de Crédito
41,Led 20 Pc Gamer Ryzen 5 8gb Gtx 1050ti Computadora I 5 7,Computadoras y Servidores,997.0,Nuevo  -  23 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
42,"Combo Case Altek Case, Teclado,mouse,parlantes,fuente !!new!",Computadoras y Servidores,34.0,Nuevo  -  67 vendidos,"Quito, Pichincha ( Quito )",8 Años,98% de compradores lo recomiendan,Efectivo
43,Cpu Intel Core I3 7100 3.9 7ta Gene. 320gb 4gb Nuevo Garanti,Computadoras y Servidores,309.0,Nuevo  -  59 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
44,Hp Intel Dual Core+500gb+4gb+15.6pl+win10+eddd,Computadoras y Servidores,319.0,Nuevo  -  17 vendidos,"Quito, Pichincha ( Quito )",3 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
45,"Computador Intel Core I3 Dd 500gb M 4gb Led 20, I5 ,i7 Ofer",Computadoras y Servidores,379.0,Nuevo  -  40 vendidos,"Quito, Pichincha ( Quito )",4 Años,98% de compradores lo recomiendan,
46,Pc Intel Dual Core 4gb 500gb Hdmi Computador Cpu Nueva I 3 5,Computadoras y Servidores,234.0,Nuevo  -  46 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Efectivo
47,All In One Hp 500 Disco - 4gb Ram - 20 Pulgadas - Win 10,Computadoras y Servidores,449.0,Nuevo  -  15 vendidos,"Quito, Pichincha ( Quito )",10 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
48,Mini Pc Intel Monitor Dual Core 4gb 500gb Wifi Brix Hdmi Nuc,Computadoras y Servidores,449.0,Nuevo  -  5 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
49,Computador Nuevo Completo Para Cyber Oficina Hogar,Computadoras y Servidores,250.0,Nuevo  -  41 vendidos,"Quito, Pichincha ( Quito )",5 Años,96% de compradores lo recomiendan,Tarjeta de Crédito
50,"Pc Gamer Core I5 7400, 8gb, Video Gt 1030 Computador I3 I7",Computadoras y Servidores,725.0,Nuevo  -  4 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
51,Cpu Core I5 4gb Ram Disco 500gb Karaoke/series/peliculas,Computadoras y Servidores,265.0,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",1 Año,,Tarjeta de Crédito
52,"Osciloscopio De Mano, Multimetro, Cinco En Uno Marca Hantek",Computadoras y Servidores,660.0,Nuevo,"Quito, Pichincha ( Quito )",3 Años,100% de compradores lo recomiendan,Tarjeta de Crédito
53,"Computador Cpu Intel Core I5 D500gb 8gb Ram Tarj V2gb, I7",Computadoras y Servidores,347.0,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",,,Efectivo
54,"Cpu Intel Core 2 Quad De 2.83ghz ,12mb Cache",Computadoras y Servidores,170.0,Usado  -  2 vendidos,"Quito, Pichincha ( Quito )",5 Años,95% de compradores lo recomiendan,Tarjeta de Crédito
55,"Computador Cpu Intel Core I3 Disco 500gb M 4gb, I5 ,i7",Computadoras y Servidores,239.0,Nuevo  -  3 vendidos,"Quito, Pichincha ( Quito )",,,Efectivo
56,Centro De Computo Con Equipos Virtualizacion,Computadoras y Servidores,188.0,Nuevo  -  2 vendidos,"Quito, Pichincha ( Quito )",3 Años,,Tarjeta de Crédito
57,Cpu Intel Core I3 7100 3.9 2000gb 4gb Dvd Writer,Computadoras y Servidores,325.0,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Tarjeta de Crédito
58,Caja De Paso Beaucoup Rapid Lock Metalico I-0223 Ip-20 Cctv,Computadoras y Servidores,15.0,Nuevo  -  4 vendidos,"Quito, Pichincha ( Quito )",1 Año,99% de compradores lo recomiendan,Efectivo
59,"Pc De Escritorio Intel I3, 7ma Gen+4gb+500+monitor 19 Nueva",Computadoras y Servidores,399.0,Nuevo  -  148 vendidos,"Quito, Pichincha ( Quito )",3 Años,96% de compradores lo recomiendan,Efectivo
60,"Asus Vivobook Intel Core I5, 8gb Ram, 1tb Hdd, Usb-c Liviana",Computadoras y Servidores,850.0,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",14 Años,100% de compradores lo recomiendan,Efectivo
61,Control Remoto Proyectores Epson Nec,Computadoras y Servidores,45.0,Usado,"Quito, Pichincha ( Quito )",4 Años,100% de compradores lo recomiendan,Efectivo
62,Intel Nuc Procesador Dual Core Intel® I5 7ma Generació,Computadoras y Servidores,518.0,Nuevo,"Quito, Pichincha ( Quito )",11 Años,99% de compradores lo recomiendan,Tarjeta de Crédito
63,"Server Servidor Dell T130 Intel Xeon 16gb | 2 Discos 2tb, Hp",Computadoras y Servidores,1.645,Nuevo,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
64,Gateway Grandstream Gxw4108 8 Puertos,Computadoras y Servidores,150.0,Usado,"Guayaquil, Guayas",,,Efectivo
65,"Disco Duro Para Servidor Hp N° De Parte 658102 , Garantía",Computadoras y Servidores,200.0,Nuevo,"Guayaquil, Guayas",5 Años,,Efectivo
66,"Bateria Seca De 12v 9a, Recargable",Computadoras y Servidores,1.0,Nuevo,"Guayaquil, Guayas",1 Año,,Efectivo
67,Hp Laptop 15 Plg I3,Computadoras y Servidores,485.0,Nuevo,"Quito, Pichincha ( Quito )",8 Años,,
68,Servidor Intel Xeon 16gb 2tb Lenovo Ts150 Server Hp Dell,Computadoras y Servidores,1.3869999999999998,Nuevo,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
69,Servidor Hp Proliant Ml30 Gen9 Intel Xeon 1tb Server Pc I7,Computadoras y Servidores,1.157,Nuevo  -  5 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
70,Toshiba Core I7 3ra Generación Con Video Dedicado,Computadoras y Servidores,500.0,Usado,"Quito, Pichincha ( Quito )",7 Años,,Efectivo
71,Cpu Corei3 4ta 4gb Ram 500 Disco Nuevo,Computadoras y Servidores,290.0,Nuevo,"Quito, Pichincha ( Quito )",1 Año,100% de compradores lo recomiendan,Efectivo
72,Servidor Rack Cisco Ucs C240 M4 2x Cpu Xeon Ram 16gb Hhd 2tb,Computadoras y Servidores,5.0,Nuevo,"Quito, Pichincha ( Quito )",10 Años,99% de compradores lo recomiendan,Tarjeta de Crédito
73,Laptop Ultrabook Vizio I5 15.6 4gb Ram 128gb Ssd,Computadoras y Servidores,450.0,Usado,"Guayaquil, Guayas",9 Años,,Efectivo
74,Rack De Piso Beaucoup 42ur Cerrado (i-1260) 1920m*600*800 Mm,Computadoras y Servidores,694.0,Nuevo  -  3 vendidos,"Quito, Pichincha ( Quito )",1 Año,99% de compradores lo recomiendan,Efectivo
75,Computadora Para Renault Logan Sandero,Computadoras y Servidores,340.0,Usado  -  3 vendidos,"Quito, Pichincha ( Quito )",8 Años,,Tarjeta de Crédito
76,All In One Hp 22-b013+1tb Disco+ 4gb Ram+ 22 Pulg+ Dvdwr+w10,Computadoras y Servidores,549.0,Nuevo  -  2 vendidos,"Guayaquil, Guayas",3 Años,94% de compradores lo recomiendan,Tarjeta de Crédito
77,Case Gamer Kevlar Ftx 17 I3 I5 I7 Incluye Iva,Computadoras y Servidores,167.0,Nuevo  -  4 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
78,"Dell R210 Ii, Servidor Rack 1u",Computadoras y Servidores,599.0,Usado  -  2 vendidos,"Quito, Pichincha ( Quito )",4 Años,,Tarjeta de Crédito
