,company,title,location,summary,salary,href,rate,reviews,org_salary_period
76,Kids on 45th,1,1,1,1,1,1,1,1
77,King County,2,2,2,2,2,2,2,2
78,King County Housing Authority,64,64,64,64,64,64,64,64
79,LaGuardia Community College,1,1,1,1,1,1,1,1
80,Lease Advisors,66,66,66,66,66,66,66,66
81,"Lenmar Consulting, Inc.",1,1,1,1,1,1,1,1
82,Lennon Wright Associates,4,4,4,4,4,4,4,4
83,Liberty Mutual,2,2,2,2,2,2,2,2
84,MINDPORTS AI,2,2,2,2,2,2,2,2
85,Marccx Media,2,2,2,2,2,2,2,2
86,Mei Messaging,3,3,3,3,3,3,3,3
87,Mercury Data Science,2,2,2,2,2,2,2,2
88,MetroPlus Health Plan,1,1,1,1,1,1,1,1
89,Metropolitan Transportation Commission,2,2,2,2,2,2,2,2
90,Miami Dade College,1,1,1,1,1,1,1,1
91,Mobile Programming,1,1,1,1,1,1,1,1
92,Momentum Staffing Group,1,1,1,1,1,1,1,1
93,Muckleshoot Indian Tribe,3,3,3,3,3,3,3,3
94,Myntra Pvt Ltd,1,1,1,1,1,1,1,1
95,National Security Agency,3,3,3,3,3,3,3,3
96,Naval Air Warfare Center Training Systems Division,1,1,1,1,1,1,1,1
97,Net-Consultants,5,5,5,5,5,5,5,5
98,New York City ADMIN FOR CHILDREN'S SVCS,1,1,1,1,1,1,1,1
99,New York City BOARD OF CORRECTION,2,2,2,2,2,2,2,2
100,New York City DEPARTMENT OF SANITATION,1,1,1,1,1,1,1,1
101,New York City DEPARTMENT OF TRANSPORTATION,1,1,1,1,1,1,1,1
102,New York City DEPT OF CITYWIDE ADMIN SVCS,2,2,2,2,2,2,2,2
103,New York City DEPT OF DESIGN & CONSTRUCTION,1,1,1,1,1,1,1,1
104,New York City DEPT OF ENVIRONMENT PROTECTION,6,6,6,6,6,6,6,6
105,New York City DEPT OF HEALTH/MENTAL HYGIENE,19,19,19,19,19,19,19,19
106,New York City HRA/DEPT OF SOCIAL SERVICES,2,2,2,2,2,2,2,2
107,New York City HUMAN RIGHTS COMMISSION,2,2,2,2,2,2,2,2
108,New York City OFFICE OF MANAGEMENT & BUDGET,2,2,2,2,2,2,2,2
109,New York City POLICE DEPARTMENT,1,1,1,1,1,1,1,1
110,New York State Psychiatry Institute,2,2,2,2,2,2,2,2
111,North Orange County Community College District (NO...,1,1,1,1,1,1,1,1
112,Oakton Community College,1,1,1,1,1,1,1,1
113,Octane Lending,1,1,1,1,1,1,1,1
114,OfficeTeam,1,1,1,1,1,1,1,1
115,On-Board Companies,1,1,1,1,1,1,1,1
116,Oregon Health & Science University,2,2,2,2,2,2,2,2
117,PT Consultants Inc.,4,4,4,4,4,4,4,4
118,Patrick & Associates,1,1,1,1,1,1,1,1
119,Payette Group,1,1,1,1,1,1,1,1
120,Peritus INC.,1,1,1,1,1,1,1,1
121,Philip J. Boren Inc.,1,1,1,1,1,1,1,1
122,Piper Companies,1,1,1,1,1,1,1,1
123,Polymath Blockchain,1,1,1,1,1,1,1,1
124,Porcaro Stolarek Mete Partners LLC,2,2,2,2,2,2,2,2
125,"PreCyte, Inc.",1,1,1,1,1,1,1,1
126,Premier Client,1,1,1,1,1,1,1,1
127,ProFocus,1,1,1,1,1,1,1,1
128,Pure Search on behalf of an Investment Firm,4,4,4,4,4,4,4,4
129,QuantConnect,2,2,2,2,2,2,2,2
130,Quest Groups LLC,4,4,4,4,4,4,4,4
131,Radiant Recruiting Services,1,1,1,1,1,1,1,1
132,"Research Foundation for Mental Hygiene, Inc.",4,4,4,4,4,4,4,4
133,Research Foundation of SUNY,1,1,1,1,1,1,1,1
134,Research Foundation of The City University of New...,3,3,3,3,3,3,3,3
135,"RiGi Group, LLC",51,51,51,51,51,51,51,51
136,Riskpulse,2,2,2,2,2,2,2,2
137,Riverway Business Services,1,1,1,1,1,1,1,1
138,Roc,2,2,2,2,2,2,2,2
139,Rouse Services,1,1,1,1,1,1,1,1
140,"S.F.EXPRESS CO.,LTD.",1,1,1,1,1,1,1,1
141,SE2S,2,2,2,2,2,2,2,2
142,SFL Scientific,1,1,1,1,1,1,1,1
143,SSN Group,2,2,2,2,2,2,2,2
144,Saddle Butte Systems,1,1,1,1,1,1,1,1
145,Salish Sea Expeditions,1,1,1,1,1,1,1,1
146,Seattle Community Colleges,1,1,1,1,1,1,1,1
147,Senseye,1,1,1,1,1,1,1,1
148,ServerLogic,1,1,1,1,1,1,1,1
149,SmartHop,2,2,2,2,2,2,2,2
150,Smith Hanley Associates,2,2,2,2,2,2,2,2
151,Standard Homeopathic Company / Hyland's,1,1,1,1,1,1,1,1
152,State of Washington Dept. of Ecology,1,1,1,1,1,1,1,1
153,State of Washington Dept. of Fish and Wildlife,1,1,1,1,1,1,1,1
154,Strategic Employment Partners,3,3,3,3,3,3,3,3
155,StreetID,2,2,2,2,2,2,2,2
156,SyaRose Technology Services Inc.,1,1,1,1,1,1,1,1
157,Synchrony,1,1,1,1,1,1,1,1
158,Tagup Inc.,1,1,1,1,1,1,1,1
159,Tandem Recruiting Group,1,1,1,1,1,1,1,1
160,Tech talenta,1,1,1,1,1,1,1,1
161,TekHiring.com,1,1,1,1,1,1,1,1
162,"The Hagan-Ricci Group, Inc.",2,2,2,2,2,2,2,2
163,The Norland Group,1,1,1,1,1,1,1,1
164,The State of Florida,2,2,2,2,2,2,2,2
165,The University of Pittsburgh,1,1,1,1,1,1,1,1
166,Thinkful,124,124,124,124,124,124,124,124
167,Total Brain,1,1,1,1,1,1,1,1
168,Tsalach Corporate Finance,1,1,1,1,1,1,1,1
169,Twine,1,1,1,1,1,1,1,1
170,U.S. Federal Government,1,1,1,1,1,1,1,1
171,US Department of Defense,1,1,1,1,1,1,1,1
172,US Department of the Navy,1,1,1,1,1,1,1,1
173,USC,1,1,1,1,1,1,1,1
174,United States District Court,1,1,1,1,1,1,1,1
175,University of California - San Francisco,1,1,1,1,1,1,1,1
176,University of California Berkeley,2,2,2,2,2,2,2,2
177,University of Houston,3,3,3,3,3,3,3,3
178,University of Miami,5,5,5,5,5,5,5,5
179,University of Texas at Austin,4,4,4,4,4,4,4,4
180,University of Washington,11,11,11,11,11,11,11,11
181,User Research International,1,1,1,1,1,1,1,1
182,Veear Projects,2,2,2,2,2,2,2,2
183,VeraData,1,1,1,1,1,1,1,1
184,Workbridge Associates,24,24,24,24,24,24,24,24
185,Wyzoo,2,2,2,2,2,2,2,2
186,XOS,1,1,1,1,1,1,1,1
187,Zenabi,1,1,1,1,1,1,1,1
188,pymetrics,1,1,1,1,1,1,1,1
189,the Osborne Association,1,1,1,1,1,1,1,1
