station,datetime,obs_type,obs_value,TMAX_F,month,country_code
CA006153192,129,1315,-9,16,1,5
CA006166416,117,1315,-9,16,1,5
GME00125218,1231,1315,-9,16,12,10
SZ000006717,1211,1315,-9,16,12,12
SZ000006717,1124,1315,-8,17,11,12
CA006150689,121,1315,-8,17,1,5
CA006158350,1214,1315,-8,17,12,5
CA006110549,117,1315,-8,17,1,5
CA006106362,1217,1315,-8,17,12,5
CA006158350,117,1315,-8,17,1,5
CA006101872,1216,1315,-8,17,12,5
CA006110549,1230,1315,-8,17,12,5
CA006101872,107,1315,-8,17,1,5
CA006139520,130,1315,-8,17,1,5
CA006137735,1214,1315,-8,17,12,5
CA006148100,1214,1315,-8,17,12,5
CA006166416,1211,1315,-8,17,12,5
CA006158350,113,1315,-8,17,1,5
CA006110549,115,1315,-8,17,1,5
CA006158350,1218,1315,-8,17,12,5
CA006158350,1130,1315,-8,17,11,5
CA006110549,1211,1315,-8,17,12,5
CA006137735,129,1315,-8,17,1,5
SZ000006717,101,1315,-8,17,1,12
CA006139520,119,1315,-8,18,1,5
CA006139520,314,1315,-8,18,3,5
CA006166416,108,1315,-8,18,1,5
CA006139520,1130,1315,-8,18,11,5
CA006150689,129,1315,-8,18,1,5
SZ000006717,1005,1315,-8,18,10,12
CA006101872,1204,1315,-8,18,12,5
USC00288878,130,1315,-8,18,1,14
CA006106362,1205,1315,-8,18,12,5
USC00288878,1214,1315,-8,18,12,14
CA006110549,1209,1315,-8,18,12,5
USC00288878,1213,1315,-8,18,12,14
CA006153192,118,1315,-8,18,1,5
CA006150689,116,1315,-8,18,1,5
CA006166416,110,1315,-8,18,1,5
CA006150689,110,1315,-8,18,1,5
CA006106362,223,1315,-8,18,2,5
CA006153192,1212,1315,-8,18,12,5
SZ000006717,1006,1315,-8,18,10,12
EZE00100082,1231,1315,-8,18,12,8
SZ000006717,303,1315,-7,19,3,12
SZ000006717,1004,1315,-7,19,10,12
SZ000006717,113,1315,-7,19,1,12
CA006166416,1217,1315,-7,19,12,5
CA006166416,1118,1315,-7,19,11,5
CA006122845,115,1315,-7,19,1,5
CA006106362,1220,1315,-7,19,12,5
CA006106362,314,1315,-7,19,3,5
CA006110549,116,1315,-7,19,1,5
CA006101872,1217,1315,-7,19,12,5
CA006101872,225,1315,-7,19,2,5
CA006139520,117,1315,-7,19,1,5
CA006110549,127,1315,-7,19,1,5
CA006139520,118,1315,-7,19,1,5
CA006106362,122,1315,-7,19,1,5
CA006106362,225,1315,-7,19,2,5
CA006139520,102,1315,-7,19,1,5
CA006110549,1215,1315,-7,19,12,5
CA006166416,102,1315,-7,19,1,5
CA006106362,1216,1315,-7,19,12,5
SZ000006717,1229,1315,-7,19,12,12
SZ000006717,401,1315,-7,20,4,12
SZ000006717,204,1315,-7,20,2,12
CA006137735,1219,1315,-7,20,12,5
CA006166416,111,1315,-7,20,1,5
CA006153192,130,1315,-7,20,1,5
CA006110549,1130,1315,-7,20,11,5
CA006122845,1219,1315,-7,20,12,5
SZ000006717,1218,1315,-7,20,12,12
CA006122845,118,1315,-7,20,1,5
CA006110549,121,1315,-7,20,1,5
CA006158350,130,1315,-7,20,1,5
USC00288878,1212,1315,-7,20,12,14
CA006122845,129,1315,-7,20,1,5
CA006106362,1225,1315,-7,20,12,5
CA006158350,1211,1315,-7,20,12,5
SZ000006717,1009,1315,-7,20,10,12
CA006153192,115,1315,-7,20,1,5
CA006110549,120,1315,-7,20,1,5
CA006106362,219,1315,-7,20,2,5
CA006158350,102,1315,-7,20,1,5
CA006166416,314,1315,-7,20,3,5
CA006110549,114,1315,-7,20,1,5
CA006137735,314,1315,-7,20,3,5
CA006110549,314,1315,-7,20,3,5
SZ000006717,1212,1315,-7,20,12,12
CA006106362,202,1315,-7,20,2,5
CA006150689,122,1315,-7,20,1,5
CA006122845,121,1315,-7,20,1,5
CA006158350,121,1315,-7,20,1,5
CA006101872,122,1315,-7,20,1,5
SZ000006717,1214,1315,-7,20,12,12
CA006150689,108,1315,-7,20,1,5
SZ000006717,1125,1315,-7,20,11,12
GME00125218,1209,1315,-6,20,12,10
SZ000006717,1228,1315,-6,20,12,12
SZ000006717,524,1315,-6,20,5,12
SZ000006717,212,1315,-6,20,2,12
GM000004204,1231,1315,-6,21,12,9
SZ000006717,1227,1315,-6,21,12,12
CA006166416,109,1315,-6,21,1,5
CA006101872,219,1315,-6,21,2,5
CA006150689,111,1315,-6,21,1,5
CA006166416,121,1315,-6,21,1,5
CA006166416,122,1315,-6,21,1,5
SZ000006717,105,1315,-6,21,1,12
CA006106362,222,1315,-6,21,2,5
CA006158350,314,1315,-6,21,3,5
CA006106362,205,1315,-6,21,2,5
CA006153192,119,1315,-6,21,1,5
CA006139520,112,1315,-6,21,1,5
CA006122845,119,1315,-6,21,1,5
CA006139520,101,1315,-6,21,1,5
CA006101872,306,1315,-6,21,3,5
CA006150689,220,1315,-6,21,2,5
CA006101872,1119,1315,-6,21,11,5
BE000006447,121,1315,-6,21,1,4
SZ000006717,214,1315,-6,21,2,12
SZ000006717,119,1315,-6,21,1,12
SZ000006717,205,1315,-6,21,2,12
SZ000006717,308,1315,-6,22,3,12
SZ000006717,1011,1315,-6,22,10,12
CA006158350,1230,1315,-6,22,12,5
CA006166416,1231,1315,-6,22,12,5
CA006153192,112,1315,-6,22,1,5
CA006150689,109,1315,-6,22,1,5
CA006106362,1118,1315,-6,22,11,5
CA006166416,128,1315,-6,22,1,5
CA006110549,1118,1315,-6,22,11,5
CA006158350,107,1315,-6,22,1,5
CA006139520,128,1315,-6,22,1,5
CA006106362,1221,1315,-6,22,12,5
CA006139520,115,1315,-6,22,1,5
CA006110549,108,1315,-6,22,1,5
CA006158350,128,1315,-6,22,1,5
USC00288878,119,1315,-6,22,1,14
CA006110549,122,1315,-6,22,1,5
CA006150689,315,1315,-6,22,3,5
CA006137735,112,1315,-6,22,1,5
CA006158350,127,1315,-6,22,1,5
CA006158350,108,1315,-6,22,1,5
CA006153192,314,1315,-6,22,3,5
CA006150689,1216,1315,-6,22,12,5
CA006106362,101,1315,-6,22,1,5
CA006106362,125,1315,-6,22,1,5
CA006122845,112,1315,-6,22,1,5
CA006166416,1204,1315,-6,22,12,5
CA006153192,121,1315,-6,22,1,5
UK000047811,103,1315,-6,22,1,13
CA006110549,1217,1315,-6,22,12,5
USC00288878,120,1315,-6,22,1,14
CA006110549,1219,1315,-6,22,12,5
CA006158350,303,1315,-6,22,3,5
USC00288878,118,1315,-6,22,1,14
CA006101872,221,1315,-6,22,2,5
SZ000006717,501,1315,-6,22,5,12
USC00288878,116,1315,-6,22,1,14
CA006110549,111,1315,-6,22,1,5
CA006101872,307,1315,-6,22,3,5
CA006158350,1215,1315,-6,22,12,5
CA006122845,130,1315,-6,22,1,5
CA006122845,1214,1315,-6,22,12,5
CA006122845,110,1315,-6,22,1,5
CA006101872,222,1315,-6,22,2,5
CA006101872,1118,1315,-6,22,11,5
CA006150689,1204,1315,-6,22,12,5
CA006148100,1130,1315,-6,22,11,5
SZ000006717,126,1315,-6,22,1,12
SZ000006717,305,1315,-5,22,3,12
AU000005901,106,1315,-5,22,1,3
AU000005901,107,1315,-5,22,1,3
SZ000006717,1222,1315,-5,22,12,12
UK000056225,103,1315,-5,22,1,13
SZ000006717,1103,1315,-5,22,11,12
AU000005901,1222,1315,-5,22,12,3
EZE00100082,106,1315,-5,23,1,8
CA006150689,221,1315,-5,23,2,5
CA006153192,114,1315,-5,23,1,5
CA006166416,101,1315,-5,23,1,5
CA006166416,103,1315,-5,23,1,5
CA006158350,1208,1315,-5,23,12,5
CA006158350,110,1315,-5,23,1,5
CA006148100,1209,1315,-5,23,12,5
CA006148100,1204,1315,-5,23,12,5
SZ000006717,201,1315,-5,23,2,12
CA006106362,1230,1315,-5,23,12,5
CA006110549,125,1315,-5,23,1,5
CA006158350,122,1315,-5,23,1,5
CA006153192,1214,1315,-5,23,12,5
CA006122845,314,1315,-5,23,3,5
CA006122845,114,1315,-5,23,1,5
CA006137735,114,1315,-5,23,1,5
CA006137735,315,1315,-5,23,3,5
GM000004204,121,1315,-5,23,1,9
CA006153192,1219,1315,-5,23,12,5
CA006158350,120,1315,-5,23,1,5
SZ000006717,1201,1315,-5,23,12,12
CA006139520,111,1315,-5,23,1,5
CA006101872,1230,1315,-5,23,12,5
CA006110549,128,1315,-5,23,1,5
CA006150689,1217,1315,-5,23,12,5
CA006106362,1119,1315,-5,23,11,5
CA006137735,102,1315,-5,23,1,5
CA006150689,219,1315,-5,23,2,5
GME00125218,122,1315,-5,23,1,10
GME00125218,121,1315,-5,23,1,10
SZ000006717,228,1315,-5,23,2,12
SZ000006717,304,1315,-5,23,3,12
SZ000006717,1012,1315,-5,23,10,12
GME00125218,106,1315,-5,23,1,10
EZE00100082,121,1315,-5,23,1,8
SZ000006717,1113,1315,-5,24,11,12
EZE00100082,1210,1315,-5,24,12,8
SZ000006717,1013,1315,-4,24,10,12
SZ000006717,1128,1315,-4,24,11,12
SZ000006717,215,1315,-4,24,2,12
CA006166416,220,1315,-4,24,2,5
CA006148100,1218,1315,-4,24,12,5
CA006106362,227,1315,-4,24,2,5
CA006110549,303,1315,-4,24,3,5
CA006148100,1211,1315,-4,24,12,5
CA006166416,1216,1315,-4,24,12,5
CA006150689,1231,1315,-4,24,12,5
CA006148100,1216,1315,-4,24,12,5
CA006158350,116,1315,-4,24,1,5
CA006139520,122,1315,-4,24,1,5
USC00288878,129,1315,-4,24,1,14
CA006110549,107,1315,-4,24,1,5
CA006139520,1214,1315,-4,24,12,5
GM000004204,106,1315,-4,24,1,9
CA006110549,1201,1315,-4,24,12,5
CA006139520,123,1315,-4,24,1,5
CA006158350,1210,1315,-4,24,12,5
CA006166416,221,1315,-4,24,2,5
CA006110549,110,1315,-4,24,1,5
CA006153192,102,1315,-4,24,1,5
CA006101872,315,1315,-4,24,3,5
CA006101872,223,1315,-4,24,2,5
CA006166416,125,1315,-4,24,1,5
CA006148100,315,1315,-4,24,3,5
CA006166416,315,1315,-4,24,3,5
AU000005901,120,1315,-4,24,1,3
BE000006447,120,1315,-4,24,1,4
CA006158350,318,1315,-4,24,3,5
CA006150689,102,1315,-4,24,1,5
CA006166416,124,1315,-4,24,1,5
CA006110549,123,1315,-4,24,1,5
CA006158350,111,1315,-4,24,1,5
SZ000006717,227,1315,-4,24,2,12
SZ000006717,106,1315,-4,24,1,12
SZ000006717,114,1315,-4,24,1,12
SZ000006717,109,1315,-4,24,1,12
SZ000006717,111,1315,-4,25,1,12
SZ000006717,1223,1315,-4,25,12,12
EZE00100082,123,1315,-4,25,1,8
SZ000006717,216,1315,-4,25,2,12
SZ000006717,1105,1315,-4,25,11,12
CA006153192,117,1315,-4,25,1,5
CA006166416,123,1315,-4,25,1,5
CA006150689,1210,1315,-4,25,12,5
CA006122845,117,1315,-4,25,1,5
CA006158350,225,1315,-4,25,2,5
CA006101872,226,1315,-4,25,2,5
CA006166416,1210,1315,-4,25,12,5
CA006101872,1205,1315,-4,25,12,5
CA006158350,1204,1315,-4,25,12,5
CA006153192,122,1315,-4,25,1,5
SZ000006717,1127,1315,-4,25,11,12
CA006106362,315,1315,-4,25,3,5
CA006122845,315,1315,-4,25,3,5
USC00288878,1219,1315,-4,25,12,14
CA006158350,1219,1315,-4,25,12,5
CA006139520,1219,1315,-4,25,12,5
CA006148100,221,1315,-4,25,2,5
CA006137735,111,1315,-4,25,1,5
CA006122845,111,1315,-4,25,1,5
USC00288878,115,1315,-4,25,1,14
CA006101872,1231,1315,-4,25,12,5
CA006139520,110,1315,-4,25,1,5
CA006139520,121,1315,-4,25,1,5
CA006110549,109,1315,-4,25,1,5
CA006166416,1119,1315,-4,25,11,5
CA006137735,116,1315,-4,25,1,5
CA006139520,108,1315,-4,25,1,5
CA006137735,122,1315,-4,25,1,5
CA006166416,107,1315,-4,25,1,5
CA006148100,304,1315,-4,25,3,5
CA006122845,304,1315,-4,25,3,5
BE000006447,1231,1315,-4,25,12,4
CA006137735,121,1315,-4,25,1,5
CA006101872,125,1315,-4,25,1,5
AU000005901,121,1315,-4,25,1,3
BE000006447,1209,1315,-4,25,12,4
SZ000006717,1120,1315,-4,25,11,12
AU000005901,108,1315,-4,25,1,3
GME00125218,313,1315,-4,25,3,10
GM000004204,1209,1315,-4,25,12,9
SZ000006717,1217,1315,-4,25,12,12
SZ000006717,1202,1315,-4,25,12,12
EZE00100082,113,1315,-4,26,1,8
SZ000006717,1226,1315,-4,26,12,12
SZ000006717,1216,1315,-4,26,12,12
GM000004204,122,1315,-4,26,1,9
AU000005901,1209,1315,-4,26,12,3
SZ000006717,330,1315,-4,26,3,12
SZ000006717,331,1315,-4,26,3,12
GME00125218,1210,1315,-4,26,12,10
SZ000006717,131,1315,-4,26,1,12
GME00125218,120,1315,-4,26,1,10
SZ000006717,115,1315,-4,26,1,12
AU000005901,1221,1315,-4,26,12,3
EZE00100082,313,1315,-3,26,3,8
SZ000006717,221,1315,-3,26,2,12
CA006101872,205,1315,-3,26,2,5
CA006139520,116,1315,-3,26,1,5
CA006106362,105,1315,-3,26,1,5
CA006148100,318,1315,-3,26,3,5
CA006137735,1130,1315,-3,26,11,5
CA006110549,1210,1315,-3,26,12,5
CA006166416,215,1315,-3,26,2,5
CA006153192,111,1315,-3,26,1,5
CA006106362,1107,1315,-3,26,11,5
CA006101872,304,1315,-3,26,3,5
CA006106362,107,1315,-3,26,1,5
SZ000006717,122,1315,-3,26,1,12
CA006150689,107,1315,-3,26,1,5
SZ000006717,409,1315,-3,26,4,12
SZ000006717,125,1315,-3,26,1,12
CA006148100,1217,1315,-3,26,12,5
CA006158350,1216,1315,-3,26,12,5
CA006158350,1229,1315,-3,26,12,5
CA006122845,101,1315,-3,26,1,5
CA006166416,222,1315,-3,26,2,5
CA006148100,1231,1315,-3,26,12,5
CA006150689,103,1315,-3,26,1,5
CA006106362,123,1315,-3,26,1,5
GM000004204,113,1315,-3,26,1,9
CA006153192,315,1315,-3,26,3,5
CA006101872,309,1315,-3,26,3,5
CA006153192,128,1315,-3,26,1,5
CA006148100,1205,1315,-3,26,12,5
CA006148100,220,1315,-3,26,2,5
CA006122845,102,1315,-3,26,1,5
GM000004204,1210,1315,-3,26,12,9
CA006106362,103,1315,-3,26,1,5
CA006139520,114,1315,-3,26,1,5
CA006148100,222,1315,-3,26,2,5
CA006150689,1205,1315,-3,26,12,5
CA006106362,221,1315,-3,26,2,5
SZ000006717,1119,1315,-3,26,11,12
SZ000006717,422,1315,-3,26,4,12
BE000006447,104,1315,-3,26,1,4
SZ000006717,1215,1315,-3,26,12,12
EZE00100082,122,1315,-3,26,1,8
AU000005901,122,1315,-3,26,1,3
GME00125218,1206,1315,-3,27,12,10
EZE00100082,1222,1315,-3,27,12,8
EZE00100082,117,1315,-3,27,1,8
EZE00100082,1221,1315,-3,27,12,8
GME00125218,105,1315,-3,27,1,10
BE000006447,1208,1315,-3,27,12,4
SZ000006717,405,1315,-3,27,4,12
EZE00100082,120,1315,-3,27,1,8
SZ000006717,203,1315,-3,27,2,12
CA006101872,131,1315,-3,27,1,5
CA006137735,1209,1315,-3,27,12,5
EZE00100082,1227,1315,-3,27,12,8
CA006137735,1204,1315,-3,27,12,5
CA006139520,124,1315,-3,27,1,5
CA006106362,104,1315,-3,27,1,5
CA006139520,1212,1315,-3,27,12,5
CA006137735,1216,1315,-3,27,12,5
CA006122845,1216,1315,-3,27,12,5
CA006122845,108,1315,-3,27,1,5
CA006122845,103,1315,-3,27,1,5
GM000004204,105,1315,-3,27,1,9
CA006106362,102,1315,-3,27,1,5
CA006150689,128,1315,-3,27,1,5
USC00288878,128,1315,-3,27,1,14
CA006101872,123,1315,-3,27,1,5
CA006158350,101,1315,-3,27,1,5
SZ000006717,502,1315,-3,27,5,12
CA006101872,124,1315,-3,27,1,5
CA006101872,128,1315,-3,27,1,5
UK000047811,102,1315,-3,27,1,13
SZ000006717,1129,1315,-3,27,11,12
EZE00100082,105,1315,-3,27,1,8
CA006158350,103,1315,-3,27,1,5
CA006158350,1118,1315,-3,27,11,5
CA006158350,315,1315,-3,27,3,5
CA006150689,316,1315,-3,27,3,5
CA006166416,219,1315,-3,27,2,5
CA006137735,1218,1315,-3,27,12,5
USC00288878,113,1315,-3,27,1,14
UK000047811,114,1315,-3,27,1,13
CA006150689,307,1315,-3,27,3,5
CA006122845,307,1315,-3,27,3,5
CA006150689,306,1315,-3,27,3,5
CA006122845,305,1315,-3,27,3,5
CA006158350,316,1315,-3,27,3,5
CA006158350,222,1315,-3,27,2,5
CA006137735,1217,1315,-3,27,12,5
CA006166416,304,1315,-3,27,3,5
CA006158350,109,1315,-3,27,1,5
CA006122845,109,1315,-3,27,1,5
CA006150689,1118,1315,-3,27,11,5
CA006158350,304,1315,-3,27,3,5
UK000047811,116,1315,-3,27,1,13
CA006150689,1119,1315,-3,27,11,5
CA006106362,206,1315,-3,27,2,5
CA006153192,116,1315,-3,27,1,5
SZ000006717,1106,1315,-3,27,11,12
SZ000006717,1224,1315,-3,27,12,12
SZ000006717,223,1315,-3,27,2,12
SZ000006717,1118,1315,-3,27,11,12
SZ000006717,412,1315,-3,27,4,12
SZ000006717,1114,1315,-3,27,11,12
SZ000006717,406,1315,-3,27,4,12
GME00125218,117,1315,-3,27,1,10
SZ000006717,319,1315,-3,27,3,12
SZ000006717,220,1315,-3,27,2,12
GME00125218,114,1315,-2,28,1,10
SZ000006717,226,1315,-2,28,2,12
EZE00100082,1209,1315,-2,28,12,8
SZ000006717,1126,1315,-2,28,11,12
SZ000006717,129,1315,-2,28,1,12
BE000006447,1204,1315,-2,28,12,4
SZ000006717,108,1315,-2,28,1,12
GM000004204,120,1315,-2,28,1,9
SZ000006717,402,1315,-2,28,4,12
BE000006447,1227,1315,-2,28,12,4
SZ000006717,1130,1315,-2,28,11,12
GME00125218,119,1315,-2,28,1,10
BE000006447,115,1315,-2,28,1,4
GME00125218,1221,1315,-2,28,12,10
GM000004204,1205,1315,-2,28,12,9
SZ000006717,202,1315,-2,28,2,12
SZ000006717,616,1315,-2,28,6,12
GM000004204,115,1315,-2,28,1,9
BE000006447,1230,1315,-2,28,12,4
SZ000006717,219,1315,-2,28,2,12
SZ000006717,110,1315,-2,28,1,12
GM000004204,119,1315,-2,28,1,9
CA006150689,304,1315,-2,28,3,5
CA006150689,215,1315,-2,28,2,5
CA006148100,211,1315,-2,28,2,5
CA006148100,1119,1315,-2,28,11,5
CA006158350,1217,1315,-2,28,12,5
CA006101872,227,1315,-2,28,2,5
CA006150689,125,1315,-2,28,1,5
CA006110549,1216,1315,-2,28,12,5
CA006122845,128,1315,-2,28,1,5
CA006150689,222,1315,-2,28,2,5
CA006148100,327,1315,-2,28,3,5
CA006110549,202,1315,-2,28,2,5
CA006148100,316,1315,-2,28,3,5
CA006166416,307,1315,-2,28,3,5
CA006148100,202,1315,-2,28,2,5
USC00288878,1220,1315,-2,28,12,14
CA006139520,1211,1315,-2,28,12,5
CA006166416,316,1315,-2,28,3,5
CA006122845,1218,1315,-2,28,12,5
CA006139520,315,1315,-2,28,3,5
ITE00100554,1224,1315,-2,28,12,11
CA006153192,1218,1315,-2,28,12,5
CA006166416,202,1315,-2,28,2,5
CA006158350,219,1315,-2,28,2,5
CA006110549,1204,1315,-2,28,12,5
CA006166416,205,1315,-2,28,2,5
CA006148100,1210,1315,-2,28,12,5
CA006101872,202,1315,-2,28,2,5
USC00288878,1231,1315,-2,28,12,14
CA006110549,124,1315,-2,28,1,5
CA006110549,101,1315,-2,28,1,5
CA006158350,123,1315,-2,28,1,5
USC00288878,117,1315,-2,28,1,14
CA006106362,124,1315,-2,28,1,5
CA006137735,110,1315,-2,28,1,5
CA006139520,1230,1315,-2,28,12,5
EIE00101859,121,1315,-2,28,1,7
GM000004204,117,1315,-2,28,1,9
SZ000006717,1225,1315,-2,28,12,12
AU000005901,313,1315,-2,28,3,3
GME00125218,1227,1315,-2,28,12,10
GME00125218,1205,1315,-2,28,12,10
SZ000006717,324,1315,-2,28,3,12
SZ000006717,320,1315,-2,28,3,12
ITE00100554,1228,1315,-2,28,12,11
SZ000006717,1117,1315,-2,28,11,12
AU000005901,1207,1315,-2,28,12,3
SZ000006717,1008,1315,-2,28,10,12
GM000004204,114,1315,-2,28,1,9
GM000004204,313,1315,-2,28,3,9
SZ000006717,1107,1315,-2,28,11,12
ITE00100554,107,1315,-2,28,1,11
EZE00100082,114,1315,-2,28,1,8
SZ000006717,217,1315,-2,29,2,12
GM000004204,1206,1315,-2,29,12,9
EZE00100082,1206,1315,-2,29,12,8
GME00125218,1207,1315,-2,29,12,10
EZE00100082,1226,1315,-2,29,12,8
EZE00100082,1223,1315,-2,29,12,8
SZ000006717,1010,1315,-2,29,10,12
GM000004204,1221,1315,-2,29,12,9
AU000005901,105,1315,-2,29,1,3
GME00125218,115,1315,-2,29,1,10
SZ000006717,410,1315,-2,29,4,12
AU000005901,1226,1315,-2,29,12,3
AU000005901,1208,1315,-2,29,12,3
GM000004204,1207,1315,-2,29,12,9
CA006110549,221,1315,-2,29,2,5
CA006110549,222,1315,-2,29,2,5
CA006110549,102,1315,-2,29,1,5
CA006158350,124,1315,-2,29,1,5
CA006137735,128,1315,-2,29,1,5
CA006150689,124,1315,-2,29,1,5
CA006122845,327,1315,-2,29,3,5
CA006148100,326,1315,-2,29,3,5
CA006122845,328,1315,-2,29,3,5
CA006150689,327,1315,-2,29,3,5
CA006153192,110,1315,-2,29,1,5
CA006148100,215,1315,-2,29,2,5
CA006122845,123,1315,-2,29,1,5
CA006148100,205,1315,-2,29,2,5
CA006139520,1204,1315,-2,29,12,5
CA006153192,1231,1315,-2,29,12,5
USC00288878,103,1315,-2,29,1,14
CA006166416,105,1315,-2,29,1,5
CA006110549,1231,1315,-2,29,12,5
CA006139520,103,1315,-2,29,1,5
CA006139520,1205,1315,-2,29,12,5
