,Gender,Purchase ID,SN,Age,Item ID,Item Name,Price
246,Male,246,71,24,139,741828942,5
247,Male,247,95,20,82,73523342,5
248,Male,248,31,44,137,804468808,3
249,Male,249,66,20,16,669513167,4
250,Male,250,71,23,87,219401326,4
251,Male,251,80,22,23,414428959,2
252,Male,252,67,39,92,226206874,5
253,Male,253,53,21,28,787734824,1
254,Female,254,42,23,94,843566870,3
255,Male,255,82,24,71,797386557,2
256,Male,256,53,23,182,73333580,4
257,Male,257,35,26,175,838682992,4
258,Male,258,67,26,149,822114229,2
259,Male,259,29,20,72,739225162,4
260,Male,260,58,16,70,61502498,1
261,Male,261,53,24,141,450267576,3
262,Male,262,79,15,172,554040562,3
263,Male,263,43,24,78,920879661,4
264,Male,264,94,35,119,351522768,4
265,Male,265,37,25,172,554040562,3
266,Male,266,43,30,113,825913036,4
267,Female,267,51,16,41,744646939,5
268,Male,268,31,17,71,797386557,2
269,Male,269,73,15,18,714965705,5
270,Male,270,79,38,85,275162706,2
271,Male,271,92,22,166,28250470,3
272,Male,272,57,8,133,413481376,4
273,Female,273,88,15,92,226206874,5
274,Female,274,36,29,82,73523342,5
275,Male,275,35,30,173,244471155,5
276,Female,276,51,16,9,997685855,3
277,Male,277,65,24,92,226206874,5
278,Female,278,81,21,167,605662909,4
279,Male,279,83,20,163,124736099,3
280,Female,280,46,20,16,669513167,4
281,Male,281,25,19,68,758889815,4
282,Male,282,61,21,155,611983663,1
283,Female,283,72,21,9,997685855,3
284,Male,284,91,24,128,338613234,5
285,Male,285,91,26,163,124736099,3
286,Male,286,67,25,153,444295861,4
287,Male,287,56,20,5,565353081,4
288,Male,288,36,18,156,865377058,2
289,Female,289,28,25,83,913210267,3
290,Male,290,52,24,147,167583558,5
291,Other / Non-Disclosed,291,51,20,35,138328180,3
292,Male,292,93,13,70,61502498,1
293,Male,293,58,22,117,453011450,2
294,Male,294,54,37,171,295692971,2
295,Male,295,75,23,52,24820903,5
296,Female,296,93,22,65,982009714,4
297,Female,297,52,16,169,267111123,2
298,Male,298,80,25,110,525016351,1
299,Male,299,84,11,164,75593083,2
300,Male,300,70,22,136,750884342,4
301,Male,301,88,25,106,840874492,3
302,Male,302,44,20,4,152567713,2
303,Male,303,84,24,71,797386557,2
304,Male,304,71,24,181,711602024,2
305,Male,305,44,20,179,351753395,4
306,Female,306,34,24,38,52020082,2
307,Male,307,76,34,53,600868667,2
308,Male,308,73,34,98,518868787,3
309,Male,309,37,25,170,52469638,4
310,Male,310,74,30,117,453011450,2
311,Male,311,57,8,71,797386557,2
312,Male,312,87,20,147,167583558,5
313,Male,313,89,23,182,73333580,4
314,Male,314,40,24,37,822429865,3
315,Male,315,83,23,107,229439373,2
316,Male,316,89,25,15,574671402,3
317,Female,317,31,18,3,89851459,2
318,Male,318,95,20,91,513480147,4
319,Male,319,90,33,144,141959555,2
320,Male,320,72,24,77,205085349,4
321,Male,321,97,33,118,933833779,2
322,Male,322,46,18,37,822429865,3
323,Male,323,83,23,131,132203229,1
324,Male,324,56,15,154,890135075,4
325,Male,325,33,23,54,260025598,2
326,Male,326,46,25,54,260025598,2
327,Female,327,75,22,17,518511827,2
328,Male,328,63,17,152,789564432,2
329,Male,329,34,20,145,687536116,5
330,Male,330,92,23,167,605662909,4
331,Male,331,32,23,7,601090968,1
332,Male,332,89,25,161,99248079,2
333,Female,333,77,17,114,149197197,4
334,Male,334,66,21,11,19401320,4
335,Male,335,85,33,67,610913158,3
336,Female,336,89,22,45,597646552,4
337,Male,337,26,15,17,518511827,2
338,Male,338,25,22,13,2015962,1
339,Female,339,66,8,124,950882900,1
340,Male,340,75,22,41,744646939,5
341,Male,341,41,41,71,797386557,2
342,Male,342,26,21,38,52020082,2
343,Male,343,32,23,49,57700465,3
344,Male,344,41,23,19,633068368,1
345,Male,345,39,19,2,697541220,2
346,Male,346,46,18,121,842816570,2
347,Female,347,65,23,11,19401320,4
348,Male,348,36,18,38,52020082,2
349,Male,349,66,20,59,53356484,4
350,Other / Non-Disclosed,350,81,15,34,462627133,2
351,Male,351,42,21,121,842816570,2
352,Male,352,91,22,79,740628524,4
353,Male,353,76,25,174,803087096,3
354,Male,354,85,21,163,124736099,3
355,Male,355,41,15,140,585294313,3
356,Male,356,70,20,138,329192965,5
357,Female,357,25,23,37,822429865,3
358,Male,358,27,24,74,636053212,4
359,Male,359,90,18,73,36565733,2
360,Male,360,84,29,14,393374429,3
361,Male,361,98,25,19,633068368,1
362,Male,362,90,22,107,229439373,2
363,Male,363,42,25,45,597646552,4
364,Male,364,72,22,88,945290596,4
365,Male,365,44,25,43,41429997,4
366,Male,366,39,22,31,86451319,2
367,Male,367,27,30,138,329192965,5
368,Male,368,58,20,3,89851459,2
369,Female,369,25,23,137,804468808,3
370,Male,370,61,19,45,597646552,4
371,Male,371,49,23,155,611983663,1
372,Male,372,30,35,64,833537568,5
373,Male,373,42,25,103,364719454,4
374,Male,374,27,16,85,275162706,2
375,Male,375,81,25,181,711602024,2
376,Male,376,66,33,59,53356484,4
377,Male,377,71,20,11,19401320,4
378,Male,378,51,23,96,191240424,3
379,Male,379,44,18,100,947929584,3
380,Male,380,84,25,50,773491350,5
381,Male,381,70,16,83,913210267,3
382,Male,382,52,24,164,75593083,2
383,Male,383,85,34,11,19401320,4
384,Female,384,33,21,110,525016351,1
385,Male,385,75,22,29,667176105,2
386,Male,386,83,21,129,120444451,2
387,Male,387,73,26,39,795881413,4
388,Male,388,94,17,128,338613234,5
389,Male,389,53,15,157,735796697,5
