IsInitiator,WarID,PolityID,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Side,Outcome,Deaths,PolityName
1,506,0,1821,3,25,1828,4,25,506,4,3000,13
0,506,640,1821,3,25,1828,4,25,506,4,6000,14
0,507,0,1824,3,20,1824,4,0,507,1,0,15
1,507,0,1824,3,20,1824,4,0,507,2,0,16
1,508,0,1826,6,14,1826,9,30,508,2,6000,17
0,508,640,1826,6,14,1826,9,30,508,1,300,14
0,510,235,1828,7,11,1834,5,26,510,2,12000,18
0,510,200,1831,7,1,1834,5,26,510,1,100,12
1,510,0,1828,7,11,1834,5,26,510,1,8000,19
0,511,365,1830,0,0,1832,10,17,511,1,1000,0
1,511,0,1830,0,0,1832,10,17,511,2,500,20
0,512,640,1830,2,0,1831,11,0,512,1,5000,14
1,512,0,1830,2,0,1831,11,0,512,2,10000,21
1,513,0,1830,7,25,1830,7,29,513,1,1800,4
0,513,220,1830,7,25,1830,7,29,513,2,400,11
1,515,0,1830,8,25,1830,11,4,515,1,600,22
0,515,210,1830,8,25,1830,11,4,515,2,500,23
1,516,0,1831,0,0,1832,0,0,516,2,1500,15
0,516,0,1831,0,0,1832,0,0,516,1,0,24
1,517,0,1831,2,7,1831,10,18,517,2,20000,25
0,517,365,1831,2,7,1831,10,18,517,1,15000,0
0,518,640,1831,10,1,1832,12,27,518,2,8000,14
1,518,0,1831,10,1,1832,12,27,518,1,4000,26
1,520,0,1832,1,2,1832,12,11,520,1,0,4
0,520,70,1832,1,2,1832,12,11,520,2,0,27
1,521,0,1834,4,19,1834,10,0,521,2,1500,28
0,521,0,1834,4,19,1834,10,0,521,1,500,15
1,522,0,1834,7,15,1840,7,15,522,2,60000,29
0,522,235,1835,10,15,1836,2,15,522,1,50,18
0,522,230,1834,7,15,1840,7,15,522,1,65000,7
0,522,220,1835,10,31,1839,1,17,522,1,7700,11
0,522,200,1835,7,10,1837,9,1,522,1,2500,12
1,523,0,1834,9,26,1834,10,27,523,7,0,30
0,523,365,1834,9,26,1834,10,27,523,7,0,0
0,525,140,1835,1,6,1837,5,0,525,1,0,31
1,525,0,1835,1,6,1837,5,0,525,2,0,32
0,526,140,1835,9,19,1845,3,1,526,1,0,31
1,526,0,1835,9,19,1845,3,1,526,2,0,33
0,527,70,1835,10,1,1836,4,22,527,2,1500,27
1,527,0,1835,10,1,1836,4,22,527,1,700,34
0,528,640,1836,0,0,1837,0,0,528,1,0,14
1,528,0,1836,0,0,1837,0,0,528,2,0,35
0,530,365,1836,7,0,1852,0,0,530,1,15000,0
1,530,0,1836,7,0,1852,0,0,530,2,0,30
0,531,140,1837,11,7,1838,3,13,531,1,600,31
1,531,0,1837,11,7,1838,3,13,531,2,1200,36
0,532,0,1837,9,27,1838,8,22,532,1,15000,37
1,532,0,1837,9,27,1838,8,22,532,2,0,38
1,533,640,1839,6,10,1839,6,24,533,2,2000,14
0,533,0,1839,6,10,1839,6,24,533,1,1000,15
1,535,0,1840,5,27,1840,7,13,535,1,1000,39
0,535,0,1840,5,27,1840,7,13,535,2,3500,40
0,536,100,1840,7,15,1842,7,15,536,2,0,41
1,536,0,1840,7,15,1842,7,15,536,1,0,42
0,537,0,1840,9,9,1840,11,27,537,2,19000,15
0,537,640,1840,9,9,1840,11,27,537,1,8000,14
1,537,200,1840,9,9,1840,11,27,537,1,14,12
0,538,160,1841,1,1,1842,12,6,538,1,300,43
1,538,0,1841,1,1,1842,12,6,538,2,3000,44
0,540,640,1841,0,0,1841,0,0,540,1,0,14
1,540,0,1841,0,0,1841,0,0,540,2,0,35
0,541,70,1841,9,4,1841,10,6,541,2,0,27
1,541,0,1841,9,4,1841,10,6,541,1,0,45
1,542,640,1842,12,19,1843,1,13,542,1,1600,14
0,542,0,1842,12,19,1843,1,13,542,2,3000,46
1,543,0,1845,4,30,1845,5,31,543,2,2000,47
0,543,0,1845,4,30,1845,5,31,543,1,1000,38
0,545,0,1847,1,15,1848,8,16,545,4,1800,48
1,545,0,1847,1,15,1848,8,16,545,4,0,49
0,546,230,1847,5,15,1849,5,1,546,1,3000,7
1,546,0,1847,5,15,1849,5,1,546,2,7000,29
1,547,0,1848,5,15,1849,5,15,547,2,0,4
1,547,0,1848,1,12,1848,1,27,547,2,0,4
0,547,329,1848,5,15,1849,5,15,547,1,1500,6
0,547,329,1848,1,12,1848,1,27,547,1,1500,6
1,548,0,1848,2,4,1849,8,15,548,2,0,50
0,548,101,1848,2,4,1849,8,15,548,1,1500,51
0,550,300,1848,3,13,1848,10,31,550,1,249,5
1,550,0,1848,3,13,1848,10,31,550,2,3000,52
1,551,0,1848,3,18,1848,3,23,551,4,430,53
0,551,300,1848,3,18,1848,3,23,551,4,600,5
0,552,220,1848,6,23,1848,6,26,552,1,1200,11
1,552,0,1848,6,23,1848,6,26,552,2,1600,54
1,553,70,1848,8,17,1855,3,4,553,1,0,27
0,553,0,1848,8,17,1855,3,4,553,2,0,55
0,554,300,1848,9,9,1849,8,13,554,1,46000,5
0,554,365,1849,7,16,1849,8,13,554,1,14500,0
1,554,0,1848,9,9,1849,8,13,554,2,20000,56
0,555,155,1851,9,5,1851,12,15,555,1,1500,57
1,555,0,1851,9,5,1851,12,15,555,2,2500,4
1,556,640,1852,12,2,1853,3,13,556,2,0,14
0,556,0,1852,12,2,1853,3,13,556,1,0,58
0,557,135,1853,12,21,1855,1,7,557,2,0,59
1,557,0,1853,12,21,1855,1,7,557,1,0,4
0,558,70,1855,12,11,1856,3,21,558,1,600,27
1,558,0,1855,12,11,1856,3,21,558,2,3000,60
1,560,0,1856,10,31,1858,3,7,560,2,0,61
0,560,135,1856,10,31,1858,3,7,560,1,0,59
1,561,0,1858,2,15,1861,1,1,561,4,0,4
0,561,70,1858,2,15,1861,1,1,561,4,0,27
1,562,0,1858,5,4,1859,6,1,562,1,1400,62
0,562,640,1858,5,4,1859,6,1,562,2,3000,14
1,563,0,1859,2,1,1863,5,23,563,1,5000,4
0,563,101,1859,2,1,1863,5,23,563,2,15000,51
0,565,100,1860,5,15,1861,7,18,565,2,0,41
1,565,0,1860,5,15,1861,7,18,565,1,0,4
0,566,0,1860,5,26,1860,7,12,566,1,1500,38
1,566,0,1860,5,26,1860,7,12,566,2,8000,47
0,567,200,1862,3,1,1862,8,1,567,1,25,12
0,567,710,1860,10,25,1866,2,9,567,1,26000,63
1,567,0,1860,10,25,1866,2,9,567,2,85000,64
0,568,710,1860,10,25,1868,8,16,568,1,0,63
1,568,0,1860,10,25,1868,8,16,568,2,0,65
1,570,0,1860,10,25,1872,5,1,570,2,0,66
0,570,710,1860,10,25,1872,5,1,570,1,0,63
0,571,710,1860,10,25,1872,12,26,571,1,0,63
1,571,0,1860,10,25,1872,12,26,571,2,0,67
0,572,2,1861,4,10,1865,4,9,572,1,360000,68
1,572,0,1861,4,10,1865,4,9,572,2,258000,69
1,573,0,1861,8,20,1861,12,2,573,1,500,70
0,573,160,1861,8,20,1861,12,2,573,2,500,43
0,575,0,1861,12,0,1862,8,31,575,3,0,71
1,575,640,1861,12,0,1862,8,31,575,3,0,72
0,576,710,1862,5,0,1873,10,24,576,1,0,63
1,576,0,1862,5,0,1873,10,24,576,2,0,73
1,577,0,1862,8,17,1862,9,26,577,2,217,74
0,577,0,1862,8,17,1862,9,26,577,1,851,75
0,578,145,1862,9,15,1862,9,15,578,1,0,76
1,578,0,1862,9,15,1862,9,15,578,2,0,77
0,580,365,1863,1,22,1864,4,19,580,1,10000,0
1,580,0,1863,1,22,1864,4,19,580,2,6500,25
1,581,0,1863,4,2,1863,11,12,581,2,0,78
0,581,160,1863,4,2,1863,11,12,581,1,0,43
0,582,710,1864,7,0,1871,7,3,582,2,0,63
0,582,365,1871,6,24,1871,7,3,582,2,0,0
1,582,0,1864,7,0,1871,7,3,582,1,0,79
1,583,0,1866,5,29,1867,2,22,583,2,0,80
0,583,640,1866,5,29,1867,2,22,583,1,0,14
1,585,0,1866,10,0,1866,10,0,585,2,0,81
0,585,710,1866,10,0,1866,10,0,585,1,0,63
1,586,0,1866,12,15,1867,10,15,586,2,0,78
0,586,160,1866,12,15,1867,10,15,586,1,0,43
0,587,70,1867,2,6,1867,5,14,587,2,1500,27
1,587,0,1867,2,6,1867,5,14,587,1,1000,4
0,588,0,1868,1,3,1868,7,4,588,2,0,82
1,588,740,1868,1,3,1868,7,4,588,1,0,83
1,590,0,1869,8,14,1871,1,7,590,1,0,61
1,590,0,1868,1,11,1868,8,14,590,1,0,61
0,590,101,1868,1,11,1868,8,14,590,2,0,51
0,590,101,1869,8,14,1871,1,7,590,2,0,51
1,591,0,1868,9,18,1868,9,29,591,1,0,4
0,591,230,1868,9,18,1868,9,29,591,2,0,7
1,592,0,1869,2,0,1869,12,18,592,1,0,84
0,592,41,1869,2,0,1869,12,18,592,2,0,85
0,593,160,1870,5,20,1871,3,13,593,1,0,43
1,593,0,1870,5,20,1871,3,13,593,2,0,86
0,595,145,1870,11,24,1871,1,15,595,2,0,87
1,595,0,1870,11,24,1871,1,15,595,1,0,88
0,596,220,1871,4,2,1871,5,29,596,1,879,11
1,596,0,1871,4,2,1871,5,29,596,2,25000,89
1,597,0,1872,4,20,1876,2,20,597,2,43000,29
0,597,230,1872,4,20,1876,2,20,597,1,7000,7
0,598,230,1874,0,0,1875,1,0,598,1,0,7
1,598,0,1874,0,0,1875,1,0,598,2,0,90
1,600,0,1874,9,0,1874,11,6,600,2,0,91
0,600,160,1874,9,0,1874,11,6,600,1,0,43
1,601,0,1875,6,30,1876,6,29,601,4,3000,92
0,601,640,1875,6,30,1876,6,29,601,4,6000,14
0,602,70,1876,3,0,1876,11,23,602,2,1900,27
1,602,0,1876,3,0,1876,11,23,602,1,0,93
1,603,710,1876,4,0,1877,12,1,603,1,0,63
0,603,0,1876,4,0,1877,12,1,603,2,0,79
0,605,100,1876,7,26,1877,7,1,605,1,2100,41
1,605,0,1876,7,26,1877,7,1,605,2,1770,61
0,607,740,1877,1,29,1877,9,24,607,1,7000,83
1,607,0,1877,1,29,1877,9,24,607,2,10000,94
1,608,160,1879,4,6,1880,7,8,608,1,200,43
0,608,0,1879,4,6,1880,7,8,608,2,1500,95
0,610,160,1880,6,21,1880,7,21,610,1,400,43
1,610,0,1880,6,21,1880,7,21,610,2,800,70
1,611,0,1883,3,27,1884,1,8,611,2,100,4
0,611,41,1883,3,27,1884,1,8,611,1,8000,85
1,612,0,1884,11,15,1885,8,26,612,2,700,4
0,612,100,1884,11,15,1885,8,26,612,1,300,41
1,613,0,1885,3,2,1885,5,25,613,2,2000,95
0,613,135,1885,3,2,1885,5,25,613,1,200,59
1,616,0,1890,4,0,1892,9,0,616,2,0,96
0,616,640,1890,4,0,1892,9,0,616,1,0,14
1,617,0,1891,1,7,1891,8,29,617,1,700,97
0,617,155,1891,1,7,1891,8,29,617,2,1000,57
1,618,0,1891,11,11,1891,12,27,618,2,10000,98
0,618,710,1891,11,11,1891,12,27,618,1,500,63
0,620,140,1893,2,2,1894,8,31,620,1,1500,31
1,620,0,1893,2,2,1894,8,31,620,2,0,99
1,621,0,1893,9,6,1894,4,16,621,2,0,100
0,621,140,1893,9,6,1894,4,16,621,1,1000,31
1,623,0,1894,9,14,1894,11,28,623,2,0,101
1,623,0,1894,2,28,1894,5,6,623,2,0,101
0,623,730,1894,9,14,1894,11,28,623,1,0,102
0,623,730,1894,2,28,1894,5,6,623,1,0,102
0,623,740,1894,10,24,1894,11,28,623,1,0,83
1,625,0,1894,10,15,1895,3,19,625,1,0,4
0,625,135,1894,10,15,1895,3,19,625,2,0,59
1,626,0,1895,1,22,1895,3,15,626,2,800,4
0,626,100,1895,1,22,1895,3,15,626,1,400,41
1,627,0,1895,2,18,1895,9,22,627,1,100,103
0,627,130,1895,2,18,1895,9,22,627,2,900,104
1,628,0,1895,4,0,1896,4,0,628,2,0,105
0,628,710,1895,4,0,1896,4,0,628,1,0,63
0,630,640,1895,10,0,1896,0,0,630,1,0,14
1,630,0,1895,10,0,1896,0,0,630,2,0,38
1,631,0,1896,3,10,1897,2,14,631,4,0,106
0,631,640,1896,3,10,1897,2,14,631,4,0,14
0,632,0,1896,10,1,1897,10,5,632,2,3000,107
1,632,140,1896,10,1,1897,10,5,632,1,2200,31
1,633,0,1899,5,24,1899,10,22,633,1,900,108
0,633,101,1899,5,24,1899,10,22,633,2,1200,51
1,635,0,1899,7,21,1900,1,18,635,2,1500,109
0,635,70,1899,7,21,1900,1,18,635,1,100,27
1,636,0,1899,10,17,1902,11,21,636,2,53000,4
0,636,100,1899,10,17,1902,11,21,636,1,47000,41
1,638,0,1901,12,19,1903,7,19,638,2,3000,110
0,638,101,1901,12,19,1903,7,19,638,1,1000,51
1,640,0,1903,8,2,1903,11,2,640,2,1000,111
0,640,640,1903,8,2,1903,11,2,640,1,5330,14
1,641,0,1904,1,1,1904,9,1,641,2,0,112
0,641,165,1904,1,1,1904,9,1,641,1,0,113
0,642,640,1904,11,8,1906,1,10,642,6,30000,14
1,642,0,1904,11,8,1906,1,10,642,6,0,114
0,643,365,1905,1,22,1906,1,1,643,1,1500,0
1,643,0,1905,1,22,1906,1,1,643,2,0,115
0,645,360,1907,3,15,1907,4,30,645,1,2000,116
1,645,0,1907,3,15,1907,4,30,645,2,0,117
1,646,0,1907,8,1,1908,9,1,646,1,800,118
0,646,220,1907,8,7,1908,6,15,646,2,200,11
0,646,600,1907,8,1,1908,9,1,646,2,400,119
0,647,365,1909,4,30,1909,7,17,647,2,100,0
1,647,0,1908,6,23,1909,7,17,647,1,0,19
0,647,630,1908,6,23,1909,7,17,647,2,0,120
1,648,0,1909,4,14,1909,4,28,648,2,0,121
0,648,640,1909,4,14,1909,4,28,648,1,0,14
1,650,0,1910,3,0,1912,10,16,650,4,0,122
0,650,640,1910,3,0,1912,10,16,650,4,0,14
1,651,0,1910,10,15,1911,10,9,651,6,2000,123
0,651,640,1910,10,15,1911,10,9,651,6,7000,14
0,652,70,1910,11,20,1914,7,15,652,2,56250,27
1,652,0,1910,11,20,1914,7,15,652,1,37500,124
0,656,150,1911,7,15,1912,5,11,656,2,4000,125
1,656,0,1911,7,15,1912,5,11,656,1,1000,54
0,657,710,1911,10,11,1911,12,31,657,2,800,63
1,657,0,1911,10,11,1911,12,31,657,1,200,126
0,658,40,1912,5,20,1912,6,27,658,1,50,127
1,658,0,1912,5,20,1912,6,27,658,2,1000,128
1,670,0,1912,0,0,1914,0,0,670,2,0,129
0,670,130,1912,0,0,1914,0,0,670,1,0,104
1,671,0,1913,7,12,1913,9,1,671,2,0,130
0,671,710,1913,7,12,1913,9,1,671,1,0,63
1,672,0,1914,3,15,1914,9,15,672,2,0,131
0,672,710,1914,3,15,1914,9,15,672,1,0,63
0,673,2,1915,3,15,1917,2,5,673,1,15,132
0,673,70,1914,11,19,1920,7,28,673,1,18750,27
1,673,0,1914,11,19,1920,7,28,673,2,12500,133
0,675,710,1916,1,0,1918,11,17,675,1,0,63
1,675,0,1916,1,0,1918,11,17,675,2,0,134
0,676,365,1916,7,4,1917,2,27,676,1,350,0
1,676,0,1916,7,4,1917,2,27,676,2,1000,135
0,677,740,1918,8,3,1920,10,15,677,2,1500,83
0,677,220,1918,6,23,1919,9,30,677,2,50,11
0,677,365,1917,12,9,1921,3,18,677,1,475000,136
0,677,2,1918,7,1,1920,4,20,677,2,275,68
0,677,200,1918,6,23,1920,3,15,677,2,350,12
1,677,0,1917,12,9,1921,3,18,677,2,325000,137
0,677,375,1919,4,15,1919,4,30,677,2,50,138
1,680,0,1918,1,28,1918,4,30,680,2,8500,139
0,680,375,1918,1,28,1918,4,30,680,1,5300,138
0,680,365,1918,1,28,1918,5,16,680,2,400,136
0,680,255,1918,4,3,1918,5,16,680,1,950,140
0,681,0,1918,11,1,1919,2,13,681,4,0,141
1,681,0,1918,11,1,1919,2,13,681,4,0,142
0,682,0,1919,1,6,1919,5,0,682,1,70,143
1,682,0,1919,1,6,1919,5,0,682,2,2100,144
1,683,0,1919,3,25,1920,2,15,683,1,500,145
0,683,310,1919,3,25,1920,2,15,683,2,1000,56
0,685,0,1920,7,14,1920,7,19,685,2,0,146
1,685,0,1920,7,14,1920,7,19,685,1,0,147
0,686,365,1920,8,0,1921,8,0,686,1,1700,136
1,686,0,1920,8,0,1921,8,0,686,2,5000,148
0,687,365,1920,8,10,1921,11,11,687,2,0,136
1,687,0,1920,8,10,1921,11,11,687,2,0,149
0,687,630,1920,8,10,1921,11,11,687,1,0,120
1,688,0,1920,10,0,1922,10,1,688,1,300,150
0,688,0,1920,10,0,1922,10,1,688,2,3000,151
1,690,0,1921,3,7,1921,3,18,690,2,600,152
0,690,365,1921,3,7,1921,3,18,690,1,2000,136
0,691,365,1921,11,10,1923,7,0,691,1,1000,136
1,691,0,1921,11,10,1923,7,0,691,2,2500,153
0,692,0,1922,4,8,1922,5,5,692,1,0,154
1,692,0,1922,4,8,1922,5,5,692,2,0,155
1,693,0,1923,9,23,1923,9,28,693,2,0,156
0,693,355,1923,9,23,1923,9,28,693,1,0,157
1,695,0,1923,12,4,1924,2,0,695,2,0,158
0,695,70,1923,12,4,1924,2,0,695,1,0,27
1,696,0,1924,2,9,1924,3,31,696,1,0,61
0,696,91,1924,2,9,1924,3,31,696,2,0,159
0,697,700,1924,3,15,1925,1,15,697,1,0,160
1,697,0,1924,3,15,1925,1,15,697,2,0,161
1,698,0,1925,10,15,1926,4,20,698,1,0,162
0,698,0,1925,10,15,1926,4,20,698,2,0,163
1,700,0,1926,7,1,1928,6,30,700,1,48000,164
0,700,710,1926,7,1,1928,6,30,700,2,78000,165
0,700,740,1927,6,1,1928,6,1,700,1,500,83
1,701,0,1926,8,31,1929,6,21,701,3,4000,166
0,701,70,1926,8,31,1929,6,21,701,3,6000,27
1,702,0,1928,8,0,1930,4,0,702,2,0,167
0,702,530,1928,8,0,1930,4,0,702,1,0,168
1,703,0,1928,0,0,1930,0,0,703,2,0,105
0,703,710,1928,0,0,1930,0,0,703,1,0,63
1,705,0,1928,11,10,1929,10,15,705,2,7500,169
0,705,700,1928,11,10,1929,10,15,705,1,7500,160
