Drug,Timepoint,Mean of Tumor Volume (mm3),Mouse ID,SEM of Tumor Volume (mm3),Metastatic Sites
Ceftamin,5,47.1969265953,230,0,0
Ceftamin,5,45.671104424700005,233,0,1
Ceftamin,5,46.4226517593,240,0,1
Ceftamin,5,46.7350059228,242,0,1
Ceftamin,10,47.3713432827,4,0,0
Ceftamin,10,47.66438709810001,23,0,0
Ceftamin,10,49.1333549892,26,0,0
Ceftamin,10,48.146977582,59,0,2
Ceftamin,10,48.5299776211,90,0,2
Ceftamin,10,49.3799323142,96,0,0
Ceftamin,10,48.1820630619,108,0,0
Ceftamin,10,47.2596059376,109,0,1
Ceftamin,10,46.7845349065,111,0,0
Ceftamin,10,49.6836195618,112,0,0
Ceftamin,10,48.3549515398,115,0,0
Ceftamin,10,47.3602008382,136,0,1
Ceftamin,10,50.5174978917,152,0,0
Ceftamin,10,47.8391004992,156,0,1
Ceftamin,10,47.4048343929,190,0,0
Ceftamin,10,46.501476088500006,211,0,1
Ceftamin,10,49.0670278775,230,0,1
Ceftamin,10,48.9837166792,233,0,1
Ceftamin,10,48.0151626056,240,0,1
Ceftamin,10,49.5227395512,242,0,1
Ceftamin,15,49.7344035867,4,0,0
Ceftamin,15,51.6832558567,23,0,0
Ceftamin,15,51.5877990597,26,0,0
Ceftamin,15,48.7220778494,59,0,2
Ceftamin,15,50.7012795885,90,0,2
Ceftamin,15,51.073557516,96,0,0
Ceftamin,15,49.4068790086,108,0,0
Ceftamin,15,50.5248126764,109,0,1
Ceftamin,15,50.9475448381,112,0,1
Ceftamin,15,49.285195035600005,115,0,0
Ceftamin,15,48.6794526075,136,0,1
Ceftamin,15,52.1983681772,152,0,0
Ceftamin,15,48.4684825962,156,0,1
Ceftamin,15,48.5223734258,190,0,0
Ceftamin,15,47.2429286461,211,0,1
Ceftamin,15,49.7464274443,230,0,2
Ceftamin,15,49.694665333900005,233,0,1
Ceftamin,15,52.7610211384,240,0,2
Ceftamin,15,50.8065185581,242,0,1
Infubinol,0,45.0,1,0,0
Infubinol,0,45.0,2,0,0
Infubinol,0,45.0,12,0,0
Infubinol,0,45.0,14,0,0
Infubinol,0,45.0,28,0,0
Infubinol,0,45.0,32,0,0
Infubinol,0,45.0,42,0,0
Infubinol,0,45.0,51,0,0
Infubinol,0,45.0,57,0,0
Infubinol,0,45.0,80,0,0
Infubinol,0,45.0,99,0,0
Infubinol,0,45.0,103,0,0
Infubinol,0,45.0,125,0,0
Infubinol,0,45.0,131,0,0
Infubinol,0,45.0,143,0,0
Infubinol,0,45.0,144,0,0
Infubinol,0,45.0,155,0,0
Infubinol,0,45.0,172,0,0
Infubinol,0,45.0,199,0,0
Infubinol,0,45.0,202,0,0
Infubinol,0,45.0,204,0,0
Infubinol,0,45.0,213,0,0
Infubinol,0,45.0,218,0,0
Infubinol,0,45.0,235,0,0
Infubinol,0,45.0,247,0,0
Infubinol,5,48.5084684007,1,0,0
Infubinol,5,46.9821271904,2,0,0
Infubinol,5,46.1977199027,12,0,1
Infubinol,5,46.870482556800006,14,0,0
Infubinol,5,48.7531120759,28,0,0
Infubinol,5,49.3402031759,32,0,0
Infubinol,5,45.47754399,42,0,0
Infubinol,5,47.11180112979999,51,0,0
Infubinol,5,45.5911466041,57,0,0
Infubinol,5,46.8536966874,80,0,1
Infubinol,5,46.6110557083,99,0,0
Infubinol,5,48.2662036417,103,0,0
Infubinol,5,47.0103640056,125,0,1
Infubinol,5,47.3538893818,131,0,0
Infubinol,5,46.8772431606,143,0,0
Infubinol,5,45.6993308778,144,0,0
Infubinol,5,46.7163985039,155,0,1
Infubinol,5,45.6356617442,172,0,1
Infubinol,5,46.2501121227,199,0,0
Infubinol,5,47.1883632534,202,0,0
Infubinol,5,48.1512509146,204,0,1
Infubinol,5,45.4938580222,213,0,0
Infubinol,5,46.0519307545,218,0,0
Infubinol,5,48.2849701562,235,0,0
Infubinol,5,49.273091866,247,0,1
Infubinol,10,51.852437204,1,0,1
Infubinol,10,48.5911790054,2,0,1
Infubinol,10,49.5096388994,12,0,1
Infubinol,10,47.664752644,14,0,0
Infubinol,10,49.99295390939999,28,0,0
Infubinol,10,49.7790154245,42,0,0
Infubinol,10,49.4316853632,51,0,0
Infubinol,10,47.2224461932,57,0,0
Infubinol,10,49.8615473917,80,0,2
Infubinol,10,50.2960412296,99,0,1
Infubinol,10,49.4712441862,103,0,0
Infubinol,10,51.0393565292,131,0,0
Infubinol,10,48.6707318029,143,0,0
Infubinol,10,47.9538437692,155,0,2
Infubinol,10,49.0488347855,172,0,1
Infubinol,10,51.4970541179,202,0,1
Infubinol,10,50.3631098827,204,0,1
Infubinol,10,48.3465504575,213,0,0
Infubinol,10,47.29850793600001,218,0,0
Infubinol,10,49.112399097700006,235,0,1
Infubinol,10,50.4787501591,247,0,2
Infubinol,15,52.77787049770001,1,0,1
Infubinol,15,50.5344560313,2,0,1
Infubinol,15,50.9150066245,12,0,2
Infubinol,15,48.951474422,14,0,0
Infubinol,15,51.8332246013,28,0,0
Infubinol,15,52.9494647415,42,0,1
Infubinol,15,54.0462126734,51,0,0
Infubinol,15,48.3522385405,57,0,0
Infubinol,15,51.7365608832,80,0,2
Infubinol,15,53.2444581257,99,0,1
Infubinol,15,50.477618236800005,103,0,0
Infubinol,15,54.216064105200005,131,0,0
Infubinol,15,49.68344504,143,0,1
Infubinol,15,49.1597486205,155,0,3
Infubinol,15,50.8245603077,172,0,2
Infubinol,15,52.6091075758,202,0,1
Infubinol,15,51.5424305838,204,0,1
Infubinol,15,49.385573729,213,0,0
Infubinol,15,51.26543971,218,0,0
Infubinol,15,51.5230684317,235,0,1
Infubinol,15,51.1963042014,247,0,2
Infubinol,20,54.4625937637,2,0,1
Infubinol,20,52.3651845662,12,0,2
Infubinol,20,55.0877244473,80,0,2
Infubinol,20,54.7789605219,99,0,1
Infubinol,20,54.484519445100005,103,0,0
Infubinol,20,50.3365528785,143,0,1
Infubinol,20,51.9090249428,155,0,4
Infubinol,20,51.807944156000005,247,0,2
Ketapril,0,45.0,9,0,0
Ketapril,0,45.0,36,0,0
Ketapril,0,45.0,40,0,0
Ketapril,0,45.0,41,0,0
Ketapril,0,45.0,47,0,0
Ketapril,0,45.0,56,0,0
Ketapril,0,45.0,61,0,0
Ketapril,0,45.0,64,0,0
Ketapril,0,45.0,68,0,0
Ketapril,0,45.0,74,0,0
Ketapril,0,45.0,76,0,0
Ketapril,0,45.0,97,0,0
Ketapril,0,45.0,107,0,0
Ketapril,0,45.0,122,0,0
Ketapril,0,45.0,124,0,0
Ketapril,0,45.0,134,0,0
Ketapril,0,45.0,138,0,0
Ketapril,0,45.0,147,0,0
Ketapril,0,45.0,149,0,0
Ketapril,0,45.0,154,0,0
Ketapril,0,45.0,193,0,0
Ketapril,0,45.0,197,0,0
Ketapril,0,45.0,201,0,0
Ketapril,0,45.0,215,0,0
Ketapril,0,45.0,236,0,0
Ketapril,5,47.46289099770001,9,0,0
Ketapril,5,46.628454797,36,0,0
Ketapril,5,45.7692486422,40,0,1
Ketapril,5,48.6854612346,41,0,1
Ketapril,5,45.9183522533,47,0,0
Ketapril,5,48.1945778805,56,0,0
Ketapril,5,48.791664955200005,64,0,0
Ketapril,5,48.7820687808,68,0,0
Ketapril,5,49.4704170151,74,0,0
Ketapril,5,46.274997348,97,0,1
Ketapril,5,46.6687664579,107,0,0
Ketapril,5,49.0540973629,122,0,1
Ketapril,5,48.5624949203,124,0,1
Ketapril,5,45.8248809938,134,0,0
Ketapril,5,47.0596640836,138,0,1
Ketapril,5,46.7178772684,147,0,0
Ketapril,5,49.0487070415,149,0,1
Ketapril,5,47.8644400032,154,0,0
Ketapril,5,45.6941880461,193,0,0
Ketapril,5,46.204460027,197,0,0
Ketapril,5,46.0160059345,201,0,0
Ketapril,5,48.45745927270001,215,0,0
Ketapril,5,46.79983867,236,0,0
Ketapril,10,49.7834189373,9,0,0
Ketapril,10,47.5701738225,36,0,1
Ketapril,10,46.6583952671,40,0,1
Ketapril,10,49.8114126213,41,0,1
Ketapril,10,46.974962972700006,47,0,0
Ketapril,10,53.435986676400006,64,0,0
Ketapril,10,49.6470864981,68,0,0
Ketapril,10,51.3688621605,74,0,1
Ketapril,10,50.180967626400005,97,0,1
Ketapril,10,50.6595809445,107,0,0
Ketapril,10,50.5480345687,122,0,2
Ketapril,10,50.9689976283,124,0,1
Ketapril,10,48.7919498615,134,0,1
Ketapril,10,50.12845481430001,138,0,1
Ketapril,10,48.2457904318,147,0,0
Ketapril,10,51.582161675600005,149,0,2
Ketapril,10,51.2366055724,154,0,0
Ketapril,10,49.2352594778,193,0,0
Ketapril,10,48.1334820691,197,0,0
Ketapril,10,47.8305568007,201,0,0
Ketapril,10,49.9359702353,215,0,0
Ketapril,10,48.0818067794,236,0,1
Ketapril,15,51.991708001800006,36,0,1
Ketapril,15,48.3709991154,40,0,1
Ketapril,15,52.8645344875,41,0,1
Ketapril,15,47.7779358439,47,0,0
Ketapril,15,58.1355448458,64,0,0
Ketapril,15,53.646168043500005,68,0,1
Ketapril,15,56.1843270149,74,0,1
Ketapril,15,54.42916821359999,97,0,1
Ketapril,15,51.1660654415,122,0,3
Ketapril,15,53.1495593311,124,0,1
Ketapril,15,51.7387062263,134,0,1
Ketapril,15,54.789767686800005,138,0,1
Ketapril,15,49.871935818500006,147,0,0
Ketapril,15,53.6755415046,149,0,2
Ketapril,15,50.6599643742,193,0,0
Ketapril,15,52.6021656439,197,0,0
Ketapril,15,52.1029474359,201,0,0
Ketapril,15,52.2463098495,215,0,0
Ketapril,15,50.1961522424,236,0,2
Naftisol,0,45.0,17,0,0
Naftisol,0,45.0,24,0,0
Naftisol,0,45.0,48,0,0
Naftisol,0,45.0,50,0,0
Naftisol,0,45.0,52,0,0
Naftisol,0,45.0,63,0,0
Naftisol,0,45.0,92,0,0
Naftisol,0,45.0,113,0,0
Naftisol,0,45.0,114,0,0
Naftisol,0,45.0,118,0,0
Naftisol,0,45.0,127,0,0
Naftisol,0,45.0,141,0,0
Naftisol,0,45.0,166,0,0
Naftisol,0,45.0,167,0,0
Naftisol,0,45.0,188,0,0
Naftisol,0,45.0,196,0,0
Naftisol,0,45.0,198,0,0
Naftisol,0,45.0,205,0,0
Naftisol,0,45.0,226,0,0
Naftisol,0,45.0,227,0,0
Naftisol,0,45.0,234,0,0
Naftisol,0,45.0,239,0,0
Naftisol,0,45.0,243,0,0
Naftisol,0,45.0,248,0,0
Naftisol,0,45.0,249,0,0
Naftisol,5,45.6967086395,17,0,0
Naftisol,5,47.409897307,24,0,0
Naftisol,5,45.6992501826,48,0,1
Naftisol,5,46.1425048634,50,0,0
Naftisol,5,45.656978496,52,0,0
Naftisol,5,46.3957596587,63,0,0
Naftisol,5,47.2428435703,92,0,0
Naftisol,5,45.9183716507,113,0,0
Naftisol,5,48.7363188117,114,0,1
Naftisol,5,46.621301269700005,118,0,0
Naftisol,5,46.4312162932,127,0,0
Naftisol,5,46.88982097939999,141,0,0
Naftisol,5,47.0677444824,166,0,1
Naftisol,5,46.886971367,167,0,0
Naftisol,5,46.359258294300005,188,0,0
Naftisol,5,46.111817974,198,0,1
Naftisol,5,47.1560107135,205,0,0
Naftisol,5,47.0384145045,226,0,0
Naftisol,5,46.0782337548,234,0,0
Naftisol,5,48.4750027309,239,0,1
Naftisol,5,46.129357058500005,243,0,1
Naftisol,5,46.8334749348,248,0,0
Naftisol,5,49.3329987284,249,0,0
Naftisol,10,49.7909194758,17,0,0
Naftisol,10,48.0364320179,24,0,0
Naftisol,10,47.39157120229999,48,0,2
Naftisol,10,48.5297412455,50,0,1
Naftisol,10,47.2506414788,52,0,0
Naftisol,10,48.1853732268,63,0,0
Naftisol,10,48.1670608295,92,0,0
Naftisol,10,47.013566517700006,113,0,1
Naftisol,10,50.8239115379,114,0,2
Naftisol,10,47.5033380291,118,0,0
Naftisol,10,47.2012509684,127,0,0
Naftisol,10,48.199451995100006,141,0,0
Naftisol,10,48.7865595745,166,0,1
Naftisol,10,49.6545963593,167,0,0
Naftisol,10,50.7038996507,188,0,0
Naftisol,10,47.5394621573,198,0,2
Naftisol,10,48.9659179711,205,0,0
Naftisol,10,47.8871276545,226,0,1
Naftisol,10,50.2606944112,234,0,0
Naftisol,10,48.0308039024,248,0,0
Naftisol,10,52.6560814792,249,0,1
Naftisol,15,51.2275656497,17,0,0
Naftisol,15,51.3788622899,24,0,0
Naftisol,15,51.7916952961,48,0,2
Naftisol,15,49.3484262002,50,0,1
Naftisol,15,48.4304105275,52,0,1
Naftisol,15,49.1069747343,63,0,1
Naftisol,15,51.4539739071,92,0,0
Naftisol,15,49.040225294,113,0,1
Naftisol,15,54.24456268310001,114,0,2
Naftisol,15,48.6652074029,118,0,1
Naftisol,15,48.477978952,127,0,0
Naftisol,15,50.0150790177,141,0,1
Naftisol,15,51.0745207273,166,0,1
Naftisol,15,52.4848044296,167,0,0
Naftisol,15,55.5846172365,188,0,0
Naftisol,15,50.6660539088,198,0,2
Naftisol,15,50.5452064621,205,0,1
Naftisol,15,50.0023140274,226,0,1
Naftisol,15,51.9737686396,234,0,0
Naftisol,15,49.3681318879,248,0,1
Naftisol,15,54.7130045239,249,0,2
Placebo,0,45.0,3,0,0
Placebo,0,45.0,18,0,0
Placebo,0,45.0,30,0,0
Placebo,0,45.0,37,0,0
Placebo,0,45.0,39,0,0
Placebo,0,45.0,49,0,0
Placebo,0,45.0,81,0,0
Placebo,0,45.0,84,0,0
Placebo,0,45.0,88,0,0
Placebo,0,45.0,116,0,0
Placebo,0,45.0,133,0,0
Placebo,0,45.0,137,0,0
Placebo,0,45.0,142,0,0
Placebo,0,45.0,158,0,0
Placebo,0,45.0,162,0,0
Placebo,0,45.0,169,0,0
Placebo,0,45.0,174,0,0
Placebo,0,45.0,175,0,0
Placebo,0,45.0,187,0,0
Placebo,0,45.0,189,0,0
Placebo,0,45.0,200,0,0
Placebo,0,45.0,207,0,0
Placebo,0,45.0,212,0,0
Placebo,0,45.0,232,0,0
Placebo,0,45.0,238,0,0
Placebo,5,48.717568191000005,3,0,1
Placebo,5,45.6911240483,18,0,1
Placebo,5,45.725689726400006,30,0,0
Placebo,5,47.7832798083,37,0,0
Placebo,5,47.3130553707,39,0,0
Placebo,5,47.2380111228,49,0,0
Placebo,5,46.6573847087,81,0,0
Placebo,5,46.7646682399,84,0,1
Placebo,5,46.5888197836,88,0,0
Placebo,5,46.0859814231,133,0,0
Placebo,5,48.9370118777,137,0,0
Placebo,5,46.760927208000005,142,0,1
Placebo,5,45.9553989471,158,0,1
Placebo,5,47.1166158739,162,0,0
Placebo,5,46.8629119373,169,0,0
Placebo,5,47.4590529003,174,0,1
Placebo,5,47.1867877757,175,0,0
Placebo,5,45.9212527234,187,0,1
Placebo,5,47.8914870979,189,0,0
Placebo,5,46.2207964218,200,0,0
Placebo,5,48.858134512700005,207,0,0
Placebo,5,48.786271943500005,212,0,0
Placebo,5,45.850830700500005,232,0,1
Placebo,5,48.6410781799,238,0,1
Placebo,10,49.5951812923,3,0,1
Placebo,10,47.972927076800005,18,0,1
Placebo,10,48.179506376400006,30,0,0
Placebo,10,49.219316685200006,37,0,0
Placebo,10,49.5002709847,39,0,1
Placebo,10,51.3497570463,49,0,1
Placebo,10,47.5206320557,81,0,0
Placebo,10,48.2816334005,84,0,1
Placebo,10,48.0187879244,88,0,1
Placebo,10,46.817315262600005,133,0,1
Placebo,10,49.7014498925,137,0,0
Placebo,10,51.1237037021,142,0,1
Placebo,10,47.013575144,158,0,1
Placebo,10,48.5938623364,162,0,1
Placebo,10,48.5150908538,169,0,1
Placebo,10,52.18164420350001,174,0,2
Placebo,10,49.00012467649999,175,0,0
Placebo,10,46.39268804859999,187,0,1
Placebo,10,52.6141634992,189,0,1
Placebo,10,50.6490384223,200,0,1
Placebo,10,52.61468889020001,207,0,1
Placebo,10,51.8264096538,212,0,0
Placebo,10,47.18920597100001,232,0,2
Placebo,10,52.2889340897,238,0,1
Placebo,15,53.82797367479999,3,0,2
Placebo,15,52.3430852455,18,0,2
Placebo,15,49.2660787336,30,0,0
Placebo,15,51.5326030045,37,0,0
Placebo,15,50.5966332487,39,0,2
Placebo,15,52.8339419644,49,0,1
Placebo,15,48.857600704,84,0,1
Placebo,15,51.1611381503,88,0,1
Placebo,15,47.7980996091,133,0,1
Placebo,15,51.381488855,137,0,0
Placebo,15,55.8863379287,142,0,2
Placebo,15,48.3226401822,158,0,2
Placebo,15,49.2177324345,162,0,2
Placebo,15,50.218604692,169,0,1
Placebo,15,57.22498063689999,174,0,2
Placebo,15,48.0851255155,187,0,1
Placebo,15,53.4586388685,189,0,1
Placebo,15,53.9004890913,212,0,0
Placebo,15,47.6712355761,232,0,3
Placebo,15,53.610405845,238,0,1
Placebo,20,57.01331331,3,0,2
Placebo,20,53.0068646304,39,0,3
Placebo,20,50.873690269700006,84,0,1
Placebo,20,62.351609445600005,174,0,2
Propriva,0,45.0,15,0,0
Propriva,0,45.0,43,0,0
Propriva,0,45.0,69,0,0
Propriva,0,45.0,70,0,0
Propriva,0,45.0,73,0,0
Propriva,0,45.0,83,0,0
Propriva,0,45.0,101,0,0
Propriva,0,45.0,106,0,0
Propriva,0,45.0,129,0,0
Propriva,0,45.0,130,0,0
Propriva,0,45.0,132,0,0
Propriva,0,45.0,139,0,0
Propriva,0,45.0,140,0,0
Propriva,0,45.0,150,0,0
Propriva,0,45.0,163,0,0
Propriva,0,45.0,173,0,0
Propriva,0,45.0,177,0,0
Propriva,0,45.0,183,0,0
Propriva,0,45.0,195,0,0
Propriva,0,45.0,208,0,0
Propriva,0,45.0,214,0,0
Propriva,0,45.0,221,0,0
Propriva,0,45.0,223,0,0
Propriva,0,45.0,224,0,0
Propriva,0,45.0,245,0,0
Propriva,5,46.55308985520001,15,0,0
Propriva,5,46.3518420477,43,0,0
Propriva,5,46.18874192770001,69,0,0
Propriva,5,47.6564243575,70,0,1
Propriva,5,48.1785967698,73,1,0
Propriva,5,47.2359371531,83,0,0
Propriva,5,46.042115822700005,101,0,0
Propriva,5,49.4819493532,106,0,1
Propriva,5,46.0990996926,130,0,0
Propriva,5,47.55428428729999,132,0,0
Propriva,5,45.5447000844,139,0,0
Propriva,5,46.5149501609,140,0,1
Propriva,5,46.55853236229999,150,0,1
Propriva,5,48.5134202715,163,0,0
Propriva,5,45.8311343446,173,0,0
Propriva,5,47.576717609300005,177,0,1
Propriva,5,47.461260522,183,0,0
Propriva,5,45.991807800100005,195,0,1
Propriva,5,49.21432799,208,0,1
Propriva,5,48.232113105,214,0,0
Propriva,5,49.4532700546,221,0,0
Propriva,5,46.94101497729999,223,0,1
Propriva,5,46.7542688725,224,0,0
Propriva,5,47.1159796322,245,0,0
Propriva,10,47.8673756864,15,0,0
Propriva,10,50.965297666800005,43,0,1
Propriva,10,50.0947538217,69,0,0
Propriva,10,49.1882316674,70,0,1
Propriva,10,50.812841966549996,73,1,0
Propriva,10,48.6857560472,83,0,1
Propriva,10,46.6069467587,101,0,0
Propriva,10,53.6539695982,106,0,1
Propriva,10,49.1457086645,132,0,1
Propriva,10,47.0810859034,139,0,1
Propriva,10,47.1476700217,140,0,1
Propriva,10,48.6656066817,150,0,1
Propriva,10,49.1860105163,163,0,0
Propriva,10,47.2356915575,173,0,0
Propriva,10,48.14635120649999,177,0,1
Propriva,10,49.0008097751,183,0,1
Propriva,10,46.7305059208,195,0,1
Propriva,10,52.6449056961,208,0,1
Propriva,10,48.899552379700005,214,0,0
Propriva,10,49.1229689833,223,0,1
Propriva,10,48.9298954297,224,0,0
Propriva,10,48.7106614712,245,0,0
Propriva,15,49.5304013734,15,0,0
Propriva,15,53.266430869,43,0,1
Propriva,15,51.007258002,69,0,0
Propriva,15,52.68269539520001,70,0,1
Propriva,15,53.442019761000005,73,0,0
Propriva,15,51.3258520692,73,0,1
Propriva,15,49.5368977457,83,0,1
Propriva,15,48.7752854973,101,0,0
Propriva,15,51.5050855053,140,0,1
Propriva,15,49.7707414379,150,0,1
Propriva,15,53.090335455600005,163,0,0
Propriva,15,49.2323453829,173,0,1
Propriva,15,52.08163224689999,177,0,1
Propriva,15,49.7811807982,183,0,2
Propriva,15,47.6730292145,195,0,1
Propriva,15,54.5885909999,208,0,1
Propriva,15,50.8546323041,214,0,1
Propriva,20,50.7124233362,15,0,0
Propriva,20,55.0900969102,69,0,1
Propriva,20,51.8770618925,83,0,1
Propriva,20,50.180109351000006,101,0,0
Propriva,20,54.2051805405,150,0,1
Propriva,20,55.2638583958,163,0,0
Propriva,20,53.7447340563,177,0,1
Propriva,20,51.4907399809,183,0,3
Propriva,20,49.1100496594,195,0,1
Propriva,20,52.1323206066,214,0,1
Ramicane,0,45.0,7,0,0
Ramicane,0,45.0,8,0,0
Ramicane,0,45.0,11,0,0
Ramicane,0,45.0,13,0,0
Ramicane,0,45.0,34,0,0
Ramicane,0,45.0,38,0,0
Ramicane,0,45.0,46,0,0
Ramicane,0,45.0,53,0,0
Ramicane,0,45.0,71,0,0
Ramicane,0,45.0,78,0,0
Ramicane,0,45.0,79,0,0
Ramicane,0,45.0,93,0,0
Ramicane,0,45.0,95,0,0
Ramicane,0,45.0,98,0,0
Ramicane,0,45.0,121,0,0
Ramicane,0,45.0,128,0,0
Ramicane,0,45.0,159,0,0
Ramicane,0,45.0,160,0,0
Ramicane,0,45.0,168,0,0
Ramicane,0,45.0,170,0,0
Ramicane,0,45.0,179,0,0
Ramicane,0,45.0,192,0,0
Ramicane,0,45.0,219,0,0
Ramicane,0,45.0,237,0,0
Ramicane,0,45.0,246,0,0
Ramicane,5,45.466677143000005,7,0,0
Ramicane,5,44.0059748662,8,0,0
Ramicane,5,38.7237069501,11,0,0
Ramicane,5,45.5501575368,13,0,0
