WarNum,TransTo
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
139,0
142,0
142,0
145,0
145,0
147,0
147,0
148,0
148,0
148,0
148,0
148,0
148,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
151,0
153,0
153,0
155,0
155,0
155,0
155,0
156,0
156,0
158,0
158,0
158,0
159,0
159,0
160,0
160,0
163,0
163,0
163,0
163,0
163,0
163,0
163,0
163,0
166,0
166,0
169,0
169,0
169,0
169,0
170,0
170,0
170,0
170,0
172,0
172,0
175,0
175,0
176,785
176,785
176,785
176,785
178,0
178,0
181,0
181,0
181,0
181,0
181,0
181,0
184,0
184,0
186,804
186,804
186,804
186,804
187,808
187,808
187,808
189,475
189,475
190,0
190,0
190,0
193,0
193,0
199,0
199,0
202,0
202,0
205,0
205,0
207,0
207,0
208,0
208,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
211,0
215,877
215,877
215,877
216,0
216,0
217,0
217,0
219,0
219,0
221,0
221,0
221,0
221,0
221,0
221,0
221,0
221,0
223,0
223,0
225,481
225,481
225,481
225,481
225,481
225,481
227,482
227,482
227,482
227,482
500,0
501,0
502,0
502,0
503,1
505,0
505,0
506,4
506,4
506,4
506,4
507,0
508,0
510,0
510,0
511,0
512,0
513,0
515,0
516,0
517,0
518,0
520,0
521,0
522,0
522,0
522,0
522,0
523,0
525,0
526,0
527,0
528,0
530,0
531,0
532,0
533,0
535,0
536,0
537,0
537,0
538,0
540,0
541,0
542,0
543,0
545,553
546,0
547,0
548,0
550,0
551,10
552,0
553,0
554,0
554,0
555,0
556,0
557,0
558,0
560,0
561,0
562,0
563,0
565,0
566,0
567,0
567,0
568,0
570,0
571,0
572,0
573,0
575,0
576,0
577,0
578,0
580,0
581,0
582,0
582,0
583,0
585,0
586,0
587,0
588,0
590,0
591,0
592,0
593,0
595,0
596,0
597,0
598,0
600,0
601,373
602,0
603,0
605,0
607,0
608,0
610,0
611,0
612,0
613,0
616,0
617,0
618,0
620,0
621,0
623,0
623,0
625,0
626,0
627,0
628,0
630,0
631,76
632,0
633,0
635,0
636,0
638,0
640,0
641,0
642,0
643,0
645,0
646,0
646,0
647,0
647,0
648,0
650,100
651,0
652,0
656,0
657,0
658,0
670,0
671,0
672,0
673,0
673,0
675,0
676,0
677,0
677,0
677,0
677,0
677,0
677,0
680,0
680,0
680,0
681,109
682,0
683,0
685,0
686,0
687,0
687,0
688,0
690,0
691,0
692,0
693,0
695,0
696,0
697,0
698,0
700,0
700,0
701,0
702,0
703,0
705,0
706,0
707,0
708,0
710,0
711,0
711,0
712,0
713,0
715,0
716,0
717,0
718,0
718,0
718,0
718,0
720,0
720,0
721,0
721,0
722,0
723,0
725,0
726,0
727,0
728,0
730,0
731,0
732,0
733,0
735,0
737,0
738,0
740,0
741,0
742,0
743,0
743,0
745,0
746,0
747,0
748,163
748,163
750,0
750,0
1500,0
1501,0
1502,0
1503,0
1505,0
1506,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1518,0
1520,0
1521,0
1523,0
1524,0
1525,0
1527,538
1528,0
1530,0
1531,0
1533,0
1534,567
1535,0
1536,0
1537,570
1538,0
1539,0
1540,0
1541,571
1542,0
1543,0
1544,0
1545,0
1546,0
1548,0
1550,0
1551,0
1552,0
1553,0
1554,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1567,0
1568,0
1570,0
1571,461
1572,148
1573,0
1574,0
1577,0
1581,186
1582,472
1594,0
