,Year,Category,Nominee,Movie,Winner
9302,1938 (11th),Actor -- Leading Role,Spencer Tracy,Boys Town {'Father Flanagan'},YES
9447,1937 (10th),Actor -- Leading Role,Spencer Tracy,Captains Courageous {'Manuel'},YES
9580,1936 (9th),Actor -- Leading Role,Paul Muni,The Story of Louis Pasteur {'Louis Pasteur'},YES
9695,1935 (8th),Actor -- Leading Role,Victor McLaglen,The Informer {'Gypo Nolan'},YES
9788,1934 (7th),Actor -- Leading Role,Clark Gable,It Happened One Night {'Peter Warne'},YES
9857,1932/33 (6th),Actor -- Leading Role,Charles Laughton,The Private Life of Henry VIII {'Henry VIII'},YES
9921,1931/32 (5th),Actor -- Leading Role,Wallace Beery,The Champ {'Champ'},YES
9923,1931/32 (5th),Actor -- Leading Role,Fredric March,Dr. Jekyll and Mr. Hyde {'Dr. Henry Jekyll/Mr. Hyde'},YES
9968,1930/31 (4th),Actor -- Leading Role,Lionel Barrymore,A Free Soul {'Stephen Ashe'},YES
10018,1929/30 (3rd),Actor -- Leading Role,George Arliss,Disraeli {'Benjamin Disraeli'},YES
10061,1928/29 (2nd),Actor -- Leading Role,Warner Baxter,In Old Arizona {'The Cisco Kid'},YES
10099,1927/28 (1st),Actor -- Leading Role,Emil Jannings,The Last Command {'General Dolgorucki [Grand Duke Sergius Alexander]'}; and The Way of All Flesh {'August Schilling'},YES
10100,1927/28 (1st),Actor -- Leading Role,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]",,YES
13,2010 (83rd),Actress -- Leading Role,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},YES
145,2009 (82nd),Actress -- Leading Role,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},YES
289,2008 (81st),Actress -- Leading Role,Kate Winslet,The Reader {'Hanna Schmitz'},YES
405,2007 (80th),Actress -- Leading Role,Marion Cotillard,La Vie en Rose {'Edith Piaf'},YES
532,2006 (79th),Actress -- Leading Role,Helen Mirren,The Queen {'The Queen'},YES
664,2005 (78th),Actress -- Leading Role,Reese Witherspoon,Walk the Line {'June Carter'},YES
792,2004 (77th),Actress -- Leading Role,Hilary Swank,Million Dollar Baby {'Maggie Fitzgerald'},YES
921,2003 (76th),Actress -- Leading Role,Charlize Theron,Monster {'Aileen Wuornos'},YES
1041,2002 (75th),Actress -- Leading Role,Nicole Kidman,The Hours {'Virginia Woolf'},YES
1167,2001 (74th),Actress -- Leading Role,Halle Berry,Monster's Ball {'Leticia Musgrove'},YES
1308,2000 (73rd),Actress -- Leading Role,Julia Roberts,Erin Brockovich {'Erin Brockovich'},YES
1437,1999 (72nd),Actress -- Leading Role,Hilary Swank,Boys Don't Cry {'Brandon Teena/Teena Brandon'},YES
1561,1998 (71st),Actress -- Leading Role,Gwyneth Paltrow,Shakespeare in Love {'Viola De Lesseps'},YES
1712,1997 (70th),Actress -- Leading Role,Helen Hunt,As Good as It Gets {'Carol Connelly'},YES
1848,1996 (69th),Actress -- Leading Role,Frances McDormand,Fargo {'Marge Gunderson'},YES
1977,1995 (68th),Actress -- Leading Role,Susan Sarandon,Dead Man Walking {'Sister Helen Prejean'},YES
2119,1994 (67th),Actress -- Leading Role,Jessica Lange,Blue Sky {'Carly Marshall'},YES
2258,1993 (66th),Actress -- Leading Role,Holly Hunter,The Piano {'Ada'},YES
2379,1992 (65th),Actress -- Leading Role,Emma Thompson,Howards End {'Margaret Schlegel'},YES
2503,1991 (64th),Actress -- Leading Role,Jodie Foster,The Silence of the Lambs {'Clarice Starling'},YES
2626,1990 (63rd),Actress -- Leading Role,Kathy Bates,Misery {'Annie Wilkes'},YES
2759,1989 (62nd),Actress -- Leading Role,Jessica Tandy,Driving Miss Daisy {'Daisy Werthan'},YES
2870,1988 (61st),Actress -- Leading Role,Jodie Foster,The Accused {'Sarah Tobias'},YES
2993,1987 (60th),Actress -- Leading Role,Cher,Moonstruck {'Loretta Castorini'},YES
3113,1986 (59th),Actress -- Leading Role,Marlee Matlin,Children of a Lesser God {'Sarah'},YES
3238,1985 (58th),Actress -- Leading Role,Geraldine Page,The Trip to Bountiful {'Mrs. Watts'},YES
3352,1984 (57th),Actress -- Leading Role,Sally Field,Places in the Heart {'Edna Spalding'},YES
3473,1983 (56th),Actress -- Leading Role,Shirley MacLaine,Terms of Endearment {'Aurora Greenway'},YES
3591,1982 (55th),Actress -- Leading Role,Meryl Streep,Sophie's Choice {'Sophie'},YES
3711,1981 (54th),Actress -- Leading Role,Katharine Hepburn,On Golden Pond {'Ethel Thayer'},YES
3835,1980 (53rd),Actress -- Leading Role,Sissy Spacek,Coal Miner's Daughter {'Loretta Lynn'},YES
3945,1979 (52nd),Actress -- Leading Role,Sally Field,Norma Rae {'Norma Rae'},YES
4072,1978 (51st),Actress -- Leading Role,Jane Fonda,Coming Home {'Sally Hyde'},YES
4191,1977 (50th),Actress -- Leading Role,Diane Keaton,Annie Hall {'Annie Hall'},YES
4315,1976 (49th),Actress -- Leading Role,Faye Dunaway,Network {'Diana Christensen'},YES
4429,1975 (48th),Actress -- Leading Role,Louise Fletcher,One Flew over the Cuckoo's Nest {'Nurse Mildred Ratched'},YES
4545,1974 (47th),Actress -- Leading Role,Ellen Burstyn,Alice Doesn't Live Here Anymore {'Alice Hyatt'},YES
4661,1973 (46th),Actress -- Leading Role,Glenda Jackson,A Touch of Class {'Vicki Allessio'},YES
4769,1972 (45th),Actress -- Leading Role,Liza Minnelli,Cabaret {'Sally Bowles'},YES
4884,1971 (44th),Actress -- Leading Role,Jane Fonda,Klute {'Bree Daniel'},YES
4994,1970 (43rd),Actress -- Leading Role,Glenda Jackson,Women in Love {'Gudrun Brangwen'},YES
5109,1969 (42nd),Actress -- Leading Role,Maggie Smith,The Prime of Miss Jean Brodie {'Miss Jean Brodie'},YES
5217,1968 (41st),Actress -- Leading Role,Katharine Hepburn,The Lion in Winter {'Queen Eleanor of Aquitaine'},YES
5220,1968 (41st),Actress -- Leading Role,Barbra Streisand,Funny Girl {'Fanny Brice'},YES
5341,1967 (40th),Actress -- Leading Role,Katharine Hepburn,Guess Who's Coming to Dinner {'Christina Drayton'},YES
5454,1966 (39th),Actress -- Leading Role,Elizabeth Taylor,Who's Afraid of Virginia Woolf? {'Martha'},YES
5580,1965 (38th),Actress -- Leading Role,Julie Christie,Darling {'Diana Scott'},YES
5706,1964 (37th),Actress -- Leading Role,Julie Andrews,Mary Poppins {'Mary Poppins'},YES
5840,1963 (36th),Actress -- Leading Role,Patricia Neal,Hud {'Alma'},YES
5963,1962 (35th),Actress -- Leading Role,Anne Bancroft,The Miracle Worker {'Annie Sullivan'},YES
6089,1961 (34th),Actress -- Leading Role,Sophia Loren,Two Women {'Cesira'},YES
6220,1960 (33rd),Actress -- Leading Role,Elizabeth Taylor,Butterfield 8 {'Gloria Wandrous'},YES
6346,1959 (32nd),Actress -- Leading Role,Simone Signoret,Room at the Top {'Alice Aisgill'},YES
6469,1958 (31st),Actress -- Leading Role,Susan Hayward,I Want to Live! {'Barbara Graham'},YES
6588,1957 (30th),Actress -- Leading Role,Joanne Woodward,The Three Faces of Eve {'Eve White/Eve Black/Jane'},YES
6691,1956 (29th),Actress -- Leading Role,Ingrid Bergman,Anastasia {'The Woman'},YES
6827,1955 (28th),Actress -- Leading Role,Anna Magnani,The Rose Tattoo {'Serafina Della Rose'},YES
6959,1954 (27th),Actress -- Leading Role,Grace Kelly,The Country Girl {'Georgie Elgin'},YES
7099,1953 (26th),Actress -- Leading Role,Audrey Hepburn,Roman Holiday {'Princess Anne'},YES
7232,1952 (25th),Actress -- Leading Role,Shirley Booth,"Come Back, Little Sheba {'Lola Delaney'}",YES
7371,1951 (24th),Actress -- Leading Role,Vivien Leigh,A Streetcar Named Desire {'Blanche DuBois'},YES
7499,1950 (23rd),Actress -- Leading Role,Judy Holliday,Born Yesterday {'Billie Dawn'},YES
7614,1949 (22nd),Actress -- Leading Role,Olivia de Havilland,The Heiress {'Catherine Sloper'},YES
7739,1948 (21st),Actress -- Leading Role,Jane Wyman,Johnny Belinda {'Belinda McDonald'},YES
7854,1947 (20th),Actress -- Leading Role,Loretta Young,The Farmer's Daughter {'Katrin Holstrom'},YES
7964,1946 (19th),Actress -- Leading Role,Olivia de Havilland,To Each His Own {'Jody Norris'},YES
8080,1945 (18th),Actress -- Leading Role,Joan Crawford,Mildred Pierce {'Mildred Pierce'},YES
8242,1944 (17th),Actress -- Leading Role,Ingrid Bergman,Gaslight {'Paula Alquist'},YES
8427,1943 (16th),Actress -- Leading Role,Jennifer Jones,The Song of Bernadette {'Bernadette Soubirous'},YES
8612,1942 (15th),Actress -- Leading Role,Greer Garson,Mrs. Miniver {'Kay Miniver'},YES
8803,1941 (14th),Actress -- Leading Role,Joan Fontaine,Suspicion {'Lina McLaidlaw'},YES
8996,1940 (13th),Actress -- Leading Role,Ginger Rogers,Kitty Foyle {'Kitty Foyle'},YES
9159,1939 (12th),Actress -- Leading Role,Vivien Leigh,Gone with the Wind {'Scarlett O'Hara'},YES
9309,1938 (11th),Actress -- Leading Role,Bette Davis,Jezebel {'Julie Morrison'},YES
9456,1937 (10th),Actress -- Leading Role,Luise Rainer,The Good Earth {'O-Lan'},YES
9591,1936 (9th),Actress -- Leading Role,Luise Rainer,The Great Ziegfeld {'Anna Held'},YES
9700,1935 (8th),Actress -- Leading Role,Bette Davis,Dangerous {'Joyce Heath'},YES
9791,1934 (7th),Actress -- Leading Role,Claudette Colbert,It Happened One Night {'Ellie Andrews'},YES
9859,1932/33 (6th),Actress -- Leading Role,Katharine Hepburn,Morning Glory {'Eva Lovelace'},YES
9926,1931/32 (5th),Actress -- Leading Role,Helen Hayes,The Sin of Madelon Claudet {'Madelon'},YES
9974,1930/31 (4th),Actress -- Leading Role,Marie Dressler,Min and Bill {'Min'},YES
10027,1929/30 (3rd),Actress -- Leading Role,Norma Shearer,The Divorcee {'Jerry'},YES
10070,1928/29 (2nd),Actress -- Leading Role,Mary Pickford,Coquette {'Norma Besant'},YES
10102,1927/28 (1st),Actress -- Leading Role,Janet Gaynor,7th Heaven {'Diane'}; Street Angel {'Angela'}; and Sunrise {'The Wife'},YES
5,2010 (83rd),Actor -- Supporting Role,Christian Bale,The Fighter {'Dicky Eklund'},YES
144,2009 (82nd),Actor -- Supporting Role,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},YES
283,2008 (81st),Actor -- Supporting Role,Heath Ledger,The Dark Knight {'Joker'},YES
399,2007 (80th),Actor -- Supporting Role,Javier Bardem,No Country for Old Men {'Anton Chigurh'},YES
525,2006 (79th),Actor -- Supporting Role,Alan Arkin,Little Miss Sunshine {'Grandpa'},YES
655,2005 (78th),Actor -- Supporting Role,George Clooney,Syriana {'Bob Barnes'},YES
787,2004 (77th),Actor -- Supporting Role,Morgan Freeman,Million Dollar Baby {'Eddie Scrap-Iron Dupris'},YES
916,2003 (76th),Actor -- Supporting Role,Tim Robbins,Mystic River {'Dave Boyle'},YES
1035,2002 (75th),Actor -- Supporting Role,Chris Cooper,Adaptation {'John Laroche'},YES
1162,2001 (74th),Actor -- Supporting Role,Jim Broadbent,Iris {'John Bayley'},YES
1301,2000 (73rd),Actor -- Supporting Role,Benicio Del Toro,Traffic {'Javier Rodriguez'},YES
1428,1999 (72nd),Actor -- Supporting Role,Michael Caine,The Cider House Rules {'Dr. Wilbur Larch'},YES
1554,1998 (71st),Actor -- Supporting Role,James Coburn,Affliction {'Glen Whitehouse'},YES
1708,1997 (70th),Actor -- Supporting Role,Robin Williams,Good Will Hunting {'Sean McGuire'},YES
1841,1996 (69th),Actor -- Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire {'Rod Tidwell'},YES
1976,1995 (68th),Actor -- Supporting Role,Kevin Spacey,The Usual Suspects {'Roger 'Verbal' Kint'},YES
2114,1994 (67th),Actor -- Supporting Role,Martin Landau,Ed Wood {'Bela Lugosi'},YES
2253,1993 (66th),Actor -- Supporting Role,Tommy Lee Jones,The Fugitive {'Samuel Gerard'},YES
2371,1992 (65th),Actor -- Supporting Role,Gene Hackman,Unforgiven {'Little Bill Daggett'},YES
2500,1991 (64th),Actor -- Supporting Role,Jack Palance,City Slickers {'Curly'},YES
2625,1990 (63rd),Actor -- Supporting Role,Joe Pesci,Good Fellas {'Tommy DeVito'},YES
2754,1989 (62nd),Actor -- Supporting Role,Denzel Washington,Glory {'Trip'},YES
2865,1988 (61st),Actor -- Supporting Role,Kevin Kline,A Fish Called Wanda {'Otto'},YES
2989,1987 (60th),Actor -- Supporting Role,Sean Connery,The Untouchables {'Jim Malone'},YES
3108,1986 (59th),Actor -- Supporting Role,Michael Caine,Hannah and Her Sisters {'Elliot'},YES
3230,1985 (58th),Actor -- Supporting Role,Don Ameche,Cocoon {'Art Selwyn'},YES
3349,1984 (57th),Actor -- Supporting Role,Haing S. Ngor,The Killing Fields {'Dith Pran'},YES
3469,1983 (56th),Actor -- Supporting Role,Jack Nicholson,Terms of Endearment {'Garrett Breedlove'},YES
3584,1982 (55th),Actor -- Supporting Role,"Louis Gossett, Jr.",An Officer and a Gentleman {'Sgt. Emil Foley'},YES
3707,1981 (54th),Actor -- Supporting Role,John Gielgud,Arthur {'Hobson'},YES
3827,1980 (53rd),Actor -- Supporting Role,Timothy Hutton,Ordinary People {'Conrad Jarrett'},YES
3939,1979 (52nd),Actor -- Supporting Role,Melvyn Douglas,Being There {'Benjamin Rand'},YES
4067,1978 (51st),Actor -- Supporting Role,Christopher Walken,The Deer Hunter {'Nick'},YES
4187,1977 (50th),Actor -- Supporting Role,Jason Robards,Julia {'Dashiell Hammett'},YES
4312,1976 (49th),Actor -- Supporting Role,Jason Robards,All the President's Men {'Ben Bradlee'},YES
4422,1975 (48th),Actor -- Supporting Role,George Burns,The Sunshine Boys {'Al Lewis'},YES
4542,1974 (47th),Actor -- Supporting Role,Robert De Niro,The Godfather Part II {'Vito Corleone'},YES
4657,1973 (46th),Actor -- Supporting Role,John Houseman,The Paper Chase {'Professor Kingsfield'},YES
4767,1972 (45th),Actor -- Supporting Role,Joel Grey,Cabaret {'The Master of Ceremonies'},YES
4881,1971 (44th),Actor -- Supporting Role,Ben Johnson,The Last Picture Show {'Sam the Lion'},YES
4992,1970 (43rd),Actor -- Supporting Role,John Mills,Ryan's Daughter {'Michael'},YES
5104,1969 (42nd),Actor -- Supporting Role,Gig Young,"They Shoot Horses, Don't They? {'Rocky'}",YES
5212,1968 (41st),Actor -- Supporting Role,Jack Albertson,The Subject Was Roses {'John Cleary'},YES
5335,1967 (40th),Actor -- Supporting Role,George Kennedy,Cool Hand Luke {'Dragline'},YES
5447,1966 (39th),Actor -- Supporting Role,Walter Matthau,The Fortune Cookie {'Willie Gingrich'},YES
5574,1965 (38th),Actor -- Supporting Role,Martin Balsam,A Thousand Clowns {'Arnold Burns'},YES
5705,1964 (37th),Actor -- Supporting Role,Peter Ustinov,Topkapi {'Arthur Simpson'},YES
5835,1963 (36th),Actor -- Supporting Role,Melvyn Douglas,Hud {'Homer Bannon'},YES
5958,1962 (35th),Actor -- Supporting Role,Ed Begley,Sweet Bird of Youth {'Tom 'Boss' Finley'},YES
6082,1961 (34th),Actor -- Supporting Role,George Chakiris,West Side Story {'Bernardo'},YES
6214,1960 (33rd),Actor -- Supporting Role,Peter Ustinov,Spartacus {'Batiatus'},YES
6338,1959 (32nd),Actor -- Supporting Role,Hugh Griffith,Ben-Hur {'Sheik Ilderim'},YES
6466,1958 (31st),Actor -- Supporting Role,Burl Ives,The Big Country {'Rufus Hannassey'},YES
6579,1957 (30th),Actor -- Supporting Role,Red Buttons,Sayonara {'Joe Kelly'},YES
6687,1956 (29th),Actor -- Supporting Role,Anthony Quinn,Lust for Life {'Paul Gauguin'},YES
6820,1955 (28th),Actor -- Supporting Role,Jack Lemmon,Mister Roberts {'Ensign Pulver'},YES
6953,1954 (27th),Actor -- Supporting Role,Edmond O'Brien,The Barefoot Contessa {'Oscar Muldoon'},YES
7095,1953 (26th),Actor -- Supporting Role,Frank Sinatra,From Here to Eternity {'Angelo Maggio'},YES
7231,1952 (25th),Actor -- Supporting Role,Anthony Quinn,Viva Zapata! {'Eufemio Zapata'},YES
7367,1951 (24th),Actor -- Supporting Role,Karl Malden,A Streetcar Named Desire {'Mitch'},YES
7495,1950 (23rd),Actor -- Supporting Role,George Sanders,All about Eve {'Addison De Witt'},YES
7609,1949 (22nd),Actor -- Supporting Role,Dean Jagger,Twelve O'Clock High {'Major Stovall'},YES
7733,1948 (21st),Actor -- Supporting Role,Walter Huston,The Treasure of the Sierra Madre {'Howard'},YES
7847,1947 (20th),Actor -- Supporting Role,Edmund Gwenn,Miracle on 34th Street {'Kris Kringle'},YES
7962,1946 (19th),Actor -- Supporting Role,Harold Russell,The Best Years of Our Lives {'Homer Parrish'},YES
8076,1945 (18th),Actor -- Supporting Role,James Dunn,A Tree Grows in Brooklyn {'Johnny Nolan'},YES
8238,1944 (17th),Actor -- Supporting Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},YES
8419,1943 (16th),Actor -- Supporting Role,Charles Coburn,The More the Merrier {'Benjamin Dingle'},YES
8607,1942 (15th),Actor -- Supporting Role,Van Heflin,Johnny Eager {'Jeff Hartnett'},YES
8798,1941 (14th),Actor -- Supporting Role,Donald Crisp,How Green Was My Valley {'Mr. Morgan'},YES
