Year,Category,Nominee,Movie,Winner
1973 (46th),Actress -- Supporting Role,Tatum O'Neal,Paper Moon {'Addie Loggins'},YES
1972 (45th),Actress -- Supporting Role,Eileen Heckart,Butterflies Are Free {'Mrs. Baker'},YES
1971 (44th),Actress -- Supporting Role,Cloris Leachman,The Last Picture Show {'Ruth Popper'},YES
1970 (43rd),Actress -- Supporting Role,Helen Hayes,Airport {'Ada Quonsett'},YES
1969 (42nd),Actress -- Supporting Role,Goldie Hawn,Cactus Flower {'Toni Simmons'},YES
1968 (41st),Actress -- Supporting Role,Ruth Gordon,Rosemary's Baby {'Minnie Castevet'},YES
1967 (40th),Actress -- Supporting Role,Estelle Parsons,Bonnie and Clyde {'Blanche Barrow'},YES
1966 (39th),Actress -- Supporting Role,Sandy Dennis,Who's Afraid of Virginia Woolf? {'Honey'},YES
1965 (38th),Actress -- Supporting Role,Shelley Winters,A Patch of Blue {'Rose-Ann D'Arcey'},YES
1964 (37th),Actress -- Supporting Role,Lila Kedrova,Zorba the Greek {'Madame Hortense'},YES
1963 (36th),Actress -- Supporting Role,Margaret Rutherford,The V.I.P.s {'Duchess of Brighton'},YES
1962 (35th),Actress -- Supporting Role,Patty Duke,The Miracle Worker {'Helen Keller'},YES
1961 (34th),Actress -- Supporting Role,Rita Moreno,West Side Story {'Anita'},YES
1960 (33rd),Actress -- Supporting Role,Shirley Jones,Elmer Gantry {'Lulu Bains'},YES
1959 (32nd),Actress -- Supporting Role,Shelley Winters,The Diary of Anne Frank {'Mrs. Van Daan'},YES
1958 (31st),Actress -- Supporting Role,Wendy Hiller,Separate Tables {'Pat Cooper'},YES
1957 (30th),Actress -- Supporting Role,Miyoshi Umeki,Sayonara {'Katsumi'},YES
1956 (29th),Actress -- Supporting Role,Dorothy Malone,Written on the Wind {'Marylee Hadley'},YES
1955 (28th),Actress -- Supporting Role,Jo Van Fleet,East of Eden {'Kate'},YES
1954 (27th),Actress -- Supporting Role,Eva Marie Saint,On the Waterfront {'Edie Doyle'},YES
1953 (26th),Actress -- Supporting Role,Donna Reed,From Here to Eternity {'Lorene/Alma'},YES
1952 (25th),Actress -- Supporting Role,Gloria Grahame,The Bad and the Beautiful {'Rosemary Bartlow'},YES
1951 (24th),Actress -- Supporting Role,Kim Hunter,A Streetcar Named Desire {'Stella Kowalski'},YES
1950 (23rd),Actress -- Supporting Role,Josephine Hull,Harvey {'Veta Louise Simmons'},YES
1949 (22nd),Actress -- Supporting Role,Mercedes McCambridge,All the King's Men {'Sadie Burke'},YES
1948 (21st),Actress -- Supporting Role,Claire Trevor,Key Largo {'Gaye'},YES
1947 (20th),Actress -- Supporting Role,Celeste Holm,Gentleman's Agreement {'Anne'},YES
1946 (19th),Actress -- Supporting Role,Anne Baxter,The Razor's Edge {'Sophie MacDonald'},YES
1945 (18th),Actress -- Supporting Role,Anne Revere,National Velvet {'Mrs. Brown'},YES
1944 (17th),Actress -- Supporting Role,Ethel Barrymore,None but the Lonely Heart {'Ma Mott'},YES
1943 (16th),Actress -- Supporting Role,Katina Paxinou,For Whom the Bell Tolls {'Pilar'},YES
1942 (15th),Actress -- Supporting Role,Teresa Wright,Mrs. Miniver {'Carol Beldon'},YES
1941 (14th),Actress -- Supporting Role,Mary Astor,The Great Lie {'Sandra Kovak'},YES
1940 (13th),Actress -- Supporting Role,Jane Darwell,The Grapes of Wrath {'Ma Joad'},YES
1939 (12th),Actress -- Supporting Role,Hattie McDaniel,Gone with the Wind {'Mammy'},YES
1938 (11th),Actress -- Supporting Role,Fay Bainter,Jezebel {'Aunt Belle Massey'},YES
1937 (10th),Actress -- Supporting Role,Alice Brady,In Old Chicago {'Molly O'Leary'},YES
1936 (9th),Actress -- Supporting Role,Gale Sondergaard,Anthony Adverse {'Faith Paleologue'},YES
2010 (83rd),Actor -- Leading Role,Colin Firth,The King's Speech {'King George VI'},YES
2009 (82nd),Actor -- Leading Role,Jeff Bridges,Crazy Heart {'Bad Blake'},YES
2008 (81st),Actor -- Leading Role,Sean Penn,Milk {'Harvey Milk'},YES
2007 (80th),Actor -- Leading Role,Daniel Day-Lewis,There Will Be Blood {'Daniel Plainview'},YES
2006 (79th),Actor -- Leading Role,Forest Whitaker,The Last King of Scotland {'Idi Amin'},YES
2005 (78th),Actor -- Leading Role,Philip Seymour Hoffman,Capote {'Truman Capote'},YES
2004 (77th),Actor -- Leading Role,Jamie Foxx,Ray {'Ray Charles'},YES
2003 (76th),Actor -- Leading Role,Sean Penn,Mystic River {'Jimmy Markum'},YES
2002 (75th),Actor -- Leading Role,Adrien Brody,The Pianist {'Wladyslaw Szpilman'},YES
2001 (74th),Actor -- Leading Role,Denzel Washington,Training Day {'Alonzo'},YES
2000 (73rd),Actor -- Leading Role,Russell Crowe,Gladiator {'Maximus Decimus Meridius'},YES
1999 (72nd),Actor -- Leading Role,Kevin Spacey,American Beauty {'Lester Burnham'},YES
1998 (71st),Actor -- Leading Role,Roberto Benigni,Life Is Beautiful {'Guido'},YES
1997 (70th),Actor -- Leading Role,Jack Nicholson,As Good as It Gets {'Melvin Udall'},YES
1996 (69th),Actor -- Leading Role,Geoffrey Rush,Shine {'David Helfgott'},YES
1995 (68th),Actor -- Leading Role,Nicolas Cage,Leaving Las Vegas {'Ben Sanderson'},YES
1994 (67th),Actor -- Leading Role,Tom Hanks,Forrest Gump {'Forrest Gump'},YES
1993 (66th),Actor -- Leading Role,Tom Hanks,Philadelphia {'Andrew Beckett'},YES
1992 (65th),Actor -- Leading Role,Al Pacino,Scent of a Woman {'Lt. Col. Frank Slade'},YES
1991 (64th),Actor -- Leading Role,Anthony Hopkins,The Silence of the Lambs {'Dr. Hannibal Lecter'},YES
1990 (63rd),Actor -- Leading Role,Jeremy Irons,Reversal of Fortune {'Claus Von Bulow'},YES
1989 (62nd),Actor -- Leading Role,Daniel Day Lewis,My Left Foot {'Christy Brown'},YES
1988 (61st),Actor -- Leading Role,Dustin Hoffman,Rain Man {'Raymond Babbitt'},YES
1987 (60th),Actor -- Leading Role,Michael Douglas,Wall Street {'Gordon Gekko'},YES
1986 (59th),Actor -- Leading Role,Paul Newman,The Color of Money {'Eddie Felson'},YES
1985 (58th),Actor -- Leading Role,William Hurt,Kiss of the Spider Woman {'Luis Molina'},YES
1984 (57th),Actor -- Leading Role,F. Murray Abraham,Amadeus {'Antonio Salieri'},YES
1983 (56th),Actor -- Leading Role,Robert Duvall,Tender Mercies {'Mac Sledge'},YES
1982 (55th),Actor -- Leading Role,Ben Kingsley,Gandhi {'Mahatma Gandhi'},YES
1981 (54th),Actor -- Leading Role,Henry Fonda,"On Golden Pond {'Norman Thayer, Jr.'}",YES
1980 (53rd),Actor -- Leading Role,Robert De Niro,Raging Bull {'Jake LaMotta'},YES
1979 (52nd),Actor -- Leading Role,Dustin Hoffman,Kramer vs. Kramer {'Ted Kramer'},YES
1978 (51st),Actor -- Leading Role,Jon Voight,Coming Home {'Luke Martin'},YES
1977 (50th),Actor -- Leading Role,Richard Dreyfuss,The Goodbye Girl {'Elliot Garfield'},YES
1976 (49th),Actor -- Leading Role,Peter Finch,Network {'Howard Beale'},YES
1975 (48th),Actor -- Leading Role,Jack Nicholson,One Flew over the Cuckoo's Nest {'Randle Patrick McMurphy'},YES
1974 (47th),Actor -- Leading Role,Art Carney,Harry and Tonto {'Harry'},YES
1973 (46th),Actor -- Leading Role,Jack Lemmon,Save the Tiger {'Harry Stoner'},YES
1972 (45th),Actor -- Leading Role,Marlon Brando,The Godfather {'Don Vito Corleone'},YES
1971 (44th),Actor -- Leading Role,Gene Hackman,The French Connection {'Jimmy 'Popeye' Doyle'},YES
1970 (43rd),Actor -- Leading Role,George C. Scott,"Patton {'General George S. Patton, Jr.'}",YES
1969 (42nd),Actor -- Leading Role,John Wayne,True Grit {'Rooster Cogburn'},YES
1968 (41st),Actor -- Leading Role,Cliff Robertson,Charly {'Charly Gordon'},YES
1967 (40th),Actor -- Leading Role,Rod Steiger,In the Heat of the Night {'Police Chief Bill Gillespie'},YES
1966 (39th),Actor -- Leading Role,Paul Scofield,A Man for All Seasons {'Sir Thomas More'},YES
1965 (38th),Actor -- Leading Role,Lee Marvin,Cat Ballou {'Kid Shelleen/Tim Strawn'},YES
1964 (37th),Actor -- Leading Role,Rex Harrison,My Fair Lady {'Professor Henry Higgins'},YES
1963 (36th),Actor -- Leading Role,Sidney Poitier,Lilies of the Field {'Homer Smith'},YES
1962 (35th),Actor -- Leading Role,Gregory Peck,To Kill a Mockingbird {'Atticus Finch'},YES
1961 (34th),Actor -- Leading Role,Maximilian Schell,Judgment at Nuremberg {'Hans Rolfe'},YES
1960 (33rd),Actor -- Leading Role,Burt Lancaster,Elmer Gantry {'Elmer Gantry'},YES
1959 (32nd),Actor -- Leading Role,Charlton Heston,Ben-Hur {'Judah Ben-Hur'},YES
1958 (31st),Actor -- Leading Role,David Niven,Separate Tables {'Major Pollock'},YES
1957 (30th),Actor -- Leading Role,Alec Guinness,The Bridge on the River Kwai {'Colonel Nicholson'},YES
1956 (29th),Actor -- Leading Role,Yul Brynner,The King and I {'The King'},YES
1955 (28th),Actor -- Leading Role,Ernest Borgnine,Marty {'Marty Pilletti'},YES
1954 (27th),Actor -- Leading Role,Marlon Brando,On the Waterfront {'Terry Malloy'},YES
1953 (26th),Actor -- Leading Role,William Holden,Stalag 17 {'Sefton'},YES
1952 (25th),Actor -- Leading Role,Gary Cooper,High Noon {'Will Kane'},YES
1951 (24th),Actor -- Leading Role,Humphrey Bogart,The African Queen {'Charlie Allnut'},YES
1950 (23rd),Actor -- Leading Role,José Ferrer,Cyrano de Bergerac {'Cyrano de Bergerac'},YES
1949 (22nd),Actor -- Leading Role,Broderick Crawford,All the King's Men {'Willie Stark'},YES
1948 (21st),Actor -- Leading Role,Laurence Olivier,Hamlet {'Hamlet'},YES
1947 (20th),Actor -- Leading Role,Ronald Colman,A Double Life {'Anthony John'},YES
1946 (19th),Actor -- Leading Role,Fredric March,The Best Years of Our Lives {'Al Stephenson'},YES
1945 (18th),Actor -- Leading Role,Ray Milland,The Lost Weekend {'Don Birnam'},YES
1944 (17th),Actor -- Leading Role,Bing Crosby,Going My Way {'Father O'Malley'},YES
1943 (16th),Actor -- Leading Role,Paul Lukas,Watch on the Rhine {'Kurt Muller'},YES
1942 (15th),Actor -- Leading Role,James Cagney,Yankee Doodle Dandy {'George M. Cohan'},YES
1941 (14th),Actor -- Leading Role,Gary Cooper,Sergeant York {'Alvin C. York'},YES
1940 (13th),Actor -- Leading Role,James Stewart,The Philadelphia Story {'Mike Connor'},YES
1939 (12th),Actor -- Leading Role,Robert Donat,"Goodbye, Mr. Chips {'Mr. Chips'}",YES
1938 (11th),Actor -- Leading Role,Spencer Tracy,Boys Town {'Father Flanagan'},YES
1937 (10th),Actor -- Leading Role,Spencer Tracy,Captains Courageous {'Manuel'},YES
1936 (9th),Actor -- Leading Role,Paul Muni,The Story of Louis Pasteur {'Louis Pasteur'},YES
1935 (8th),Actor -- Leading Role,Victor McLaglen,The Informer {'Gypo Nolan'},YES
1934 (7th),Actor -- Leading Role,Clark Gable,It Happened One Night {'Peter Warne'},YES
1932/33 (6th),Actor -- Leading Role,Charles Laughton,The Private Life of Henry VIII {'Henry VIII'},YES
1931/32 (5th),Actor -- Leading Role,Wallace Beery,The Champ {'Champ'},YES
1931/32 (5th),Actor -- Leading Role,Fredric March,Dr. Jekyll and Mr. Hyde {'Dr. Henry Jekyll/Mr. Hyde'},YES
1930/31 (4th),Actor -- Leading Role,Lionel Barrymore,A Free Soul {'Stephen Ashe'},YES
1929/30 (3rd),Actor -- Leading Role,George Arliss,Disraeli {'Benjamin Disraeli'},YES
1928/29 (2nd),Actor -- Leading Role,Warner Baxter,In Old Arizona {'The Cisco Kid'},YES
1927/28 (1st),Actor -- Leading Role,Emil Jannings,The Last Command {'General Dolgorucki [Grand Duke Sergius Alexander]'}; and The Way of All Flesh {'August Schilling'},YES
1927/28 (1st),Actor -- Leading Role,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]",nan,YES
2010 (83rd),Actress -- Leading Role,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},YES
2009 (82nd),Actress -- Leading Role,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},YES
2008 (81st),Actress -- Leading Role,Kate Winslet,The Reader {'Hanna Schmitz'},YES
2007 (80th),Actress -- Leading Role,Marion Cotillard,La Vie en Rose {'Edith Piaf'},YES
2006 (79th),Actress -- Leading Role,Helen Mirren,The Queen {'The Queen'},YES
2005 (78th),Actress -- Leading Role,Reese Witherspoon,Walk the Line {'June Carter'},YES
2004 (77th),Actress -- Leading Role,Hilary Swank,Million Dollar Baby {'Maggie Fitzgerald'},YES
2003 (76th),Actress -- Leading Role,Charlize Theron,Monster {'Aileen Wuornos'},YES
2002 (75th),Actress -- Leading Role,Nicole Kidman,The Hours {'Virginia Woolf'},YES
2001 (74th),Actress -- Leading Role,Halle Berry,Monster's Ball {'Leticia Musgrove'},YES
2000 (73rd),Actress -- Leading Role,Julia Roberts,Erin Brockovich {'Erin Brockovich'},YES
1999 (72nd),Actress -- Leading Role,Hilary Swank,Boys Don't Cry {'Brandon Teena/Teena Brandon'},YES
1998 (71st),Actress -- Leading Role,Gwyneth Paltrow,Shakespeare in Love {'Viola De Lesseps'},YES
1997 (70th),Actress -- Leading Role,Helen Hunt,As Good as It Gets {'Carol Connelly'},YES
1996 (69th),Actress -- Leading Role,Frances McDormand,Fargo {'Marge Gunderson'},YES
1995 (68th),Actress -- Leading Role,Susan Sarandon,Dead Man Walking {'Sister Helen Prejean'},YES
1994 (67th),Actress -- Leading Role,Jessica Lange,Blue Sky {'Carly Marshall'},YES
1993 (66th),Actress -- Leading Role,Holly Hunter,The Piano {'Ada'},YES
1992 (65th),Actress -- Leading Role,Emma Thompson,Howards End {'Margaret Schlegel'},YES
1991 (64th),Actress -- Leading Role,Jodie Foster,The Silence of the Lambs {'Clarice Starling'},YES
1990 (63rd),Actress -- Leading Role,Kathy Bates,Misery {'Annie Wilkes'},YES
1989 (62nd),Actress -- Leading Role,Jessica Tandy,Driving Miss Daisy {'Daisy Werthan'},YES
1988 (61st),Actress -- Leading Role,Jodie Foster,The Accused {'Sarah Tobias'},YES
1987 (60th),Actress -- Leading Role,Cher,Moonstruck {'Loretta Castorini'},YES
1986 (59th),Actress -- Leading Role,Marlee Matlin,Children of a Lesser God {'Sarah'},YES
1985 (58th),Actress -- Leading Role,Geraldine Page,The Trip to Bountiful {'Mrs. Watts'},YES
1984 (57th),Actress -- Leading Role,Sally Field,Places in the Heart {'Edna Spalding'},YES
1983 (56th),Actress -- Leading Role,Shirley MacLaine,Terms of Endearment {'Aurora Greenway'},YES
1982 (55th),Actress -- Leading Role,Meryl Streep,Sophie's Choice {'Sophie'},YES
1981 (54th),Actress -- Leading Role,Katharine Hepburn,On Golden Pond {'Ethel Thayer'},YES
1980 (53rd),Actress -- Leading Role,Sissy Spacek,Coal Miner's Daughter {'Loretta Lynn'},YES
1979 (52nd),Actress -- Leading Role,Sally Field,Norma Rae {'Norma Rae'},YES
1978 (51st),Actress -- Leading Role,Jane Fonda,Coming Home {'Sally Hyde'},YES
1977 (50th),Actress -- Leading Role,Diane Keaton,Annie Hall {'Annie Hall'},YES
1976 (49th),Actress -- Leading Role,Faye Dunaway,Network {'Diana Christensen'},YES
1975 (48th),Actress -- Leading Role,Louise Fletcher,One Flew over the Cuckoo's Nest {'Nurse Mildred Ratched'},YES
1974 (47th),Actress -- Leading Role,Ellen Burstyn,Alice Doesn't Live Here Anymore {'Alice Hyatt'},YES
1973 (46th),Actress -- Leading Role,Glenda Jackson,A Touch of Class {'Vicki Allessio'},YES
1972 (45th),Actress -- Leading Role,Liza Minnelli,Cabaret {'Sally Bowles'},YES
1971 (44th),Actress -- Leading Role,Jane Fonda,Klute {'Bree Daniel'},YES
1970 (43rd),Actress -- Leading Role,Glenda Jackson,Women in Love {'Gudrun Brangwen'},YES
1969 (42nd),Actress -- Leading Role,Maggie Smith,The Prime of Miss Jean Brodie {'Miss Jean Brodie'},YES
1968 (41st),Actress -- Leading Role,Katharine Hepburn,The Lion in Winter {'Queen Eleanor of Aquitaine'},YES
1968 (41st),Actress -- Leading Role,Barbra Streisand,Funny Girl {'Fanny Brice'},YES
1967 (40th),Actress -- Leading Role,Katharine Hepburn,Guess Who's Coming to Dinner {'Christina Drayton'},YES
1966 (39th),Actress -- Leading Role,Elizabeth Taylor,Who's Afraid of Virginia Woolf? {'Martha'},YES
1965 (38th),Actress -- Leading Role,Julie Christie,Darling {'Diana Scott'},YES
1964 (37th),Actress -- Leading Role,Julie Andrews,Mary Poppins {'Mary Poppins'},YES
1963 (36th),Actress -- Leading Role,Patricia Neal,Hud {'Alma'},YES
1962 (35th),Actress -- Leading Role,Anne Bancroft,The Miracle Worker {'Annie Sullivan'},YES
1961 (34th),Actress -- Leading Role,Sophia Loren,Two Women {'Cesira'},YES
1960 (33rd),Actress -- Leading Role,Elizabeth Taylor,Butterfield 8 {'Gloria Wandrous'},YES
1959 (32nd),Actress -- Leading Role,Simone Signoret,Room at the Top {'Alice Aisgill'},YES
1958 (31st),Actress -- Leading Role,Susan Hayward,I Want to Live! {'Barbara Graham'},YES
1957 (30th),Actress -- Leading Role,Joanne Woodward,The Three Faces of Eve {'Eve White/Eve Black/Jane'},YES
1956 (29th),Actress -- Leading Role,Ingrid Bergman,Anastasia {'The Woman'},YES
1955 (28th),Actress -- Leading Role,Anna Magnani,The Rose Tattoo {'Serafina Della Rose'},YES
1954 (27th),Actress -- Leading Role,Grace Kelly,The Country Girl {'Georgie Elgin'},YES
1953 (26th),Actress -- Leading Role,Audrey Hepburn,Roman Holiday {'Princess Anne'},YES
1952 (25th),Actress -- Leading Role,Shirley Booth,"Come Back, Little Sheba {'Lola Delaney'}",YES
1951 (24th),Actress -- Leading Role,Vivien Leigh,A Streetcar Named Desire {'Blanche DuBois'},YES
1950 (23rd),Actress -- Leading Role,Judy Holliday,Born Yesterday {'Billie Dawn'},YES
1949 (22nd),Actress -- Leading Role,Olivia de Havilland,The Heiress {'Catherine Sloper'},YES
1948 (21st),Actress -- Leading Role,Jane Wyman,Johnny Belinda {'Belinda McDonald'},YES
1947 (20th),Actress -- Leading Role,Loretta Young,The Farmer's Daughter {'Katrin Holstrom'},YES
1946 (19th),Actress -- Leading Role,Olivia de Havilland,To Each His Own {'Jody Norris'},YES
1945 (18th),Actress -- Leading Role,Joan Crawford,Mildred Pierce {'Mildred Pierce'},YES
1944 (17th),Actress -- Leading Role,Ingrid Bergman,Gaslight {'Paula Alquist'},YES
1943 (16th),Actress -- Leading Role,Jennifer Jones,The Song of Bernadette {'Bernadette Soubirous'},YES
1942 (15th),Actress -- Leading Role,Greer Garson,Mrs. Miniver {'Kay Miniver'},YES
1941 (14th),Actress -- Leading Role,Joan Fontaine,Suspicion {'Lina McLaidlaw'},YES
1940 (13th),Actress -- Leading Role,Ginger Rogers,Kitty Foyle {'Kitty Foyle'},YES
1939 (12th),Actress -- Leading Role,Vivien Leigh,Gone with the Wind {'Scarlett O'Hara'},YES
1938 (11th),Actress -- Leading Role,Bette Davis,Jezebel {'Julie Morrison'},YES
1937 (10th),Actress -- Leading Role,Luise Rainer,The Good Earth {'O-Lan'},YES
1936 (9th),Actress -- Leading Role,Luise Rainer,The Great Ziegfeld {'Anna Held'},YES
1935 (8th),Actress -- Leading Role,Bette Davis,Dangerous {'Joyce Heath'},YES
1934 (7th),Actress -- Leading Role,Claudette Colbert,It Happened One Night {'Ellie Andrews'},YES
1932/33 (6th),Actress -- Leading Role,Katharine Hepburn,Morning Glory {'Eva Lovelace'},YES
1931/32 (5th),Actress -- Leading Role,Helen Hayes,The Sin of Madelon Claudet {'Madelon'},YES
1930/31 (4th),Actress -- Leading Role,Marie Dressler,Min and Bill {'Min'},YES
1929/30 (3rd),Actress -- Leading Role,Norma Shearer,The Divorcee {'Jerry'},YES
1928/29 (2nd),Actress -- Leading Role,Mary Pickford,Coquette {'Norma Besant'},YES
1927/28 (1st),Actress -- Leading Role,Janet Gaynor,7th Heaven {'Diane'}; Street Angel {'Angela'}; and Sunrise {'The Wife'},YES
2010 (83rd),Directing,The King's Speech,Tom Hooper,YES
2009 (82nd),Directing,The Hurt Locker,Kathryn Bigelow,YES
2008 (81st),Directing,Slumdog Millionaire,Danny Boyle,YES
2007 (80th),Directing,No Country for Old Men,Joel Coen and Ethan Coen,YES
2006 (79th),Directing,The Departed,Martin Scorsese,YES
2005 (78th),Directing,Brokeback Mountain,Ang Lee,YES
2004 (77th),Directing,Million Dollar Baby,Clint Eastwood,YES
2003 (76th),Directing,The Lord of the Rings: The Return of the King,Peter Jackson,YES
2002 (75th),Directing,The Pianist,Roman Polanski,YES
2001 (74th),Directing,A Beautiful Mind,Ron Howard,YES
2000 (73rd),Directing,Traffic,Steven Soderbergh,YES
1999 (72nd),Directing,American Beauty,Sam Mendes,YES
1998 (71st),Directing,Saving Private Ryan,Steven Spielberg,YES
1997 (70th),Directing,Titanic,James Cameron,YES
1996 (69th),Directing,The English Patient,Anthony Minghella,YES
1995 (68th),Directing,Braveheart,Mel Gibson,YES
1994 (67th),Directing,Forrest Gump,Robert Zemeckis,YES
1993 (66th),Directing,Schindler's List,Steven Spielberg,YES
1992 (65th),Directing,Unforgiven,Clint Eastwood,YES
1991 (64th),Directing,The Silence of the Lambs,Jonathan Demme,YES
1990 (63rd),Directing,Dances With Wolves,Kevin Costner,YES
1989 (62nd),Directing,Born on the Fourth of July,Oliver Stone,YES
1988 (61st),Directing,Rain Man,Barry Levinson,YES
1987 (60th),Directing,The Last Emperor,Bernardo Bertolucci,YES
1986 (59th),Directing,Platoon,Oliver Stone,YES
1985 (58th),Directing,Out of Africa,Sydney Pollack,YES
1984 (57th),Directing,Amadeus,Milos Forman,YES
1983 (56th),Directing,Terms of Endearment,James L. Brooks,YES
1982 (55th),Directing,Gandhi,Richard Attenborough,YES
1981 (54th),Directing,Reds,Warren Beatty,YES
1980 (53rd),Directing,Ordinary People,Robert Redford,YES
1979 (52nd),Directing,Kramer vs. Kramer,Robert Benton,YES
1978 (51st),Directing,The Deer Hunter,Michael Cimino,YES
1977 (50th),Directing,Annie Hall,Woody Allen,YES
1976 (49th),Directing,Rocky,John G. Avildsen,YES
1975 (48th),Directing,One Flew over the Cuckoo's Nest,Milos Forman,YES
1974 (47th),Directing,The Godfather Part II,Francis Ford Coppola,YES
1973 (46th),Directing,The Sting,George Roy Hill,YES
1972 (45th),Directing,Cabaret,Bob Fosse,YES
1971 (44th),Directing,The French Connection,William Friedkin,YES
1970 (43rd),Directing,Patton,Franklin J. Schaffner,YES
1969 (42nd),Directing,Midnight Cowboy,John Schlesinger,YES
2010 (83rd),Actor -- Supporting Role,Christian Bale,The Fighter {'Dicky Eklund'},YES
2009 (82nd),Actor -- Supporting Role,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},YES
2008 (81st),Actor -- Supporting Role,Heath Ledger,The Dark Knight {'Joker'},YES
2007 (80th),Actor -- Supporting Role,Javier Bardem,No Country for Old Men {'Anton Chigurh'},YES
2006 (79th),Actor -- Supporting Role,Alan Arkin,Little Miss Sunshine {'Grandpa'},YES
2005 (78th),Actor -- Supporting Role,George Clooney,Syriana {'Bob Barnes'},YES
2004 (77th),Actor -- Supporting Role,Morgan Freeman,Million Dollar Baby {'Eddie Scrap-Iron Dupris'},YES
2003 (76th),Actor -- Supporting Role,Tim Robbins,Mystic River {'Dave Boyle'},YES
2002 (75th),Actor -- Supporting Role,Chris Cooper,Adaptation {'John Laroche'},YES
2001 (74th),Actor -- Supporting Role,Jim Broadbent,Iris {'John Bayley'},YES
