Departamento,N.°,Municipio,Población cabecera,Población resto,Población Total
Valle del Cauca,117,0,40411,17550,57961
Boyacá,118,0,51008,6927,57935
San Andrés y Providencia,119,0,42024,15409,57433
Valle del Cauca,120,0,36160,20973,57133
Nariño,121,0,12304,44222,56526
Arauca,122,0,15678,40531,56209
Guaviare,123,0,38684,17136,55820
Chocó,124,0,15173,40059,55232
Córdoba,125,0,7837,47121,54958
Antioquia,126,0,30958,23481,54439
Antioquia,127,0,23921,30426,54347
Norte de Santander,128,0,50045,3864,53909
Antioquia,129,0,34991,18855,53846
Cauca,130,0,3012,50757,53769
Atlántico,131,0,46952,6697,53649
Córdoba,132,0,9278,43716,52994
Caquetá,133,0,24938,27655,52593
Caldas,134,0,46220,6047,52267
Caldas,135,0,18662,33294,51956
Antioquia,136,0,37144,13999,51143
Sucre,137,0,19722,31387,51109
Cesar,138,0,39219,11727,50946
Tolima,139,0,28976,21765,50741
Amazonas,140,0,35191,14546,49737
La Guajira,141,0,35079,14505,49584
Valle del Cauca,142,0,11025,37990,49015
Arauca,143,0,28711,20258,48969
Sucre,144,0,24511,24308,48819
Córdoba,145,0,20010,28684,48694
Bolívar,146,0,21352,27105,48457
Boyacá,147,0,34551,13720,48271
Valle del Cauca,148,0,42052,6113,48165
Córdoba,149,0,10026,38016,48042
Córdoba,150,0,27729,19518,47247
Cundinamarca,151,0,36231,10680,46911
Cauca,152,0,2801,43941,46742
Bolívar,153,0,23649,22759,46408
Cundinamarca,154,0,18488,27226,45714
Nariño,155,0,17215,27360,44575
La Guajira,156,0,39662,4882,44544
Antioquia,157,0,21456,22743,44199
Santander,158,0,24701,19468,44169
Antioquia,159,0,11861,32257,44118
Meta,160,0,21726,21879,43605
Córdoba,161,0,13550,30023,43573
Cesar,162,0,40562,2764,43326
Cauca,163,0,2209,40624,42833
Antioquia,164,0,30827,11851,42678
Valle del Cauca,165,0,32227,10180,42407
La Guajira,166,0,5796,36264,42060
Cauca,167,0,14332,27505,41837
Cauca,168,0,35821,5972,41793
Cauca,169,0,2181,39589,41770
Magdalena,170,0,24803,16689,41492
Valle del Cauca,171,0,31331,9822,41153
Cesar,172,0,7422,33436,40858
Antioquia,173,0,35038,5675,40713
Cauca,174,0,2471,37613,40084
Cesar,175,0,27954,11713,39667
Antioquia,176,0,32396,6983,39379
Magdalena,177,0,22722,16251,38973
Putumayo,178,0,20787,17957,38744
Bolívar,179,0,28513,10016,38529
La Guajira,180,0,18469,19879,38348
Tolima,181,0,28263,10070,38333
Sucre,182,0,10859,27447,38306
Cauca,183,0,4377,33686,38063
Casanare,184,0,27750,10260,38010
Antioquia,185,0,21602,16267,37869
Tolima,186,0,30709,6973,37682
Quindío,187,0,31015,6503,37518
Cauca,188,0,13619,23875,37494
Casanare,189,0,25302,12045,37347
Córdoba,190,0,9076,27999,37075
Nariño,191,0,6813,30220,37033
Cauca,192,0,4876,32118,36994
Cundinamarca,193,0,24413,12579,36992
Valle del Cauca,194,0,28050,8736,36786
Cauca,195,0,2449,34245,36694
Caldas,196,0,20876,15815,36691
Putumayo,197,0,4792,31873,36665
Cundinamarca,198,0,26509,10149,36658
Antioquia,199,0,17787,18838,36625
Antioquia,200,0,26525,10080,36605
Córdoba,201,0,10341,26145,36486
Córdoba,202,0,16737,19606,36343
Cauca,203,0,14607,21680,36287
Tolima,204,0,23290,12941,36231
Cesar,205,0,14530,21699,36229
Casanare,206,0,26991,9193,36184
Cundinamarca,207,0,19641,16488,36129
Atlántico,208,0,33437,1647,35084
Córdoba,209,0,16091,18944,35035
Quindío,210,0,31530,3273,34803
Boyacá,211,0,21222,13457,34679
Putumayo,212,0,15705,18955,34660
Bolívar,213,0,20993,13575,34568
Santander,214,0,23775,10781,34556
Valle del Cauca,215,0,27603,6890,34493
Santander,216,0,15273,19130,34403
Tolima,217,0,7033,27287,34320
Santander,218,0,17082,17124,34206
Sucre,219,0,27435,6682,34117
Norte de Santander,220,0,17580,16351,33931
Huila,221,0,11327,22400,33727
Guainía,222,0,22251,11432,33683
Santander,223,0,27736,5892,33628
Santander,224,0,12681,20912,33593
Valle del Cauca,225,0,20733,12845,33578
Cundinamarca,226,0,15862,17350,33212
Cundinamarca,227,0,15697,17220,32917
Vaupés,228,0,10399,22394,32793
Tolima,229,0,16654,16118,32772
Santander,230,0,24589,8064,32653
Cauca,231,0,6247,26279,32526
La Guajira,232,0,18836,13429,32265
Magdalena,233,0,10488,21700,32188
Antioquia,234,0,13832,18315,32147
Cauca,235,0,18264,13818,32082
Cauca,236,0,1222,30827,32049
Atlántico,237,0,30211,1789,32000
Sucre,238,0,23146,8757,31903
Magdalena,239,0,20148,11646,31794
Nariño,240,0,12688,19063,31751
Cesar,241,0,23767,7883,31650
Huila,242,0,23818,7539,31357
Antioquia,243,0,15246,16037,31283
Tolima,244,0,15858,15333,31191
Caquetá,245,0,16314,14837,31151
Quindío,246,0,25493,5649,31142
Atlántico,247,0,29786,1252,31038
Antioquia,248,0,16917,13959,30876
Sucre,249,0,7293,23521,30814
Chocó,250,0,22414,8392,30806
Córdoba,251,0,6454,24126,30580
Antioquia,252,0,10450,20060,30510
Chocó,253,0,6938,23534,30472
Antioquia,254,0,5758,24598,30356
Atlántico,255,0,15333,14981,30314
Meta,256,0,18486,11826,30312
Cauca,257,0,5315,24901,30216
Sucre,258,0,6191,23583,29774
Cesar,259,0,17628,12004,29632
Antioquia,260,0,12663,16966,29629
Cesar,261,0,20900,8703,29603
Putumayo,262,0,13296,16198,29494
Cauca,263,0,1306,28135,29441
Cesar,264,0,9414,20023,29437
Norte de Santander,265,0,17956,11436,29392
Caldas,266,0,14008,15355,29363
Bolívar,267,0,10664,18691,29355
La Guajira,268,0,27752,1484,29236
Magdalena,269,0,15039,14120,29159
Cundinamarca,270,0,20199,8929,29128
Quindío,271,0,21935,7125,29060
Cundinamarca,272,0,20942,8057,28999
Cesar,273,0,15730,13039,28769
Bolívar,274,0,23062,5679,28741
Tolima,275,0,24772,3843,28615
Valle del Cauca,276,0,23608,4913,28521
Cesar,277,0,22725,5728,28453
Chocó,278,0,3585,24708,28293
Atlántico,279,0,18882,9220,28102
Meta,280,0,4815,23237,28052
Antioquia,281,0,13608,14387,27995
Risaralda,282,0,27350,631,27981
Magdalena,283,0,8734,19184,27918
Antioquia,284,0,7459,20330,27789
Nariño,285,0,9431,18311,27742
Cauca,286,0,13975,13721,27696
Córdoba,287,0,4704,22664,27368
Antioquia,288,0,14388,12966,27354
Risaralda,289,0,7351,19923,27274
Antioquia,290,0,12804,14382,27186
Antioquia,291,0,15599,11472,27071
Santander,292,0,6622,20440,27062
Antioquia,293,0,17580,9422,27002
Huila,294,0,12726,14155,26881
Norte de Santander,295,0,10285,16519,26804
Cauca,296,0,6287,20320,26607
Cauca,297,0,2707,23881,26588
Meta,298,0,19199,7300,26499
Antioquia,299,0,16283,10030,26313
Caquetá,300,0,14729,11553,26282
Cundinamarca,301,0,11602,14574,26176
Magdalena,302,0,14674,11401,26075
Cundinamarca,303,0,14127,11676,25803
Tolima,304,0,6821,18978,25799
Atlántico,305,0,14679,11049,25728
Huila,306,0,6340,19379,25719
Antioquia,307,0,12012,13691,25703
Cauca,308,0,1344,24268,25612
Nariño,309,0,7568,17975,25543
Cauca,310,0,12530,12910,25440
Huila,311,0,4756,20542,25298
Bolívar,312,0,21753,3478,25231
Santander,313,0,13897,11322,25219
Nariño,314,0,10826,14384,25210
Casanare,315,0,15811,9362,25173
Huila,316,0,11999,13132,25131
Bolívar,317,0,5779,19121,24900
Cundinamarca,318,0,22485,2283,24768
Antioquia,319,0,13568,11189,24757
Antioquia,320,0,8279,16475,24754
Huila,321,0,9913,14813,24726
Risaralda,322,0,12786,11922,24708
Bolívar,323,0,3892,20814,24706
Cauca,324,0,1041,23601,24642
Bolívar,325,0,21121,3431,24552
Tolima,326,0,23253,1289,24542
Valle del Cauca,327,0,12647,11818,24465
Cundinamarca,328,0,8928,15506,24434
Córdoba,329,0,4281,20083,24364
Cundinamarca,330,0,7362,16844,24206
Putumayo,331,0,14588,9508,24096
Cundinamarca,332,0,10331,13765,24096
Magdalena,333,0,7896,16187,24083
Nariño,334,0,6586,17324,23910
Sucre,335,0,11501,12383,23884
Atlántico,336,0,20311,3256,23567
Tolima,337,0,13374,10164,23538
Antioquia,338,0,9380,14129,23509
Antioquia,339,0,7104,16397,23501
Cundinamarca,340,0,7862,15627,23489
Sucre,341,0,11671,11765,23436
Magdalena,342,0,14621,8767,23388
Bolívar,343,0,7638,15710,23348
Cesar,344,0,17382,5926,23308
Sucre,345,0,12483,10755,23238
Meta,346,0,15233,7962,23195
Bolívar,347,0,13218,9879,23097
Cauca,348,0,5972,17125,23097
Caldas,349,0,11803,11245,23048
Valle del Cauca,350,0,10449,12597,23046
Boyacá,351,0,12008,11028,23036
Chocó,352,0,1896,20994,22890
Antioquia,353,0,12996,9889,22885
Atlántico,354,0,14260,8492,22752
Huila,355,0,4596,18133,22729
Tolima,356,0,3757,18860,22617
Valle del Cauca,357,0,17679,4915,22594
Huila,358,0,10969,11606,22575
Nariño,359,0,7354,15196,22550
Tolima,360,0,3884,18606,22490
Antioquia,361,0,5971,16498,22469
Bolívar,362,0,20268,2141,22409
Antioquia,363,0,13870,8521,22391
Cesar,364,0,15450,6841,22291
Sucre,365,0,6771,15518,22289
Cundinamarca,366,0,12281,9997,22278
Huila,367,0,7817,14253,22070
La Guajira,368,0,14014,8019,22033
Norte de Santander,369,0,9480,12446,21926
Santander,370,0,3174,18646,21820
Antioquia,371,0,11857,9912,21769
Antioquia,372,0,7662,14026,21688
Santander,373,0,18770,2902,21672
Antioquia,374,0,6909,14688,21597
Tolima,375,0,10207,11284,21491
Córdoba,376,0,7888,13563,22451
Atlántico,377,0,18815,2627,21442
Cauca,378,0,5420,16017,21437
Cauca,379,0,14488,6840,21328
Magdalena,380,0,8680,12486,21166
Caldas,381,0,12004,9110,21114
Cesar,382,0,11243,9819,21062
Magdalena,383,0,16479,4573,21052
Antioquia,384,0,7122,13828,20950
Antioquia,385,0,9020,11680,20700
Magdalena,386,0,6392,14304,20696
Cesar,387,0,11166,9304,20470
Vichada,388,0,15697,4597,20294
Antioquia,389,0,7910,12377,20287
Arauca,390,0,11112,9036,20148
Córdoba,391,0,11840,8277,20117
Antioquia,392,0,10571,9539,20110
Nariño,393,0,2392,17665,20057
Cauca,394,0,6587,13433,20020
Caldas,395,0,6150,13817,19967
Nariño,396,0,10075,9695,19770
Caldas,397,0,7953,11802,19755
Antioquia,398,0,12989,6720,19709
Cesar,399,0,14734,4971,19705
Norte de Santander,400,0,7833,11814,19647
Córdoba,401,0,6154,13395,19549
Atlántico,402,0,16247,3298,19545
Sucre,403,0,11625,7891,19516
Chocó,404,0,2354,17155,19509
Putumayo,405,0,5168,14266,19434
Caldas,406,0,11541,7852,19393
Cundinamarca,407,0,13570,5806,19376
Nariño,408,0,2965,16374,19339
Córdoba,409,0,3869,15445,19314
Caquetá,410,0,13467,5817,19284
Sucre,411,0,12417,6793,19210
Bolívar,412,0,6345,12798,19143
Bolívar,413,0,12791,6337,19128
Tolima,414,0,4835,14282,19117
Antioquia,415,0,8335,10769,19104
Bolívar,416,0,6543,12491,19034
Valle del Cauca,417,0,8992,9990,18982
Antioquia,418,0,3146,15824,18970
Cauca,419,0,1881,17051,18932
Norte de Santander,420,0,12133,6725,18858
Atlántico,421,0,9436,9410,18846
Boyacá,422,0,7486,11332,18818
Cundinamarca,423,0,8761,9980,18741
Meta,424,0,12429,6229,18658
Nariño,425,0,7992,10651,18643
Cundinamarca,426,0,7168,11474,18642
Tolima,427,0,13908,4709,18617
Sucre,428,0,7425,11176,18601
Cauca,429,0,1932,16636,18568
Caquetá,430,0,9144,9320,18464
Cesar,431,0,6502,11946,18448
Tolima,432,0,9478,8964,18442
Cundinamarca,433,0,7171,11262,18433
Nariño,434,0,2183,16216,18399
Boyacá,435,0,12859,5463,18322
Huila,436,0,5514,12788,18302
Valle del Cauca,437,0,11646,6620,18266
Antioquia,438,0,7044,11217,18261
Cauca,439,0,1283,16894,18177
Casanare,440,0,12751,5258,18009
Cundinamarca,441,0,8343,9613,17956
Chocó,442,0,10724,7189,17913
Córdoba,443,0,3776,14129,17905
Nariño,444,0,3986,13892,17878
Caldas,445,0,10475,7319,17794
Cesar,446,0,8322,9471,17793
Huila,447,0,5582,12147,17729
Norte de Santander,448,0,2769,14901,17670
Bolívar,449,0,4247,13357,17604
Córdoba,450,0,7172,10415,17587
Cauca,451,0,1702,15867,17569
Casanare,452,0,11660,5803,17463
Bolívar,453,0,12992,4420,17412
Valle del Cauca,454,0,10441,6875,17316
Risaralda,455,0,3974,13283,17257
Nariño,456,0,6172,11047,17219
Valle del Cauca,457,0,7776,9425,17201
Atlántico,458,0,12325,4870,17195
Atlántico,459,0,14638,2466,17104
Boyacá,460,0,8365,8608,16973
Cundinamarca,461,0,7153,9781,16934
Meta,462,0,7453,9337,16790
Magdalena,463,0,10820,5965,16785
Cundinamarca,464,0,8487,8256,16743
Magdalena,465,0,4881,11843,16724
Risaralda,466,0,8813,7903,16716
Cundinamarca,467,0,12352,4319,16671
Chocó,468,0,1596,15046,16642
Cundinamarca,469,0,10510,6101,16611
Huila,470,0,10834,5712,16546
Valle del Cauca,471,0,2945,13564,16509
Bolívar,472,0,4091,12383,16474
Risaralda,473,0,2810,13640,16450
Boyacá,474,0,5277,11169,16446
Norte de Santander,475,0,5660,10665,16325
Antioquia,476,0,7572,8629,16201
Valle del Cauca,477,0,8431,7766,16197
Cesar,478,0,6524,9665,16189
Boyacá,479,0,2479,13614,16093
Cundinamarca,480,0,6760,9304,16064
Sucre,481,0,3966,12062,16028
Antioquia,482,0,7222,8795,16017
Putumayo,483,0,6397,9610,16007
Meta,484,0,6498,9408,15906
Antioquia,485,0,4522,11374,15896
Cesar,486,0,10389,5475,15864
Sucre,487,0,9491,6367,15858
Antioquia,488,0,7274,8537,15811
Valle del Cauca,489,0,4452,11262,15714
Chocó,490,0,2349,13334,15683
Caldas,491,0,5138,10543,15681
Antioquia,492,0,8033,7630,15663
Antioquia,493,0,5274,10278,15552
Boyacá,494,0,6011,9535,15546
Antioquia,495,0,6901,8611,15512
Nariño,496,0,3071,12406,15477
Putumayo,497,0,10150,5323,15473
Valle del Cauca,498,0,7348,8115,15463
Bolívar,499,0,12904,2549,15453
Córdoba,500,0,3919,11518,15437
Caldas,501,0,7565,7759,15324
Valle del Cauca,502,0,10201,5103,15304
Nariño,503,0,4415,10888,15303
Córdoba,504,0,11560,3658,15218
Bolívar,505,0,5980,9201,15181
Sucre,506,0,5125,9931,15056
Bolívar,507,0,5888,9060,14948
Bolívar,508,0,7327,7570,14897
Santander,509,0,5647,9197,14844
Antioquia,510,0,6694,8139,14833
Antioquia,511,0,8053,6777,14830
Nariño,512,0,3931,10862,14793
Santander,513,0,1735,13052,14787
Caquetá,514,0,2609,12083,14692
Tolima,515,0,7934,6738,14672
Cundinamarca,516,0,4493,10084,14577
Cundinamarca,517,0,7211,7321,14532
Tolima,518,0,8544,5929,14473
Meta,519,0,9761,4701,14462
Antioquia,520,0,4708,9732,14440
Valle del Cauca,521,0,9972,4417,14389
Antioquia,522,0,5525,8864,14389
Cundinamarca,523,0,8162,6205,14367
Bolívar,524,0,9241,5061,14302
Valle del Cauca,525,0,10557,3738,14295
Nariño,526,0,1567,12694,14261
La Guajira,527,0,6947,7301,14248
Cundinamarca,528,0,6519,7722,14241
Cauca,529,0,566,13644,14210
Sucre,530,0,7119,7072,14191
Chocó,531,0,6518,7641,14159
Nariño,532,0,5463,8695,14158
Antioquia,533,0,3910,10192,14102
Cundinamarca,534,0,8611,5451,14062
Norte de Santander,535,0,2281,11762,14043
Santander,536,0,7415,6623,14038
Huila,537,0,4966,8961,13927
Cundinamarca,538,0,4673,9205,13878
Boyacá,539,0,1018,12831,13849
Córdoba,540,0,5242,8572,13814
Nariño,541,0,5166,8643,13809
Nariño,542,0,2139,11599,13738
Guaviare,543,0,3570,10152,13722
Antioquia,544,0,7937,5769,13706
Magdalena,545,0,6600,6903,13503
Caldas,546,0,6638,6852,13490
Tolima,547,0,3772,9679,13451
Casanare,548,0,7215,6234,13449
Boyacá,549,0,4418,8978,13396
Boyacá,550,0,8106,5219,13325
Nariño,551,0,2754,10567,13321
Santander,552,0,4834,8449,13283
Boyacá,553,0,1360,11920,13280
Nariño,554,0,3545,9697,13242
Bolívar,555,0,6343,6838,13181
Huila,556,0,4966,8196,13162
Atlántico,557,0,12251,893,13144
Antioquia,558,0,7925,5198,13123
Caquetá,559,0,6693,6406,13099
Bolívar,560,0,2245,10780,13025
Bolívar,561,0,3326,9686,13012
Sucre,562,0,6189,6805,12994
Cundinamarca,563,0,3289,9701,12990
Magdalena,564,0,6042,6866,12908
Valle del Cauca,565,0,8108,4776,12884
Meta,566,0,6587,6288,12875
Meta,567,0,6561,6313,12874
Caldas,568,0,10912,1941,12853
Cundinamarca,569,0,1031,11798,12829
Chocó,570,0,4041,8781,12822
Cundinamarca,571,0,5904,6899,12803
Tolima,572,0,8715,4008,12723
Nariño,573,0,3384,9310,12694
Casanare,574,0,5635,7017,12652
Cundinamarca,575,0,3992,8653,12645
Nariño,576,0,5835,6747,12582
Atlántico,577,0,11752,820,12572
Tolima,578,0,4265,8305,12570
Cundinamarca,579,0,3147,9417,12564
Magdalena,580,0,1529,10910,12439
Risaralda,581,0,6375,6059,12434
Norte de Santander,582,0,4677,7717,12394
Meta,583,0,7105,5283,12388
Norte de Santander,584,0,1817,10556,12373
Chocó,585,0,9627,2740,12367
Chocó,586,0,1165,11161,12326
Cundinamarca,587,0,9710,2615,12325
Antioquia,588,0,2830,9494,12324
Bolívar,589,0,10694,1628,12322
Santander,590,0,7434,4838,12272
Quindío,591,0,6894,5365,12259
Risaralda,592,0,5506,6715,12221
Norte de Santander,593,0,2197,9977,12174
Antioquia,594,0,2319,9815,12134
Risaralda,595,0,3683,8427,12110
Casanare,596,0,5421,6687,12108
Nariño,597,0,1775,10287,12062
Casanare,598,0,7083,4976,12059
Valle del Cauca,599,0,9114,2928,12042
Antioquia,600,0,8571,3468,12039
Tolima,601,0,7573,4465,12038
Cundinamarca,602,0,3328,8700,12028
Magdalena,603,0,7731,4198,11929
Huila,604,0,2390,9530,11920
Tolima,605,0,3625,8268,11893
Valle del Cauca,606,0,9001,2866,11867
Cundinamarca,607,0,4969,6875,11844
Huila,608,0,5251,6549,11800
Antioquia,609,0,6146,5582,11728
Antioquia,610,0,5352,6363,11715
Bolívar,611,0,4174,7411,11582
Cauca,612,0,1089,10450,11539
Antioquia,613,0,2658,8878,11536
Cundinamarca,614,0,4577,6951,11528
Cundinamarca,615,0,2854,8667,11521
Caquetá,616,0,2851,8652,11503
Caldas,617,0,3938,7462,11400
Huila,618,0,1789,9606,11395
Nariño,619,0,4322,7003,11325
Magdalena,620,0,7520,3775,11295
Magdalena,621,0,7009,4286,11295
Chocó,622,0,2488,8774,11262
La Guajira,623,0,10146,1115,11261
Magdalena,624,0,4424,6803,11227
Norte de Santander,625,0,1867,9331,11198
Caquetá,626,0,6973,4208,11181
Santander,627,0,5060,6115,11175
Meta,628,0,4707,6455,11162
Bolívar,629,0,1880,9230,11110
Cundinamarca,630,0,9019,2073,11092
